0: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
15: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
16: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
17: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
18: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 6, 25, 10, 20], [26, 27, 21, 29], [23, 22, 28]]
19: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
20: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
21: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
22: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
23: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
24: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
25: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
26: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
27: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
28: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
29: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
30: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
31: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
32: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
33: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
34: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
35: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
36: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 12, 17, 3, 6], [5, 20, 14, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
37: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17], [3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
38: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17], [3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
39: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17], [3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
40: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11, 12], [17, 3, 5, 20, 6, 25, 10, 14], [26, 27, 21, 29], [23, 22, 28]]
41: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11, 12], [17, 3, 5, 20, 14, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
42: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11, 12], [17, 3, 5, 20, 6, 25, 10, 14], [26, 27, 21, 29], [23, 22, 28]]
43: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11, 17], [3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
44: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11, 17], [3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
45: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 10], [25, 26, 27, 21, 29], [23, 22, 28]]
46: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 12, 17, 3, 5], [20, 6, 14, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
47: [[2, 24, 7, 15, 9, 8, 13, 18], [19, 4, 1, 16, 11, 12, 17, 3, 5], [20, 6, 25, 10, 14], [26, 27, 21, 29], [23, 22, 28]]
48: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11], [17, 3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
49: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11], [17, 3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
50: [[2, 24, 7, 15, 9], [8, 13, 18, 19, 4, 1, 16, 11], [17, 3, 12, 14, 5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
51: [[2, 24, 7, 15], [9, 8, 13, 18, 19, 4, 1, 16], [11, 17, 3, 12, 14, 5, 20, 25, 10], [6, 26, 27, 21, 29], [23, 22, 28]]
52: [[2, 24, 7, 15], [9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10, 26, 27, 21, 29], [23, 22, 28]]
53: [[2, 24, 7, 15], [9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10, 26, 27, 21, 29], [23, 22, 28]]
54: [[2, 24, 7, 15], [9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10, 26, 27, 21, 29], [23, 22, 28]]
55: [[2, 24, 7, 15], [9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10, 26, 27, 21, 29], [23, 22, 28]]
56: [[2, 24, 7, 15], [9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10, 26, 27, 21, 29], [23, 22, 28]]
57: [[2, 24, 7, 15, 9], [8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10, 26, 27, 21, 29], [23, 22, 28]]
58: [[2, 24, 7, 15], [9, 8, 13, 18, 19, 4, 1, 16], [11, 17, 3, 12, 14, 5, 20, 6, 25], [10, 26, 27, 21, 29], [23, 22, 28]]
59: [[2, 24, 7, 15], [9, 8, 13, 18, 19, 4, 1, 16], [11, 17, 3, 12, 14, 5, 20, 6, 25], [10, 26, 27, 21, 29], [23, 22, 28]]
