0: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15], [5, 28, 11], [17], [37, 7, 23], [1, 9, 3, 18, 4], [24, 29], [20, 16, 21, 36], [25, 26], [27], [33, 30, 31, 32]]
19: [[2, 6, 22], [35, 13], [10, 12], [14, 8, 34], [19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9, 3], [18, 4], [24, 29, 20, 16, 21], [36, 25, 26, 27, 33], [30, 31, 32]]
20: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23], [1, 9, 3, 18, 4], [24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
21: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15], [5, 28, 11], [17, 37, 7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
22: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15, 5], [28, 11, 17], [37, 7, 23, 1, 9, 3, 18, 4, 24, 29], [20, 16, 21, 36], [25, 26, 27, 33, 30, 31, 32]]
23: [[2, 6], [22, 35, 13], [10, 12, 14], [8, 34, 19], [15, 5, 28], [11, 17], [37, 7, 23], [1, 9, 3], [18, 4, 24], [29, 20], [16, 21, 36], [25, 26, 27, 33], [30, 31, 32]]
24: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28], [11, 17, 37, 7, 23, 1], [9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27], [33, 30, 31, 32]]
25: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28], [11, 17, 37, 7, 23, 1], [9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27], [33, 30, 31, 32]]
26: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9], [3, 18], [4, 24, 29, 20, 16], [21, 36, 25], [26, 27], [33, 30, 31], [32]]
27: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34, 19], [15, 5, 28], [11, 17, 37], [7, 23, 1], [9, 3], [18, 4, 24], [29, 20, 16], [21, 36, 25], [26, 27, 33], [30, 31, 32]]
28: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19], [15, 5, 28], [11, 17, 37], [7, 23, 1], [9, 3, 18], [4, 24, 29], [20, 16, 21], [36, 25, 26], [27, 33, 30, 31, 32]]
29: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28], [11, 17], [37, 7, 23], [1, 9, 3, 18], [4, 24, 29], [20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
30: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9], [3, 18, 4], [24, 29], [20, 16, 21], [36, 25], [26, 27, 33], [30, 31, 32]]
31: [[2, 6, 22, 35, 13, 10, 12, 14, 8, 34, 19, 15, 5, 28, 11, 17, 37, 7], [23, 1, 9, 3, 18, 4, 24, 29, 20, 16], [21, 36, 25, 26, 27, 33, 30, 31, 32]]
32: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9], [3, 18, 4], [24, 29, 20, 16], [21, 36, 25, 26, 27, 33, 30, 31, 32]]
33: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9], [3, 18, 4], [24, 29], [20, 16, 21], [36], [25, 26, 27, 33, 30], [31, 32]]
34: [[2, 6, 22], [35, 13], [10, 12], [14], [8, 34, 19, 15], [5, 28], [11, 17], [37], [7, 23, 1], [9, 3], [18, 4, 24], [29, 20], [16, 21, 36], [25, 26], [27, 33, 30], [31, 32]]
35: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34, 19], [15, 5, 28], [11, 17, 37], [7, 23], [1], [9, 3], [18, 4], [24, 29, 20], [16, 21, 36], [25, 26, 27, 33], [30, 31, 32]]
36: [[2, 6, 22, 35], [13, 10, 12], [14, 8, 34], [19, 15, 5], [28, 11, 17, 37], [7, 23, 1], [9, 3, 18, 4], [24, 29, 20], [16, 21, 36, 25], [26, 27, 33, 30], [31, 32]]
37: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28], [11, 17, 37, 7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
38: [[2, 6], [22, 35, 13], [10, 12], [14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9], [3, 18, 4], [24, 29, 20], [16, 21, 36], [25, 26, 27], [33, 30, 31], [32]]
39: [[2, 6, 22], [35, 13], [10, 12], [14, 8, 34], [19, 15, 5, 28], [11, 17, 37, 7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
40: [[2, 6], [22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37], [7, 23], [1, 9, 3], [18, 4, 24], [29, 20, 16], [21, 36, 25], [26, 27, 33], [30, 31, 32]]
41: [[2, 6], [22, 35, 13], [10, 12, 14], [8, 34, 19], [15, 5, 28], [11, 17, 37], [7, 23, 1], [9, 3, 18], [4, 24, 29], [20, 16, 21], [36, 25, 26], [27, 33], [30, 31, 32]]
42: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28], [11, 17], [37, 7], [23, 1, 9], [3, 18], [4, 24], [29, 20], [16, 21, 36], [25, 26], [27, 33], [30, 31, 32]]
43: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34, 19, 15], [5, 28, 11, 17, 37, 7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
44: [[2, 6, 22], [35, 13], [10, 12, 14, 8], [34, 19], [15, 5, 28], [11, 17, 37], [7, 23, 1], [9, 3, 18], [4, 24, 29], [20, 16, 21], [36, 25, 26, 27, 33, 30, 31, 32]]
45: [[2, 6, 22], [35, 13], [10, 12], [14, 8, 34], [19, 15, 5], [28], [11, 17, 37], [7, 23, 1], [9, 3], [18, 4], [24, 29, 20], [16, 21, 36, 25], [26, 27, 33], [30, 31, 32]]
46: [[2, 6], [22, 35, 13], [10, 12, 14], [8, 34, 19], [15, 5, 28], [11, 17], [37, 7, 23], [1, 9, 3], [18, 4, 24], [29, 20, 16, 21], [36, 25, 26, 27, 33, 30, 31, 32]]
47: [[2, 6, 22], [35, 13], [10, 12], [14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7, 23], [1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
48: [[2, 6, 22], [35, 13], [10, 12, 14, 8, 34, 19, 15, 5, 28, 11, 17, 37, 7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21], [36, 25, 26, 27, 33, 30, 31, 32]]
49: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11], [17, 37, 7], [23, 1], [9, 3], [18], [4, 24, 29], [20, 16, 21], [36, 25], [26, 27, 33], [30, 31, 32]]
50: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34, 19], [15], [5, 28, 11], [17, 37, 7], [23], [1, 9, 3], [18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
51: [[2, 6, 22], [35, 13, 10], [12], [14, 8, 34], [19, 15, 5], [28, 11, 17], [37], [7, 23, 1], [9], [3, 18, 4], [24, 29, 20, 16, 21, 36, 25, 26], [27, 33, 30, 31, 32]]
52: [[2, 6, 22], [35, 13], [10, 12, 14], [8], [34, 19, 15, 5], [28, 11, 17, 37, 7, 23, 1, 9, 3, 18], [4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
53: [[2, 6], [22, 35], [13, 10, 12], [14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1], [9, 3, 18], [4, 24, 29], [20, 16, 21], [36, 25], [26, 27, 33], [30, 31, 32]]
54: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17, 37], [7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
55: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19], [15, 5], [28, 11, 17], [37, 7], [23, 1, 9, 3], [18, 4, 24], [29, 20], [16, 21, 36], [25, 26, 27, 33], [30, 31, 32]]
56: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7, 23, 1, 9, 3], [18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
57: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34], [19, 15, 5, 28], [11, 17, 37], [7, 23, 1, 9], [3, 18, 4], [24, 29, 20], [16, 21], [36, 25, 26], [27, 33, 30, 31, 32]]
58: [[2, 6, 22], [35, 13, 10, 12], [14, 8], [34, 19, 15, 5, 28], [11, 17, 37, 7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
59: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
60: [[2, 6, 22], [35, 13], [10, 12], [14, 8, 34], [19, 15, 5], [28, 11, 17, 37], [7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
61: [[2, 6, 22, 35], [13, 10, 12, 14, 8, 34, 19, 15, 5, 28, 11, 17, 37, 7, 23, 1, 9], [3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
62: [[2, 6], [22, 35], [13, 10], [12, 14, 8], [34, 19, 15], [5, 28], [11], [17, 37], [7, 23, 1], [9, 3], [18, 4], [24, 29, 20], [16], [21, 36], [25, 26, 27], [33, 30, 31, 32]]
63: [[2, 6, 22], [35, 13, 10], [12, 14], [8, 34, 19], [15, 5, 28], [11, 17, 37], [7, 23, 1], [9, 3, 18], [4, 24, 29], [20, 16, 21], [36, 25, 26, 27, 33, 30, 31, 32]]
64: [[2, 6], [22, 35, 13], [10, 12], [14, 8], [34, 19], [15, 5], [28, 11], [17, 37, 7], [23, 1, 9], [3, 18, 4], [24, 29], [20, 16], [21, 36], [25, 26, 27], [33, 30], [31, 32]]
65: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34], [19, 15, 5], [28, 11], [17, 37, 7], [23], [1, 9, 3, 18, 4, 24, 29, 20, 16, 21], [36, 25, 26, 27, 33, 30, 31, 32]]
66: [[2, 6], [22, 35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7], [23, 1], [9, 3], [18, 4], [24, 29, 20], [16, 21, 36, 25], [26, 27, 33], [30, 31, 32]]
67: [[2, 6, 22, 35, 13], [10, 12, 14, 8, 34, 19, 15, 5, 28, 11, 17, 37, 7, 23, 1, 9], [3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
68: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19], [15, 5], [28, 11], [17, 37, 7], [23, 1, 9], [3, 18, 4], [24, 29, 20], [16, 21, 36, 25], [26, 27], [33, 30, 31, 32]]
69: [[2, 6, 22, 35, 13, 10, 12, 14, 8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23, 1, 9, 3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
70: [[2, 6, 22, 35], [13, 10], [12, 14, 8, 34, 19], [15, 5, 28, 11, 17, 37, 7, 23, 1, 9, 3, 18, 4, 24], [29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
71: [[2, 6, 22], [35, 13, 10], [12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7], [23, 1, 9, 3, 18], [4, 24, 29, 20, 16, 21, 36, 25, 26, 27, 33, 30, 31, 32]]
72: [[2, 6], [22, 35], [13, 10, 12], [14, 8, 34], [19, 15, 5], [28, 11], [17, 37, 7], [23, 1], [9, 3], [18, 4, 24], [29, 20], [16, 21, 36], [25], [26, 27, 33], [30, 31, 32]]
73: [[2, 6], [22, 35, 13], [10, 12, 14, 8], [34, 19], [15, 5, 28], [11, 17, 37], [7, 23, 1], [9, 3], [18, 4, 24], [29], [20, 16], [21, 36, 25], [26, 27, 33], [30, 31], [32]]
