0: [[25, 5], [6, 1, 3, 19, 15, 2, 12, 11, 4, 8, 16], [13, 7, 22, 9, 28, 18, 23, 10, 17, 24, 20, 14], [27, 21, 26, 29]]
48: [[25, 5, 6, 1, 3, 19, 15, 4, 2, 8, 12], [7, 10], [9, 22, 13, 11, 16, 17, 21, 29, 28, 20, 18, 14], [26, 23, 24, 27]]
49: [[25, 5, 6, 1, 3, 19, 15, 2, 4, 7, 21, 10, 12], [11, 8, 22, 9, 28, 20, 13, 16, 17, 14], [18, 23], [26, 24, 27, 29]]
50: [[25, 5, 6, 1, 3, 19, 15, 11, 2, 8, 4, 12], [9, 23, 21, 13, 20, 7, 16, 17, 28, 24, 10], [18, 14], [29, 22, 26, 27]]
51: [[25, 5, 6, 1, 3, 19, 15, 8, 4, 2, 11, 12], [9], [16, 13, 28, 22, 21, 7, 20, 29, 17, 18, 10, 14], [23, 26, 24, 27]]
52: [[25, 5, 6, 1, 3, 19, 15, 2, 7, 11, 9, 8, 24, 13], [12, 22], [14, 4, 27, 10, 16, 21, 17, 20, 26], [23, 28, 18, 29]]
53: [[25, 5, 6, 1, 3, 19, 11, 2, 4, 8, 7, 10, 12], [9, 26, 13, 15, 21, 18, 16, 17, 23, 14], [24, 20], [22, 27, 28, 29]]
54: [[25, 5, 6, 1, 3, 19, 15, 2, 13, 7, 8, 4, 10, 12], [9, 18, 11, 22, 17, 21, 26, 24, 14], [20, 23], [27, 16, 28, 29]]
55: [[25, 5, 6, 1, 3, 19, 15, 2, 4, 11, 10], [9, 7, 8, 13, 18, 28, 16, 22, 24, 26, 12, 14], [21, 20], [23, 17, 27, 29]]
56: [[25, 5, 6, 1, 3, 19, 15, 2, 4, 11, 7, 8, 27, 12], [13, 9, 24, 28, 26, 23, 16, 18, 10, 14], [20], [21, 17, 22, 29]]
57: [[25, 5, 6, 1, 3, 19, 11, 2, 4, 7, 13, 28, 10, 12], [9, 15, 22, 26, 20, 21, 16, 17, 14], [23, 8], [18, 24, 27, 29]]
58: [[25, 5, 6, 1, 3, 19, 2, 7, 15, 8, 13, 12], [11, 9, 27, 23, 16, 17, 20, 28, 4, 10, 14], [18, 29], [26, 21, 22, 24]]
59: [[25, 5, 6, 1, 3, 19, 11, 4, 2, 7, 10, 12], [9, 8, 18, 13, 20, 17, 15, 23, 21, 26, 24, 14], [16], [27, 22, 29, 28]]
