0: [[19], [2, 29, 12, 22], [6, 30, 34], [78, 81], [47, 59, 21], [50, 54], [58], [33, 1, 13], [3, 20, 18], [38, 85], [82, 70], [5, 4], [77, 60], [76, 14, 71], [7, 45, 63], [37, 68], [84], [79, 16], [11, 74, 75], [27, 56, 73], [17], [24, 28, 23], [25], [26, 9, 66, 72], [52], [64, 32], [35, 31, 40, 51, 57], [62, 42, 43], [69, 10, 39, 53], [44, 48, 8], [49, 55], [61, 87], [65], [67, 36], [46], [41, 15], [80, 83], [86, 88]]
16: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 18, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
17: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
18: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 24, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
19: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
20: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 17, 24, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
21: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 24, 17, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
22: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 26, 16, 24, 9, 18, 17, 20, 21, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39, 8, 10, 23], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
23: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 18, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
24: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 10, 17, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
25: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 17, 18, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
26: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
27: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 24, 17, 20, 10, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
28: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
29: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 17, 24, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
30: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 17, 18, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
31: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
32: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
33: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 18, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
34: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 24, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
35: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 18, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
36: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 24, 18, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
37: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 10, 18, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
38: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
39: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 10, 17, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
40: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 17, 18, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
41: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 18, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
42: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 10, 18, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
43: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 18, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
44: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 24, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
45: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 24, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
46: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
47: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 10, 17, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
48: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
49: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 26, 16, 9, 24, 17, 20, 18, 21, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39, 8, 10, 23], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
50: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 24, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
