0: [[18, 3], [2, 5, 15, 9, 13, 1, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
14: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
15: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
16: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
17: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
18: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
19: [[18, 3], [8, 2, 5, 6, 15, 1, 9, 13], [7, 11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
20: [[8, 2, 5, 6, 15, 1, 9, 13, 7, 11], [14, 4, 10, 12, 16, 19, 18, 3], [20, 17], [23, 21, 22, 24]]
21: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
22: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
23: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
24: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
25: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
26: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
27: [[18, 3], [8, 2, 5, 6, 15, 1, 9, 13, 7], [11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
28: [[18, 3], [8, 2, 5, 6, 15, 1, 9, 13, 7], [11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
29: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
30: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
31: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
32: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
33: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
34: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
35: [[18, 3, 2, 5, 15, 8, 6], [1, 9], [13, 7], [11, 14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
36: [[18, 3, 2, 5, 15, 1, 9, 8, 6], [13, 7], [11, 14, 4, 10, 12, 16, 19], [20, 17], [23, 21, 22, 24]]
37: [[18, 3], [2, 5, 15, 1, 9, 13, 7, 8, 6], [11, 14], [4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
38: [[18, 3], [2, 5, 15, 1, 9, 13, 7, 8, 6], [11, 14], [4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
39: [[8, 2, 5, 6, 15, 1, 3], [9, 13, 7, 11, 14, 4, 10, 12], [16, 19], [20, 17, 18], [23, 21, 22, 24]]
40: [[18, 3, 2, 5, 15, 1, 9, 8, 6], [13, 7], [11, 14], [4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
41: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17, 23], [21, 22, 24]]
42: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11], [14, 4, 10, 12, 16, 19, 20], [17, 23, 21, 22, 24]]
43: [[18, 2, 5, 6, 15, 3, 8], [1, 9], [13, 7, 11, 14, 4, 10, 12, 16], [19, 20], [17, 23, 21, 22, 24]]
44: [[18, 3], [8, 2, 5, 6, 15, 1, 9], [13, 7, 11, 14, 4, 10, 12, 16], [19, 20], [17, 23, 21, 22, 24]]
45: [[18, 2, 5, 6, 15, 3, 8], [1, 9], [13, 7, 11, 14, 4, 10, 12, 16], [19, 20], [17, 23, 21, 22, 24]]
46: [[8, 2, 18], [5, 6, 15, 1, 9, 13, 7, 11], [14, 4, 10, 12, 16, 19, 20, 3], [17, 23, 21, 22, 24]]
47: [[18, 3], [8, 2, 5, 6, 15, 1, 9], [13, 7], [11, 14, 4, 10, 12, 16, 19, 20], [17, 23, 21, 22, 24]]
48: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16, 19, 20], [17, 23], [21, 22, 24]]
49: [[18, 3, 2, 5, 15, 1, 8, 6], [9, 13], [7, 11, 14, 4, 10, 12, 16], [19, 20], [17, 23, 21, 22, 24]]
