0: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [16, 8, 12], [17, 18, 14], [23, 22], [21, 26, 27], [25], [24, 28], [29]]
19: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11, 13, 9, 26, 8], [14, 12, 24, 10], [16, 18], [22], [17, 25, 23, 21, 27, 28, 29]]
20: [[20, 3, 4], [19, 1, 2], [6, 5, 15], [7, 11, 9], [13, 12, 10, 16], [8, 14, 23, 25, 17, 21, 22, 18, 26], [27, 24, 29, 28]]
21: [[20, 3, 4], [19, 1], [2, 6, 5], [15, 7, 8], [9, 13, 10, 16, 11, 12, 28, 18, 17, 26, 22, 21, 14, 29, 27, 24, 23, 25]]
22: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11, 9, 13, 10, 8], [28, 12, 14], [22, 16], [18, 21, 24, 23], [26, 25, 17, 29, 27]]
23: [[20, 3], [4, 19, 1], [2, 6, 5], [7, 15, 10, 9, 13, 8, 16, 12, 14], [24, 18, 21, 11, 22, 17], [23, 27, 26, 25, 28, 29]]
24: [[20, 3, 4], [19, 1, 2], [6, 5, 15, 7, 11, 9, 13], [26, 8, 10, 12, 14, 24, 17, 18, 22, 16, 21], [29, 23, 27, 25, 28]]
25: [[20, 3], [4, 19, 1, 2, 6, 5, 7, 12, 11, 9, 13, 14, 24, 15, 16, 8, 25, 17, 10, 23, 18, 21, 22, 26, 27, 28], [29]]
26: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [12, 8, 28], [16, 18, 14], [23, 22, 21], [17, 25, 26], [24], [27, 29]]
27: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13], [26, 10], [14, 12, 8, 17], [16, 23], [22], [18, 24, 25, 21, 27, 28, 29]]
28: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [24, 12, 14], [17, 8, 16], [22, 18, 21], [23, 25, 27], [26, 28, 29]]
29: [[20, 3, 4, 19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 8], [26, 14, 10, 16, 12, 17, 22], [18, 21, 24, 23, 27, 25, 28, 29]]
30: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7], [11], [9, 12, 14], [8, 10], [13, 16, 22, 25, 17, 28, 21, 23, 18, 29, 24, 26, 27]]
31: [[20, 3], [4, 19, 1, 2], [6, 5, 15, 7, 11, 9, 13, 8, 10], [14, 28, 12, 24, 18, 16, 23, 21, 17, 22, 26, 27, 25, 29]]
32: [[20, 3, 4], [19, 1, 2], [6, 5, 15, 7, 9, 8, 13, 10, 18, 11, 12, 28, 14, 21, 16, 22], [17, 23, 24, 25, 29, 26, 27]]
33: [[20, 3, 4], [19, 1], [2, 6], [5, 15, 7], [11, 9, 13, 22], [25, 16, 8, 10, 12], [17], [18, 21, 27], [28], [23, 24, 26, 14], [29]]
34: [[20, 3, 4], [19, 1, 2], [6, 5, 15], [7, 8, 9], [13, 10, 16, 11, 12], [28, 18, 17], [26, 22, 21, 14, 29, 27], [24, 23, 25]]
35: [[20, 3, 4], [19, 1, 2, 6, 5, 15, 7, 11], [9, 13, 12, 8, 14, 10, 22, 21, 16, 18], [27, 24, 17, 28, 23, 25, 26, 29]]
36: [[20, 3], [4, 19, 1], [2, 6, 5, 15, 7, 11, 9, 13], [8, 14, 10, 12, 17, 21, 16, 18, 22, 24], [23, 29, 25, 26, 28, 27]]
37: [[20, 3, 4], [19, 1, 2, 6, 5, 15, 7, 11, 9, 13], [10, 16, 8], [12, 14, 17, 21, 18, 22, 23, 26], [25, 27, 28, 24, 29]]
38: [[20, 3], [4, 19, 1], [2, 6, 5], [7, 15, 10, 9], [13, 8, 18, 11, 29, 12, 14, 21, 17], [22, 16, 23, 26, 24, 25, 28, 27]]
39: [[20, 3], [4, 19, 1], [2, 6, 5], [15, 7, 11], [9, 13, 10], [8, 24], [12, 17, 14, 21, 16, 23, 18, 22, 26], [25, 28, 27, 29]]
40: [[20, 3, 4], [19, 1, 2], [6, 5, 15], [7], [11, 9, 13], [10, 16, 12, 14, 24, 21, 17], [8, 22, 26, 18, 23, 27, 25, 28, 29]]
41: [[20, 3], [4, 19, 1], [2, 6, 5], [7, 8, 10], [9, 13, 11], [18, 12, 14, 15, 24, 21, 16, 28], [17], [23, 27, 26, 25, 22, 29]]
42: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 12], [10, 18, 21], [8, 14, 16], [17, 29], [13], [23, 22, 24], [25, 27], [26, 28]]
43: [[20, 3, 4], [19, 1], [2, 6], [5, 15], [7, 11, 9], [12, 8, 14, 10, 21, 13, 16, 18, 17, 23, 26, 27, 25, 22, 29, 24], [28]]
44: [[20, 3], [4, 19, 1, 2, 6, 5, 15, 7, 11, 9, 13, 10], [8, 12, 28, 14, 16, 17], [22], [23, 21, 27, 18, 24, 25, 29, 26]]
45: [[20, 3, 4], [19, 1], [2, 6, 5], [15], [7, 11], [9], [13, 10, 18, 24, 12, 8, 14, 16, 21, 22, 17, 27, 26, 29, 25, 28, 23]]
46: [[20, 3, 4, 19, 1, 2], [6, 5], [15], [7, 11], [9], [13, 8, 26, 14, 10, 17, 12, 16, 23, 22, 21, 24, 18, 25, 27, 28, 29]]
47: [[20, 3, 4], [19, 1, 2], [6, 5, 15], [7, 10, 9], [28, 8, 26, 14], [11, 12, 13], [24, 17, 22, 18, 23, 25, 21, 27, 16, 29]]
48: [[20, 3], [4, 19, 1], [2, 6, 5], [15, 7, 11], [9, 13], [10, 8, 12], [14, 17, 16, 18], [23, 21, 22], [24, 26], [25, 27, 28, 29]]
49: [[20, 3, 4], [19, 1, 2, 6], [5, 15], [7, 11, 9], [13, 14, 10], [26, 12, 8], [16, 21, 17, 22, 23, 18, 24, 29, 25, 27, 28]]
50: [[20, 3, 4], [19, 1], [2, 6, 5], [15, 7, 10], [9, 13, 8, 11], [12, 14, 16], [17, 21, 22], [18, 23, 24], [25, 26], [27, 28, 29]]
51: [[20, 3], [4, 19], [1, 2], [6, 5], [15, 7], [11, 9], [13, 12, 10], [8, 24, 14], [16, 17, 21], [18, 22], [23], [25, 29, 26], [27, 28]]
52: [[20, 3, 4, 19, 1, 2, 6, 5, 15, 14], [11, 9, 13], [10, 8, 24, 12, 17], [16, 22, 23, 21, 7, 18, 26, 27, 25, 28, 29]]
53: [[20, 3, 4], [19, 1, 2], [6, 5, 15], [7, 11, 9], [12, 8, 10], [13, 14, 21, 18], [16, 17, 23], [28, 22, 25], [27, 24], [26, 29]]
54: [[20, 3], [4, 19, 1], [2, 6], [5, 15, 7], [10, 9, 13], [8, 11, 12, 21, 28, 18, 22], [26, 23, 17, 16, 24, 27], [25, 29, 14]]
55: [[20, 3, 4, 19], [1, 2], [6, 5, 7], [15, 11, 8], [13, 14, 24], [9, 28, 12], [17, 16, 10], [22, 18], [21, 27, 23], [26, 25, 29]]
56: [[20, 3, 4], [19, 1, 2, 6, 5, 15], [7, 11], [9, 13], [8, 10, 12], [24, 14, 16], [25, 17, 23, 21], [18, 26, 27, 22, 29, 28]]
57: [[20, 3, 4, 19, 1, 2, 6, 5, 15], [7, 11, 9, 13, 26, 24], [8, 10, 14, 16, 21, 18], [12, 17, 22, 23, 27, 25, 28, 29]]
58: [[20, 3, 4, 19], [1, 2, 6], [5, 15], [7, 11, 9], [13, 12, 8], [26, 10, 14], [21, 16, 18, 17], [25, 22, 27, 23, 28, 29, 24]]
59: [[20, 3], [4, 19, 1, 2], [6, 5, 15], [7, 11, 9], [28, 8, 10], [29, 13, 12], [18, 14], [16, 23], [25, 21, 17, 27, 26, 22, 24]]
