0: [[22, 15, 8], [6, 3, 9], [10, 2], [7, 11], [14, 12, 5, 13, 4], [19, 20, 17, 1], [16, 18], [21, 23, 24]]
19: [[22], [6, 5], [3, 9], [1, 10], [2, 7], [11, 13, 8, 15], [14, 12, 19, 4], [20, 17], [16, 18], [21, 23, 24]]
20: [[22, 8], [15, 6, 3], [9, 1], [10, 2], [7, 11, 13], [14, 12, 19, 4, 5], [20, 17], [16, 18, 21], [23, 24]]
21: [[22, 8], [4, 5, 15], [6, 3], [9, 1], [10, 2], [7, 11], [13, 14, 12], [19, 20, 17, 16], [18, 21], [23, 24]]
22: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 2], [7, 11], [13, 14, 12, 19, 4], [20, 17, 16], [18, 21], [23, 24]]
23: [[22, 8], [15, 6], [3, 9, 1], [10, 2], [7, 11, 13], [14, 12, 19, 4, 5], [20, 17], [16, 18, 21], [23, 24]]
24: [[22, 4, 5, 8, 15], [6, 3], [9, 1, 10, 2, 7, 11, 13, 14, 12, 19, 20, 17, 16], [18, 21, 23, 24]]
25: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 4], [2, 7], [11, 13, 14, 12], [19, 20], [17, 16, 18], [21, 23, 24]]
26: [[22], [15, 6, 8, 5], [3, 9], [1, 10], [2, 7, 11], [13, 14, 12, 19, 4], [20, 17], [16, 18, 21], [23, 24]]
27: [[22, 8, 5], [15, 6, 3, 4], [9, 1, 10], [2], [7, 11, 13, 14, 12, 19, 20, 17, 16, 18, 21], [23, 24]]
28: [[22], [15], [6, 3, 4, 5], [9, 1, 10], [2, 7], [11, 13, 14, 12, 19, 8], [20, 17, 16, 18, 21], [23, 24]]
29: [[22, 8, 15], [4, 5, 6, 3, 9, 1, 10, 2, 7, 11, 13, 14, 12, 19], [20, 17, 16], [18, 21, 23, 24]]
30: [[22], [15, 6, 8], [3, 9, 1, 10], [2, 7], [11, 13], [14, 12, 4, 5], [19, 20, 17, 16], [18, 21], [23, 24]]
31: [[22, 8], [4, 5, 15], [6, 3, 9], [1, 10, 2], [7, 11], [13, 14], [12, 19, 20], [17, 16, 18, 21, 23, 24]]
32: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 4], [2, 7, 11], [13, 14, 12], [19, 20], [17, 16], [18, 21, 23, 24]]
33: [[22, 8], [15], [6, 3, 9], [1, 10, 2], [7, 11], [13, 14, 12, 4, 5], [19, 20, 17, 16, 18, 21, 23, 24]]
34: [[22], [15, 6, 3, 9, 8, 4, 5], [1, 10, 2, 7, 11, 13, 14, 12], [19, 20], [17, 16, 18, 21, 23, 24]]
35: [[22, 8], [4, 5, 15], [6, 3], [9, 1], [10, 2, 7, 11, 13, 14, 12, 19], [20, 17, 16, 18, 21, 23, 24]]
36: [[22, 8], [5, 4], [15, 6, 3, 9, 1, 10, 2, 7, 11, 13, 14, 12, 19, 20, 17], [16, 18, 21, 23, 24]]
37: [[22, 8], [15, 6], [3, 9], [1, 10, 2], [7, 11, 13], [14, 12, 19, 4, 5], [20, 17], [16, 18, 21, 23, 24]]
38: [[22], [15, 6, 4, 5], [3, 9, 1, 10, 2, 7], [11, 13, 14, 12, 19, 8], [20, 17, 16, 18, 21, 23, 24]]
39: [[22], [15, 6, 8], [3, 9], [1, 10, 2], [7, 11, 13], [14, 12, 4, 5], [19, 20, 17, 16, 18, 21, 23, 24]]
40: [[22], [15, 6, 4, 5], [3, 9], [1, 10], [2, 7], [11, 13, 14, 8], [12, 19, 20], [17, 16], [18, 21, 23, 24]]
41: [[22, 8], [5, 15, 4], [6, 3, 9, 1, 10, 2, 7, 11], [13, 14, 12, 19, 20, 17, 16, 18, 21, 23, 24]]
42: [[22], [5, 15, 6, 8, 4], [3, 9, 1], [10, 2, 7, 11, 13, 14, 12, 19, 20, 17, 16, 18, 21, 23, 24]]
43: [[22], [6, 5], [3, 9], [1, 10], [2, 7], [11, 13], [14, 12, 4], [19, 20, 8, 15], [17, 16], [18, 21, 23, 24]]
44: [[22, 8], [4, 5, 15, 6, 3, 9, 1, 10, 2, 7, 11, 13, 14, 12, 19, 20], [17, 16, 18, 21, 23, 24]]
45: [[22], [15, 6, 8, 5], [3, 9], [1, 10, 2, 4], [7, 11, 13, 14, 12, 19, 20, 17, 16, 18, 21, 23, 24]]
46: [[22], [15], [6, 3, 4, 5], [9, 1, 10], [2, 7], [11, 13, 14, 12, 8], [19, 20], [17, 16, 18, 21, 23, 24]]
47: [[22], [15], [6], [3, 9], [1, 10, 4], [2, 7, 11], [13, 14, 8, 5], [12, 19, 20, 17, 16, 18, 21, 23, 24]]
48: [[22, 8, 4], [5, 15], [6, 3, 9, 1, 10, 2, 7, 11, 13, 14, 12, 19, 20, 17, 16, 18, 21, 23, 24]]
49: [[22, 8, 4], [5, 15], [6, 3, 9, 1, 10, 2, 7, 11, 13, 14, 12, 19, 20, 17, 16, 18, 21, 23, 24]]
