0: [[37, 17, 3, 4, 15, 9], [5, 8, 1, 22, 6, 13], [20, 2], [24, 29], [35, 12], [10, 14, 26], [31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11], [25, 21, 27, 28]]
39: [[37, 17, 3, 4], [15, 9, 5], [8, 1, 22], [6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7, 16], [18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
40: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22, 6], [13, 20, 2], [24, 29, 35, 12], [10], [14, 26, 31, 30], [34, 7, 16], [18], [33, 32, 19, 23], [36, 11, 25, 21, 27, 28]]
41: [[37, 17, 3, 4, 15], [9, 5, 8, 1, 22, 6, 13, 20, 2, 24, 29, 35, 12, 10, 14, 26], [31, 30, 34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
42: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24, 29], [35, 12, 10, 14, 26, 31], [30, 34, 7, 16, 18, 33, 32, 19, 23], [36, 11, 25, 21], [27, 28]]
43: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24, 29], [35, 12, 10], [14, 26], [31, 30, 34, 7], [16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
44: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22], [6, 13, 20], [2, 24, 29, 35], [12, 10, 14], [26, 31, 30, 34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25], [21, 27, 28]]
45: [[37, 17, 3, 4], [15, 9, 5], [8, 1, 22, 6], [13, 20, 2, 24, 29], [35, 12, 10, 14], [26, 31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
46: [[37, 17, 3, 4, 15, 9], [5, 8, 1, 22], [6, 13, 20, 2, 24, 29, 35, 12, 10, 14, 26, 31, 30, 34, 7, 16, 18], [33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
47: [[37, 17, 3], [4, 15, 9], [5, 8, 1], [22, 6, 13, 20], [2, 24], [29, 35, 12], [10, 14, 26, 31], [30, 34], [7, 16, 18, 33], [32, 19, 23, 36], [11], [25, 21, 27, 28]]
48: [[37, 17, 3, 4], [15, 9, 5, 8, 1], [22, 6, 13, 20, 2, 24, 29, 35, 12, 10, 14, 26, 31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
49: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22], [6, 13, 20], [2, 24, 29, 35], [12, 10], [14, 26, 31], [30, 34, 7, 16], [18, 33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
50: [[37, 17, 3, 4, 15, 9], [5, 8, 1, 22, 6], [13, 20, 2, 24, 29, 35, 12, 10, 14, 26, 31, 30, 34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
51: [[37, 17, 3], [4, 15, 9], [5, 8, 1], [22, 6, 13], [20, 2, 24], [29, 35, 12, 10], [14, 26, 31, 30], [34, 7], [16, 18, 33, 32], [19, 23, 36, 11], [25, 21, 27, 28]]
52: [[37, 17], [3, 4, 15, 9], [5, 8, 1, 22], [6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26], [31, 30, 34, 7], [16, 18, 33], [32, 19, 23, 36], [11, 25, 21], [27, 28]]
53: [[37, 17, 3, 4], [15, 9, 5], [8, 1, 22, 6], [13, 20, 2], [24], [29, 35, 12], [10, 14, 26, 31, 30, 34], [7, 16, 18, 33, 32, 19], [23, 36, 11, 25, 21, 27, 28]]
54: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13, 20, 2, 24, 29, 35, 12, 10, 14, 26, 31, 30, 34, 7, 16], [18, 33, 32, 19, 23, 36, 11, 25, 21, 27], [28]]
55: [[37, 17, 3], [4, 15, 9], [5, 8, 1], [22, 6], [13, 20, 2, 24], [29, 35, 12, 10], [14, 26, 31, 30], [34, 7, 16], [18, 33, 32, 19], [23, 36, 11], [25, 21, 27, 28]]
56: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22, 6, 13, 20], [2, 24], [29, 35], [12, 10], [14, 26, 31], [30, 34, 7], [16, 18, 33, 32, 19, 23, 36, 11], [25, 21, 27, 28]]
57: [[37, 17, 3, 4, 15, 9, 5, 8, 1], [22, 6, 13, 20], [2, 24, 29, 35, 12, 10, 14, 26, 31, 30, 34, 7], [16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
58: [[37, 17, 3], [4, 15], [9, 5, 8, 1], [22, 6, 13], [20, 2, 24], [29, 35, 12], [10, 14, 26, 31], [30, 34, 7, 16], [18, 33, 32, 19, 23], [36, 11, 25, 21, 27, 28]]
59: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22], [6, 13, 20], [2, 24, 29, 35], [12, 10, 14], [26, 31, 30, 34], [7, 16], [18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
60: [[37, 17, 3, 4], [15, 9, 5, 8], [1, 22, 6, 13], [20, 2, 24], [29, 35, 12], [10, 14, 26, 31, 30], [34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
61: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22], [6, 13, 20], [2, 24, 29], [35, 12, 10, 14], [26, 31, 30, 34, 7], [16, 18], [33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
62: [[37, 17], [3, 4, 15, 9], [5, 8, 1, 22], [6, 13, 20], [2, 24, 29, 35], [12, 10, 14, 26, 31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
63: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22], [6, 13, 20, 2], [24, 29, 35, 12, 10, 14, 26], [31, 30, 34], [7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
64: [[37, 17, 3], [4], [15, 9, 5], [8, 1], [22, 6, 13, 20], [2, 24, 29], [35, 12, 10, 14], [26, 31, 30, 34], [7, 16], [18, 33, 32, 19, 23], [36, 11, 25], [21, 27, 28]]
65: [[37, 17, 3, 4, 15], [9, 5, 8, 1], [22, 6, 13, 20], [2, 24, 29, 35, 12, 10, 14, 26, 31, 30, 34, 7, 16, 18, 33, 32, 19, 23, 36], [11, 25, 21], [27, 28]]
66: [[37, 17], [3, 4, 15, 9], [5, 8, 1, 22], [6, 13, 20], [2, 24, 29], [35, 12, 10, 14, 26], [31, 30, 34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
67: [[37, 17, 3, 4, 15], [9, 5], [8, 1], [22, 6, 13], [20, 2, 24], [29, 35, 12, 10, 14, 26], [31, 30], [34, 7], [16, 18], [33, 32, 19], [23, 36, 11, 25], [21, 27, 28]]
68: [[37, 17, 3], [4, 15, 9], [5, 8, 1], [22, 6], [13, 20, 2, 24], [29, 35, 12, 10], [14, 26, 31], [30, 34], [7, 16, 18], [33, 32, 19, 23], [36, 11, 25], [21, 27, 28]]
69: [[37, 17, 3, 4, 15], [9, 5], [8, 1], [22, 6, 13], [20, 2, 24], [29, 35, 12], [10, 14, 26, 31], [30, 34, 7, 16], [18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
70: [[37, 17, 3, 4], [15, 9, 5, 8], [1], [22, 6, 13, 20], [2, 24, 29, 35, 12, 10, 14, 26, 31, 30, 34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
71: [[37, 17, 3, 4], [15, 9, 5], [8, 1, 22], [6, 13, 20, 2, 24], [29, 35, 12, 10], [14, 26, 31, 30, 34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
72: [[37, 17, 3], [4, 15, 9, 5], [8, 1, 22, 6], [13, 20, 2, 24], [29, 35, 12, 10], [14, 26, 31, 30], [34, 7, 16], [18, 33], [32, 19], [23, 36], [11, 25, 21], [27, 28]]
73: [[37, 17, 3], [4], [15, 9, 5], [8], [1, 22, 6, 13], [20, 2, 24], [29, 35, 12, 10], [14, 26, 31, 30], [34, 7, 16, 18, 33, 32, 19, 23, 36, 11, 25, 21, 27, 28]]
