0: [[10, 20, 17], [6, 5, 25], [2, 15, 19, 1, 16], [3, 12, 8, 4, 11], [24, 9, 22, 7, 13, 14, 18], [23, 28], [21, 27, 26, 29]]
15: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
16: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
17: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
18: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
19: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
20: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
21: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
22: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
23: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
24: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
25: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
26: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
27: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
28: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
29: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
30: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
31: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
32: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
33: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
34: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
35: [[10, 17, 13], [20, 25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
36: [[10, 17, 13], [20, 25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
37: [[10, 17, 13], [20, 25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
38: [[10, 17, 13], [20, 25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
39: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 18], [1, 3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
40: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 3, 18], [12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
41: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8], [4, 16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
42: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8], [4, 16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
43: [[10, 20, 25, 17, 13], [6, 5], [2, 15, 19, 1, 3, 18], [12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
44: [[10, 17, 13], [20, 25, 6], [5, 2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
45: [[10, 17, 13], [20, 25, 6], [5, 2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
46: [[10, 17, 13], [20, 25, 6], [5, 2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
47: [[10, 20, 25], [6, 5, 2], [15, 19, 1, 3, 12, 18], [8, 4], [16, 24, 14, 7, 9, 11, 22, 17, 13], [23, 28], [21, 27, 26, 29]]
48: [[10, 20], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 13], [4, 16, 24, 14, 7, 9, 11, 17], [22, 23], [28, 21, 27, 26, 29]]
49: [[10, 20], [25, 6], [5, 2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22, 17, 13], [23, 28], [21, 27, 26, 29]]
50: [[10, 20], [25, 6], [5, 2, 15, 19, 1, 18], [3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22, 17, 13], [23, 28], [21, 27, 26, 29]]
51: [[10, 20, 17, 13], [25, 6, 5, 2], [15, 19, 1, 3, 18], [12, 8, 4], [16, 24, 14, 7, 9, 11, 22], [23, 28], [21, 27, 26, 29]]
52: [[10, 20], [25, 6, 5], [2, 15, 19, 18], [1, 3, 12, 8, 13], [4, 16, 24, 14, 7, 9, 11, 17], [22, 23], [28, 21, 27, 26, 29]]
53: [[10, 20], [25, 6], [5, 2, 15, 19, 18], [1, 3, 12, 8, 4], [16, 24, 14, 7, 9, 11, 22, 17, 13], [23, 28], [21, 27, 26, 29]]
54: [[10, 20, 17, 13], [25, 6, 5], [2, 15, 19, 1, 18], [3, 12, 8, 4, 16], [24, 14, 7, 9, 11, 22, 23], [28, 21], [27, 26, 29]]
55: [[10, 20], [25, 6], [5, 2, 15, 19, 18], [1, 3, 12, 8, 13], [4, 16, 24, 14, 7, 9, 11, 22, 17], [23, 28], [21, 27, 26, 29]]
56: [[10, 20], [25, 6], [5, 2, 15, 19, 18], [1, 3, 12, 8, 13], [4, 16, 24, 14, 7, 9, 11, 22, 17], [23, 28], [21, 27, 26, 29]]
57: [[10, 17, 13], [20, 25, 6, 5], [2, 15, 19, 1, 3, 18], [12, 8, 4, 16], [24, 14, 7, 9, 11, 22, 23], [28, 21], [27, 26, 29]]
58: [[10], [20, 25, 6], [5, 2, 15, 19, 18], [1, 3, 12, 8, 13], [4, 16, 24, 14, 7, 9, 11, 17], [22, 23], [28, 21, 27, 26, 29]]
59: [[10, 20], [25, 6, 5, 2], [15, 19, 1, 3, 18], [12, 8, 4, 16], [24, 14, 7, 9, 11, 22, 23, 17, 13], [28, 21], [27, 26, 29]]
