0: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 24], [11, 15, 14, 17, 16, 10, 18], [9, 12, 23], [26, 19, 27, 20], [22, 28, 30], [25, 31], [29, 40, 32, 38, 37], [36, 34, 39, 33, 47, 42], [43, 41, 55, 45, 44, 48], [51, 53, 50, 52, 58], [54, 56, 59, 60], [49, 57]]
32: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5], [8], [12, 27, 15, 14, 9, 17, 10, 23, 11, 28, 20, 18, 16, 19, 22, 26, 24, 25, 29, 30, 31, 32, 34, 39, 36, 44, 33, 38, 42, 40, 37, 45, 43, 55, 47, 41, 48, 50, 52, 49, 51, 57, 53, 56], [58, 59, 54, 60]]
33: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5], [8], [24, 11, 14, 10, 25, 9, 15, 12, 18, 22, 16, 17, 19, 20, 26, 23, 28, 29, 27, 30, 31, 32, 34, 39, 36, 37, 42, 38, 45, 33, 43, 40, 51, 44, 47, 50, 41, 48, 49, 52, 57, 55, 53, 59], [56, 60, 54, 58]]
34: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5], [8], [24, 11, 15, 10, 9, 19, 27, 23, 12, 30, 16, 18, 17, 14, 22, 20, 28, 26, 25, 29, 31, 32, 34, 33, 36, 37, 41, 38, 42, 40, 39, 45, 43, 49, 47, 50, 44, 58, 51, 52, 48, 55, 53, 57], [56, 59, 54, 60]]
35: [[7, 35, 46, 2], [1, 3, 4, 13], [21, 6, 5, 8, 24, 11, 15], [12, 9, 25, 14, 19, 10, 31, 17], [18, 16, 30, 27, 23, 20, 26, 22, 29, 28, 32, 34], [39, 36, 37], [40, 38, 33, 42, 44, 41, 43], [50, 45, 47, 52, 51], [49, 54, 48, 56, 53, 57], [59, 58, 55, 60]]
36: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 8, 24, 9], [10, 12, 17, 19, 11, 30, 14, 31, 16, 15, 23, 18], [27, 26, 20, 22, 25, 29, 28, 32, 33], [36, 38, 40, 34], [37, 39, 42, 45, 41], [47, 52, 43, 59, 44, 51, 49, 53, 54, 56], [55, 50, 48, 57, 58, 60]]
37: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 10, 5, 9, 26, 6, 11, 8, 14, 15, 20, 12, 19, 18, 16, 17, 31, 22, 23, 27, 25, 24, 29, 30, 28, 40, 37, 36, 38, 34, 33, 32, 43, 39, 42, 41, 45], [44, 53], [49, 47, 55, 51, 54, 52, 59, 50, 48, 57], [56, 58, 60]]
38: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 9], [11, 15, 14, 28, 23, 10, 18], [16, 12, 17], [26, 20, 27, 19], [22, 24, 30], [25, 29], [31, 40, 33, 36, 37], [34, 38, 32, 39, 47, 42, 44], [43, 52, 45, 41, 48, 50, 49], [53, 54, 59, 51], [55, 57, 58, 60, 56]]
39: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21], [8, 25], [9, 15, 14, 12, 16, 10, 11], [17, 18], [20, 22, 30, 26, 19, 28, 23, 24, 31, 27, 29, 44, 37], [39, 34, 32, 42, 36, 38, 33, 40, 41, 45, 49, 47, 43, 48, 51, 55, 53, 50, 54, 52, 56, 58, 57, 59, 60]]
40: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5], [8, 26, 11, 9, 14, 10, 16, 15, 28, 18, 12], [17, 20, 19, 27, 22, 30, 24, 23, 25, 29, 31], [32, 36, 41, 33, 37, 34, 40, 43, 38, 39, 42, 47], [55, 44, 51, 45], [49, 53, 50, 52, 48, 58, 56, 59], [54, 57, 60]]
41: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21, 8, 24, 27, 15, 10, 16, 17, 9, 22, 14, 11, 12, 18, 31], [20, 30, 23, 29, 19, 25, 26, 28, 32, 37, 34, 38, 33, 40, 36, 42, 41, 47, 43, 45, 39, 44, 50, 55, 53, 51, 54, 60, 48, 49, 57, 56, 52, 59, 58]]
42: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 8, 28, 27, 15, 12, 10], [24, 22, 9, 18, 11, 14, 16, 20, 26, 17, 23], [19, 25, 29, 31, 30, 40, 37], [36, 33, 34, 32, 38, 39, 47, 43, 41], [42, 44, 59, 52, 60], [55, 50, 53, 45, 48, 57, 49, 51, 58, 54, 56]]
43: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5, 8, 25, 9, 10, 14, 11, 15], [12, 17, 20, 19, 18, 22, 16, 26, 24, 30, 27, 23, 31, 28, 29, 40, 36, 38, 33, 32, 34, 37, 44, 41, 47, 39, 43, 42, 59, 48, 45, 52, 50, 49, 53, 54, 57, 55, 51, 56, 58, 60]]
44: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 5, 6], [8, 24, 9, 10, 11, 30, 12, 14], [15, 19, 17, 31, 18], [20, 16, 22, 25, 28, 23, 26, 27, 29, 32], [37, 39, 38, 33, 42, 34, 41, 36], [47, 40, 43, 44, 45, 52, 49, 53, 51, 57, 55, 50, 54, 56, 48, 59, 58, 60]]
45: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 14, 24, 10, 9, 16, 26, 15, 12, 22, 18, 8, 11, 19, 20, 17, 25, 23, 28, 30, 31, 27, 29, 40, 38, 37, 36], [34, 33, 47, 45, 44, 32, 42, 58, 50, 39, 41, 48, 43, 49], [51], [52, 57, 59, 55, 56, 53, 54, 60]]
46: [[7, 35, 46, 2, 1, 3], [4, 13, 5], [6, 21, 26, 25], [11, 8, 10, 14, 23, 9, 20, 12], [16, 17, 19, 18, 15], [22, 29, 24, 31, 27, 40, 33, 44, 28, 30, 37, 42, 38, 32, 34, 36, 39, 43, 45, 50], [52, 47, 48, 51, 41, 53, 55, 49, 59, 56, 58, 54, 57, 60]]
47: [[7, 35, 46, 2, 1], [3, 4, 13], [21, 6, 5, 8, 9], [19, 15, 10, 12, 23, 14, 31, 24, 16, 17, 11, 20, 22, 25, 18], [26, 28, 27, 29, 53, 40, 34, 30, 32, 36, 39, 37, 33, 47, 38, 43, 42], [41, 44, 49, 52, 51, 45, 50, 48, 56, 54, 55, 59, 57, 58, 60]]
48: [[7, 35, 46, 2, 1], [3, 4], [13, 21, 6, 5, 8, 10], [11, 14, 15, 12, 18, 9, 31], [23, 16, 17, 19, 20, 24, 30], [22, 27, 25, 28], [26, 55, 38, 29, 37, 36, 34, 39, 33], [40, 45, 53, 43, 42, 49, 32, 41, 54, 50, 44, 47, 48, 52, 58, 51, 56, 60, 59, 57]]
49: [[7, 35, 46, 2, 1, 3, 4], [13, 5, 21, 6], [14, 24], [9, 10, 11], [8, 15, 12], [17, 20, 19, 31, 22, 27, 16, 26, 18], [23, 25, 28, 29, 30, 32, 34, 38, 37, 39, 40], [33, 44, 47, 36, 41, 43, 42, 53, 55, 45, 51, 48, 50, 52], [54, 56, 49, 57, 58, 60, 59]]
50: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5, 8], [27, 10, 9, 14, 11, 12, 15], [17, 23, 16, 18], [19, 22, 25, 28, 20, 24, 26, 29, 30], [31, 42, 33, 38, 37, 32, 34, 43, 47, 45, 36, 41, 44, 39, 51, 48, 40, 50, 49, 55], [57, 59, 54], [56, 53, 52, 58, 60]]
51: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5, 8], [24, 11, 15, 14, 10, 12, 9, 28, 31, 16, 17, 18], [22, 20, 23, 25, 19], [27, 26, 29, 30, 40, 32, 39], [44, 37, 33, 38, 41], [42, 36, 34, 43], [49, 47], [48, 45, 53, 51, 52, 54, 50, 55], [57, 58, 56, 60, 59]]
52: [[7, 35, 46, 2], [1, 3], [4, 13, 21, 6, 5, 8, 24, 27, 15, 14, 9, 12, 17, 10, 16, 18, 11, 19, 22, 20, 28, 23, 26, 30, 25, 31, 29, 32, 34, 39, 37, 33, 36, 38, 41, 43, 44, 40], [42, 55, 53, 51, 45, 54, 47, 48, 49, 58, 50, 56, 59, 52, 57, 60]]
53: [[7, 35, 46, 2], [1, 3, 4], [13, 5, 6, 21, 24, 16, 15], [8, 12, 10, 9, 14, 29, 17, 19, 22, 11, 30, 25, 20], [26, 28, 18, 31, 23, 27, 32, 38, 36, 33, 39, 37, 34, 41, 43, 44, 42, 40, 59, 45, 53, 47, 48, 50, 54, 51, 55, 56, 49, 57, 60, 52, 58]]
54: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5, 8, 16, 11, 14, 9, 12, 15, 10, 30], [31, 19, 23, 17, 18, 24, 28, 27, 20, 22, 26, 29, 25, 42, 34, 38, 33, 32, 36, 39, 43, 47, 37, 41, 40, 58, 44, 50, 45, 49, 52, 54, 51, 48, 56, 55, 57, 60, 53, 59]]
55: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 5, 11], [8, 24, 9], [14, 6, 15, 17, 10], [16, 12, 20, 18], [22, 19, 31, 30], [26, 28, 23, 25, 29, 27, 32, 37, 38, 36, 34, 33], [47, 39, 43, 41, 42, 40, 50, 44, 51, 45, 52], [49, 48, 55, 54, 58, 53, 56, 57, 59, 60]]
56: [[7, 35, 46, 2], [1, 3, 4, 13], [21, 6, 5], [8, 24, 26, 14, 9, 31, 15], [12, 10, 11, 16, 22, 19, 20, 28, 17, 23, 18, 30, 25, 29, 27, 40, 38, 34], [37, 36], [32, 41, 33, 47, 42, 43, 55], [48, 39, 49, 53, 44, 50, 45, 51, 52, 54, 59, 57, 58, 56, 60]]
57: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5], [10, 16], [11, 8, 12, 9, 19], [14, 15], [31, 18, 17, 22, 20, 25, 24, 28, 26], [23, 27, 30, 29, 32, 38, 33, 37, 36, 39, 43], [45, 34, 42, 40, 44], [41, 53, 60, 47, 48, 51, 52, 50, 57, 49], [55, 54, 56, 58, 59]]
58: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5, 8, 24, 11, 10, 12, 14, 15, 22, 9], [17, 23, 16, 19, 18, 26, 20, 30], [29, 31, 27, 28, 25, 32, 36], [38, 33, 34], [41, 39, 37, 42], [45, 43, 47, 58, 44, 40, 48, 51], [52, 50, 53], [55, 54, 57, 49, 56, 59, 60]]
59: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 8, 24, 27, 10, 11, 25, 16, 15, 14, 9, 18, 19, 20, 12, 17, 23, 22, 30, 26, 29], [31, 28, 40, 38, 34, 39, 36, 37, 41, 32, 33, 45, 42], [43, 44, 47, 49], [55, 51, 58, 48, 52, 56, 50, 53], [54, 59, 57, 60]]
60: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5, 8, 27, 11, 14, 12, 10, 15, 9, 23, 17], [18, 19, 16, 20, 25, 24, 26, 22, 28, 30, 29, 31, 40], [36, 38, 37, 33, 42, 32, 34, 45, 44, 39, 41], [48, 47, 49, 51, 53, 43, 54, 58, 50, 52, 56, 55, 60, 59, 57]]
61: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5], [8, 26, 9], [10, 14, 15, 18, 12], [16, 11, 20, 19], [22, 17, 24, 25, 23], [27, 30, 28, 29, 31, 40, 37, 39, 32, 33, 42, 36], [34, 38, 41, 43], [47, 51, 45], [44, 49, 48, 55], [54, 53, 50, 58, 52, 57, 56, 59, 60]]
62: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 8, 24, 15], [11, 12, 10, 14, 9, 17, 18, 19, 16, 22, 20, 25, 23], [27, 26, 30, 29, 28, 31, 40, 34, 36, 37, 32, 41, 33, 38, 47, 39, 42, 43, 49, 45, 44, 48, 51, 52, 54, 58, 50, 53, 57, 55, 56, 59, 60]]
63: [[7, 35, 46, 2], [1, 3, 4], [13, 21, 6, 5, 8, 28, 9, 15, 11, 27, 10, 14, 12, 19, 16, 18, 20, 22, 17, 23, 24, 25, 26, 29, 31, 30, 34, 33, 38, 37, 32, 36, 39, 43, 41, 44, 40, 42, 47, 45, 52, 49, 50, 53, 51, 54, 59, 48, 56, 57, 55, 58, 60]]
64: [[7, 35, 46, 2], [1, 3, 4], [13, 22, 6, 5, 8, 26, 11, 9, 14, 15, 12, 10, 18, 19, 20, 17, 16, 24, 25, 21, 23, 28, 27, 29, 31, 30, 32, 36, 38, 33, 37, 39, 45, 47, 34, 44, 42, 40, 43, 41, 57, 50, 48, 52, 53, 51, 49, 54, 56, 55, 60, 58], [59]]
65: [[7, 35, 46, 2, 1], [3, 4, 13, 5, 21, 6], [16, 24], [27, 11, 14, 12, 8, 10], [9, 19, 20, 15, 17, 22, 23, 26], [18, 28, 25], [29, 31, 30], [40, 34, 38, 36, 33, 41, 39, 32, 37, 47], [43, 42, 44], [45, 48, 49, 51, 58, 53, 52, 50, 54, 59, 55, 56, 57, 60]]
66: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5], [8, 24, 11, 15, 10], [9, 18, 27, 12], [25, 30], [19, 14, 22, 16, 20, 17, 28, 23, 26, 31, 29, 32, 34, 33, 37, 36, 41, 39, 44, 43, 38, 40, 42, 49, 45, 50, 48, 58, 47, 52, 51, 53, 54, 57, 59, 60, 55, 56]]
67: [[7, 35, 46, 2, 1, 3, 4], [13, 21, 6, 5, 8], [24], [11, 10, 12, 9, 15, 22, 18], [14, 19, 16, 23, 28], [17, 25, 26, 29, 27, 20, 31], [30, 40, 33, 38], [37, 36, 32], [34, 41, 39, 42], [43, 47, 45, 53], [48, 44, 54, 50, 49, 52, 58, 51, 59], [55, 56, 57, 60]]
68: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6], [5, 8, 24, 11], [9, 14, 26, 18, 15, 10, 12, 25, 16], [27, 23, 30, 17], [22, 20, 28, 19, 29, 31, 32, 47, 38, 36], [34, 33, 37, 40, 44, 43, 39, 41, 42, 53, 48, 45, 51, 49, 52, 60, 50, 55], [59, 54, 56, 58, 57]]
69: [[7, 35, 46, 2, 1, 3], [4, 13, 21, 6], [5, 8, 28, 25, 10, 12, 11, 26, 27, 9, 17, 16], [15, 23, 14, 31, 18, 19, 20, 22, 29, 24, 30, 40, 37, 33, 36, 32, 38], [43, 39, 41, 34, 45, 44, 42, 51, 47, 48, 49, 55, 52, 50, 54, 56, 53], [57, 58, 59, 60]]
70: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 5, 6, 8, 28, 24, 11, 12, 9], [10, 23, 14, 17, 19], [16, 20, 15, 30, 22, 18], [25, 26, 27, 29, 31, 42, 38, 33, 37, 34, 39, 43, 32, 44, 45, 36, 40, 41], [49, 47, 48, 50, 59, 51, 55, 56, 54, 57, 53, 52, 58, 60]]
71: [[7, 35, 46, 2], [1, 3, 4, 13, 21, 6, 5], [10], [24, 11, 8, 12, 14, 19], [28, 22, 15, 17, 23, 18, 16, 9, 26, 20, 27, 25, 29, 30, 31, 32, 34, 33, 36], [37, 41, 38, 45, 40, 39, 42, 43, 48, 47], [52, 44, 60, 51, 50, 55, 49, 53, 57, 56, 58, 54, 59]]
72: [[7, 35, 46, 2, 1], [3, 4, 13], [21, 6, 5, 10, 24, 8, 15], [14, 9, 23, 11, 28, 17, 19, 16, 12, 18, 22, 20, 26, 25, 29, 27, 30, 31, 44, 37, 32, 34, 33, 39, 36, 38, 41, 40, 43, 42, 45, 47, 59, 49, 57, 55, 51, 48, 50, 54], [52, 58, 53, 56, 60]]
73: [[7, 35, 46, 2, 1], [3, 4, 13, 21, 6, 5], [8, 24, 11, 9, 14, 10, 12], [15, 27, 19], [20, 16, 18, 23, 22, 17, 26, 25, 28, 31], [29, 30, 40, 39, 38, 36, 32, 42, 37, 33, 44, 34, 41, 43, 50, 53, 51, 45], [47, 49, 54, 48, 56], [57, 59, 52, 55, 58, 60]]
