0: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 25, 20, 27, 21, 24, 28, 26]]
37: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 20, 21, 27, 25, 28, 26]]
38: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 28, 20, 25, 27, 26, 29, 24]]
39: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 20, 25, 24, 27, 26, 28, 29]]
40: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 24, 29, 20, 25, 27, 26, 28]]
41: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [20, 24, 26, 14, 25, 21, 27, 29, 28]]
42: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 26, 20, 21, 27, 25, 28]]
43: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 21, 25, 20, 26, 27, 28]]
44: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 25, 26, 21, 20, 28, 24, 29, 27]]
45: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 20, 27, 28, 21, 26, 25, 24, 29]]
46: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 21, 20, 27, 26, 25, 28]]
47: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 24, 20, 25, 21, 27, 26, 28]]
48: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 20, 28, 26, 24, 25, 27, 29]]
49: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 24, 20, 25, 26, 27, 28, 29]]
50: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [24, 21, 20, 29, 26, 25, 27, 14, 28]]
51: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 25, 21, 20, 24, 27, 29, 28, 26]]
52: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 21, 25, 24, 26, 27]]
53: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 24, 27, 20, 21, 25, 28, 26, 29]]
54: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 28, 20, 21, 26, 24, 25, 29, 27]]
55: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 21, 26, 24, 25, 28, 27]]
56: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 26, 21, 24, 27, 25]]
57: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 21, 20, 29, 26, 24, 27, 25, 28]]
58: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 20, 21, 26, 25, 24, 28, 27]]
59: [[19, 2, 5, 1, 6, 16, 10], [15, 7, 4, 3, 8, 11, 12], [13, 17, 9, 22, 18, 23], [14, 29, 28, 20, 21, 27, 24, 25, 26]]
