0: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 24, 10], [9, 13, 17], [14, 22, 12, 23, 18], [25, 20], [21, 27, 26, 29]]
14: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1, 3], [4, 11, 10], [17, 26, 12], [9, 14, 13, 18, 24, 22, 23, 20], [27, 21, 29, 25]]
15: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 10], [9, 11, 25, 13], [12, 14, 18, 17, 23, 20, 21, 22, 27, 24, 26, 29]]
16: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [11, 25, 13], [9, 18, 22], [20, 10, 12], [17, 23, 21, 26, 27, 24, 29, 14]]
17: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [11, 24, 10, 13, 9], [12, 14, 21, 18], [23, 20, 17, 22, 29, 27, 26, 25]]
18: [[19, 16, 6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11], [24, 10, 12, 9], [13], [14, 18, 17, 22, 23, 29, 21, 26, 27, 25, 20]]
19: [[19, 16], [6, 28, 2, 5, 15, 7], [8, 1, 3, 4, 10], [24, 11, 14, 9], [17, 13, 22, 12, 20, 18, 21, 25], [23, 27, 26, 29]]
20: [[19, 16], [6, 28, 2], [5, 15, 7, 8, 1, 3, 4, 11, 24, 12], [9, 13, 27, 18, 21, 10], [17, 25, 20], [23, 29, 26, 22, 14]]
21: [[19, 16], [6, 28, 2, 5], [15, 7, 8], [1, 3, 4, 11, 24, 10, 9, 13, 12, 14, 26, 17, 20, 23, 25, 29, 18, 21, 22, 27]]
22: [[19, 16], [6, 28, 2, 5], [15, 7], [8, 1, 3, 4, 11, 12, 9], [10, 13], [20, 29], [18, 14, 22, 17], [25, 24, 21], [27, 23, 26]]
23: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 24], [9, 13, 10, 20, 14, 22, 12, 23, 18, 25, 17, 21, 27, 26, 29]]
24: [[19, 16], [6, 28, 2, 5], [15, 7], [8, 1], [3, 4], [11, 9, 26, 22], [12, 14, 13, 10, 17, 20, 18, 21, 29, 25, 23, 24, 27]]
25: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11], [12, 18, 26, 10], [14, 13, 9, 17], [22, 20, 21, 24, 23, 27, 25, 29]]
26: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11], [24, 9, 10], [13, 18, 26, 20, 21, 29, 17, 12, 22, 14], [27, 23, 25]]
27: [[19, 16], [6, 28, 2, 5, 15, 7], [8, 1, 3, 4, 10], [24, 9, 12, 11], [14, 13, 22, 17], [21, 18, 20, 26, 25, 27, 29, 23]]
28: [[19, 16], [6, 28, 2, 5], [15], [7, 8, 1, 3, 4, 11, 13, 10, 12, 9, 21], [14, 18, 22, 20, 23, 25, 24, 17, 27, 26, 29]]
29: [[19, 16], [6, 28, 2, 5], [15, 7], [8, 1, 3, 4], [11, 24, 10], [9, 12, 14, 13], [22, 18], [21, 17, 20, 25], [23, 26, 27, 29]]
30: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1, 3], [4, 11, 24, 10], [9, 13, 18, 14, 22, 12, 21, 17, 25, 20, 23, 27, 26, 29]]
31: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 10], [9, 11, 25, 13], [12, 14, 18, 17], [23, 20, 21, 22, 24, 27, 26, 29]]
32: [[19, 16, 6], [28, 2], [5, 15, 7, 8, 1, 3, 4], [11, 24, 13, 10], [14, 9, 12, 18, 20, 23, 22], [21, 17], [29, 27, 26, 25]]
33: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [11, 13], [10, 9, 14, 21, 12, 22, 18, 20, 23, 25, 24, 17, 27], [26, 29]]
34: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [11, 25], [10, 13, 9, 17], [14, 22], [12, 23, 20, 24, 18, 21, 27, 26, 29]]
35: [[19, 16, 6, 28], [2, 5, 15, 7, 8, 1, 3, 4], [11, 9, 18, 25, 13, 12, 14, 10], [17, 23, 22], [21, 20, 27, 24, 26, 29]]
36: [[19, 16, 6, 28, 2], [5, 15, 7, 8], [1, 3], [4, 11, 24, 10, 9], [12, 21, 13, 14], [18, 17, 22, 23, 27], [26, 20, 25, 29]]
37: [[19, 16], [6, 28, 2, 5, 15], [7, 8, 1, 3, 4, 11], [24, 9, 17, 14], [13, 21, 18, 10], [20, 25, 12], [23, 27, 26, 29, 22]]
38: [[19, 16, 6, 28], [2, 5, 15, 7], [8, 1, 3, 4], [11, 24, 13, 12], [10, 14, 20, 17], [9, 23, 18, 21, 22], [25, 29, 26, 27]]
39: [[19, 16, 6, 28, 2, 5, 15, 7, 8], [1, 3, 4, 10, 24, 14, 9, 12, 13, 11, 26, 21], [23, 18, 17, 27, 20, 22, 25, 29]]
40: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4], [10, 24, 11, 9], [13, 12, 14, 17], [20, 18], [23, 26, 21, 25], [27, 22, 29]]
41: [[19, 16], [6, 28, 2], [5, 15], [7, 8, 1, 3], [4, 11, 12, 10, 9, 13, 17, 18, 20, 14, 23, 22, 25, 26, 21, 27, 24, 29]]
42: [[19, 16], [6, 28], [2, 5, 15, 7, 8], [1, 3, 4, 11, 24, 10, 9, 12, 17, 14, 22, 13, 18, 20, 25, 21, 23, 27, 29, 26]]
43: [[19], [16, 6, 28, 2, 5, 15, 7, 8, 1, 3, 4, 11, 25, 9, 10, 13, 20, 12, 14, 17, 22, 18, 21, 23, 26, 27, 24, 29]]
44: [[19, 16, 6, 28], [2, 5], [15, 7, 8, 1], [3, 4, 11, 24, 13, 9, 10], [12, 14], [18, 22, 20, 17], [25, 23, 21, 27, 26, 29]]
45: [[19, 16, 6], [28, 2, 5, 15, 7], [8, 1, 3, 12, 11, 24], [4, 14, 10, 25, 9, 22, 13], [23, 17, 21, 20, 18, 27, 29, 26]]
46: [[19], [16, 6, 28, 2, 5, 15, 7, 8, 1, 3, 4, 11, 25, 9, 10, 13, 22, 12, 14, 17, 18, 20, 21, 23, 26, 24, 27], [29]]
47: [[19, 16, 6], [28, 2], [5, 15, 7], [8, 1, 3, 4], [11, 24, 13, 12], [10, 9, 14], [20, 17, 23], [18, 21, 22], [25, 27, 26, 29]]
48: [[19, 16], [6, 28, 2, 5], [15, 7], [8, 1, 3], [4, 11], [9, 26, 22, 12], [13, 14], [10, 18, 20, 24], [21, 29, 17, 23, 25, 27]]
49: [[19, 16], [6, 28, 2, 5, 15], [7, 8, 1], [3, 4, 11, 24, 14], [9, 13], [10, 12, 26, 20], [23, 18, 21, 17, 22, 27, 25, 29]]
50: [[19, 16], [6, 28, 2, 5, 15, 7], [8, 1, 3, 4], [11, 25], [10, 9, 13, 12], [14, 18], [17, 22, 21, 23, 24, 26, 29, 20, 27]]
51: [[19, 16], [6, 28, 2, 5], [15, 7, 8], [1, 3, 4, 11], [24, 9, 10, 12], [13, 14, 25, 17], [27, 21, 23, 18], [20, 29, 22, 26]]
52: [[19, 16], [6, 28, 2, 5], [15, 7, 8, 1], [3, 4, 11, 24], [10, 9, 14], [12, 13, 23, 18, 21], [17, 20, 22, 25, 27, 26], [29]]
53: [[19, 16], [6, 28], [2, 5, 15, 7, 8], [1, 3, 4, 11, 24, 13, 10, 9, 12, 14, 25, 21, 18, 22], [23, 20, 17, 26, 27, 29]]
54: [[19, 16], [6, 28, 2, 5], [15, 7], [8, 1, 3], [4, 11], [24, 9, 10, 14, 12], [13, 27], [18, 17, 22, 25], [21, 20, 23, 26, 29]]
55: [[19, 16, 6], [28, 2, 5, 15, 7], [8, 1, 3], [4, 11], [13, 10, 9, 14], [21, 12, 18, 26, 20, 22, 23, 24, 17, 29, 25, 27]]
56: [[19, 16], [6, 28, 2, 5, 15, 7, 8], [1, 3], [4, 11, 9, 18], [25, 13], [10, 12, 14, 20], [27, 23, 17, 24, 21, 26, 22, 29]]
57: [[19, 16, 6, 28, 2], [5, 15], [7, 8, 1, 3], [4, 11, 24], [10, 9], [13, 21, 14, 12, 18], [17, 22, 23, 20, 27, 25, 26, 29]]
58: [[19, 16, 6, 28], [2, 5, 15, 7], [8, 1, 3], [4, 12, 9], [26, 11, 13, 10], [14, 17, 18], [20, 21, 22, 24], [27, 23, 25, 29]]
59: [[19, 16, 6], [28, 2, 5, 15], [7, 8, 1, 3], [4, 11], [24, 10, 9, 12], [14, 13], [18, 20], [21, 17, 25, 22], [26, 27, 23, 29]]
