0: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
45: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
46: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
47: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
48: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
49: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
50: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
51: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
52: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
53: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
54: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
55: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
56: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
57: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
58: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
59: [[2, 18, 20, 24], [6, 5, 25, 1], [4, 11, 3, 12, 22], [7, 19, 8, 17, 9, 13, 10], [16, 15, 29, 23, 14], [27, 21, 26, 28]]
