0: [[21, 24, 23], [8, 7, 12, 13, 6, 14], [15, 18], [20, 4, 3, 22, 5, 10], [17, 11, 16], [1, 2, 19, 9]]
38: [[21, 24, 23], [8, 7, 12], [13, 15, 18], [20, 4], [3, 22, 5, 6], [10, 17, 11, 14], [16, 1, 2, 19, 9]]
39: [[21, 24, 23], [8, 7, 12, 14], [13, 15, 18], [20, 4, 3, 22], [5, 10, 17, 11, 6], [16, 1, 9], [2, 19]]
40: [[21, 24, 23], [8, 7, 12, 13, 6], [15, 18, 20, 4], [3, 22, 5], [10, 17, 11, 14], [16, 1, 2, 19, 9]]
41: [[21, 24, 23, 9], [6, 14, 8], [7, 12, 13], [15, 18, 20, 4, 3, 22], [5, 10, 17, 11, 16, 1, 2, 19]]
42: [[21, 24, 23, 9], [6, 14, 8], [7, 12, 13], [15, 18, 20, 4], [3, 22, 5, 10, 17, 11, 16, 1, 2, 19]]
43: [[21, 24, 23, 9], [14, 6, 8], [7, 12, 13], [15, 18, 20, 4, 3, 22, 5, 10, 17, 11, 16, 1, 2], [19]]
44: [[21, 24], [23, 9, 6], [14, 8, 7], [12, 13, 15, 18, 20, 4, 3, 22, 5, 10, 17], [11, 16, 1, 2, 19]]
45: [[21, 24, 23, 9], [14, 6, 8], [7, 12, 13, 15, 18, 20, 4], [3, 22], [5, 10, 17, 11, 16, 1, 2, 19]]
46: [[21, 24], [23, 9, 6], [14, 8], [7, 12, 13, 15, 18, 20], [4, 3, 22, 5, 10, 17, 11, 16, 1, 2, 19]]
47: [[21, 24], [23, 9, 6], [14, 8, 7, 12], [13, 15, 18], [20, 4, 3, 22], [5, 10, 17, 11, 16, 1, 2, 19]]
48: [[21, 24], [23, 9, 6, 14, 8, 7, 12, 13, 15, 18, 20, 4, 3, 22, 5, 10, 17, 11, 16, 1], [2, 19]]
49: [[21, 24, 23, 9, 6, 14, 8, 7, 12, 13, 15], [18], [20, 4, 3, 22, 5, 10, 17, 11, 16, 1, 2, 19]]
