0: [[1, 11, 2, 5, 6], [7, 3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21, 20], [22, 27, 24], [25, 26, 28], [31, 34], [30, 33, 32], [35, 37]]
25: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24, 25], [26, 28], [31, 34, 30], [33, 32, 35, 37]]
26: [[1, 11], [2, 5], [6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26, 28, 31], [34, 30, 33], [32, 35, 37]]
27: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19, 23], [21, 20], [22, 27, 24], [25, 26], [28, 31, 34, 30, 33, 32, 35, 37]]
28: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27, 24], [25, 26], [28, 31], [34, 30, 33], [32, 35, 37]]
29: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20, 22], [27, 24], [25, 26], [28, 31, 34], [30, 33], [32, 35, 37]]
30: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21], [20, 22], [27, 24, 25], [26, 28, 31, 34], [30, 33], [32, 35, 37]]
31: [[1, 11, 2], [5, 6, 7], [3], [17, 9, 4], [36, 18, 10], [14, 12, 8], [15, 29, 13], [16, 19, 23], [21, 20, 22], [27, 24, 25], [26, 28, 31, 34], [30, 33, 32, 35], [37]]
32: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4], [36, 18, 10], [14, 12, 8], [15, 29], [13, 16], [19, 23, 21], [20, 22, 27, 24], [25, 26, 28], [31, 34, 30], [33], [32, 35, 37]]
33: [[1, 11, 2], [5, 6, 7], [3, 17], [9, 4, 36, 18], [10, 14], [12, 8, 15, 29], [13, 16, 19], [23, 21, 20, 22], [27, 24], [25, 26, 28, 31], [34, 30, 33, 32, 35, 37]]
34: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14], [12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
35: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29, 13], [16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
36: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21], [20, 22, 27], [24, 25], [26, 28], [31, 34, 30], [33, 32, 35, 37]]
37: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29, 13], [16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
38: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21], [20, 22, 27], [24, 25, 26], [28, 31, 34], [30, 33, 32], [35, 37]]
39: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27], [24, 25, 26], [28, 31, 34, 30], [33, 32, 35], [37]]
40: [[1, 11, 2], [5, 6, 7], [3, 17], [9, 4, 36], [18, 10, 14], [12, 8], [15, 29, 13], [16, 19, 23], [21, 20], [22, 27, 24, 25], [26, 28], [31, 34, 30], [33, 32, 35, 37]]
41: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12, 8], [15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
42: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16], [19, 23, 21], [20, 22, 27], [24, 25], [26, 28, 31], [34, 30, 33, 32], [35, 37]]
43: [[1, 11], [2, 5, 6], [7, 3], [17, 9, 4], [36, 18, 10], [14, 12, 8], [15, 29, 13], [16, 19, 23], [21, 20, 22], [27, 24, 25], [26, 28, 31, 34], [30, 33, 32, 35], [37]]
44: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29, 13], [16, 19, 23], [21, 20, 22], [27, 24, 25, 26], [28, 31, 34, 30, 33, 32, 35, 37]]
45: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20], [22, 27], [24, 25], [26, 28, 31], [34, 30, 33, 32, 35], [37]]
46: [[1, 11, 2, 5, 6], [7, 3, 17, 9], [4, 36, 18, 10, 14, 12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35], [37]]
47: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21], [20, 22, 27], [24, 25, 26, 28], [31, 34, 30, 33, 32, 35, 37]]
48: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12, 8], [15, 29, 13, 16], [19], [23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
49: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16], [19, 23, 21], [20, 22, 27], [24, 25, 26], [28, 31], [34, 30, 33], [32, 35, 37]]
50: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14], [12, 8], [15, 29, 13], [16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
51: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12, 8], [15, 29, 13], [16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
52: [[1, 11, 2], [5, 6, 7], [3, 17, 9, 4], [36, 18, 10], [14, 12, 8], [15, 29, 13], [16, 19, 23, 21], [20, 22, 27], [24, 25, 26], [28, 31], [34, 30], [33, 32, 35], [37]]
53: [[1, 11], [2, 5], [6, 7, 3], [17, 9, 4], [36, 18, 10], [14, 12, 8], [15, 29, 13], [16, 19, 23], [21, 20, 22], [27, 24, 25], [26, 28, 31], [34, 30, 33], [32, 35, 37]]
54: [[1, 11], [2, 5], [6, 7, 3], [17, 9, 4], [36, 18, 10], [14, 12, 8], [15, 29, 13], [16, 19, 23], [21, 20, 22], [27, 24, 25], [26, 28, 31], [34, 30, 33], [32, 35, 37]]
55: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36], [18, 10, 14], [12, 8, 15, 29], [13, 16, 19], [23, 21], [20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
56: [[1, 11, 2], [5, 6, 7], [3, 17], [9, 4, 36, 18], [10, 14, 12], [8, 15, 29, 13], [16, 19, 23], [21, 20, 22], [27, 24, 25], [26, 28, 31], [34, 30, 33], [32, 35, 37]]
57: [[1, 11, 2], [5, 6], [7, 3, 17], [9, 4], [36, 18, 10, 14, 12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
58: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12, 8], [15, 29, 13], [16, 19, 23], [21, 20], [22, 27], [24, 25, 26], [28, 31, 34, 30, 33, 32, 35, 37]]
59: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16, 19], [23, 21], [20, 22], [27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
60: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4, 36], [18, 10, 14, 12], [8, 15], [29, 13, 16], [19, 23, 21], [20, 22, 27], [24, 25, 26], [28, 31, 34], [30], [33, 32, 35], [37]]
61: [[1], [11, 2], [5, 6, 7, 3, 17, 9, 4, 36, 18, 10, 14, 12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
62: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4, 36], [18, 10, 14], [12, 8, 15], [29, 13, 16], [19, 23, 21, 20], [22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
63: [[1, 11, 2], [5, 6, 7], [3], [17, 9, 4, 36], [18, 10], [14, 12, 8], [15, 29], [13, 16], [19, 23, 21], [20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
64: [[1, 11, 2], [5, 6, 7], [3, 17, 9, 4, 36, 18, 10, 14, 12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
65: [[1, 11, 2], [5, 6, 7], [3, 17], [9, 4, 36], [18, 10, 14], [12, 8], [15, 29, 13], [16, 19, 23], [21, 20], [22, 27, 24, 25], [26, 28, 31, 34, 30, 33, 32, 35, 37]]
66: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4], [36, 18, 10], [14, 12], [8, 15, 29], [13, 16], [19, 23], [21, 20, 22], [27, 24, 25], [26, 28, 31, 34], [30, 33, 32], [35, 37]]
67: [[1, 11, 2, 5], [6, 7, 3], [17, 9, 4, 36, 18, 10, 14, 12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
68: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4], [36, 18, 10], [14, 12, 8], [15, 29, 13], [16, 19, 23], [21, 20, 22], [27, 24, 25], [26, 28, 31], [34, 30, 33], [32, 35, 37]]
69: [[1, 11], [2, 5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12], [8, 15, 29], [13, 16], [19, 23, 21], [20, 22], [27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
70: [[1, 11], [2, 5, 6], [7, 3, 17, 9, 4, 36, 18, 10, 14, 12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
71: [[1, 11], [2, 5, 6], [7, 3, 17], [9, 4], [36, 18, 10], [14, 12], [8, 15, 29], [13, 16, 19], [23, 21, 20, 22], [27, 24, 25], [26, 28, 31], [34, 30, 33], [32, 35, 37]]
72: [[1, 11, 2], [5, 6, 7, 3], [17, 9, 4, 36, 18, 10, 14, 12, 8, 15, 29, 13, 16, 19, 23, 21, 20, 22, 27, 24, 25, 26, 28, 31, 34, 30, 33, 32, 35, 37]]
73: [[1, 11, 2], [5, 6, 7], [3, 17, 9], [4, 36, 18], [10, 14, 12, 8], [15, 29], [13, 16, 19], [23, 21, 20, 22], [27, 24, 25], [26, 28, 31, 34, 30, 33, 32, 35, 37]]
