0: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 5, 6, 21], [8, 16, 9, 12, 30, 24], [23, 17, 11, 14, 15, 10, 18], [22, 28], [25, 31, 19, 20, 26, 27, 29, 32], [36, 60, 33, 37, 34, 40], [41, 38, 44, 45], [39, 42, 43, 46, 55, 47, 52], [48, 50, 54, 51, 53, 56, 59, 58]]
15: [[49, 57], [1, 7, 35, 2, 3, 4], [13, 21, 5, 6], [10, 12, 30, 15], [11, 31], [8, 24, 9, 27, 18, 16, 22, 20, 14, 17, 28, 19, 25, 23, 26, 29, 32, 36, 33, 43, 37, 34, 41, 44, 42, 38, 47], [40, 45, 39, 55, 58, 48, 53, 50, 46, 51, 54, 52], [56, 59, 60]]
16: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [8, 12, 11, 14, 31], [15, 29, 16, 9, 26, 10, 18, 22, 19, 23, 17, 24, 20, 27, 25, 28, 30, 33, 32, 42, 36, 34, 43, 46, 44], [47, 37, 38, 39, 41, 40, 50, 54, 48], [45, 52, 51, 55, 53, 56, 58, 59, 60]]
17: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 9], [20, 8, 11, 12, 10, 30], [14, 25, 15, 16, 5, 18, 17, 23, 19, 22, 28, 24, 29, 26, 27, 31, 32], [34, 36, 37, 33, 38, 42, 40, 46, 39, 41, 43, 44, 47, 59, 55, 45, 54, 52, 48, 51, 50, 53, 58, 56, 60]]
18: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5], [14, 12, 9, 24], [11, 6], [22, 28, 8], [10, 16, 17, 15, 18, 23, 19, 20], [25, 27, 26], [29, 31, 30, 33], [32, 52, 39, 36, 44, 46, 45, 37, 40], [41, 42, 43, 47], [48, 56, 34, 59, 54, 38, 51, 50, 55, 53, 58, 60]]
19: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5], [6, 28, 8, 9, 10, 11, 14], [31, 17, 24, 20, 12, 15, 19], [22, 16, 18, 25, 30, 27, 23, 26, 29], [33, 32, 36, 34, 42, 38, 37, 45], [40, 41, 46, 39, 43, 44, 58, 52, 47], [48, 55, 53, 50, 56], [54, 51, 59, 60]]
20: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 5, 14, 6, 8, 10, 25, 11, 9, 27, 12, 21, 15], [28, 18, 16, 30, 24, 17, 19, 22, 20, 29, 23, 31, 26, 33, 32, 40, 37, 36, 34, 47, 45, 38, 46, 39, 43, 41, 51, 42, 52, 44, 50, 48, 54], [58, 55, 53, 59, 56, 60]]
21: [[49, 57], [1, 7, 35, 2, 3], [4, 13, 21, 6, 5], [26, 8, 9, 12, 11, 15, 14, 19, 31, 17, 18, 20, 10, 22, 27], [29, 16, 23, 25, 24, 28, 30, 32, 42, 44], [41, 47, 34, 38], [33, 40], [36, 37, 45, 39], [43, 54, 46, 56], [48, 50, 55, 51], [60, 52, 59, 53], [58]]
22: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 21, 6, 5, 11], [10, 8, 12, 9, 14, 28], [15, 16, 23, 17, 18], [20, 19, 22, 24, 31, 27, 26, 29, 30, 25, 38], [32, 45, 33, 37, 44, 47, 39, 42, 40, 41, 36, 43, 46, 48, 54, 52, 50, 34, 51, 53, 55, 60, 56, 59, 58]]
23: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 15, 20, 16, 5, 10, 6, 8], [14, 25], [9, 27, 12, 11], [19, 18], [23, 17, 22, 26, 28], [24, 31, 29, 30, 33, 37, 48, 34, 52], [42, 47, 44, 46, 38, 40, 32, 41, 39, 43, 36, 45, 54, 55, 50, 53, 58, 60, 56, 51, 59]]
24: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5], [28, 15, 8, 9, 14, 26, 30, 10, 23, 17, 19, 25, 22, 24, 11], [12, 16], [18, 20, 27, 29, 31, 32, 36, 34, 39, 37, 40, 44, 38, 42, 33, 43, 45, 46, 41, 60, 47, 48, 50, 53, 54, 52, 51, 59, 58, 55, 56]]
25: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 15], [16, 5], [8, 14], [11, 9, 10, 17, 18, 26, 12, 22, 27, 19, 20, 23, 29, 25, 24, 28], [31, 30], [33, 38], [32, 37, 47, 34, 42, 44, 36, 39, 41, 40, 43, 45, 46, 55, 48, 50, 60, 54, 59], [52, 51, 56, 53, 58]]
26: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 22], [6, 9, 10, 14, 8, 25, 30, 16, 11, 31, 12, 20, 15, 17, 18, 23, 19, 26, 27], [24, 28, 29, 36, 38, 37, 34, 40, 33, 32, 44, 46, 39, 41, 45, 42, 43, 47, 55, 50, 51, 52, 54, 48, 53, 56, 59, 58, 60]]
27: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 22], [6, 9, 10, 14, 8, 25, 30, 16, 11, 31, 12, 20, 15, 17, 18, 23, 19, 26, 27], [24, 28, 29, 36, 38, 37, 34, 40, 33, 32, 44, 46, 39, 41, 45, 42, 43, 47, 55, 50, 51, 52, 54, 48, 53, 56, 59, 58, 60]]
28: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 5, 6, 21, 28], [8, 9, 14, 31, 26, 10, 17, 27], [12, 11, 18, 20, 22, 15, 16, 24, 23, 25, 19, 30, 29, 32, 37, 60, 33, 34, 42, 40, 41, 38, 36, 45, 39, 43, 44, 47, 46, 51, 48, 54, 50, 55, 53, 52, 56, 59, 58]]
29: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6, 10], [11, 8, 15, 9, 27, 26, 20, 12, 14, 17, 28, 16, 22, 18, 23, 24, 19, 30, 25, 29], [31, 32], [34, 36, 45, 33, 40], [38, 39], [47, 44, 43, 37, 41, 42, 58, 46, 48, 52, 55, 50], [53, 54, 56, 59, 51, 60]]
30: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 15, 22, 8, 29, 14, 10, 11, 5, 6, 16, 17, 26, 9, 12, 18, 23, 19, 20, 24, 30], [27, 25, 28, 31], [33, 32, 42, 37, 36], [43, 47, 44], [34, 39, 38, 40, 41, 45, 50, 54, 56], [46, 48, 51, 55, 53, 52, 58, 59, 60]]
31: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 21, 6, 5], [8, 9, 15, 10, 11, 14, 30, 29, 12], [20, 18, 17, 23, 24, 16], [25, 26, 19, 28, 22, 27, 31, 37, 47], [32, 44], [40, 33, 41, 34, 36, 38, 43], [45, 42, 46, 50, 39, 48, 54], [55, 51, 52, 53, 58, 56, 59, 60]]
32: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 5, 6, 21], [26, 24, 9, 14, 10, 8], [31, 17, 11, 30, 15, 12, 19], [22, 28], [16, 18, 20, 29, 27, 23, 25, 32], [38, 60, 36, 34, 46, 33], [40, 41, 45, 47], [39, 42, 44, 58, 43, 37, 52], [48, 50, 53, 51, 59, 54, 55, 56]]
33: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 23, 14, 5, 28, 11, 30, 15, 9, 6, 25, 8, 10, 12, 18, 27, 22, 16, 17, 19, 20, 21, 26, 24, 29, 31, 32, 33, 44, 39], [38, 56, 42, 37, 34, 36], [41, 40, 43, 47, 45, 46, 50, 58, 52, 54, 48, 51, 55, 60, 53, 59]]
34: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [14, 24], [10, 15, 31, 26], [8, 27], [9, 20, 12], [11, 17, 29, 16, 23, 18], [19, 22, 25, 28, 30, 32, 34, 44], [33, 37, 42, 38, 36, 46, 39, 45, 40, 43, 41], [51, 53, 47, 54, 48, 50, 55, 58, 60, 56, 59, 52]]
35: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 21], [5, 6, 15, 8], [24, 14, 11, 9, 10, 16, 17, 19, 12, 18], [26, 25, 20, 22, 23, 27, 28, 31, 30, 29, 37, 34, 40, 32, 36, 33, 38, 42], [44, 41, 43, 39, 46], [45, 50, 47, 53, 48, 51, 55, 54, 52, 59, 56], [58, 60]]
36: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6, 26, 12, 10, 11, 30], [15, 9, 16, 8, 14, 17, 18, 22, 19, 20, 23, 25, 29, 24, 27, 28, 31, 33, 32, 36, 38], [37, 43, 44, 39, 46, 40, 34, 42, 41, 45, 47, 54, 52, 48, 50, 51, 53, 55, 58, 56, 59, 60]]
37: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6], [25, 12], [8, 10, 9, 11, 24, 14, 31, 16], [19, 22, 28, 15, 20, 23, 26, 17, 18], [27, 30], [29, 32], [33, 52, 45, 34, 46, 36, 37, 40, 42, 41, 38, 43, 47, 50, 56, 39, 44, 53, 54], [48, 55, 51, 58, 59, 60]]
38: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5, 30, 9, 15, 8, 10, 24, 11, 12, 22, 16, 23, 26, 14, 17, 20], [19, 18, 25, 27, 28, 29, 31, 33, 32, 36, 37, 45, 46, 34, 44, 41, 38, 39, 40, 42, 43, 48, 47, 51, 50, 53], [54, 52, 55, 59, 58, 56, 60]]
39: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 12], [5, 9, 24, 8, 11, 25, 14, 29, 15, 19, 22, 10, 16, 17, 20, 18, 23, 26, 30, 27, 28, 31, 36], [34, 56, 45, 37, 32, 46, 33, 39, 40, 38, 42, 41, 43, 44, 60, 47, 54, 50, 53, 48, 51, 52, 59, 58, 55]]
40: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 9, 21, 6], [14, 11], [12, 15, 8, 30, 5, 19, 18, 10], [16, 17, 22, 20, 24, 23, 27, 25, 28, 29], [31, 26, 36, 38, 34, 39], [41, 50, 32, 40, 33, 43, 45, 47, 37, 42, 46, 44, 52, 53, 48, 54, 51, 55, 56, 58, 59, 60]]
41: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 21, 6, 5], [25, 9, 8, 12, 10, 11, 30], [28, 14], [15, 31, 20, 18, 23, 17, 19, 22], [16, 24], [27, 29, 26, 33, 39, 52, 37, 34, 38, 44, 36, 32, 45, 41, 43, 42, 40, 50, 47, 46, 51, 48, 58], [53, 55, 56, 54, 59, 60]]
42: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 23, 15, 21, 24, 5, 10, 20, 8, 19, 11, 9, 26, 6, 12, 17, 14, 16, 18, 22, 27, 25], [28, 30, 29, 31, 36, 37, 32, 34, 48], [42, 33, 44, 47, 38, 46, 41, 56, 39, 43, 45, 40, 51, 55, 50, 52, 53, 54, 59, 60, 58]]
43: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5], [30, 9], [8, 14, 11, 10], [24, 25], [27, 20, 19, 12, 28, 15, 16, 18], [26, 17, 22, 23, 29, 31, 32, 39, 56, 33, 37, 34, 38, 44, 36, 40, 41, 42, 45, 47, 58, 43, 46, 52, 48, 50, 51, 53, 54, 55], [59, 60]]
44: [[49, 57], [1, 7, 35, 2, 3], [4, 13, 21, 5, 6, 8, 24, 9, 14, 12], [15, 16, 10, 11, 17, 18, 19, 20], [23, 22, 25, 26, 28, 27, 31, 29], [30, 36, 32, 33, 40, 37, 34, 39, 38], [41, 46, 43, 44, 42, 47, 45, 50, 51, 60, 53, 54, 52, 48, 56, 55, 59, 58]]
45: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 23, 5, 6, 8, 9, 10, 30, 11, 25, 12, 14, 18, 21, 24, 20, 15, 16, 19], [22, 17, 26, 27, 28, 29, 31, 36, 33, 37, 32, 42, 41, 40, 44, 46, 38, 34, 39], [45, 51, 43, 53, 56, 47, 52, 50, 55, 48, 54, 59, 58, 60]]
46: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 21, 6, 5, 8, 9], [18, 11, 10, 27], [30, 25, 14, 12, 31, 15, 16, 17], [19, 22, 20, 28, 23], [29, 24], [26, 33, 38, 32, 34, 41, 42, 37, 46, 44, 40, 36, 39, 45, 47, 48, 60, 43, 50], [51, 55, 52, 53, 54, 56, 59], [58]]
47: [[49, 57], [1, 7, 35, 2, 3, 4], [13, 21, 5], [30, 6, 11, 9], [12, 8, 14, 25, 31, 18, 24, 22, 19, 10, 15, 16, 20, 23, 26, 17, 27, 29, 28], [32, 36, 34, 33, 38, 47, 37, 40, 42, 43, 56], [44], [41, 46, 54, 53, 45, 48, 39, 50, 52, 51, 55, 59, 58, 60]]
48: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 6, 11, 9, 8, 14, 15, 10, 27, 16, 23, 20, 18, 12, 25, 17, 24, 22, 26, 19, 28, 29], [30, 55, 33, 34, 45, 31, 47, 32, 37], [46, 39, 36, 41, 38], [42, 43, 58, 40, 44, 60, 50, 48, 51, 52, 59, 56, 53, 54]]
49: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 5, 11, 6, 21, 8, 9, 10, 12], [30, 15, 14, 27, 16, 17, 18, 19, 23, 20, 22], [25, 26, 24, 29, 28, 32], [31, 40, 48, 37, 33], [46, 34, 36, 38, 44, 41, 39], [52, 43, 42, 45, 47, 53, 51, 54], [50, 55, 58, 56, 59, 60]]
50: [[49, 57], [1, 7, 35, 2], [3], [4, 13, 21], [15, 20, 8, 9, 14, 6, 5, 26, 29, 11, 10, 12, 18, 25, 19, 23, 17, 16, 27, 24], [22, 31, 30, 28, 32, 34, 56, 33, 36], [37, 47, 44, 42, 39, 43, 40, 38, 41, 45, 46, 48, 54, 55, 52, 50, 58, 51, 53, 60, 59]]
51: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5], [10, 17, 9, 8, 15, 12], [31, 25, 11, 14, 23, 16, 18], [20, 24], [19, 22, 26], [27, 30, 28, 29, 32, 38], [56, 33, 37, 50], [34, 44, 36, 39], [41, 43, 40, 42, 46, 45, 47], [52, 55, 48], [54, 51, 53, 60, 59, 58]]
52: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 20, 6, 5, 8, 9, 10, 12, 11, 14, 28, 29, 15, 16, 23, 22, 21, 19, 17], [18, 24, 30, 27, 25, 26, 31, 33, 37, 48, 32, 38, 41, 47, 44, 46, 34, 40, 39, 43, 51, 36, 52, 45, 42, 54, 50, 53, 55, 58, 56, 59, 60]]
53: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5], [14, 25], [8, 11, 10, 9, 15, 17], [20, 18, 22, 12, 28, 16], [19, 26, 24, 27], [30, 23, 29], [31, 33, 36, 38, 37, 32], [54, 34, 45, 42], [39, 44, 40, 43, 46, 41, 47], [55, 53], [51, 48, 56], [50, 52, 58], [59, 60]]
54: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 5, 21], [6, 10, 9, 15, 8, 11, 12, 14], [28, 16], [23, 30, 17, 20], [24, 18, 19, 26, 25, 22, 29, 27, 31, 37, 46, 32], [44, 47], [43, 41, 38, 33, 34, 36, 39], [40, 42, 45, 51, 53, 54], [58, 50, 55, 48, 56, 52, 59, 60]]
55: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 5, 22, 16, 8, 11, 6], [10, 9], [24, 29, 12, 14, 15], [18, 19], [20, 23, 25, 26, 27, 28, 30, 17, 31, 37, 33, 32, 38, 48, 40, 42, 45, 34], [39, 43, 36, 41, 44, 59, 46, 47, 52], [55, 51, 53, 50, 56, 60], [54, 58]]
56: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 20, 6, 5], [11, 9, 10, 8, 12, 19, 14, 18, 15, 31, 22, 21, 23, 17, 16, 25, 27, 26, 28, 24, 30, 29, 36, 39, 32, 37, 38, 33, 34, 44, 47, 40, 41], [42, 58, 43, 45, 54, 46, 59, 48, 50, 51, 53, 52, 55, 56, 60]]
57: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21], [5, 6], [11, 9], [8, 14], [25, 10, 26, 27, 12], [28, 17, 15, 31, 18, 16], [22, 23, 19, 20], [24, 29, 30, 32, 38], [33, 34, 47, 36], [45, 37, 40, 42, 41, 44], [46, 39, 43, 59, 48, 50, 55, 51, 58], [52, 54, 53, 56, 60]]
58: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 21], [5, 6, 27, 9, 24, 30], [11, 12, 8, 28, 17, 20, 18], [10, 14, 15, 19, 22, 16, 25, 26, 23], [29, 31, 33, 38, 44, 32, 36, 42, 37, 39, 40, 41, 43, 34, 45, 47, 46, 58, 51, 60, 55, 54, 50, 52, 59, 48], [53, 56]]
59: [[49, 57], [1, 7, 35, 2, 3], [4, 13], [21, 6, 5, 8, 9, 11, 14, 10, 27, 12, 16, 30, 15, 20, 18, 28, 17, 26, 19], [23, 25, 31, 22, 29, 24, 36, 44, 32, 33, 40, 50, 42, 45, 34, 38, 37, 41, 39, 46, 43, 54, 47, 52, 48, 51, 58, 55, 53, 56, 59, 60]]
60: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6], [5, 8, 9], [25, 14, 10, 12, 26, 19], [11, 24, 18, 20, 15], [22, 16, 23, 27], [28, 29, 17, 30, 31], [33, 34, 48], [40, 36], [42, 38, 41, 44, 32, 39, 37, 43, 45, 51, 46, 47, 50, 54], [53, 55, 56, 58, 59, 52, 60]]
61: [[49, 57], [1, 7, 35, 2, 3, 4], [13, 21, 6, 5, 8, 24, 9], [10, 11], [12, 31, 14, 19, 28, 27, 17, 15], [29, 16], [23, 22, 20, 25, 26, 18, 30, 32, 39, 36, 37, 43, 33, 34, 44, 38, 41, 45, 46, 42, 59, 40, 48], [47, 51, 50, 52, 53, 55, 56, 54, 58, 60]]
62: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 22, 6, 5], [8, 9, 14, 25, 11, 27, 17, 19, 12, 31, 23, 10, 15, 16, 18, 21, 20, 30, 24, 28, 29], [26, 39, 34, 33, 41, 32, 37, 42, 36, 47, 44, 38, 40, 43, 55, 45, 52, 56, 59, 46, 54, 48, 53, 50, 51, 58, 60]]
63: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 22, 6, 5, 8, 9, 10, 11, 14, 31, 12, 29, 19, 17, 18, 20, 15, 16, 21, 23, 24, 26], [30, 28], [25, 51], [33, 37, 52, 27], [32, 42, 34, 44, 39, 36, 38, 40, 41, 43, 50, 46, 47, 45, 58, 48, 55, 53, 54, 59, 56, 60]]
64: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 21, 6, 5, 11, 9, 8, 12, 27, 20, 14, 17, 15, 19, 22, 10, 16], [23, 18], [25, 29, 28, 26, 24], [30, 31, 37, 32, 48], [33, 34, 36, 47, 38, 39, 42, 40, 41], [43, 46], [44, 58, 45, 54, 50, 55, 53, 51, 52, 59, 56, 60]]
65: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21], [5, 14, 24, 9], [6, 12], [10, 8, 31, 23, 15, 11, 17, 19], [25, 18, 16, 22, 27, 20, 26, 28, 29, 30, 32, 33, 40, 34, 45, 36, 39, 38, 41, 47, 37, 46], [43, 42, 44, 53, 52, 48, 54, 50, 55], [56, 51, 58, 59, 60]]
66: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 6, 8, 5, 30, 9, 10], [14, 11, 25, 12, 15, 16, 24, 18], [22, 19, 17, 20, 28, 21, 31, 26, 23, 29, 27, 32, 36, 60, 33, 34, 41, 46, 44, 38, 37, 45, 42, 40, 43, 59, 39, 47, 52, 48, 51, 50, 53, 54, 58, 55, 56]]
67: [[49, 57], [1, 7, 35, 2], [3, 4], [13], [5, 12], [22, 8, 9, 30], [19, 23, 31, 11, 15, 18, 10], [17, 14, 27, 16, 24, 28, 21, 6], [26, 25, 29, 20, 36, 46, 33, 37], [42, 32, 40, 38, 44, 39, 51, 41, 45, 43, 56, 34, 47, 52, 48, 50, 53, 55, 54, 59, 60, 58]]
68: [[49, 57], [1, 7, 35, 2, 3], [4, 13, 21, 5, 6], [25], [8, 24, 10, 9, 14], [28, 12, 27], [20, 15, 11], [23, 17, 16, 18, 19, 22, 26], [30, 29, 31, 33, 34, 36, 32, 46, 43], [39, 45, 37, 41, 40, 38, 47, 44, 48, 52, 51, 42, 55, 53, 50, 56], [54, 59, 58, 60]]
69: [[49, 57], [1, 7, 35, 2, 3], [4, 13, 21, 5, 6], [25], [8, 24, 10, 9, 14], [28, 12, 27], [20, 15, 11], [23, 17, 16, 18, 19, 22, 26], [30, 29, 31, 33, 34, 36, 32, 46, 43], [39, 45, 37, 41, 40, 38, 47, 44, 48, 52, 51, 42, 55, 53, 50, 56], [54, 59, 58, 60]]
70: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 22], [5, 6, 8, 9], [10, 15, 11, 16, 26, 29, 18, 17, 23, 12, 14, 24, 19, 20, 21, 25, 30, 27, 31, 28, 37], [34, 32, 33, 36, 41, 46, 44, 47, 38, 42, 39, 43, 55, 59, 48, 40, 45, 51, 50, 53, 52, 54, 58, 56, 60]]
71: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 21, 6, 5, 26], [11, 9], [15, 10, 12, 8], [31, 14], [20, 16, 17], [24, 18, 19, 23, 25, 29, 22], [27, 30, 28, 32, 34, 36, 37, 47, 33], [39, 44, 42, 38, 40, 45, 41, 46, 54, 43, 48, 51, 52, 50, 56, 53], [59, 58, 55, 60]]
72: [[49, 57], [1, 7, 35, 2], [3, 4, 13, 9, 5, 11, 24, 10, 8], [26, 12, 6, 15, 17, 25, 16, 20, 18, 22, 23, 14, 21, 19, 31, 28, 29, 30, 27, 36, 33, 52, 37, 38, 32, 39, 45, 40, 44], [41, 42, 43, 47], [58, 34, 46, 60, 54, 48, 59, 50, 55, 56, 51, 53]]
73: [[49, 57], [1, 7, 35, 2], [3, 4], [13, 5, 21], [6, 10, 9, 14, 8, 11, 29, 12], [26, 16], [28, 15, 19, 17], [20, 22, 18, 27, 23, 24, 25, 31, 30, 36, 40, 33], [38, 39, 43, 37, 41, 42], [34], [32, 45, 46, 44, 47, 51, 53, 50], [56, 48, 54, 52, 55, 58, 59, 60]]
