0: [[38, 5], [25, 2], [3, 4], [1, 9, 13, 23], [14, 15, 6], [7], [29, 11], [20, 21, 34, 39], [28, 26], [17, 27, 16], [62, 24, 18, 43, 12, 22], [51, 19], [52], [42, 50], [40, 46, 44, 49, 8], [30, 31, 36], [33, 35], [41, 32, 60], [47], [59], [37, 58, 55], [48, 54], [45, 56], [53, 57, 61], [64, 63], [66, 65], [67, 70], [77, 68, 69, 72, 10], [71, 73], [74, 75], [78, 76], [81, 79, 82], [86], [83], [85], [84, 80], [87, 88]]
15: [[38, 5], [25, 2], [12, 22, 1, 6], [3, 4], [14, 15, 7], [9], [26], [27, 8], [11, 16], [28, 29], [10, 18, 13, 19, 30, 21, 20, 41, 23, 24, 59, 17, 45, 56, 34], [31, 32, 43, 49, 35, 52, 36, 33, 37, 40, 46], [47, 39, 42, 55], [44, 50, 48, 53, 51, 57, 54, 60, 58, 62, 84, 61, 64, 65, 67, 63, 70, 79, 66, 76, 74, 68, 73, 69, 71, 78, 72, 77, 86, 81, 75, 80, 82, 83, 85, 87, 88]]
16: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6], [14, 15], [11, 9, 7, 8, 10], [17, 30, 13, 16, 18, 29, 20, 19, 26, 28], [21, 31, 53, 23, 62, 36, 45, 48], [24, 43], [56, 51], [27, 35, 39], [34, 32, 40, 41, 33, 42, 47, 44, 49, 46], [37, 54], [52, 50], [55, 57], [58, 61, 63], [60, 59, 66, 68], [69, 65], [64, 71], [77, 70, 67], [74, 75, 72, 73, 76, 79], [78, 82, 85, 80, 81, 86, 83, 87, 84, 88]]
17: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15], [7, 9, 8, 43], [10, 11], [13, 17], [18, 24], [20, 16, 27, 23], [29, 19, 55, 28, 60, 30, 31, 48, 52, 35, 34, 26, 57, 36, 21, 32, 33, 37, 46, 51, 42, 41, 47, 39, 40, 44, 45, 58, 49, 61, 50, 53, 59, 54, 56, 62, 63, 66, 68, 65, 64, 67, 77, 70, 75, 78, 72, 69, 73, 74, 76], [79, 71, 84, 81, 80, 82, 86, 85, 87, 83, 88]]
18: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15], [7, 9, 8, 43], [10, 11], [13, 17], [18, 24], [20, 16, 27, 23], [29, 19, 55, 28, 60, 30, 31, 48, 52, 35, 34, 26, 57, 36, 21, 32, 33, 37, 46, 51, 42, 41, 47, 39, 40, 44, 45, 58, 49, 61, 50, 53, 59, 54, 56, 62, 63, 66, 68, 65, 64, 67, 77, 70, 75, 78, 72, 69, 73, 74, 76], [79, 71, 84, 81, 80, 82, 86, 85, 87, 83, 88]]
19: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15], [7, 9, 8, 43], [10, 11], [13, 17], [18, 24], [20, 16, 27, 23], [29, 19, 55, 28, 60, 30, 31, 48, 52, 35, 34, 26, 57, 36, 21, 32, 33, 37, 46, 51, 42, 41, 47, 39, 40, 44, 45, 58, 49, 61, 50, 53, 59, 54, 56, 62, 63, 66, 68, 65, 64, 67, 77, 70, 75, 78, 72, 69, 73, 74, 76], [79, 71, 84, 81, 80, 82, 86, 85, 87, 83, 88]]
20: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15], [7, 8], [10, 19, 16, 9, 23, 11, 13, 20, 17], [30, 27], [18, 28], [52, 24, 29, 51, 60, 26, 21, 48, 31, 32, 34, 41, 35, 36, 37], [40, 45, 57, 46, 42, 62, 33, 43, 44, 47, 50, 39, 49, 53, 63, 54, 55, 58], [59, 61, 56, 72, 65, 69, 68, 64], [67, 76, 75, 70, 74, 71, 66, 73, 77, 79, 78, 84, 85, 80, 82, 86, 81, 83, 87, 88]]
21: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6, 14, 15, 7, 11, 10, 8, 13, 9, 20, 30, 24, 17, 29], [16, 18, 26, 31, 28, 23], [19, 58, 57, 50, 45, 21, 55, 32, 27, 37], [61, 33, 41, 34, 36, 42, 35, 40, 39, 43, 47, 60, 46, 44, 54, 48, 51, 49, 56, 52, 53, 59, 62, 63, 74, 66, 69, 65, 64, 67, 77, 78, 71, 68, 70, 73, 72, 75, 76, 79, 80, 82, 83, 85, 86, 84, 81, 87, 88]]
22: [[38, 5], [25, 2], [12, 22], [3, 1, 4, 6], [14, 15], [11, 7, 24, 8], [10, 21, 33, 9], [26, 16, 23, 28, 17, 18], [20, 53, 19, 27], [31, 62, 32, 35, 30, 43, 13, 37, 55, 29, 41, 40, 34, 39, 42, 36], [46, 45, 54, 44, 47, 63, 49, 52, 57, 58, 48, 51, 50, 60, 56, 59, 61, 66, 68, 67, 65, 64, 69, 75, 70, 72, 71, 73, 77, 74, 76, 78, 79, 83, 80, 81, 82, 84, 85, 87, 86, 88]]
23: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 1], [14, 15, 7], [8], [11, 18, 16, 6, 21, 17, 26, 28, 19, 31, 27, 20, 24, 53, 59, 30, 35, 60], [36, 29, 48, 32, 39, 34, 43, 37, 10, 13, 23], [41, 57], [40, 42], [62, 33, 46, 44, 45, 49, 47, 50, 54, 63, 51, 52, 55, 58, 61], [56, 72, 64, 69, 67, 65, 71, 76, 66, 70, 74, 73, 68, 75, 77, 79, 78, 84], [85, 80, 82, 86, 83, 81, 87, 88]]
24: [[38, 5], [25, 2, 12, 22, 3, 4], [1, 7, 14, 15, 6, 8, 10, 9, 11, 13, 16, 23, 28], [17, 18, 20, 19, 21, 27, 29, 30, 24, 31, 26, 33, 53, 50, 57, 46, 45, 35, 36, 34, 39], [37, 44, 56, 40, 32, 47, 60, 61, 41, 42, 43, 48, 54, 63, 49, 52, 51, 59, 55], [58, 62, 66, 68, 65, 73, 64, 74, 67, 70, 71, 78, 72, 69, 76, 75, 77, 79, 85, 80, 82, 81, 83, 87, 86, 84, 88]]
25: [[38, 5, 25], [2, 6, 3, 4, 9, 7], [14, 1, 11, 8, 26], [21, 15, 19, 16, 17, 18, 29], [20, 28, 43], [23, 57, 13], [62, 24, 46, 36, 12, 22], [56, 53], [58, 50, 27, 30, 39, 31, 63, 32, 33, 34, 40, 49, 45, 35, 37, 10], [42, 54, 44, 47, 41, 61, 55, 48, 51, 59, 52, 60, 66, 67, 65, 69, 64, 68, 71, 77, 70, 73, 74, 78, 72, 76, 75, 79, 80, 82, 84, 83, 85, 81, 87, 86, 88]]
26: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 1], [14, 15], [7, 13, 8, 6, 10, 16, 30, 11, 17, 20, 19, 21, 31, 18], [26, 29, 24, 28, 27, 63, 32, 23, 42, 62, 43, 35, 51, 55, 33, 37, 34, 40, 36, 41, 45, 47, 39, 44, 48, 46], [52, 50, 59, 53, 56, 49, 57, 54], [58, 60, 61, 72, 67, 66, 64, 69, 65, 79, 74, 68, 76, 70, 71, 73, 78, 75, 77, 88, 85, 80, 81, 83, 87, 86, 84, 82]]
27: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6], [14, 15], [7, 10], [8, 57, 13], [9, 11, 29, 18, 19, 16, 20, 17, 24, 26, 23, 53, 21, 27, 30, 33, 28, 56, 51, 52, 40, 31, 43], [32, 34, 37, 39, 41, 36, 35, 42, 44, 46, 45, 50, 47, 54, 48, 55, 49, 61, 58, 59, 60, 62, 63, 66, 68, 65, 77, 64, 67, 69, 70, 79, 73, 71, 72], [74, 75, 76, 78, 84, 81, 80, 82], [87, 85, 83, 86, 88]]
28: [[38, 5], [25, 2, 12, 22], [3, 4, 9, 1, 14, 15], [6, 10], [8, 11], [7, 26], [27, 20], [17, 13], [16, 21, 19, 18, 28, 23, 24, 29, 30, 50, 31, 53, 44, 57, 56, 36, 47, 37, 41, 39, 35, 45, 32, 33, 52, 40, 42, 43, 59, 55, 34, 46, 48, 49, 51, 54, 63, 58, 60, 61, 62, 65, 64, 72, 74, 70, 67], [76, 66, 69, 68, 78, 71, 73, 75, 77, 79, 81, 83, 80, 82, 85, 87, 84, 86, 88]]
29: [[38, 5], [25, 2], [12, 22, 3, 1], [9, 7], [14, 15], [6, 4, 8, 10, 11, 13, 48, 17, 21, 19, 16, 28, 20, 24, 29], [23, 56, 55, 18, 26, 32, 61, 42, 58, 30, 45, 36, 57, 43, 53, 31, 35, 27, 41, 34, 47, 37], [44, 39, 40, 46, 52, 33, 63, 51], [50, 54, 59, 49, 60, 62, 65, 66, 64, 67, 72, 69, 68], [79, 74, 70, 75], [76, 73, 77, 78, 71, 83, 80, 81, 82, 84, 87, 85, 86, 88]]
30: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6, 14, 15, 11, 9, 8, 13, 24, 7, 17, 27, 18, 16, 21, 19, 26, 10, 31, 20, 23, 54, 30, 29, 48, 36, 43, 59, 28, 44, 37, 32, 33, 39, 34], [41, 35, 62, 47], [45, 50, 52, 57, 40, 49, 42, 55, 56], [53, 58, 60, 61, 46, 63, 51, 72, 64, 65, 77, 68, 69, 73, 66, 71, 75, 67, 74, 78, 76, 79, 70, 82, 83, 84, 81, 86, 80, 85, 87, 88]]
31: [[38, 5], [25, 2], [12, 22], [3, 4], [9, 1, 10, 15], [7, 6], [14, 8], [13, 18], [20, 11, 17, 16, 19, 21], [23, 24, 26, 57, 58, 30], [28, 29, 32, 50, 61, 27, 44, 42, 31, 39, 33, 51, 35], [37, 36, 40, 46, 43, 49, 47, 34, 41, 45, 48, 52, 54, 55, 53, 62, 56, 59, 60, 63, 66], [64, 71, 67, 65, 69, 68, 70, 74, 76, 75, 72, 73, 77, 78, 79, 84, 81, 83, 80, 82, 86, 85, 87, 88]]
32: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 15, 14, 7], [6, 8, 26, 35, 9, 17, 28], [21, 16, 29, 19, 10, 13, 18, 20], [23, 24, 55, 27, 30, 31, 56, 11, 32, 39, 40, 41, 43, 45, 33, 36], [34, 37, 44, 47, 46, 42, 49, 50, 51, 48, 53, 57, 58, 59, 52, 54, 63, 61, 62, 60, 64, 70, 65, 66, 67, 68, 71, 73, 76, 78, 69, 72, 74, 79, 77, 75, 86, 80, 82, 85, 81, 83, 87], [84, 88]]
33: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6, 14, 15, 8], [7, 13, 40, 9, 16, 21, 29, 10, 18, 11, 17, 24, 27, 31, 23, 19, 58, 20, 62, 47, 28, 26, 51, 41, 42, 36, 30, 35, 34, 33, 32, 45, 44, 46, 43, 37, 57, 49, 53, 54, 50, 39, 48, 61, 55, 56, 52, 63, 60], [59, 64, 69, 65], [66, 70, 68, 75, 67, 74, 76, 77, 71, 72, 73, 78, 79, 82, 84, 80, 83, 81], [86, 85, 87, 88]]
34: [[38, 5], [25, 2], [3, 4, 1, 6], [7, 15], [9], [8, 11, 26], [17, 42], [28, 18, 20], [14, 24, 16, 21, 53, 23], [19, 27, 30, 59, 33, 29, 60], [43, 36, 12, 13, 22], [51, 31, 35, 34, 50, 45, 37, 32, 39, 40, 46, 44, 41, 47, 57, 48, 54, 10], [61, 49, 55, 56, 52, 62, 58, 63, 64, 69, 65, 68, 66, 71, 72, 70, 79, 67], [78, 73, 76, 74, 77, 75, 84, 85, 80, 82, 81, 83, 87, 86, 88]]
35: [[38, 5], [25, 2], [3, 20], [4, 1, 12, 6], [14, 15], [7, 11], [8, 13, 9, 19, 10, 27, 16], [17, 21, 24, 18, 28, 22], [57, 23, 53, 40, 29, 55, 26, 43, 37, 33, 34], [35, 30], [41, 56, 47, 31], [32, 36], [39, 44, 45, 46, 48], [49, 42], [51, 52, 50, 54], [59, 58, 63, 60, 61, 62, 65, 68, 69, 72, 64, 75], [66, 71, 67], [77, 70], [74, 73, 78, 79, 76, 80, 87, 82], [81, 86, 88, 85, 83, 84]]
36: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15], [11, 9], [8, 13, 10, 21, 17, 20, 16, 18, 7, 29, 26, 30, 24, 23], [19, 59, 27, 28, 48, 44, 60, 62, 35], [46, 39, 31], [54, 34], [33, 32], [37, 43, 36], [45, 40, 41, 42], [47, 61], [53, 51], [50, 52, 57], [55, 49], [56, 58, 63], [67, 68, 69, 65, 64, 75, 77], [70, 71, 73, 72, 76], [74, 66, 78, 79, 80, 87, 82, 83, 86, 85, 81, 84, 88]]
37: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 7], [1, 15], [10, 6], [8, 40], [11, 18], [17, 13, 14, 21], [16, 19], [20, 30], [23, 24], [31, 52], [54, 26], [27, 35, 60, 61, 33, 28, 29, 34, 32, 58, 36, 43, 41, 39], [44, 37, 59, 42, 46, 45, 48, 56, 55, 51, 47, 49, 50, 57, 53, 63, 62, 64, 70, 69, 65, 68, 75], [78, 66, 67, 76, 71, 72, 73, 74, 79, 77, 84, 80, 83, 82, 81, 87, 85, 86, 88]]
38: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 7], [14, 6, 10, 9, 26, 59, 15, 8, 17, 11, 13, 16], [19, 29, 21, 18, 20, 23, 30, 49, 27, 28, 60, 31, 24, 44, 32, 34, 55, 36, 41, 35, 37, 45, 42, 43, 33, 62, 39, 40, 51, 46, 52, 63, 47, 53, 50, 54, 48, 57, 58, 56, 61, 68, 65, 64, 67, 66, 72, 75, 70, 69, 77, 74, 73, 78, 76, 79, 71, 82, 85, 84, 80, 83, 87, 86, 81, 88]]
39: [[38, 5], [25, 2], [12, 22], [3, 4], [9, 6, 14, 15], [1, 13, 8, 27, 11, 7, 10, 17, 24, 16, 19, 18, 23], [20, 21, 30, 26, 53, 28, 63, 37], [29, 59, 31, 33, 56, 34, 49, 42, 32, 35, 36, 39, 41, 48, 43, 47, 45, 40, 46, 52], [55, 60], [44, 50, 51, 58, 54, 57, 61, 62, 65, 64, 66, 67, 68, 69, 76, 70, 79], [77, 73, 74, 78, 72, 71, 75, 85, 80, 84, 81, 83], [87, 86, 82, 88]]
40: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6, 14, 15, 7, 8, 9, 40, 10, 13], [17, 11, 20, 21, 18, 16, 23, 19, 29, 26, 24, 58, 27, 28, 31, 44, 41, 63, 36, 46, 48, 32, 34, 37, 35, 39, 43, 42, 30, 47, 49, 55, 45, 33, 53, 62, 54, 52, 51, 56, 50, 57, 59, 60, 61, 66, 68, 69, 64, 67, 70, 74, 77, 71, 73, 72, 65, 76, 75, 78, 79, 85, 82, 81, 80, 86, 83, 84, 87, 88]]
41: [[38, 5], [25, 2, 12, 22], [3, 4], [9, 7], [1, 15], [6, 14], [8, 43], [11, 10, 16, 29, 18, 17, 20, 19], [23, 21], [13, 24, 31, 52, 62, 26, 63], [42, 33], [51, 35], [28, 36], [27, 32, 30, 37], [34, 39], [44, 40], [45, 41, 46, 48, 47, 49, 56, 54], [55, 61, 59, 50, 57, 53, 58, 60, 64, 70, 69, 65], [67, 71, 74, 68, 66, 77, 75, 72, 73, 76, 79, 78, 84, 80, 83, 82], [81, 85, 86, 87, 88]]
42: [[38, 5], [25, 2], [12, 22], [3, 4, 1, 6], [14, 15], [11, 7, 8, 9], [10, 13, 16, 21, 24, 19], [23, 17], [18, 20], [28, 27, 30, 26, 60, 29, 33, 31], [34, 63, 37, 32, 53, 41, 36], [39, 42, 35, 43, 40, 46, 44, 45, 50, 47, 54, 49, 62, 48, 55, 51, 52, 56, 58, 57, 59, 61, 65, 72, 69, 64, 66, 70, 74, 79, 68, 67, 71, 73, 77, 78, 76, 75, 84, 81, 83, 82, 80, 85, 87, 86, 88]]
43: [[38, 5], [25, 2], [12, 22], [3, 4], [9, 16, 10, 15, 7, 1, 8, 11, 14, 18, 20, 17, 13, 24, 21, 29, 27, 59, 28, 19], [31, 60, 23, 26], [32, 51, 33, 30, 43, 34], [35, 47, 41, 37], [36, 45, 6, 39, 46, 40, 42, 48, 44, 53, 55, 54, 50], [56, 49, 52, 57, 61, 62, 58, 63], [72, 68, 64, 73, 65, 66, 78, 74, 71, 75, 69, 67, 77, 70], [76, 79, 81, 84, 80, 83, 82], [87, 85, 86, 88]]
44: [[38, 5], [25, 2], [12, 22], [3, 4], [1, 6], [14, 15, 7, 13, 28, 27, 9, 8, 10, 31, 17, 11], [16, 29, 19, 20, 18, 21, 23, 59, 60, 24, 48, 26, 61, 30, 32, 33, 37, 42, 39, 41, 45, 36, 35, 43, 40, 46, 34, 50, 47, 51, 52, 54, 55, 44, 49, 53, 56, 57, 63, 58, 62, 65, 66, 64, 67, 68, 73, 78, 70, 71, 75, 76, 69, 72, 74, 77, 79, 80, 87, 82, 81, 83, 86, 84, 85, 88]]
45: [[38, 5], [25, 2, 12, 22], [3, 4], [1, 6], [14, 15], [7, 9], [8, 13, 10, 11], [20, 19], [18, 17], [16, 21], [23, 58, 30, 27], [24, 56], [53, 26], [28, 42, 46, 29, 31, 32, 39, 36, 33, 40, 35, 43, 44, 41, 51, 47, 45], [49, 50, 34, 37, 59, 55, 52, 57, 48, 60, 62, 61, 54, 63, 66, 69], [68, 64, 65, 70, 71, 67, 77, 75, 72, 76, 73, 79, 74, 78, 84, 81, 80, 82], [86, 83, 85, 87, 88]]
46: [[38, 5], [25, 2], [12, 22, 3, 4], [9, 1], [14, 15], [7, 6, 8, 11], [10, 26], [17, 13, 20, 21, 31], [16, 19, 27, 30, 28, 24, 29, 23, 18, 48, 53, 59, 35, 33, 36, 46, 62, 41, 32, 40, 39, 42, 43, 44, 37, 45, 34, 51, 52, 50, 47, 49, 57, 54, 63], [58, 55], [56, 60, 61, 72, 64, 69, 73, 68, 70, 66, 67, 71, 65, 74, 75, 76, 78, 77, 79, 81, 84, 80, 83, 82, 85, 87, 86, 88]]
47: [[38, 5], [25, 2, 12, 22, 3], [4, 1, 8, 14, 15, 6, 7, 10, 9, 17, 20, 21, 11, 28, 18, 16, 19, 29, 23, 31, 24, 27, 26, 30, 56, 32, 13, 60, 55, 47, 42, 36, 33, 34, 39, 37, 35, 41, 44, 40, 43, 46, 45, 48, 54, 52, 49, 50, 51], [59, 61, 53, 62], [57, 58, 63, 66, 65, 64, 67, 70, 68, 75, 69, 74, 77, 73, 71, 76, 72, 78], [79, 82, 84, 81], [80, 83, 87, 85, 86, 88]]
48: [[38, 5], [25, 2], [12, 22], [3, 4], [17, 1], [14, 11], [6, 10], [8, 9, 7, 30, 27, 20], [15, 13], [16, 21], [19, 18], [28, 31], [24, 23], [26, 50, 33, 29, 63, 41, 32, 37, 47, 36, 42, 39, 35, 45, 34, 43, 52, 40, 44, 59, 62, 54, 56, 46, 48, 51, 49, 53, 55, 57, 58, 61, 60, 66, 68, 65, 72, 64, 75], [76, 70, 69, 67, 71, 74, 73, 78, 77, 79, 81, 82, 80, 83, 85, 87, 86, 84, 88]]
49: [[38, 5], [25, 2, 12, 22], [3], [4, 9], [1, 14], [15, 7, 6, 8], [26, 35, 17, 16, 23, 11, 24, 13], [29, 18, 21, 19, 27, 50, 20, 30, 28, 33, 60, 31, 57, 39, 37, 44, 32, 45, 34, 36, 43, 40, 51, 41, 55, 58, 42, 46, 61, 47, 53, 54, 48, 59, 56, 49, 63, 62, 52, 73, 66, 68, 67, 65], [64, 78, 71, 69, 70, 76, 74, 72, 75, 79, 77, 81, 87, 80, 83, 84, 82, 85, 86, 88, 10]]
50: [[38, 5], [25, 2], [12, 22], [3, 4], [8, 6], [14, 15, 9, 1], [13, 40], [7], [17], [16, 30], [20, 11], [10, 19, 26, 27, 21, 31, 18, 60, 52, 62, 47, 28, 23, 24, 29, 34, 33, 43, 35, 42, 32, 36, 41, 44, 46, 45, 37, 57, 49, 53, 54, 50, 39, 48, 51, 55, 56, 58, 59, 61, 63, 64, 85, 70, 66, 68], [69, 75, 65, 67, 71, 77, 73, 72, 74, 78, 76, 80, 87, 82, 83, 79], [84, 81, 86, 88]]
