0: [[22], [24, 23], [19, 4], [1, 2, 13], [10, 3, 14], [9, 8, 17, 5, 6], [7, 20, 11, 18, 12, 16], [15, 21]]
13: [[14, 22], [16, 13], [24, 23], [19, 4, 1], [2, 10, 3], [9, 8, 17, 5, 6], [7, 20, 11], [18, 12, 15, 21]]
14: [[22], [24, 23], [19, 4, 1, 13], [2, 10, 3, 14], [9, 8, 17, 5, 6, 7, 20], [11, 18, 12, 16], [15, 21]]
15: [[22], [24, 23], [19, 4, 1, 13], [2, 10, 3, 14], [9, 8, 17, 5, 6, 7, 20], [11, 18, 12, 16], [15, 21]]
16: [[14, 22], [16, 13], [24, 23], [19, 4, 1], [2, 10, 3], [9, 8, 17, 5, 6], [7, 20, 11], [18, 12, 15, 21]]
17: [[14, 22], [16, 13], [24, 23], [19, 4, 1, 2], [10, 3], [9, 8, 17, 5, 6], [7, 20, 11], [18, 12, 15, 21]]
18: [[22, 14], [24, 23], [19, 4], [1, 2, 10, 3], [9, 8, 17, 5, 6, 13], [7, 20, 11, 18, 12, 16], [15, 21]]
19: [[22], [24, 23], [19, 4, 1, 2, 13], [10, 3, 9, 8, 17, 14], [5, 6, 7, 20, 11, 18, 12, 15, 21, 16]]
20: [[22], [24, 23], [19, 4], [1, 2], [10, 3, 9, 8, 16], [17, 5], [6, 7, 14, 13], [20, 11], [18, 12, 15, 21]]
21: [[22], [24, 23], [19, 4], [1, 2, 10, 3, 9, 8, 17, 14], [5, 6, 7, 20, 11, 18, 16], [12, 15, 21, 13]]
22: [[22], [24, 23], [19, 4], [1, 2], [10, 3, 9, 8, 17, 14], [5, 6, 7, 20, 11], [18, 12, 16, 13], [15, 21]]
23: [[22], [13], [24, 23], [19, 4], [1, 2, 10, 3, 9, 8, 17, 5, 6, 7, 14, 16], [20, 11, 18, 12, 15, 21]]
24: [[22, 16], [24, 23], [19, 4, 1, 2, 10, 3, 9], [8, 17, 5], [6, 7, 14, 13], [20, 11, 18, 12, 15, 21]]
25: [[14, 22, 4], [16, 13, 8], [24, 23], [19], [1, 2, 10, 3, 9, 17, 5, 6, 7, 20, 11, 18, 12, 15, 21]]
26: [[14, 22, 4], [16, 13, 8], [24, 23], [19], [1, 2, 10, 3, 9, 17, 5, 6, 7, 20, 11, 18, 12, 15, 21]]
27: [[22], [24, 23], [19, 4], [1, 2, 10, 3, 9, 8, 13], [17, 5, 6, 14], [7, 20], [11, 18, 12, 15, 21, 16]]
28: [[22], [24, 23], [4, 1, 2, 19], [10, 3], [9, 8, 13], [17, 5], [6, 7, 14], [20, 11], [18, 12, 16], [15, 21]]
29: [[22], [13, 16], [24, 23], [4, 14], [1, 2, 19], [10, 3], [9, 8, 17, 5, 6, 7, 20, 11, 18, 12], [15, 21]]
30: [[14, 22], [16, 13], [24, 23], [19, 4], [1, 2], [10, 3], [9, 8], [17, 5, 6], [7, 20, 11, 18, 12, 15, 21]]
31: [[14, 22], [16, 13], [24, 23], [19, 4, 1, 2, 10, 3], [9, 8], [17, 5, 6, 7, 20], [11, 18, 12, 15, 21]]
32: [[14, 22], [16, 13], [24, 23], [19, 4], [1, 2], [10, 3], [9, 8], [17, 5, 6, 7, 20], [11, 18, 12, 15, 21]]
33: [[14, 22], [16, 13], [24, 23], [19, 4], [1, 2], [10, 3], [9, 8], [17, 5, 6, 7], [20, 11, 18, 12, 15, 21]]
34: [[14, 22], [16, 13], [24, 23], [19, 4], [1, 2, 10, 3, 9], [8, 17, 5, 6, 7], [20, 11, 18, 12, 15, 21]]
35: [[22], [24, 23], [4], [1, 2, 10, 3], [9, 8, 13], [17, 5, 19], [6, 7, 14], [20, 11], [18, 12, 16], [15, 21]]
36: [[14, 22], [16, 13], [24, 23], [19, 4, 1], [2, 10, 3, 9], [8, 17, 5, 6, 7, 20], [11, 18, 12, 15, 21]]
37: [[14, 22], [16, 13], [24, 23], [19, 4], [1, 2, 10, 3, 9, 8], [17, 5, 6, 7, 20], [11, 18, 12, 15, 21]]
38: [[14, 22], [16, 13], [24, 23], [19, 4], [1, 2, 10, 3, 9, 8], [17, 5, 6, 7, 20], [11, 18, 12, 15, 21]]
39: [[22], [24, 23], [19, 4], [1, 2, 10], [3, 9], [8, 17, 14], [5, 6, 7, 13], [20, 11, 18, 12, 16], [15, 21]]
40: [[22], [24, 23, 19], [4, 1, 13], [2, 10, 14], [3, 9, 8, 16], [17, 5], [6, 7, 20, 11, 18, 12], [15, 21]]
41: [[22], [24, 23, 19], [4, 1, 2], [10, 3, 14], [9, 8, 13], [17, 5, 6], [7, 20], [11, 18, 12, 16], [15, 21]]
42: [[14, 22, 16, 13, 24, 23], [19, 4, 1, 2, 10, 3], [9, 8, 17, 5, 6, 7, 20, 11, 18, 12, 15, 21]]
43: [[22], [24], [23, 19, 4, 1, 2], [10, 3, 9, 14], [8, 17, 5, 13], [6, 7, 20, 11, 18, 12, 15, 21, 16]]
44: [[14, 22], [16, 13, 24, 23, 19, 4, 1, 2, 10, 3, 9, 8, 17, 5, 6, 7, 20], [11, 18, 12, 15, 21]]
45: [[14, 22, 16], [13, 24, 23, 19], [4, 1, 2, 10, 3, 9, 8, 17, 5, 6, 7, 20, 11, 18, 12, 15, 21]]
46: [[14], [22, 16, 13, 24, 23, 19, 4, 1, 2, 10, 3, 9, 8, 17, 5, 6, 7, 20, 11, 18, 12, 15], [21]]
47: [[22], [24], [23, 19], [4, 1, 2], [10, 3, 9], [8, 17, 5], [6, 7, 14], [20, 11, 18, 16], [12, 15, 21, 13]]
48: [[14, 22], [16, 13, 24, 23, 19], [4, 1, 2, 10, 3, 9, 8, 17, 5, 6, 7, 20, 11, 18, 12, 15, 21]]
49: [[14, 22], [16, 13], [24, 23, 19, 4, 1, 2, 10, 3, 9, 8, 17, 5, 6, 7, 20, 11, 18, 12, 15, 21]]
