0: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27], [19, 50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51], [48, 61], [49, 52, 54], [53, 55, 57], [62, 58], [63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
27: [[37, 70], [7, 4], [3, 13, 43], [1, 6, 65], [10, 2, 24], [5], [9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30], [31, 36], [33, 35, 44], [34, 39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77, 68, 67, 64], [71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
28: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15, 14, 20, 18], [17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30, 31, 36], [33, 35, 44], [34, 39, 32], [38, 42, 45], [56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69, 75], [72, 73, 74, 78, 76, 79], [80, 82, 87, 83, 84, 85, 86, 88]]
29: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5, 9], [8, 11, 12], [22, 15, 14], [20, 18], [17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46, 47, 51], [48, 61, 49], [52, 54], [53, 55, 57, 62], [58, 63, 66], [81, 77, 68], [67, 64, 71], [69, 75, 72], [73, 74, 78], [76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
30: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41], [60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57, 62], [58, 63, 66], [81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
31: [[37, 70, 7], [4, 3, 13], [43, 1, 6], [65, 10, 2], [24, 5, 9], [8, 11, 12], [22, 15, 14], [20, 18], [17, 21, 16], [29, 23, 27], [19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
32: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14], [20, 18, 17], [21], [16, 29], [23, 27], [19, 50], [25, 28, 26], [30, 31], [36, 33, 35, 44], [34, 39], [32, 38, 42], [45, 56, 40, 41, 60, 59, 46, 47, 51, 48, 61, 49, 52, 54], [53, 55, 57, 62, 58, 63, 66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82], [87, 83, 84, 85, 86, 88]]
33: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14], [20, 18, 17], [21, 16, 29], [23, 27, 19], [50, 25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
34: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14], [20, 18, 17], [21, 16, 29], [23, 27, 19], [50, 25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
35: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57, 62], [58, 63], [66, 81, 77], [68, 67, 64], [71, 69, 75], [72, 73, 74], [78, 76, 79], [80, 82, 87], [83, 84], [85, 86, 88]]
36: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17], [21, 16, 29], [23, 27], [19, 50, 25], [28, 26, 30], [31, 36], [33, 35, 44], [34, 39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
37: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29], [23, 27, 19], [50, 25, 28], [26, 30, 31], [36, 33], [35, 44], [34, 39, 32], [38, 42, 45], [56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49, 52], [54], [53, 55], [57, 62, 58], [63, 66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82], [87, 83, 84, 85, 86, 88]]
38: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57, 62], [58, 63, 66, 81, 77, 68], [67, 64, 71, 69, 75], [72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
39: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21, 16], [29, 23, 27], [19, 50, 25], [28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51, 48, 61], [49, 52], [54, 53, 55], [57, 62], [58, 63, 66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
40: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14], [20, 18, 17], [21], [16, 29], [23, 27, 19], [50, 25, 28], [26, 30, 31], [36, 33, 35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47], [51, 48, 61], [49, 52], [54, 53], [55, 57, 62], [58, 63, 66], [81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
41: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19], [50, 25, 28], [26, 30, 31], [36, 33, 35], [44, 34], [39, 32, 38], [42, 45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81], [77, 68, 67], [64, 71], [69, 75, 72], [73, 74], [78, 76, 79], [80, 82, 87], [83, 84, 85], [86, 88]]
42: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39, 32], [38, 42, 45], [56], [40, 41], [60, 59, 46], [47, 51], [48, 61, 49], [52, 54, 53], [55, 57, 62], [58, 63, 66], [81, 77], [68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
43: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11], [12, 22, 15], [14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39], [32, 38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77, 68], [67, 64, 71], [69, 75], [72, 73, 74], [78, 76, 79, 80], [82, 87, 83], [84, 85, 86, 88]]
44: [[37, 70], [7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29], [23, 27], [19, 50, 25], [28, 26, 30], [31], [36, 33], [35, 44, 34], [39, 32], [38, 42], [45, 56, 40], [41, 60, 59], [46, 47, 51], [48, 61, 49], [52, 54, 53], [55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69, 75], [72, 73, 74], [78, 76, 79], [80, 82, 87], [83, 84, 85, 86, 88]]
45: [[37, 70], [7, 4, 3], [13, 43], [1, 6], [65, 10, 2, 24], [5, 9], [8, 11], [12, 22, 15], [14, 20, 18], [17, 21, 16], [29, 23, 27], [19, 50, 25], [28, 26, 30], [31, 36, 33], [35], [44, 34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81, 77], [68, 67, 64], [71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
46: [[37, 70], [7, 4, 3], [13, 43], [1, 6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14], [20, 18, 17], [21, 16, 29], [23, 27, 19], [50, 25, 28], [26, 30], [31, 36, 33], [35, 44], [34, 39], [32, 38, 42], [45, 56, 40], [41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55, 57], [62, 58, 63], [66, 81], [77, 68, 67], [64, 71, 69], [75, 72, 73], [74, 78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
47: [[37, 70, 7], [4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21, 16], [29, 23, 27], [19, 50], [25, 28, 26], [30, 31, 36], [33, 35], [44, 34, 39], [32, 38, 42, 45, 56, 40, 41, 60, 59, 46, 47], [51, 48, 61, 49, 52, 54, 53, 55, 57, 62, 58, 63, 66, 81], [77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79], [80, 82, 87, 83, 84, 85, 86, 88]]
48: [[37, 70, 7], [4, 3], [13, 43], [1, 6, 65], [10, 2, 24], [5, 9, 8], [11, 12, 22], [15, 14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31, 36], [33, 35, 44], [34, 39, 32], [38, 42, 45, 56, 40, 41, 60, 59, 46, 47, 51, 48, 61, 49], [52, 54, 53, 55, 57, 62, 58, 63, 66, 81, 77, 68, 67, 64, 71, 69, 75, 72, 73, 74, 78, 76, 79, 80, 82, 87, 83, 84, 85, 86, 88]]
49: [[37, 70], [7, 4, 3], [13, 43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20, 18], [17, 21, 16], [29, 23, 27], [19, 50, 25], [28, 26, 30], [31, 36, 33], [35, 44, 34, 39], [32, 38, 42], [45, 56], [40, 41, 60], [59, 46, 47], [51, 48, 61], [49, 52, 54], [53, 55], [57, 62, 58], [63, 66], [81, 77, 68], [67, 64], [71, 69, 75], [72], [73, 74, 78], [76, 79], [80, 82, 87], [83, 84], [85, 86, 88]]
50: [[37, 70, 7], [4, 3, 13], [43, 1], [6, 65, 10], [2, 24, 5], [9, 8, 11], [12, 22, 15], [14, 20], [18, 17, 21], [16, 29, 23], [27, 19, 50], [25, 28, 26], [30, 31], [36, 33, 35], [44, 34, 39], [32, 38], [42, 45, 56], [40, 41, 60], [59, 46], [47, 51, 48], [61, 49, 52], [54, 53, 55], [57, 62, 58], [63, 66, 81], [77, 68], [67, 64, 71], [69, 75], [72, 73, 74], [78, 76], [79, 80, 82], [87, 83, 84], [85, 86, 88]]
