0: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5], [11, 15, 17, 18, 13, 10, 14], [23, 12, 22], [27, 26, 21], [28, 24, 29], [20, 25]]
19: [[19, 16, 9], [7, 2], [1, 3, 4, 8], [6, 5, 11], [18, 12, 14, 13], [17, 10, 21, 15, 27, 22, 26], [20, 23, 24, 25, 29, 28]]
20: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6], [5, 11, 15, 22, 12, 10, 27, 17, 28, 23, 21, 14, 24, 13, 18, 20, 25, 26], [29]]
21: [[19, 16, 9, 7, 2, 1, 3, 4, 8, 6], [5, 11, 15, 13, 18, 10, 12, 14, 23, 17], [24, 25, 20, 21, 22], [27, 26, 28, 29]]
22: [[19, 16, 9], [7, 2, 1], [3, 4, 8], [14, 5], [11, 15, 6], [23], [10, 13, 12], [18, 17, 22], [25, 20, 21, 24], [28, 29, 26, 27]]
23: [[19, 16], [9, 7], [2, 1, 3], [4, 8], [6, 5], [11, 13, 10], [22, 14, 12, 15], [18, 17, 23], [27, 24], [21, 20, 26, 29, 28, 25]]
24: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5, 11, 12, 20, 18, 13, 10, 14, 21, 15, 17, 26, 23, 22, 24], [25, 27, 29, 28]]
25: [[19, 16], [9, 7, 2], [1, 3, 4, 8, 6], [5, 11], [13, 14, 22, 10, 12], [15, 17, 18, 23], [25, 20, 21, 28, 27, 26, 24, 29]]
26: [[19, 16], [9, 7, 2], [1, 3, 4, 8, 6], [5, 11], [13, 14, 22, 10, 12], [15, 17, 18, 23], [25, 20, 21, 28, 27, 26, 24, 29]]
27: [[19, 16, 9], [7, 2, 1], [3, 4, 8], [6, 5, 11, 15, 10], [13, 14, 12, 23], [22], [17, 18, 25, 21, 20, 24, 27, 26, 29, 28]]
28: [[19, 16, 9, 7], [2, 1, 3], [4, 8], [14, 5, 11, 15, 13, 22, 6, 10, 12, 21, 26, 17, 25, 29, 23, 20, 24, 18, 28, 27]]
29: [[19, 16, 9, 7, 2], [1, 3, 4, 8], [6, 5], [11, 15, 13, 18], [10, 14, 12], [21, 23, 22], [27, 17, 20], [24, 25], [26, 28, 29]]
30: [[19, 16, 9], [7, 2, 1], [3, 4], [8, 6, 5, 11], [15, 14], [18, 10, 12, 13, 22], [17, 23, 25, 21, 20], [27, 26, 28, 24, 29]]
31: [[19, 16], [9, 7, 2], [1, 3, 4, 8, 6, 5, 11, 15, 18, 21, 12, 13, 14, 10, 17, 23, 27, 24, 20, 22, 25, 26, 28, 29]]
32: [[19, 16, 9, 7, 2], [1, 3, 4, 8], [6, 5], [11, 12, 13, 18], [10, 15, 14], [21, 23, 17, 25], [22, 20, 27, 24], [26, 29, 28]]
33: [[19, 16], [9, 7], [2, 1], [3, 4, 8, 6], [5, 11, 15, 17], [18, 13, 12, 14, 10], [20, 23, 27, 26, 21, 22, 24, 25, 28, 29]]
34: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [6, 5, 11, 15, 18], [10, 13, 17, 14], [23], [12, 22, 27, 24, 20, 28, 25, 29, 21, 26]]
35: [[19, 16], [9, 7, 2, 1], [3, 4, 6], [8, 5, 11, 14, 15, 17], [12, 10, 13, 23, 18, 22, 25, 28, 20, 24, 27, 21, 26, 29]]
36: [[19, 16, 9, 7], [2, 1, 3], [4, 8, 6, 5, 15, 10, 21, 13, 28, 11, 22, 20, 17, 14, 23, 18, 24, 12, 25, 26, 27, 29]]
37: [[19, 16], [9, 7, 2, 1], [3, 4, 8, 6, 5], [11, 15], [12, 18, 13, 10, 14], [17, 21, 23, 27], [25, 20, 28, 22, 29, 24, 26]]
38: [[19, 16], [9, 7, 2, 21], [3, 4, 1], [10, 5, 6], [8, 11, 12], [13, 14, 15], [17, 18, 22], [27, 20, 23], [28, 24, 25], [26, 29]]
39: [[19, 16], [9, 7], [2, 1], [3, 4, 8, 6], [5, 11], [15, 22, 18, 13, 12, 14, 10, 20, 17, 27, 26, 21, 23, 25, 24, 28, 29]]
40: [[19, 16, 9, 7], [2, 1], [3, 4], [8], [6, 5, 11], [15, 10], [18, 13, 12], [14, 21, 22], [17, 25, 20, 23, 24], [26, 29, 27, 28]]
41: [[19, 16, 9, 7, 2, 1, 3, 4, 8, 6, 5, 15, 13, 18, 11, 12, 10], [14, 27, 17], [21, 24, 20, 26, 28, 22, 23, 25, 29]]
42: [[19, 16, 9, 7, 2, 1, 3, 4, 8, 6], [5, 11, 15], [10, 18], [13, 12, 14, 23, 17, 22, 25, 20, 21, 24, 27, 26, 28, 29]]
43: [[19, 16], [9, 7], [2, 17, 3], [4, 1], [10, 13], [5, 6, 8], [11, 12, 14], [15, 22, 18], [21, 25, 20], [23, 27, 26], [29, 24, 28]]
44: [[19, 16], [9], [7, 2], [1, 3, 4, 8], [6, 5, 11, 10], [18, 13, 12, 21, 14], [17, 15, 20, 25, 22, 23, 28, 29, 27], [24, 26]]
45: [[19, 16], [9, 7, 2], [21, 3, 4], [1, 14, 13], [11, 5], [8, 10, 12, 6], [15, 17, 18, 22], [25, 20, 23, 27], [26, 28, 24, 29]]
46: [[19, 16], [9, 7, 2, 5, 1], [4, 8, 14], [3, 13, 10], [11, 23, 6], [12, 15, 17], [18, 22, 27, 26, 20, 21], [24, 28, 29, 25]]
47: [[19, 16], [9], [7, 2], [1, 3, 4, 8, 6, 5, 15, 10], [22, 11], [13, 12, 18, 14, 27, 21, 29, 25, 17, 26, 20, 28, 23], [24]]
48: [[19, 16], [9, 7, 2, 1], [3, 4, 8], [14, 5, 11, 12], [6, 22, 15], [10, 13], [23, 28, 18, 25], [17, 20, 21, 24, 27, 29, 26]]
49: [[19, 16], [9, 7, 2], [1, 3], [4, 8, 6], [5, 11], [12, 13, 10, 14], [15, 23, 29, 21], [17, 25, 22, 20, 18], [27, 24, 26, 28]]
50: [[19, 16], [9, 7, 2, 1], [3, 4], [8, 6, 5, 11, 18], [12, 14, 13], [17, 10], [21, 15, 27, 22], [26, 20, 23], [24, 25, 29, 28]]
51: [[19, 16], [9], [7, 2], [1, 3, 4, 8, 6, 5, 15], [12, 29, 11, 10], [18, 13, 21, 27, 17, 28, 24, 20, 26, 22, 23, 25, 14]]
52: [[19, 16], [9, 7], [2, 1], [3, 4, 8, 6, 5, 11, 15, 18, 13, 12, 14, 17, 10, 20, 21], [23, 26, 25], [22, 24, 28, 27, 29]]
53: [[19, 16, 9], [7, 2, 1, 3, 4, 8, 6], [5, 11, 12, 13], [14, 10, 17], [18, 21, 15, 22, 25, 20, 23, 27, 24, 29, 28, 26]]
54: [[19, 16, 9], [7, 2, 1, 3, 4, 8, 6], [5, 15], [11, 17], [10, 29], [28, 22, 20, 13], [21, 23, 26, 14], [12, 18, 25, 27, 24]]
55: [[19, 16], [9, 7, 2], [1, 3], [4, 8], [6, 5, 11, 13], [10, 29, 12, 14, 15], [20, 17, 23, 25, 18, 21, 28, 22, 27, 24, 26]]
56: [[19, 16], [9, 7, 2], [1, 3, 4, 8, 6], [5, 11], [15, 14, 22, 13, 12], [10], [18, 28, 17, 27, 20, 21, 23, 25, 26, 24, 29]]
57: [[19, 16], [9, 7, 2], [1, 3, 4], [8, 6], [5, 11, 13, 14], [22, 10, 12], [15, 23, 17], [18, 25], [20, 21, 27, 24, 26, 29], [28]]
58: [[19, 16], [9, 7], [2, 1, 3, 4], [8, 6, 5], [11, 13, 10, 18], [12, 14, 15, 22, 23], [17, 26, 24, 21, 20, 27, 25, 28, 29]]
59: [[19, 16], [9, 7, 2], [1, 3, 4], [8, 6, 5], [11, 13], [10, 14, 12, 15], [23, 29], [17, 18, 25, 24, 20], [21, 22], [26, 27, 28]]
