0: [[1, 2], [6, 5], [19, 11, 3], [4, 12, 14], [9, 7, 17, 8], [15, 16], [18, 13, 10, 22], [25, 20], [28, 24, 23, 29], [26, 27, 21]]
28: [[1, 2, 6, 5, 19, 11], [3, 4], [12, 9, 13], [14, 7, 8, 10, 21, 29, 15, 24, 23, 22, 16, 17, 18, 26, 25, 20, 27, 28]]
29: [[1, 2], [6, 5], [19, 11, 3], [4, 12, 7, 10, 13], [8, 14, 15, 16, 9, 17, 18, 22, 21, 20, 28], [23, 26, 24, 27, 29, 25]]
30: [[1, 2, 6, 5], [19, 11, 3, 4, 12], [7, 9], [15, 8, 10, 13], [16, 17], [14, 24, 23, 18, 21], [22, 26, 20, 25, 28, 27, 29]]
31: [[1, 2], [6, 5], [19, 11, 3], [4, 12, 7, 9, 13, 24], [10, 21], [25, 8, 14], [15, 16, 17, 20, 18, 28], [29, 26, 23, 22, 27]]
32: [[1, 2], [6, 5], [19, 11, 3], [4, 12, 15], [13, 7, 9, 8, 14], [16, 18], [17, 10, 22, 25, 24, 29, 28, 23, 21, 26, 20], [27]]
33: [[1, 2], [6, 5], [19, 11, 3, 4], [14, 7, 9, 10, 8], [12, 13, 16, 15], [17, 21, 22], [18, 20, 26, 28, 23, 25, 24, 27, 29]]
34: [[1, 2], [6, 5, 19], [11, 3, 4, 12, 14, 15, 9, 8, 7, 28, 16, 29, 17, 10, 22, 20, 13, 18, 21], [23, 24, 27, 26, 25]]
35: [[1, 2], [6, 5, 19], [11, 3, 12, 4, 14], [7, 15, 13, 9, 10, 21, 8], [16, 17, 22, 20, 23, 29], [18, 24, 25, 27], [26, 28]]
36: [[1, 2, 6], [5, 19, 11, 3, 4, 12, 7, 8, 15, 24, 9, 10, 16, 13, 14, 27, 22, 20, 17, 18, 23, 21, 25], [26, 29, 28]]
37: [[1, 2], [6, 5, 19], [11, 3, 4, 12, 15, 13, 7, 14, 9, 8], [17, 10, 18, 16, 22, 23, 21, 20, 27, 24, 25], [26, 28, 29]]
38: [[1, 2], [6, 5], [19, 11, 3], [4, 14, 15, 10, 8], [7, 13, 9], [16, 12, 17], [18, 22], [21, 24, 20, 23, 26, 25], [27, 29, 28]]
39: [[1, 2, 6], [5, 19, 11, 3], [4, 12, 7, 15, 9, 10, 8, 13, 17, 14, 16, 22, 20, 21, 18, 23, 26, 25, 24, 27, 29, 28]]
40: [[1, 2], [6, 5, 19, 11, 3, 4, 14, 7, 13, 15, 9, 8, 12, 28, 16, 21, 17, 10, 20, 18, 22, 25, 26, 23, 24], [27, 29]]
41: [[1, 2, 6, 5, 19, 11], [3, 4, 12, 7, 9, 15, 8, 10, 28], [13, 17, 24], [20, 21, 16, 14, 18, 22], [29, 25, 26, 23, 27]]
42: [[1, 2, 6, 5], [19, 11, 3], [4, 12, 7, 13], [15, 8, 9, 10, 21, 14, 16, 26, 22, 20, 17], [18, 23, 25, 24, 27, 29, 28]]
43: [[1, 2, 6, 5, 19, 11, 3], [4, 8, 7, 9, 15, 10, 12, 14, 20, 13, 16, 18, 22, 21, 23, 24], [25, 27, 17, 26, 28, 29]]
44: [[1, 2], [6, 5], [19, 11, 3], [4, 14, 7], [9, 15], [13, 8, 10, 16, 12, 20, 17, 22, 25, 23, 27, 18, 21, 26, 24, 29, 28]]
45: [[1, 2], [6, 5], [19, 11], [3, 4, 14], [10, 9, 7], [12, 8], [15, 17], [18, 13, 25, 22], [24, 20], [26, 16, 23, 29], [28, 27, 21]]
46: [[1, 2], [6, 5, 19, 11, 3, 4, 12, 7, 9, 13], [10, 8, 14, 16, 15, 17, 18, 20, 21, 23, 25, 22, 24, 27, 29, 26, 28]]
47: [[1, 2, 6], [5, 19, 11, 3, 4], [12, 15], [9, 13, 7, 8, 14, 16, 10, 21, 18, 22, 17], [20], [23, 28, 24, 29, 26, 25, 27]]
48: [[1, 2], [6, 5, 19, 11, 3, 4], [12, 7, 10, 13, 15, 8, 14, 16, 9, 21, 18, 22, 17, 20, 24, 27, 23, 26, 25, 29, 28]]
49: [[1, 2], [6, 5], [19, 11], [3, 4, 14], [15, 7, 8, 26, 13], [23, 16], [12, 29, 10], [9, 25, 20, 17, 18, 21, 22, 24, 27, 28]]
50: [[1, 2, 6, 5], [19, 11], [3, 4, 12, 7, 9], [8, 24, 16, 10, 26, 28, 13, 14], [18, 20, 15, 17], [22, 21, 27, 23, 25, 29]]
51: [[1, 2, 6], [5, 19, 11], [3, 4, 8], [7, 9, 15], [12, 10, 14, 13], [22, 17, 16, 18], [20, 29], [23, 24, 25, 26], [21, 27, 28]]
52: [[1, 2], [6, 5], [19, 11, 3, 4], [12, 8, 9], [13, 20, 10, 7, 16], [14, 15], [17, 22, 18, 28], [21, 23], [24, 25, 29, 27, 26]]
53: [[1, 2, 6, 5, 19], [11, 3], [4, 12, 15, 7], [14, 13, 9], [8, 26, 23], [10, 16, 22, 21, 18, 28], [17, 20, 29, 27, 24, 25]]
54: [[1, 2, 6, 5], [19, 11], [3, 4, 12, 7, 10], [29, 13, 9, 14, 16], [8, 28, 17, 22], [15, 20], [23, 25, 18, 21, 27, 24, 26]]
55: [[1, 2], [6, 5, 19], [11, 3, 4, 8], [15, 13, 7, 12, 9, 10], [21, 14, 17, 16], [22, 18, 26], [20, 23, 27, 24], [25, 29, 28]]
56: [[1, 2], [6, 5, 19, 11], [3, 4], [14, 7, 9, 15, 8, 12], [13, 25, 10, 28, 29, 22, 16], [20, 26, 18, 21, 17, 23, 24, 27]]
57: [[1, 2, 6], [5, 19, 11, 3], [4, 14, 15, 8, 12], [9, 13, 10, 20, 7], [16, 26, 22, 17], [18, 23, 21], [28, 24, 27, 25, 29]]
58: [[1, 2], [6, 5, 19], [11, 3, 4], [12, 15, 9, 7], [16, 8], [13, 14, 26, 28, 10, 22], [17, 20, 24, 18, 21, 25, 23], [27, 29]]
59: [[1, 2], [6, 5, 19], [11, 3, 4, 12], [7, 9, 14, 13], [10, 23, 16], [8, 21, 15, 22], [24, 20], [25, 18, 26, 17], [28, 27, 29]]
