0: [[10, 19, 7, 14, 11], [2, 3, 6, 13, 9, 1, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
36: [[10, 19, 7, 14, 11, 1, 4, 2], [3, 6, 13, 9, 5, 8, 15, 16, 12], [18, 20, 17], [21, 23, 22, 24]]
37: [[10, 19, 7, 14, 11, 1], [2, 3, 6, 13, 9, 4], [5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
38: [[10, 19, 7, 14, 11, 1], [2, 3, 6, 13, 4], [9, 5, 8, 15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
39: [[10, 19, 7, 14, 11, 1, 2, 3, 4], [6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
40: [[10, 19, 7, 14, 11, 1], [2, 3, 6, 13, 9, 5, 8, 4], [15, 16, 17, 18, 20, 12], [21, 23, 22, 24]]
41: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
42: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
43: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
44: [[10, 19, 7, 14, 11, 1, 4], [2, 3, 6, 13, 9, 5, 8, 12], [15, 16, 17, 18, 20], [21, 23, 22, 24]]
45: [[10, 19, 7, 14, 11], [1, 2, 3, 6, 13, 9, 4], [5, 8, 12, 15, 16, 17, 18, 20, 21], [23, 22, 24]]
46: [[19, 7, 14, 11, 10], [4, 2, 3, 6, 13, 9, 1], [5, 8, 12, 15, 16, 17, 18], [20, 21, 23, 22, 24]]
47: [[19, 7, 14, 11, 10], [4, 2, 3, 6, 13, 1], [9, 5, 8, 12, 15, 16, 17, 18], [20, 21, 23, 22, 24]]
48: [[10, 19, 7, 14, 11, 1, 2, 3, 4], [6, 13, 9, 5], [8, 12, 15, 16, 17, 18, 20, 21], [23, 22, 24]]
49: [[10, 19, 7, 14, 11, 1], [2, 3, 6, 13, 9, 5, 4], [8, 12, 15, 16, 17, 18, 20, 21], [23, 22, 24]]
