0: [[5, 11, 26, 19], [1, 3, 22, 2], [12, 6, 4], [15, 8], [7, 9], [14, 10, 29], [16, 20, 23, 13], [18, 24], [17, 21, 27], [25, 28], [30, 31, 32, 34, 33], [35], [37, 36]]
17: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30], [31, 32, 34], [33, 35, 37, 36]]
18: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30], [31, 32, 34], [33, 35, 37, 36]]
19: [[5, 11, 26], [19, 1, 3], [22, 2], [12, 6, 4], [15, 8], [7, 9], [14, 10, 29], [16, 20, 23], [13, 18, 24], [17, 21, 27], [25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
20: [[5, 11, 26], [19, 1, 3], [22, 2], [12, 6], [4, 15, 8], [7, 9, 14, 10], [29, 16, 20], [23, 13, 18], [24, 17], [21, 27, 25, 28], [30, 31, 32], [34, 33, 35], [37, 36]]
21: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7], [9, 14, 10], [29, 16], [20, 23, 13], [18, 24], [17, 21, 27], [25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
22: [[5, 11, 26, 19], [1, 3, 22, 2], [12, 6, 4], [15, 8, 7, 9], [14, 10], [29, 16], [20, 23, 13], [18, 24, 17, 21, 27], [25, 28, 30], [31, 32, 34, 33, 35, 37, 36]]
23: [[5, 11, 26], [19, 1], [3, 22, 2], [12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16, 20], [23, 13, 18], [24, 17, 21, 27], [25, 28], [30, 31], [32, 34, 33], [35, 37, 36]]
24: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9, 14], [10, 29, 16], [20, 23], [13, 18, 24], [17, 21, 27, 25], [28, 30, 31, 32, 34, 33, 35, 37, 36]]
25: [[5, 11], [26, 19], [1, 3], [22, 2], [12, 6], [4, 15, 8], [7, 9, 14], [10, 29, 16], [20, 23, 13], [18, 24, 17], [21, 27], [25, 28, 30], [31, 32, 34], [33, 35], [37, 36]]
26: [[5, 11, 26, 19], [1, 3, 22, 2], [12, 6, 4], [15, 8, 7, 9], [14, 10], [29, 16, 20, 23], [13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
27: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6], [4, 15, 8], [7, 9, 14], [10, 29], [16, 20, 23], [13, 18, 24], [17, 21], [27, 25, 28], [30, 31, 32], [34, 33], [35, 37, 36]]
28: [[5, 11, 26], [19], [1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23], [13, 18, 24], [17, 21, 27], [25, 28, 30], [31, 32], [34, 33], [35, 37, 36]]
29: [[5, 11], [26, 19, 1], [3, 22, 2], [12, 6, 4], [15, 8], [7, 9], [14, 10], [29, 16], [20, 23], [13, 18, 24], [17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
30: [[5, 11, 26], [19, 1, 3], [22, 2], [12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16, 20], [23, 13], [18, 24, 17], [21, 27], [25, 28, 30], [31], [32, 34], [33, 35, 37, 36]]
31: [[5, 11, 26], [19, 1, 3, 22], [2, 12, 6], [4, 15, 8], [7, 9], [14, 10, 29], [16, 20, 23], [13, 18, 24], [17, 21, 27, 25, 28, 30, 31], [32, 34, 33, 35, 37, 36]]
32: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9, 14], [10, 29, 16], [20, 23, 13, 18], [24, 17], [21, 27, 25], [28, 30], [31, 32, 34], [33, 35, 37, 36]]
33: [[5, 11, 26, 19], [1, 3], [22, 2, 12], [6, 4, 15, 8, 7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
34: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30], [31], [32, 34], [33, 35, 37, 36]]
35: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9, 14, 10, 29, 16], [20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
36: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6, 4], [15, 8, 7, 9], [14, 10], [29, 16, 20], [23, 13], [18, 24, 17], [21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
37: [[5, 11], [26, 19, 1, 3], [22, 2, 12, 6], [4], [15, 8, 7], [9, 14], [10, 29], [16, 20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30], [31, 32, 34], [33, 35, 37, 36]]
38: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6], [4, 15, 8], [7, 9, 14], [10, 29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30, 31], [32, 34, 33], [35], [37, 36]]
39: [[5, 11, 26], [19, 1, 3, 22], [2, 12, 6], [4, 15, 8], [7, 9], [14, 10, 29], [16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
40: [[5, 11, 26], [19, 1], [3, 22, 2], [12, 6, 4], [15, 8, 7], [9, 14], [10, 29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30, 31], [32, 34, 33], [35, 37, 36]]
41: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4], [15, 8, 7], [9, 14, 10, 29], [16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
42: [[5, 11], [26, 19], [1, 3, 22], [2, 12], [6, 4, 15], [8, 7, 9], [14, 10], [29, 16, 20], [23, 13, 18], [24, 17, 21], [27, 25, 28], [30, 31], [32, 34, 33], [35, 37, 36]]
43: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4], [15, 8, 7], [9, 14, 10, 29], [16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
44: [[5, 11, 26], [19, 1], [3, 22, 2], [12, 6, 4], [15, 8, 7], [9, 14], [10, 29, 16], [20, 23, 13], [18, 24, 17], [21, 27], [25, 28, 30, 31], [32, 34], [33, 35, 37, 36]]
45: [[5, 11, 26, 19], [1, 3, 22], [2, 12], [6, 4, 15], [8, 7], [9, 14, 10], [29, 16, 20, 23], [13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
46: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23], [13, 18], [24, 17, 21], [27, 25, 28, 30], [31, 32, 34], [33, 35, 37, 36]]
47: [[5, 11], [26, 19], [1, 3, 22], [2, 12], [6, 4], [15, 8], [7, 9], [14, 10, 29], [16, 20, 23], [13, 18], [24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
48: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4], [15, 8, 7], [9, 14], [10, 29], [16, 20, 23], [13, 18, 24], [17, 21, 27], [25, 28, 30, 31], [32, 34, 33], [35, 37, 36]]
49: [[5, 11], [26, 19, 1], [3, 22, 2], [12, 6, 4], [15, 8, 7], [9, 14], [10, 29, 16], [20, 23, 13], [18, 24, 17], [21, 27, 25], [28, 30, 31], [32, 34, 33], [35, 37, 36]]
50: [[5, 11], [26, 19, 1], [3, 22, 2, 12], [6, 4, 15], [8, 7, 9], [14, 10], [29, 16, 20], [23, 13, 18], [24, 17, 21], [27, 25, 28], [30, 31], [32, 34, 33], [35, 37, 36]]
51: [[5, 11], [26, 19], [1, 3], [22, 2], [12, 6], [4, 15], [8, 7], [9, 14, 10], [29, 16, 20], [23, 13], [18, 24, 17], [21, 27, 25], [28, 30, 31], [32, 34, 33], [35, 37, 36]]
52: [[5, 11, 26], [19, 1], [3, 22, 2], [12], [6, 4, 15, 8], [7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
53: [[5, 11, 26, 19], [1, 3, 22], [2, 12], [6, 4, 15], [8, 7, 9, 14, 10, 29, 16, 20, 23, 13], [18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
54: [[5, 11], [26, 19], [1, 3, 22], [2, 12], [6, 4, 15], [8, 7, 9], [14, 10], [29, 16, 20], [23, 13, 18], [24, 17], [21, 27, 25], [28, 30, 31], [32, 34, 33], [35, 37, 36]]
55: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6], [4, 15, 8], [7, 9, 14], [10, 29, 16], [20, 23], [13, 18, 24, 17], [21, 27, 25], [28, 30, 31], [32, 34, 33], [35, 37, 36]]
56: [[5, 11, 26], [19, 1, 3, 22], [2, 12, 6], [4, 15], [8, 7, 9], [14, 10], [29, 16, 20], [23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
57: [[5, 11, 26], [19, 1], [3, 22, 2, 12, 6, 4, 15, 8, 7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
58: [[5, 11, 26], [19, 1], [3, 22], [2, 12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20, 23], [13, 18], [24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
59: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
60: [[5, 11], [26, 19], [1, 3, 22, 2, 12, 6, 4, 15, 8, 7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
61: [[5, 11], [26, 19, 1], [3, 22, 2], [12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16], [20, 23, 13, 18], [24, 17], [21, 27, 25], [28, 30], [31, 32], [34, 33], [35, 37, 36]]
62: [[5, 11], [26, 19], [1, 3, 22], [2, 12, 6, 4], [15, 8, 7], [9, 14, 10], [29, 16], [20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31], [32, 34, 33, 35, 37, 36]]
63: [[5, 11, 26], [19, 1, 3], [22, 2], [12, 6, 4], [15, 8, 7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25], [28, 30, 31, 32, 34, 33, 35, 37, 36]]
64: [[5, 11], [26, 19, 1], [3, 22, 2, 12], [6, 4, 15, 8, 7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
65: [[5, 11], [26, 19], [1, 3], [22, 2, 12], [6, 4], [15, 8, 7], [9, 14, 10], [29, 16, 20], [23, 13, 18], [24, 17], [21, 27, 25], [28, 30], [31, 32], [34, 33], [35], [37, 36]]
66: [[5, 11], [26, 19, 1], [3, 22, 2, 12], [6, 4, 15, 8, 7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
67: [[5, 11, 26], [19, 1, 3, 22], [2, 12, 6, 4], [15, 8], [7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34], [33, 35, 37, 36]]
68: [[5, 11], [26, 19], [1, 3], [22, 2, 12], [6, 4, 15], [8], [7, 9, 14, 10, 29, 16, 20, 23, 13], [18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
69: [[5, 11], [26, 19, 1], [3, 22, 2], [12, 6, 4], [15, 8, 7], [9, 14], [10], [29, 16], [20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
70: [[5, 11], [26, 19, 1], [3, 22], [2, 12, 6, 4, 15], [8], [7, 9], [14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
71: [[5, 11], [26, 19], [1, 3, 22], [2, 12], [6], [4, 15], [8, 7, 9, 14, 10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
72: [[5, 11], [26, 19, 1], [3, 22, 2], [12, 6, 4], [15, 8, 7], [9, 14], [10, 29, 16, 20, 23, 13, 18, 24, 17, 21, 27, 25, 28, 30, 31, 32, 34, 33, 35, 37, 36]]
73: [[5, 11, 26], [19, 1, 3], [22, 2, 12], [6, 4, 15], [8, 7, 9], [14, 10, 29], [16, 20], [23, 13, 18], [24, 17, 21], [27, 25], [28, 30], [31, 32], [34, 33, 35], [37, 36]]
