0: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15, 7], [1, 17, 6], [11, 16, 10, 12], [28, 23], [29, 14], [5, 25], [21, 26, 27]]
48: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2, 24], [15, 7, 1], [17, 6], [11, 16, 10], [12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
49: [[20, 3], [4, 8], [9, 13, 22], [18, 19], [2, 24, 15], [7, 1], [17, 6], [11, 16], [10, 12, 28], [23, 29, 14, 5, 25, 21, 26, 27]]
50: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2], [24, 15, 7], [1, 17, 6, 11, 16, 10, 12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
51: [[20, 3], [4, 8], [9, 13, 22], [18, 19, 2], [24, 15], [7, 1], [17, 6], [11, 16, 10], [12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
52: [[20, 3], [4, 8], [9, 13], [22, 18], [19, 2, 24], [15, 7], [1, 17, 6, 11, 16, 10, 12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
53: [[20, 3], [4, 8, 9], [13, 22, 18, 19, 2, 15, 7, 1, 17, 6, 11, 16, 24, 28, 10, 12, 23, 29, 14, 5, 25, 21, 26, 27]]
54: [[20, 3], [4, 8, 9], [13, 18, 19, 22], [2, 24], [15, 7], [1, 17, 6], [11, 16, 28, 23, 29, 5, 25, 21, 26, 27, 10, 12, 14]]
55: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2, 24, 15, 7, 1, 17, 6, 11, 16, 10, 12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
56: [[20, 3, 4], [8, 9, 13], [22, 18], [19, 2], [24, 15, 7, 1, 17, 6, 11, 16, 10, 12, 28, 23, 29, 5, 25, 14, 21, 26, 27]]
57: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24, 15], [7, 1], [17, 6, 11], [16, 10], [12, 28, 23, 29, 14, 5, 25, 21, 26, 27]]
58: [[20, 3], [4, 8, 9], [13, 22, 18], [19, 2], [24, 15], [7, 1, 17, 6, 11, 16, 10, 12, 28, 23, 29, 5, 25, 14, 21, 26, 27]]
59: [[20, 3], [4, 8], [9, 13], [22, 18, 19], [2, 24], [15, 7], [1, 17], [6, 11, 16], [10, 12, 28, 23, 29, 5, 25, 14, 21, 26, 27]]
