0: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20], [27, 21], [25, 28, 26], [30, 31, 33, 32, 34], [37]]
11: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5, 14], [10, 15, 6], [8, 11], [13, 29], [24, 18], [16, 17, 19], [23, 20], [27, 21, 25], [28, 26], [30, 31, 33], [32, 34, 37]]
12: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5, 14], [10, 15, 6], [8, 11], [13, 29], [24, 18], [16, 17, 19], [23, 20], [27, 21, 25], [28, 26], [30, 31, 33], [32, 34, 37]]
13: [[35, 22], [2, 36, 7], [3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23, 20], [27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
14: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20, 27, 21, 25], [28, 26, 30, 31, 33, 32, 34, 37]]
15: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20, 27, 21, 25], [28, 26, 30, 31, 33, 32, 34, 37]]
16: [[35, 22, 2], [36, 7], [3, 1], [9, 4], [12, 5, 14], [10, 15, 6], [8], [11, 13, 29], [24, 18], [16, 17, 19], [23, 20], [27, 21, 25], [28, 26], [30, 31, 33], [32, 34, 37]]
17: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10, 15], [6, 8, 11], [13, 29, 24], [18, 16, 17], [19, 23, 20], [27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
18: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10, 15], [6, 8, 11], [13, 29, 24], [18, 16, 17], [19, 23, 20], [27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
19: [[35, 22], [2, 36, 7], [3, 1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24], [18, 16, 17], [19, 23, 20], [27, 21, 25], [28, 26], [30, 31, 33], [32, 34, 37]]
20: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5, 14], [10, 15, 6], [8, 11, 13], [29, 24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
21: [[35, 22], [2, 36, 7], [3, 1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24], [18, 16, 17], [19, 23, 20], [27, 21, 25], [28, 26], [30, 31, 33], [32, 34, 37]]
22: [[35, 22], [2, 36], [7, 3, 1], [9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28], [26, 30, 31, 33], [32, 34, 37]]
23: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5, 14], [10, 15], [6, 8, 11], [13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33, 32, 34, 37]]
24: [[35, 22], [2, 36, 7], [3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28, 26], [30, 31, 33], [32, 34, 37]]
25: [[35, 22], [2, 36, 7], [3, 1], [9, 4], [12, 5, 14], [10, 15, 6], [8, 11, 13], [29, 24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
26: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11, 13, 29, 24, 18], [16], [17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
27: [[35, 22], [2, 36, 7], [3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13], [29, 24], [18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
28: [[35, 22, 2], [36, 7, 3, 1], [9, 4], [12, 5, 14], [10, 15, 6, 8, 11], [13], [29, 24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28], [26, 30], [31, 33, 32], [34], [37]]
29: [[35, 22, 2], [36, 7], [3, 1], [9, 4, 12], [5, 14, 10], [15, 6], [8, 11], [13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
30: [[35, 22, 2], [36, 7], [3, 1, 9], [4, 12], [5, 14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28], [26, 30, 31], [33, 32, 34], [37]]
31: [[35, 22, 2], [36, 7, 3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31], [33, 32, 34], [37]]
32: [[35, 22, 2], [36, 7], [3, 1, 9], [4, 12, 5], [14, 10, 15], [6, 8, 11], [13, 29, 24], [18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31], [33, 32], [34, 37]]
33: [[35, 22, 2], [36, 7], [3, 1, 9], [4, 12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28, 26, 30, 31, 33], [32, 34, 37]]
34: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12], [5, 14, 10], [15], [6, 8, 11], [13, 29, 24], [18, 16, 17, 19], [23, 20], [27, 21, 25], [28, 26], [30, 31, 33], [32, 34, 37]]
35: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10], [15, 6, 8], [11], [13, 29, 24, 18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
36: [[35, 22], [2, 36], [7, 3, 1], [9, 4], [12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28], [26], [30, 31, 33, 32, 34, 37]]
37: [[35, 22], [2, 36, 7], [3, 1], [9, 4], [12, 5], [14, 10, 15], [6, 8, 11], [13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31], [33, 32], [34, 37]]
38: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5, 14], [10, 15], [6, 8, 11], [13, 29], [24, 18], [16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
39: [[35, 22], [2, 36], [7, 3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13, 29], [24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31], [33, 32], [34, 37]]
40: [[35, 22], [2, 36, 7], [3, 1, 9], [4], [12, 5, 14], [10, 15], [6, 8, 11], [13, 29], [24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28], [26, 30, 31, 33], [32, 34, 37]]
41: [[35, 22, 2], [36, 7], [3, 1, 9], [4, 12], [5, 14], [10, 15], [6, 8, 11], [13, 29], [24, 18, 16], [17, 19], [23, 20], [27, 21, 25], [28, 26], [30, 31, 33], [32, 34, 37]]
42: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12], [5, 14, 10], [15, 6], [8, 11, 13], [29, 24], [18, 16, 17], [19, 23, 20], [27, 21], [25, 28], [26, 30], [31, 33], [32, 34, 37]]
43: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24, 18, 16], [17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
44: [[35, 22, 2], [36, 7], [3, 1], [9, 4, 12], [5, 14], [10, 15, 6], [8, 11, 13], [29, 24, 18], [16, 17, 19], [23, 20, 27], [21, 25, 28], [26, 30], [31, 33], [32, 34, 37]]
45: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10, 15], [6, 8, 11], [13, 29, 24], [18, 16, 17], [19, 23, 20], [27, 21, 25], [28, 26, 30], [31, 33], [32, 34, 37]]
46: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5, 14], [10, 15], [6, 8, 11], [13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21], [25, 28, 26], [30, 31], [33, 32, 34], [37]]
47: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13, 29], [24, 18, 16], [17, 19], [23, 20], [27, 21, 25], [28], [26, 30], [31, 33, 32, 34, 37]]
48: [[35, 22], [2, 36], [7, 3], [1, 9, 4], [12, 5, 14], [10, 15], [6, 8, 11], [13, 29, 24], [18, 16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
49: [[35, 22], [2, 36], [7, 3], [1, 9], [4, 12, 5], [14, 10], [15, 6], [8, 11], [13, 29, 24], [18, 16, 17], [19, 23], [20, 27, 21], [25, 28, 26], [30, 31, 33], [32, 34, 37]]
50: [[35, 22, 2], [36, 7], [3, 1, 9, 4], [12, 5, 14], [10, 15, 6], [8, 11], [13, 29, 24], [18, 16, 17], [19, 23, 20, 27, 21, 25], [28, 26, 30, 31, 33, 32, 34, 37]]
51: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12], [5, 14, 10], [15, 6, 8], [11, 13], [29, 24], [18, 16, 17], [19, 23, 20], [27, 21, 25], [28, 26, 30], [31, 33], [32, 34], [37]]
52: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5], [14, 10, 15], [6, 8, 11, 13], [29], [24, 18, 16], [17, 19, 23, 20, 27], [21], [25, 28, 26, 30, 31, 33, 32, 34, 37]]
53: [[35, 22, 2], [36, 7], [3, 1, 9], [4, 12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24, 18, 16], [17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
54: [[35, 22, 2], [36, 7], [3, 1, 9], [4, 12, 5], [14, 10, 15], [6, 8, 11], [13, 29, 24], [18, 16, 17], [19, 23, 20], [27, 21, 25], [28, 26, 30], [31, 33, 32], [34, 37]]
55: [[35, 22], [2, 36, 7], [3, 1], [9, 4], [12, 5], [14, 10, 15], [6, 8, 11, 13, 29, 24, 18, 16], [17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
56: [[35, 22], [2, 36, 7], [3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13, 29], [24, 18, 16], [17, 19], [23, 20], [27, 21, 25], [28, 26, 30, 31, 33], [32], [34, 37]]
57: [[35, 22, 2], [36, 7, 3], [1, 9, 4], [12, 5, 14], [10], [15, 6, 8, 11, 13, 29, 24, 18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
58: [[35, 22], [2, 36], [7, 3, 1], [9, 4], [12, 5, 14], [10, 15, 6], [8, 11, 13], [29, 24], [18, 16, 17], [19, 23], [20, 27, 21], [25, 28], [26, 30], [31, 33, 32], [34, 37]]
59: [[35, 22, 2], [36, 7, 3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13, 29], [24, 18, 16], [17, 19, 23], [20], [27, 21], [25, 28, 26, 30, 31, 33, 32, 34, 37]]
60: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24, 18, 16], [17, 19], [23, 20], [27, 21, 25], [28, 26, 30], [31, 33], [32], [34, 37]]
61: [[35, 22], [2, 36], [7, 3, 1], [9, 4, 12], [5, 14, 10], [15, 6, 8], [11, 13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21], [25, 28], [26, 30, 31], [33, 32, 34, 37]]
62: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10, 15], [6, 8, 11], [13, 29, 24], [18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
63: [[35, 22], [2, 36, 7], [3, 1], [9, 4, 12], [5, 14], [10, 15], [6, 8], [11, 13, 29], [24, 18], [16, 17, 19], [23, 20], [27, 21, 25], [28, 26, 30], [31, 33, 32, 34, 37]]
64: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5, 14, 10, 15, 6, 8, 11], [13, 29, 24, 18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
65: [[35, 22], [2, 36, 7], [3, 1, 9], [4, 12], [5, 14, 10], [15, 6], [8, 11, 13], [29, 24, 18], [16, 17], [19, 23], [20, 27, 21], [25, 28, 26, 30, 31], [33], [32, 34, 37]]
66: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10, 15], [6, 8, 11], [13, 29], [24, 18, 16], [17, 19, 23], [20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
67: [[35, 22], [2, 36], [7, 3], [1, 9], [4, 12, 5], [14, 10], [15, 6, 8], [11, 13, 29, 24], [18, 16, 17], [19, 23, 20], [27, 21, 25], [28, 26, 30], [31, 33], [32, 34, 37]]
68: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12], [5, 14], [10, 15, 6, 8, 11, 13, 29, 24, 18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
69: [[35, 22], [2, 36, 7], [3, 1, 9], [4, 12, 5], [14], [10, 15, 6, 8, 11, 13, 29, 24, 18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
70: [[35, 22, 2], [36, 7, 3], [1, 9], [4, 12, 5], [14, 10, 15], [6, 8], [11, 13, 29], [24], [18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
71: [[35, 22], [2, 36, 7], [3, 1], [9, 4, 12], [5, 14], [10, 15], [6, 8], [11, 13], [29, 24, 18], [16, 17, 19], [23, 20, 27], [21, 25], [28, 26, 30], [31, 33], [32, 34, 37]]
72: [[35, 22, 2], [36], [7, 3, 1, 9, 4, 12, 5, 14, 10, 15, 6, 8, 11, 13, 29, 24, 18, 16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
73: [[35, 22], [2, 36, 7], [3, 1, 9], [4, 12], [5, 14], [10, 15, 6], [8, 11, 13, 29, 24], [18], [16, 17, 19, 23, 20, 27, 21, 25, 28, 26, 30, 31, 33, 32, 34, 37]]
