0: [[22, 4, 5, 3, 6], [8, 14, 7, 11, 10], [9, 1, 2, 13], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
37: [[2, 6, 5], [22], [4, 8, 14, 7, 11, 10], [9, 1, 13], [12, 15, 19, 16, 17, 18, 20, 3], [21, 23, 24]]
38: [[2], [22], [4, 8, 14, 7, 11, 5], [10, 9, 1, 13, 3, 6], [12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
39: [[2], [22, 4, 8, 14, 7, 11, 5], [10, 9, 1, 3, 6], [13, 12, 15, 19, 16, 17, 18, 20], [21, 23, 24]]
40: [[2, 22], [4, 8, 5], [14, 7, 11, 10, 9, 6], [1, 13, 12], [15, 19, 16, 17, 18, 20, 3], [21, 23, 24]]
41: [[2, 3, 6, 5], [22, 4], [8, 14, 7, 11, 10], [9, 1, 13, 12], [15, 19, 16, 17, 18, 20, 21], [23, 24]]
42: [[2, 3, 6, 5], [22, 4], [8, 14, 7, 11, 10], [9, 1, 13, 12], [15, 19, 16, 17, 18, 20, 21], [23, 24]]
43: [[2, 3, 6, 5], [22, 4], [8, 14, 7, 11, 10], [9, 1, 13, 12], [15, 19, 16, 17, 18, 20, 21], [23, 24]]
44: [[2, 3, 6, 5], [22, 4], [8, 14, 7, 11, 10], [9, 1, 13, 12], [15, 19, 16, 17, 18, 20, 21], [23, 24]]
45: [[2, 3, 6, 5], [22, 4], [8, 14, 7, 11, 10, 9], [1, 13, 12], [15, 19, 16, 17, 18, 20, 21], [23, 24]]
46: [[2, 3, 6, 5], [22, 4], [8, 14, 7, 11, 10, 9], [1, 13, 12], [15, 19, 16, 17, 18, 20, 21], [23, 24]]
47: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1], [13, 12, 15, 19, 16, 17, 18], [20, 21, 23, 24]]
48: [[2, 3, 6], [22, 4, 5], [8, 14, 7, 11, 10], [9, 1], [13, 12, 15, 19, 16, 17, 18], [20, 21, 23, 24]]
49: [[2, 5, 22, 6, 4], [8], [14, 7, 11, 10, 9], [1, 13], [12, 15, 19, 16, 17, 18, 20, 21, 3], [23, 24]]
