0: [[3, 8, 4, 12], [5, 6, 7], [19, 2, 9, 1], [15, 11], [20, 25], [18, 17, 14], [13, 23, 22], [16, 28, 24, 10], [26, 21, 27], [29]]
30: [[3, 8, 4, 12], [5, 6, 2], [19], [7, 1, 22, 11, 9, 10, 29, 13, 16, 14, 27, 15, 20, 17, 23, 18, 26, 25, 21, 24, 28]]
31: [[3, 8, 4], [12, 5, 6], [7, 19, 1, 9, 2, 11, 10, 15, 13, 14, 17], [16, 22, 23, 21, 26, 28, 24], [18, 20, 27, 25, 29]]
32: [[3, 8, 4, 12], [5, 6, 1, 19, 2], [9, 10, 7, 15], [14, 29, 13, 20, 11, 26], [21, 23, 17, 24, 16, 18, 25, 22, 27, 28]]
33: [[3, 8, 4, 12], [5, 6, 1, 19], [11, 9, 2, 7], [15, 10, 13, 14, 27], [18, 17, 22, 16], [23, 20, 21, 25], [26, 28, 24, 29]]
34: [[3, 8, 4], [12, 5, 6], [1, 19, 2, 9, 11, 7, 10, 14, 13, 15, 16, 22, 21], [23, 20, 18, 24], [29, 17], [26, 25, 28, 27]]
35: [[3, 8, 4, 12], [5], [6, 9, 19, 1, 11, 7, 13, 2, 14, 24, 15, 10, 16, 18, 20, 17, 21, 22, 25, 26, 27, 23, 29, 28]]
36: [[3, 8, 4, 12], [5, 6], [15, 19, 1, 11], [7, 10, 2, 9], [13, 14, 16, 21], [22, 26, 20, 23, 24, 17, 25], [18, 29, 27, 28]]
37: [[3, 8, 4, 12, 5, 6, 2, 19, 1, 9, 7], [13, 10, 15, 11, 14, 24, 16, 17], [22, 21, 18, 20, 27, 23, 25, 26, 29, 28]]
38: [[3, 8, 4, 12], [5, 6, 1], [19, 11, 2, 7], [9, 13, 10, 22], [29, 21, 15, 14], [20, 16], [17, 18, 28, 24], [27, 23, 25], [26]]
39: [[3, 8, 4], [12, 5, 6, 1, 19, 2, 9, 7, 11, 10, 14, 13, 27, 18, 16, 29, 15, 17, 21, 23, 20, 22, 24], [26, 28, 25]]
40: [[3, 8, 4, 12, 5], [6, 11], [19, 10, 1], [7, 9, 13, 15], [14, 17, 16, 21], [22, 2, 18, 23, 20], [24, 27, 26, 25, 28, 29]]
41: [[3, 8, 4, 12], [5, 6, 10, 19, 1, 9, 7], [2, 11, 15, 14], [13, 20, 23, 17, 21, 16, 22, 25, 26, 24, 18, 29, 27, 28]]
42: [[3, 8], [4, 12], [5, 6], [11, 19, 10], [2, 23, 1, 7, 9], [15, 17, 16, 13, 14, 18, 20, 21, 26], [24, 29, 27], [22, 28, 25]]
43: [[3, 8, 4, 12], [5, 6, 9, 19], [1, 10, 7], [13, 2, 15, 25], [11, 14, 17, 16], [18, 20], [22, 21, 23, 26], [24, 27, 28, 29]]
44: [[3, 8, 4, 12, 5, 6, 10], [19], [1, 9], [7, 2, 15, 11, 14, 13, 16, 23, 25, 17, 22, 18, 28, 21, 27, 24, 20, 26, 29]]
45: [[3, 8, 4, 12, 5, 6], [1, 19, 2, 9, 23, 15], [7, 10, 11, 13, 17, 16, 25, 14, 20, 22, 18, 21, 26, 27, 24, 28, 29]]
46: [[3, 8, 4, 12, 5, 6, 1, 19, 2, 11, 23, 10, 15, 9, 7, 13, 14, 21, 20, 16, 18], [17, 24, 22, 25], [26, 27, 29, 28]]
47: [[3, 8], [4, 12, 5, 6], [1, 19, 2, 9], [15, 7], [11, 13], [29, 10, 14, 26], [21, 20, 22, 25, 16, 17, 27, 18, 23, 24, 28]]
48: [[3, 8], [4, 12, 5], [6, 1, 19, 2, 11, 9, 7, 10, 15, 14, 13, 24, 23, 25, 21, 20, 16, 22, 17, 18, 27, 28, 29, 26]]
49: [[3, 8], [4, 12, 5, 6], [1, 19, 9, 2], [7, 11, 10, 15], [13, 14, 20], [22, 21, 18], [16, 23, 27, 26], [24, 17, 29, 25, 28]]
50: [[3, 8, 4], [12, 5, 14], [1, 19, 2, 10], [7, 9, 11, 15], [24, 13, 20, 16], [6, 18, 17], [21, 26, 29, 22], [23, 25, 27, 28]]
51: [[3, 8, 4, 12], [5, 6, 1, 19], [9, 11, 7, 2], [10, 14], [13, 15, 18, 17], [21, 16, 24, 22, 23, 20, 27], [26, 25, 29, 28]]
52: [[3, 8, 4, 12], [5, 6, 9], [19, 1, 15, 23, 10], [11, 2, 7, 22], [13], [16, 20, 14], [18, 17, 21], [28, 24, 26], [27, 25, 29]]
53: [[3, 8, 4], [12, 5, 6], [15, 19, 2, 1], [7, 9], [11, 10], [27, 17, 16], [26, 13, 22], [23, 14, 29, 18], [28, 20, 21], [24, 25]]
54: [[3, 8, 4, 12], [5, 6, 1, 19], [2, 9, 23, 11, 14, 7], [10, 13, 16], [15], [22, 21, 18, 17, 25, 20, 24, 27], [26, 29, 28]]
55: [[3, 8, 4, 12], [5, 6, 1], [19, 2, 9, 11], [7, 10], [21, 29], [17, 20], [13, 14, 15, 22, 16, 18, 28, 24, 25], [23, 26], [27]]
56: [[3, 8, 4, 12], [5, 6, 9, 19], [1, 10, 23, 14], [15, 2], [7, 13, 16], [11, 18, 22, 20, 21, 17], [28, 25, 24, 27], [26, 29]]
57: [[3, 8, 4, 12], [5, 6, 2, 19], [1, 9, 23, 10], [7, 15, 25, 14, 17], [11, 26, 13, 16], [18, 21, 20], [22, 24, 28], [29, 27]]
58: [[3, 8], [4, 12, 5], [6, 1], [19, 2], [9, 7, 10], [11, 14], [25, 13, 16], [15, 26, 17, 21], [29, 24, 20], [18, 22, 23, 27], [28]]
59: [[3, 8], [4, 12, 5], [6, 9, 19, 1, 10], [23, 7, 15, 2], [11], [13, 14, 16], [17, 18, 20], [22, 21, 28], [24, 26, 27, 29, 25]]
