0: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5, 12, 22], [8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
25: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
26: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
27: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
28: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
29: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
30: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
31: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
32: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
33: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
34: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
35: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5], [12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
36: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5], [12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
37: [[6, 13, 11, 16, 1, 7, 2, 4, 3], [10, 14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
38: [[6, 13, 11, 16, 1, 7, 2, 4, 3], [10, 14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
39: [[6, 13, 11, 16, 1, 7, 2, 4, 3], [10, 14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
40: [[6, 13, 11, 16, 1, 7, 2, 4, 3], [10, 14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
41: [[6, 13, 11, 16, 1, 7, 2, 4, 3], [10, 14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20], [23, 21, 24]]
42: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18], [20, 23, 21, 24]]
43: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18], [20, 23, 21, 24]]
44: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18], [20, 23, 21, 24]]
45: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18], [20, 23, 21, 24]]
46: [[6, 13, 11, 16, 1, 7, 2, 4, 3], [10, 14, 5, 12, 22, 8, 9, 15, 17, 19, 18], [20, 23, 21, 24]]
47: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14, 5, 12, 22], [8, 9, 15, 17, 19, 18, 20, 23], [21, 24]]
48: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10, 14], [5, 12, 22, 8, 9, 15, 17, 19, 18, 20, 23], [21, 24]]
49: [[6, 13, 11, 16, 1, 7, 2, 4, 3, 10], [14, 5, 12, 22, 8, 9, 15, 17, 19, 18, 20, 23], [21, 24]]
