0: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16, 21], [18, 25, 28, 20], [59, 27, 30], [38, 56, 45, 42], [58, 33, 34, 31], [61, 46, 40], [44, 37, 36, 32], [29, 35, 62, 43], [52, 51, 53], [41, 47, 55, 60], [48, 49, 54, 57, 63], [65, 64], [68, 70], [67, 66, 77, 69, 71, 73, 76, 75, 72], [74, 78, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
11: [[24, 23, 1, 13], [2, 4, 12, 22, 6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 20, 16, 21], [18, 17, 25, 27], [29, 28, 31, 52, 30, 37], [58, 32], [40, 36, 41], [43, 33, 35, 34], [44, 38, 45], [42, 48, 46, 60, 54], [55, 61, 51, 57], [56, 47, 53, 49, 62, 59, 63, 65, 64, 68], [70, 66, 67, 75, 71, 69], [76, 73], [72, 74, 77, 78, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
12: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17], [20, 16, 18], [28, 21, 60, 30], [27, 29, 31, 49], [61, 57, 32], [35, 38, 46, 37, 36, 45, 40, 34, 25, 33, 41, 44, 56, 53, 43, 42, 51, 58, 47, 48, 62, 52, 54, 55, 63, 59], [65, 64, 68, 67, 73, 66, 74, 79, 71, 70, 75, 72, 69], [77, 76, 78, 84, 81, 80, 82, 83, 87, 85], [86, 88]]
13: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5], [7, 10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [25, 17, 16, 21, 18, 11, 20, 61, 29, 28, 27, 62, 58, 36, 56, 31], [44, 30, 51, 63, 32, 33], [41, 34, 35, 40, 46, 37, 38, 47, 59, 42, 48, 45, 52, 43, 49, 53, 54, 55, 57, 60, 65, 64, 68, 70, 66, 69, 75, 67, 71, 74], [72, 76, 73, 79, 78, 77, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
14: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 16, 21], [17, 18, 30], [20, 28, 56], [27, 31, 62], [25, 41, 57, 53, 33, 42, 35, 36, 44, 29, 34, 37], [63, 47, 32], [46, 38, 40, 49, 51, 43, 45, 52, 54, 55], [48, 58, 59, 60, 61, 65, 64, 68, 67, 69, 66, 75, 70, 71, 72, 73, 74, 76, 77, 78, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
15: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 16, 21], [17, 18, 30], [20, 28, 56], [27, 31, 62], [25, 41, 57, 53, 33, 42, 35, 36, 44, 29, 34, 37], [63, 47, 32], [46, 38, 40, 49, 51, 43, 45, 52, 54, 55], [48, 58, 59, 60, 61, 65, 64, 68, 67, 69, 66, 75, 70, 71, 72, 73, 74, 76, 77, 78, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
16: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 16, 21], [17, 18, 30], [20, 28, 56], [27, 31, 62], [25, 41, 57, 53, 33, 42, 35, 36, 44, 29, 34, 37], [63, 47, 32], [46, 38, 40, 49, 51, 43, 45, 52, 54, 55], [48, 58, 59, 60, 61, 65, 64, 68, 67, 69, 66, 75, 70, 71, 72, 73, 74, 76, 77, 78, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
17: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16, 21], [18, 28, 20, 27], [57, 25, 29, 62], [58, 41, 34, 30], [32, 35, 61], [44, 31, 40], [33, 38, 36], [37, 47], [42, 49, 45, 43], [51, 53, 46, 54], [48, 55, 52], [56, 59, 60, 63, 65], [64, 68, 67, 69], [66, 75, 71, 70, 74, 73, 72], [77, 78, 76, 79, 84, 81, 82], [80, 83, 87, 85, 86, 88]]
18: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3], [8, 14, 15], [26, 19, 50], [11, 20, 16, 17], [18], [27, 29, 21, 28, 25, 30, 62, 63, 45, 49, 31, 37, 32, 34, 38, 35, 33, 46, 40, 43, 44, 36, 42, 41, 53, 60, 57, 55, 47, 54, 52, 48, 51], [56, 58, 61, 59, 65, 64, 68, 70, 73, 66, 75, 69, 71, 67, 74, 72, 77, 78, 76], [79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
19: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5], [7, 10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 16, 20, 17, 18], [30, 21, 28], [59, 29, 25], [27, 45, 41], [31, 57, 35], [43, 32, 51], [36, 33, 38, 34, 37, 44], [61, 40, 42, 53, 55, 48, 46, 47, 49, 52, 56, 63, 62, 54, 60, 58, 65, 64, 68, 70, 69, 66, 74, 75, 78, 71, 67, 72, 73, 76, 77, 79, 84, 81, 80, 82, 83], [87, 85, 86, 88]]
20: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 16, 21], [17, 18, 28], [20, 30, 57], [27, 25, 62, 31, 41], [49, 29, 32], [47, 34], [37, 46, 33, 35, 38], [61, 36, 40], [44, 42, 43, 53, 54, 45, 55, 48, 56, 51, 52, 58, 59, 60, 63], [65, 64, 68, 67, 70, 66, 76, 77, 71, 73, 69, 74, 72, 75, 78, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
21: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 17, 16, 18], [20, 25, 29, 21], [28, 27, 30, 31, 61, 32, 54, 48, 37, 34, 35, 33, 36, 38, 40, 42, 41, 53, 46, 43, 56, 45, 63, 44, 47, 59, 55, 51, 52, 49, 62, 57, 58, 60, 65, 64, 68, 67, 69, 66, 75, 70, 76, 71, 78, 73, 72, 77, 74, 79, 84, 81, 82, 80, 83, 87, 85], [86, 88]]
22: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50, 11, 20], [16, 17, 18, 28, 21, 59], [25, 27, 31, 48, 29], [37, 33], [42, 30, 36, 40], [43, 38, 45, 32], [34, 35, 41], [44, 57, 54, 61, 46], [49, 56, 51], [52, 55, 47, 53], [58, 62, 63], [60, 65, 64, 68], [67, 69, 66, 74], [79, 71, 72, 78], [70, 75, 77, 73, 76, 84, 81, 80], [82, 83, 87, 85, 86, 88]]
23: [[24, 23, 1, 7], [2, 4, 12, 22], [6, 5, 13], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50, 11], [17, 16, 21], [18, 25, 20], [27, 61, 28, 29, 58], [45], [41, 30], [35, 33], [44, 31, 43, 36], [40, 38, 34, 46, 32, 37, 49, 42, 53, 47, 52, 55, 48, 51, 63, 54, 62, 56, 57, 60, 59, 65, 64, 68, 67, 70, 66, 74, 78, 69, 71, 73, 79, 72, 76, 75, 77, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
24: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 17, 16, 21, 20], [28, 18], [53, 25, 31], [30, 29, 27], [32, 63], [35, 42, 37, 43, 36, 33, 34, 38, 40, 44, 48, 41, 52], [46, 47, 59, 45, 55, 54, 49, 51, 57, 58, 56, 61, 60, 62, 65, 64, 68, 70, 67, 66, 74, 79, 69, 71, 72, 76, 73, 75, 78, 77, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
25: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [35, 10, 8, 3, 9], [14, 15, 26], [19, 50], [11, 17, 16, 20], [18, 21, 29, 25], [54, 31, 27, 47, 28, 53, 30, 37, 32, 33, 38, 40, 36, 39, 41, 34, 42, 44, 43, 45, 46], [49, 51, 52, 61, 48, 55, 56, 57, 58, 63, 59, 62, 60, 65, 64, 68, 67, 70, 66, 75, 69, 71, 76, 73, 72, 74, 77, 79, 78, 84, 81, 80, 82, 83, 87, 85], [86, 88]]
26: [[24, 1, 13, 23], [2, 4, 12, 22], [6, 5, 7], [37, 9, 35, 8], [14, 15, 26], [19, 50, 11], [16, 17, 21], [18, 28, 3, 25], [27, 20, 31], [58, 57, 60, 53], [48, 33, 54], [43, 34, 29, 44, 39, 10], [30, 63, 32], [36, 40, 41], [46, 56, 38], [62], [42, 49, 45, 59, 47, 51], [52, 55, 61, 65, 64, 68, 70], [67, 66, 74, 77, 69, 71, 73, 78, 72, 76, 75, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
27: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15, 26], [19, 50], [11, 17, 18, 16], [20, 28, 21, 27], [25, 29, 31], [30, 34, 43], [38, 42, 48, 40], [32, 37, 36], [33, 46, 41, 47], [44, 51, 63, 60, 45], [52, 55, 61], [35, 54, 49, 56, 53, 58, 59, 57, 62, 65, 64, 68, 70, 67, 66, 75, 71, 73, 76, 69, 72, 77, 78, 74, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
28: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 17, 16], [20, 18, 30], [21, 27, 57, 29, 25, 51, 58], [41, 31, 53, 34, 40, 33, 28, 36, 35, 42, 43], [47, 38, 32, 46], [37, 45, 55, 52], [48, 44, 49], [60, 54, 59], [56, 61, 62], [63, 65, 64, 68, 67, 69, 66, 75], [77, 70, 71, 73, 74, 72, 78, 76, 79, 84], [81, 80, 82, 83, 87, 85, 86, 88]]
29: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 16, 21], [17, 18, 25, 29], [20], [28, 27, 30, 62, 32, 45, 51, 31, 36, 34, 35, 33, 37, 38, 44, 40, 43, 46, 47, 48, 56, 41, 42, 57, 49, 55, 54, 59, 53, 60], [52, 58, 61, 63, 65, 64, 68, 70, 67, 66, 75, 69, 77, 71, 73, 72, 78, 74, 76], [79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
30: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3], [8, 14, 15], [26, 19, 50], [11, 20, 17, 16], [18, 21], [29, 27, 25, 28, 44], [63, 31, 33], [30, 34, 38, 35], [32, 37, 43], [45, 47, 40], [46, 48, 36, 42], [41, 53, 52], [51, 49, 55, 54], [56, 60, 58, 57], [62, 61, 59, 65, 64, 68, 67, 66, 70, 75, 69], [77, 71, 72], [74], [73, 78, 76, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
31: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50], [11, 20, 17, 16], [18, 25, 21, 27], [28, 29, 30, 60, 62, 36], [43, 31], [42, 47, 35, 33], [32, 54, 34, 38], [37, 41, 44, 45], [40, 46, 58, 57], [49, 48, 52], [51, 53], [55, 56, 59, 61, 63], [65, 64, 68, 70, 69, 66, 75, 67, 77, 73], [72, 76, 71, 74, 78, 79, 84], [81, 82, 80, 83, 87, 85, 86, 88]]
32: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5], [7, 10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 16, 20, 17, 18], [30, 21, 27], [57, 29, 25], [54, 58, 41], [28, 49, 34, 43, 33, 31, 36], [32, 42, 35, 37, 38, 44, 40, 47, 45, 55, 48], [53, 46, 51, 52], [56, 59, 60, 61], [62, 63, 65], [64, 68, 67], [69, 66, 75], [77, 70, 71, 72, 74, 73, 78, 76], [79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
33: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 3, 7], [10, 39, 8], [5, 9, 14, 15], [26, 19, 50], [11, 17, 16], [20, 18], [30, 28, 27], [25, 29], [34, 21, 58, 44], [31, 32, 37, 48, 41], [42, 33, 38, 35, 43, 40, 45, 47, 51, 55, 54, 60, 56, 36], [46, 49, 59, 62, 52, 53, 57, 61, 63, 65, 64, 68, 67], [69, 66, 76, 79, 70, 75, 72, 71, 73, 74], [77, 78, 84, 81, 80, 82, 83, 87, 85, 86], [88]]
34: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15, 26], [19, 50, 11], [16, 17, 21], [18, 28, 20, 27], [29, 25, 30], [63, 36, 45, 31], [34, 38, 32, 33], [42, 37, 44, 35, 47], [41, 53, 40], [43, 52, 55, 56, 54, 60, 46, 49, 48], [51, 57, 61, 58, 59, 62, 65, 64, 68, 67, 70, 66, 75, 69, 76, 71, 73, 77, 72, 74, 78], [79, 84, 81, 80], [82, 83, 87, 85, 86, 88]]
35: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50, 11, 16], [21, 17, 18, 28, 29, 25], [27, 20, 30, 62, 59], [58, 49], [32, 43, 54, 31], [34, 36, 37, 46], [33, 35, 55], [40, 41, 38], [47, 42, 45, 48], [44, 56, 51], [63, 53, 52], [57, 60, 61, 65], [64], [68, 70, 69, 66, 74, 77], [71, 75, 67, 76, 73, 78, 72], [79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
36: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 51], [11, 16, 20, 17], [18, 29, 21], [56, 27, 44, 25, 60, 28, 36, 49, 35], [46, 32, 59], [43, 30, 31, 41, 42, 34, 47, 33, 37, 40, 61, 54, 55, 48, 50, 38, 53, 45, 63, 62, 52, 58, 57, 65, 64, 68, 67, 69, 66, 74, 79, 71, 73, 70, 75, 72, 77, 76, 78, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
37: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3], [8, 14, 15], [26, 19, 50], [11, 17, 16, 20], [18], [30, 21, 25], [60, 27, 56, 62], [28, 41, 55, 47], [42, 43, 34], [32, 40, 29, 46, 31, 44, 45, 33, 35, 36, 38, 52, 49, 53, 37, 51, 54, 48, 57], [58, 59, 61, 63, 65, 64, 68, 70, 67, 66, 75, 71, 69, 76, 73, 74, 72, 78, 79, 77, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
38: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 3], [42, 39, 9], [7, 8, 14, 15], [26, 19, 50], [11, 16, 17, 21], [18, 28, 29, 20, 31, 10, 25, 30], [60, 41, 35, 27, 36, 38, 48, 52, 33, 34, 37, 57, 32, 43, 47, 40, 45, 46, 49, 44, 55, 51, 53, 61, 58, 54, 59, 56, 62, 63, 65, 64, 68, 67, 69, 66, 75, 71, 70, 74, 73, 72, 78, 76, 77, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
39: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7, 10], [39, 9, 3, 8], [14, 15, 26], [19, 50], [11, 16, 20, 17], [18, 29, 21, 25, 28], [30, 31, 62, 32], [52, 27, 55, 40, 42], [41, 43, 33, 35], [38, 34, 44, 45], [56, 37, 46, 54], [60, 61], [51, 36, 47, 48], [49, 57, 58, 53, 63, 59, 65, 64, 68], [67, 69, 66, 75, 70, 78, 71, 74, 76, 72, 73, 77, 79, 84, 81], [80, 82, 83, 87, 85, 86, 88]]
40: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5], [7, 10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 17, 16, 21], [20, 25, 18, 59], [31, 27, 30, 28, 29], [33, 34, 47, 32, 38], [35, 36, 41], [37, 44], [43, 40, 51, 42], [45, 46, 52, 61], [48, 55, 53], [49, 58, 60, 54], [57, 56, 62, 63, 65], [64, 68, 67, 70], [66, 75, 69, 77, 71], [72, 73, 76, 74], [79, 78, 84], [81, 80, 82], [83, 87, 85, 86], [88]]
41: [[24, 23, 1, 13], [2, 4, 12, 22, 6], [5, 7, 10], [39, 9, 3, 8], [14, 15, 26], [19, 50, 11], [20, 16, 17, 18], [27], [29, 21, 28, 25, 30, 62, 63, 45, 49, 31, 37, 32, 34, 38, 35, 33, 46, 40, 43], [44, 36, 42], [41, 53, 60, 57], [55, 47, 54], [52, 48, 51], [56, 58, 61, 59], [65], [64, 68, 70, 73, 66, 75, 69, 71, 67, 74, 72, 77, 78, 76], [79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
42: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 50, 11, 16, 20, 17, 18, 25, 28, 31, 29, 21, 30, 62, 27, 41, 34, 36], [35, 37, 38, 32, 33], [44, 43, 46, 48, 51], [63, 49, 40, 45], [59, 52, 47, 55], [54, 42, 53, 56], [57, 58, 60, 61, 65, 64, 68, 67, 69, 66, 75, 71], [78, 70, 72, 74, 73, 77, 76, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
43: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3], [8, 14, 15, 26], [19, 50, 11, 21, 16, 17], [20, 30, 18], [56, 59, 25, 28, 29, 47, 45, 32, 58, 27, 31, 38, 57, 34, 35, 36, 37, 40, 42, 33, 41, 44, 46, 60, 43, 55, 48, 51, 52, 49, 53, 63, 54, 61, 62, 65, 64, 68, 67, 69, 66, 75, 76, 77, 70, 72, 71, 78, 73, 74, 79, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
44: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7, 10], [39, 9, 3, 8], [14, 15], [26, 19, 50, 11], [16, 21, 17, 18], [28, 20, 27], [29, 25, 35, 31, 58], [45, 53, 30], [36, 41], [32, 47, 37, 34, 42], [33, 40, 38], [43, 46, 52, 51, 60, 44, 55, 49, 48, 57, 59, 54, 56, 61, 62], [63, 65, 64, 68, 70, 69, 66, 73, 77, 79, 67, 71, 76, 72, 78, 74, 75, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
45: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15, 26], [19, 50], [11, 16, 20, 21], [18, 28, 29, 31, 25], [17, 30, 62, 60], [33, 27], [35, 49, 36], [40, 34, 37, 43], [41, 32, 38], [47, 53, 42], [44, 51], [52, 45, 54, 57, 46], [55, 48, 58], [59, 56, 63, 61, 65, 64, 68, 67, 70, 66, 75, 69, 71, 73], [76, 72, 74, 79, 77, 78, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
46: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5], [7, 10, 39, 9], [3, 8, 14, 15], [26, 19, 50], [11, 17, 16], [20, 18, 21], [27, 61, 25, 29, 41], [47, 58], [44, 28, 31, 46, 30, 51, 55, 40, 33, 43], [34, 38, 32, 35], [37, 36, 42], [57, 45, 56, 53], [48, 49, 52], [54, 60, 62, 59], [63, 65, 64, 68, 70], [72, 66, 74, 77], [71, 67, 69, 75, 73], [79, 78, 76, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
47: [[24, 1, 13, 23], [2, 4, 12, 22], [6, 5], [7, 9], [3, 8, 14, 15], [26, 19, 50, 11], [17, 16, 21], [18, 20, 25], [27, 29, 28], [30, 62, 63, 43], [33, 31, 38, 48], [52, 37, 41], [46, 36, 32], [34, 40, 39], [45, 44, 35, 10], [47, 57, 42, 59], [53, 49, 51, 61], [54, 58, 55, 56], [60, 65, 64, 68, 67], [69, 66, 75, 70], [78, 71, 72, 77], [76, 73, 74, 79], [84, 81, 80, 82, 83], [87, 85, 86, 88]]
48: [[24, 23, 1, 13, 2], [4, 12, 22, 6], [5, 7, 10], [39, 9, 3, 8], [14, 15, 26], [19, 50, 11], [17, 16, 18], [20, 28, 25, 29, 57], [21, 27], [58, 56, 45, 62, 47, 31, 36, 30, 49, 35], [33, 44, 41, 34], [42, 37, 32, 38, 59], [40, 48, 51, 43, 52], [46, 53, 54, 55], [60, 63, 61, 65, 64, 68, 70, 69, 66, 77, 71, 67, 75, 76, 72, 78, 73, 79, 74, 84, 81, 82, 80, 83, 87, 85, 86, 88]]
49: [[24, 23, 1, 13], [2, 4, 12, 22], [6, 5, 7], [10, 39, 9, 3, 8], [14, 15], [26, 19, 51, 11, 16], [20, 17, 18, 29, 21, 56], [27, 25, 28, 52, 31], [37, 32], [34, 30, 38, 43], [41, 36, 33, 46], [40, 42, 35], [45, 44, 60, 61, 55], [48, 53, 47], [50, 49, 54, 59], [57, 58, 62], [63, 65, 64, 68, 67, 69, 66, 75, 77, 70], [71, 72, 74, 73, 78, 76, 79, 84, 81, 80, 82, 83, 87, 85, 86, 88]]
50: [[24, 23, 1, 13], [2, 4, 12, 22, 6], [5, 7, 10, 39], [9, 3, 8], [14, 15], [26, 19, 50, 11], [17, 20, 16], [21, 18, 25, 27], [61, 28, 30, 63], [56, 37], [62, 31, 32, 44], [42, 35, 36, 38, 46, 33, 29, 40, 47, 45, 34, 48, 41, 60, 49, 43, 53, 57, 52, 51, 58, 54, 55, 59, 65, 64], [68, 67, 69, 66, 75], [71, 70, 76], [73, 72, 74, 77, 79, 78, 84, 81, 82, 80, 83, 87], [85, 86, 88]]
