0: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12, 22], [11, 17, 15, 16], [13, 29, 14], [18, 20, 19, 10], [23, 24, 28], [21, 27, 26]]
19: [[25, 8, 5], [2, 9], [7, 1, 3], [4, 6, 12], [23, 11, 17], [14, 13, 10, 15], [18, 19, 20, 16, 22], [24, 29, 26, 21, 27, 28]]
20: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22, 11, 17], [15, 19, 10], [29, 14, 18, 20], [13, 16, 23, 24], [28, 21, 27, 26]]
21: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6], [12, 23, 11, 17], [15, 14, 13, 10], [16, 18, 19, 20], [29, 22, 28], [24, 21, 27, 26]]
22: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6], [12, 23, 11, 17], [15, 14, 13, 10], [16, 18, 19, 20], [29, 22, 28], [24, 21, 27, 26]]
23: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [22, 11, 17], [15, 19, 14, 10, 13, 16, 20, 18, 23, 24, 28, 29, 21, 26, 27]]
24: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [22, 11, 17, 13], [10, 14, 15], [18, 19, 21, 16], [20, 24, 28], [23, 29, 26, 27]]
25: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [23, 11, 17], [15, 16, 13, 10, 18, 21, 14, 28, 19, 20, 26, 27, 29, 22, 24]]
26: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22], [11, 17, 15], [14, 13, 19], [26, 18, 20, 16], [10, 23, 24, 28], [21, 27, 29]]
27: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6, 12, 22], [11, 17, 14, 13, 15], [19, 29, 18, 16, 20, 10, 23, 24, 28, 21, 27, 26]]
28: [[25, 8, 5], [2, 9, 7], [1, 3], [4, 6, 12, 22], [11, 17, 14], [10, 13, 15], [19, 18, 23], [16, 20], [28, 24, 29, 21, 27, 26]]
29: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 12], [22, 11, 17], [15, 10, 16, 28], [13, 18, 21, 19], [14, 23, 24, 20], [29, 27, 26]]
30: [[25, 8, 5, 2], [9, 7, 1, 3, 4, 6, 12, 22, 11, 17, 15, 10, 13], [14, 18, 16, 20, 19, 24, 23, 21, 27, 26, 28, 29]]
31: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22], [11, 17, 15], [26, 13, 29], [14, 18], [23, 16, 10, 19], [24, 28], [21, 27, 20]]
32: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6], [12, 23, 11, 17], [14, 13, 10, 19, 24, 18, 21, 16, 15, 22, 29, 28, 20, 26, 27]]
33: [[25, 8, 5], [2, 9, 7], [1, 3], [4, 6, 12, 22], [11, 17, 15], [10, 14, 13, 29], [18, 20, 16, 19], [21, 28, 26], [23, 27, 24]]
34: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [22, 11, 17, 15], [16, 13, 29], [14, 18, 20], [10, 19, 23, 24, 28, 21, 27, 26]]
35: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12], [22, 11, 17, 15], [10, 13, 14, 19], [18, 21, 16, 20], [26, 24, 23, 27, 28, 29]]
36: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22, 11], [17, 15, 13], [10, 14, 16, 18, 20, 23, 19, 29, 24, 28, 21, 27, 26]]
37: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6, 12, 19], [11, 17, 15, 29], [10, 14, 13], [18, 20, 16, 22, 23, 26, 28, 21, 27, 24]]
38: [[25, 8, 5], [2, 9, 7, 1], [3, 4, 6], [12, 23, 11], [17, 15], [10, 19, 16], [14, 18, 21, 20, 13, 22, 24, 28, 29, 27, 26]]
39: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6, 12], [22, 11, 17, 15], [16, 10, 13], [14, 18, 19], [20, 23, 21, 24], [28, 29, 27, 26]]
40: [[25, 8, 5, 2], [9, 7, 1], [3, 4, 6, 12], [22, 11, 17], [15, 13, 10, 14, 16], [18, 20, 19, 27, 23, 28, 29, 21, 26, 24]]
41: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22, 11, 17], [15, 28, 10, 14, 13, 18, 19, 16, 20, 23, 24, 26, 21, 27, 29]]
42: [[25, 8, 5], [2, 9, 7, 1, 3], [4, 6, 12, 22, 11, 17, 15, 10, 14, 13, 29, 18, 20, 19, 16, 23, 28, 27, 21, 24, 26]]
43: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 10, 11], [19, 12, 13], [29, 26, 14], [20, 22, 15], [16, 23, 17, 24, 28], [21, 18, 27]]
44: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 14, 23], [11, 28, 13], [10, 12, 15], [29, 18, 19, 16], [20, 22, 17], [24, 21, 26, 27]]
45: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 10, 11], [19], [13, 15, 29, 17, 14, 22, 16, 12, 18, 20, 23, 24, 28, 21, 27, 26]]
46: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22], [11, 17, 15], [16, 10, 29], [14, 18], [23, 19, 13, 21], [24, 28], [20, 27, 26]]
47: [[25], [8, 5, 2, 9, 7, 1, 3, 4, 6, 12, 22, 11, 17, 14, 13, 10, 15, 24, 18, 23, 16, 19, 20, 28, 29, 21, 26], [27]]
48: [[25, 8, 5, 2], [9, 7, 1, 6], [4, 3], [12, 22, 11], [17, 14, 16], [10, 15, 13, 18], [20, 19, 21], [27, 24, 28, 23, 26, 29]]
49: [[25, 8], [5, 2, 9, 7], [1, 3], [4, 6, 12], [23, 11, 17, 15, 10, 13, 14, 16, 18, 21, 19, 20, 22, 24, 28, 29, 27, 26]]
50: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22], [11, 17, 15], [14, 13], [19, 24, 10, 20, 16, 18, 28, 23, 27, 21, 26, 29]]
51: [[25, 8], [5, 2, 9], [7, 1, 3, 4], [6, 12, 19], [11, 17], [15, 14, 16, 29], [13, 18, 20, 22], [10, 23, 26, 28], [21, 27, 24]]
52: [[25, 8, 5], [2, 9, 7], [1, 3, 4, 6], [12, 22, 11], [17, 15], [16, 10], [29, 14, 18], [19, 13, 20, 23], [24, 28, 21, 27], [26]]
53: [[25, 8, 5], [2, 9], [7, 1, 3, 4], [6, 12, 22, 11], [17, 15, 16, 10], [20, 13, 18, 19], [27, 14, 23, 28], [24, 21, 26, 29]]
54: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 12], [22, 11, 17, 15], [13, 10, 14], [18, 16, 19, 23], [21, 29, 24], [28, 20, 27, 26]]
55: [[25, 8, 5], [2, 9], [7, 1], [3, 4, 6], [12, 23, 11, 17], [15, 10, 14, 13], [29, 18, 19, 16, 20, 22, 28, 26, 21, 27, 24]]
56: [[25, 8, 5], [2, 9], [7, 1, 3], [4, 6, 12], [22, 11, 17, 15], [10, 13, 14, 19], [18, 20, 16], [26], [23, 24, 28, 21, 27, 29]]
57: [[25, 8, 5], [2, 9, 7], [1, 3, 4], [6, 12, 22], [11, 17, 15], [14, 10, 13, 18], [16, 21, 19, 29, 23], [26, 28, 20], [24, 27]]
58: [[25, 8], [5, 2, 9], [7, 1, 3], [4, 6, 12, 23], [11, 17, 13, 10], [15, 14, 18, 19], [16, 21], [22, 24, 28], [20, 26, 27], [29]]
59: [[25, 8], [5, 2, 9], [7, 1, 3, 4], [6, 12, 22, 11], [17, 15, 10], [13, 14, 18, 16], [20, 19, 24, 23], [26, 28, 21], [27, 29]]
