0: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [13, 8, 29, 14, 10, 21, 6], [15, 16, 23, 22, 17, 25, 18], [20, 27, 26, 19, 30, 31, 56, 32], [47, 39, 40, 33, 36, 37], [45, 38, 42, 41, 43], [46, 44, 50, 53, 54], [49, 57], [48, 51, 52, 55, 58, 59, 60]]
15: [[28, 35, 34, 2, 1, 7, 11, 3, 12, 4, 24], [9, 5], [14, 6, 10, 8, 13, 21, 15], [16, 19, 18, 17, 25, 20, 23, 26, 27, 22, 29, 31, 30, 37, 48, 51, 32, 33, 36, 46, 39, 38, 42, 43, 40, 41, 44, 45, 47, 49, 50, 52, 53, 60, 55, 56, 58, 57, 54, 59]]
16: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [8, 30, 6, 10, 13, 21], [14, 22, 16, 23, 17, 19, 20, 18, 26, 25, 58, 27], [29, 31, 36, 33, 32, 15, 37, 44, 39], [47, 38, 41, 46, 40, 42, 43, 56, 45, 52, 48, 49, 57, 51, 55, 50, 54, 53, 60, 59]]
17: [[28, 35, 34, 2, 1, 7], [11, 3], [12, 4, 24, 9, 5, 14, 8], [6, 10, 29, 13, 15, 17, 18, 22, 21, 20, 23], [16, 19, 30, 26, 25, 31, 44, 52, 32, 38, 33, 37, 40], [47, 27, 36, 39, 41, 46], [45, 58, 42], [50, 43, 59, 48, 49, 51, 56, 55, 53, 54, 57, 60]]
18: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 6, 14, 8, 15, 13, 25, 16, 19, 23], [20, 18, 21], [17, 22, 26], [30, 27, 31, 29, 40, 33], [37, 32, 39, 36, 45], [41, 47, 38, 43, 42, 44, 48], [50, 52, 60, 46, 57, 49], [53, 55, 51], [54, 56, 58, 59]]
19: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 8, 26, 22, 6, 21, 13], [14, 16, 17, 19, 15, 29, 18], [23, 25, 27, 20, 31, 30], [49, 32, 54, 33, 39, 37, 36, 42], [45, 40, 41, 46, 44, 51], [50, 47, 43, 38, 57], [48, 55, 52, 53, 58, 56, 59, 60]]
20: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10], [8, 30, 6, 14, 22, 13, 29], [17, 19, 15, 18, 20, 23, 16, 21], [55, 25, 26, 31, 32], [48, 27, 33, 36, 45, 37, 42], [43, 46, 38, 39, 40, 41, 44, 59], [50, 47, 51, 60, 53, 49, 57], [52, 56, 54, 58]]
21: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [13, 8, 29, 10, 6, 21, 15], [19, 16, 23, 20, 14, 17, 27], [18, 22, 26, 25, 30, 37, 31, 32], [53, 43, 33, 36, 38], [44, 40, 46, 41, 45, 42, 47, 49, 60, 48, 50, 39, 57, 52, 51, 54, 55, 58, 59, 56]]
22: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 14], [6, 8, 13, 21, 20, 23], [18, 22, 17, 19, 16, 27, 26, 25, 29, 31], [30, 46, 36, 33, 40, 15, 37], [44, 39, 47, 32, 38, 42, 41], [52, 43, 45, 53, 48, 50], [51, 49, 54, 55, 56, 58, 57, 60, 59]]
23: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10], [6, 15, 8, 21, 20, 13, 30, 17, 18, 16, 19, 14, 23, 22, 25, 26, 27, 31, 29, 40, 33, 38, 32, 37, 39, 36, 43, 47, 42, 41, 44, 49, 56, 59, 50, 45, 46, 58, 57, 51, 48, 55, 54, 53, 52, 60]]
24: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [8, 30, 6, 14, 10, 21], [13, 19, 16, 23], [15, 22, 17, 18, 31], [27, 26, 25], [29, 20, 44, 32, 37, 36], [38, 42, 39, 45, 47], [41, 46], [40, 43, 48, 33, 53, 52, 49], [50, 54, 51, 58, 56, 55, 59, 60, 57]]
25: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [6, 8, 23, 10, 13, 21, 14], [15, 16, 17, 19, 18, 20, 22], [29, 27, 25, 26, 30, 31, 52, 32], [43, 38, 33, 36, 37, 45, 44], [46, 42, 41, 39, 40], [48, 47, 49, 54, 51], [57, 50, 53, 56, 55, 58, 59, 60]]
26: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [8, 14, 15, 13, 10, 21, 6, 16, 19, 22], [20, 18, 25], [17, 23, 26], [30, 27, 31, 29, 40, 48], [37, 32, 39, 36, 45], [33, 47, 38, 46, 43, 41, 42], [44, 51, 52, 54, 57, 49, 53, 55, 59, 50, 58], [56, 60]]
27: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [8, 14, 15, 13, 10, 21, 6, 16, 19, 22], [20, 18, 25], [17, 23, 26], [30, 27, 31, 29, 40, 48], [37, 32, 39, 36, 45], [33, 47, 38, 46, 43, 41, 42], [44, 51, 52, 54, 57, 49, 53, 55, 59, 50, 58], [56, 60]]
28: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [8, 13, 14, 21, 6], [27, 23, 15, 22, 18, 10], [17, 20], [16, 26, 19, 25, 30, 29, 31], [42, 32, 44, 45, 37, 33, 41], [39], [38, 46, 36, 43, 40, 47, 56, 51, 50, 55, 49, 59, 48, 54, 53, 52, 57, 60, 58]]
29: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4], [24, 9, 5, 8, 10, 13, 14, 30, 17, 6, 15, 29, 16, 20, 18, 21, 22, 31, 23, 19], [25, 27, 26, 56, 37, 36, 32, 44, 38, 39, 41, 42, 43, 47, 45, 46, 58, 48, 54, 33, 51, 55, 40, 49, 50, 53, 57, 52, 59, 60]]
30: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 8, 6, 15, 14, 13, 17, 18, 21], [23, 16, 26, 19, 22, 20], [25, 27, 31, 30, 29], [56, 32, 55, 36, 37, 39], [33, 41, 40, 42, 45, 43, 38, 52], [57, 51, 44, 46], [50, 47, 54, 48, 49, 53, 58, 59, 60]]
31: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 6, 8], [14, 13, 21, 29, 19, 17, 20, 18, 22, 16, 31, 23, 15, 26, 25, 30, 27, 56, 32, 37, 36, 45, 33, 39, 44, 46, 40, 38, 43, 41, 42, 47, 50, 48, 52, 53, 49, 51, 54, 57, 55, 58, 59, 60]]
32: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 6, 13, 8, 14, 16, 15, 22, 29, 21, 17, 19, 18, 23, 20, 25, 26, 31, 27, 30, 49, 36, 38, 33, 40, 32, 39, 42, 46, 41, 44, 37, 43, 47, 45, 56, 50, 51, 52, 53, 54], [48, 57, 55, 58, 59, 60]]
33: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10, 6, 8, 15, 13, 14, 29, 20, 22, 18, 19, 30, 16, 26, 21, 27, 23, 17, 25, 31, 32, 52, 41, 36, 33, 37], [38, 46, 44, 40, 43, 39, 42, 47, 48, 51, 45, 49, 54, 60, 50, 57, 55, 53, 56, 58, 59]]
34: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 13, 6, 8, 14, 17, 15, 20, 16, 18, 19, 27, 22, 23, 21, 29, 26, 30, 25, 31, 49, 32, 33, 44, 37, 36, 39, 45, 38, 40, 42, 41, 43, 55, 51, 47, 48, 46, 50, 53], [54, 56, 52, 60, 58, 59, 57]]
35: [[28, 35, 2, 34, 1, 7, 11, 3, 12], [4], [24, 9, 5, 10, 6, 25, 8, 14], [20, 13, 31, 16, 19, 30, 21, 15, 22, 17, 26], [18, 23, 27, 29, 42, 32, 38, 40, 37, 45], [36, 33, 39, 46, 41, 47], [48, 43, 44, 59, 57, 54, 52, 50, 49, 58, 53, 55, 56, 51, 60]]
36: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 14, 26, 6, 8, 21, 13], [15, 16], [18, 23, 19, 17, 20, 27], [22, 25, 29, 31, 37, 60], [32, 39, 30, 40, 33, 43, 44, 36, 41, 38, 42, 45, 48, 46, 50, 49, 51, 52, 47, 53], [54, 55, 58, 56, 57, 59]]
37: [[28, 35, 2, 34, 1, 7, 11, 3, 12, 4, 24, 9, 5, 10, 6, 14], [8, 29, 16, 15, 20, 22, 25, 17, 19, 21, 18, 23, 30, 26, 27, 31, 36, 37, 32, 40, 45, 33, 39, 13, 38, 44, 43, 42, 41], [47, 48, 46, 50, 57, 59, 53, 52, 54, 49, 55, 51, 58, 56, 60]]
38: [[28, 35, 2, 34, 1, 7, 11, 3], [12, 4, 24, 9, 5, 10], [8, 6], [15, 13, 21, 30, 16], [14, 19, 26, 17, 20, 27, 25, 23], [18, 22, 29, 31, 42, 40], [36, 32, 44, 33, 38, 47, 37, 41], [46, 39], [43, 60, 48, 51, 55, 49], [50, 53, 45, 54, 58], [56, 57, 59, 52]]
39: [[28, 35, 2, 34, 1, 7, 11, 3, 12, 4, 24], [9, 5, 10, 6, 8, 13, 14, 21, 30, 22, 20, 15, 17, 16, 18, 19, 26, 23, 58, 27], [29, 31, 36, 33, 48, 49, 37, 40, 38, 42, 47, 25, 44, 45, 32, 43, 56, 39, 41, 57, 46, 59, 51, 55, 50, 54, 52, 53, 60]]
40: [[28, 35, 34, 2, 1, 7, 11, 3, 12], [4, 24, 9, 5, 14], [8, 18, 6, 15, 29, 10, 13, 16, 25, 17, 21, 20, 19, 30], [22, 27, 23, 31, 26, 37, 48], [38, 33, 32, 47, 36, 40, 39, 42, 43, 45, 44, 53, 50], [55, 51, 46, 41, 49, 52, 54, 58, 56, 59, 60, 57]]
41: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10, 6, 8, 14, 15, 18, 25, 30, 17, 19, 16, 13, 20, 23, 22, 21, 58, 27, 26, 31, 56, 48, 37, 39, 32, 36, 38], [41, 29, 33, 44, 46, 40, 42, 47, 45, 50, 43, 49, 60, 53, 51, 54, 55, 57, 52, 59]]
42: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 14, 8, 6, 10, 15, 21, 13, 19, 17, 18, 20, 16, 26], [22, 23, 27, 29, 25, 31, 30, 36, 48, 32, 33, 37, 38], [45, 39, 43, 44, 40, 46, 47, 42, 49], [50, 54, 41, 51, 53, 55, 60, 57, 56, 58, 52, 59]]
43: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5], [10, 8, 18], [6, 27, 21, 13, 22, 14, 17, 15, 23, 16, 19, 30, 20, 25, 29, 31, 26, 53, 32], [46, 40, 33, 47, 36, 37, 41, 42, 43, 45, 44, 51, 39, 38, 49, 50, 52, 55, 48, 54, 59, 57, 56, 58, 60]]
44: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 8], [6, 14], [15, 21, 13, 17, 16], [19, 30, 20, 26, 18, 31, 22, 23, 29, 25, 27, 42, 32, 39], [36, 44, 33, 38, 37], [40, 41, 45, 43, 46, 58, 47, 50, 49], [52, 55, 57, 48, 51, 53, 56, 60, 59, 54]]
45: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 8], [14, 10, 6, 13, 22, 15, 23, 21, 17], [16, 19, 18, 30, 20], [26, 48, 31], [27, 25, 29, 33, 37, 32, 36, 38, 40], [44, 46, 39], [42, 41, 45, 43, 47, 56, 59, 53], [49, 52, 51, 50, 58, 54], [60, 57, 55]]
46: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4], [24, 9, 5], [8, 6], [10, 14, 13, 21, 15, 30, 16], [19, 23, 17, 20, 18, 22, 27, 26, 25, 29, 31, 56, 32, 46, 33, 38, 44, 36, 47, 45, 39, 42, 40, 43, 58, 41, 50, 53, 54, 49, 57, 37, 48, 51, 55, 52, 59, 60]]
47: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5], [14, 10, 6, 8, 13, 21, 15, 18, 22, 16, 25, 17, 20, 23, 29, 19], [26, 27, 31, 30, 39, 32, 55, 37, 33, 36, 46, 42, 38, 41], [43, 45, 40, 50, 52, 44, 49, 48, 47, 53, 51, 56], [57, 58, 59, 54, 60]]
48: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [25, 8, 13, 14], [21, 6, 29, 17, 15, 16, 19, 18, 10, 22, 23, 20, 58, 30, 26, 31, 41, 32, 49, 37, 27, 38, 36, 33, 43, 39, 40, 46, 44, 47, 42, 56, 50, 51, 54, 57, 53, 45, 48, 52, 60, 55, 59]]
49: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5], [14, 8, 13, 15, 22, 17, 20, 21, 6], [19, 16, 23, 26, 25, 58, 27, 29, 10], [31, 48, 33, 32, 47, 36, 44, 39, 30, 38, 40, 37, 45, 42, 43, 56, 41, 46, 52, 49, 18], [59, 50, 54, 51, 53, 55, 57, 60]]
50: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4], [24, 9, 5], [10, 6, 8, 14, 15, 20], [13, 30, 16, 17, 21, 19], [18, 22, 27, 23, 26], [25, 29, 31, 40, 36, 38], [32, 37, 44, 33, 46, 39], [41, 42, 47, 43, 59, 52, 58, 48, 51, 56, 49, 45, 50], [53, 55, 54, 57, 60]]
51: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10, 6, 8], [15, 13, 21, 25, 19, 17, 26, 18, 16, 20, 23, 22, 27, 30, 29, 14, 31, 56, 48, 37], [33, 36, 38, 39, 45, 47, 40, 32, 42, 41, 46, 43, 51, 52, 44, 53, 55, 50, 49, 58, 54, 60, 59, 57]]
52: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 6, 8, 14, 13, 19, 15], [17, 29, 16, 18, 23, 20, 21, 30, 25, 26, 22, 27, 59, 48, 33, 36, 54, 37, 31, 38, 46, 43, 42, 32, 39, 40, 41, 52, 53, 44, 45, 51, 49, 47, 50, 55, 57, 60, 56, 58]]
53: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 10, 8, 6, 14, 29, 20, 15, 13, 17], [26, 16, 27, 19, 18, 23, 30, 21], [31, 25, 22, 50, 32, 37, 36, 45, 41, 33], [38, 44, 46], [42, 39], [40, 43, 47, 49, 52, 55, 51], [57, 54, 53, 56, 48, 60, 58, 59]]
54: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 8, 14, 22, 6, 13, 20, 18, 19, 16, 15, 17, 21, 25, 23, 27, 26, 29], [31, 30, 56, 40, 37, 33], [47, 32, 36, 42, 38, 39, 41, 44, 46, 45, 49, 53, 43, 50, 60, 48, 52], [55, 57, 58, 51, 54, 59]]
55: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5], [10, 6, 8, 15, 14, 20, 13, 26], [21, 17, 16], [23, 18, 22, 19, 25, 27, 30, 31, 29, 40, 44, 39, 32, 36, 46, 33, 42, 37, 41, 38, 47, 48, 49, 45, 58, 50, 43], [51, 52, 56, 59, 53, 55, 54, 57, 60]]
56: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5, 14], [8, 6, 10, 13, 19, 15, 18], [16, 21, 17, 23, 20, 22, 25, 27, 26, 31, 30, 29, 40, 50, 33, 37, 44, 36, 39, 46, 42, 38, 43, 41, 47, 45, 49, 54, 32, 48, 55, 52, 53, 51, 57, 56, 58, 59, 60]]
57: [[28, 35, 34, 2, 1, 7, 11, 3], [12, 4, 24, 9, 5, 14, 10], [6, 8, 13, 19, 29, 20, 18, 15, 21, 22, 17, 26, 16, 27, 31, 23, 30, 40, 36, 49], [41, 55, 25, 32, 37, 38], [39, 33, 45, 42, 44, 58, 48, 51], [43, 54, 46, 53, 47, 52, 56], [59, 60, 57, 50]]
58: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5, 10, 8], [6, 17, 13, 19, 30, 14, 18, 16, 15, 20, 21, 22, 27], [25, 23, 26, 29, 31, 44, 32], [41, 36, 33, 53, 39, 40, 38, 43, 45, 42, 37, 46, 50, 47, 49, 51, 59, 48, 52, 54, 55, 60, 56, 58, 57]]
59: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 14, 8, 6, 10, 13], [25, 31, 16, 18], [15, 19, 23, 17, 22, 21], [20, 27, 29, 30, 26, 48], [50, 41, 36, 37, 53], [38, 42, 39, 32], [46, 43, 33, 44, 52, 55], [40, 47, 45, 54], [49, 51, 56, 57, 58, 59, 60]]
60: [[28, 35, 34, 2, 1, 7], [11, 3, 12, 4, 24, 9, 5], [10, 8, 14, 6, 30, 13, 20, 18, 25, 22, 15, 16, 17, 19, 26, 21, 23, 29], [27, 31, 41, 36, 44, 32], [40, 38, 33, 37, 47, 39, 45, 42, 54, 43, 56, 46, 51, 50, 52, 58, 49, 48, 53, 55, 59, 57, 60]]
61: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9, 5, 6, 30, 8, 10, 13, 21, 14], [18, 16, 23, 20], [22, 15, 26, 17, 27, 19, 25, 29, 36, 52, 32, 37, 31, 33, 43, 38, 44, 39, 45, 54, 40, 42, 46, 50, 47, 41, 48, 56, 51, 53, 49, 58, 55, 60, 59, 57]]
62: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 10], [8, 30, 6, 14, 22, 15, 21], [17, 19, 13, 16, 20, 23, 18], [26, 51, 25, 27, 31], [32, 48, 41, 36, 33, 47, 37, 42], [43, 46, 38, 39, 40, 57, 29, 59], [50, 44, 45, 56, 55, 49, 53], [52, 54, 58, 60]]
63: [[28, 35, 34, 2, 1, 7, 11, 3], [12, 4, 24, 9, 5, 10, 8], [6, 14, 15, 21, 13, 31, 16, 18, 19], [20, 17, 22, 23, 27], [26, 25, 29], [30, 42, 32, 39, 33, 36, 37, 45, 40, 46], [44, 38, 41, 43, 47, 60, 50, 48, 57], [49, 55, 54, 51, 56, 58], [52, 53, 59]]
64: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 8, 14, 6, 10, 13, 23], [22, 18, 27, 15, 16, 19, 25, 17, 20, 26, 21, 30, 31, 29, 56, 32, 37, 33, 39, 36], [46, 38, 45, 41, 44, 43, 40, 42, 50, 53, 47, 48, 59, 49, 54, 52, 51, 55, 60, 57, 58]]
65: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5], [10, 13, 8, 6, 14, 17, 15], [18, 16, 22, 23, 19, 21], [27, 20, 31, 26], [29, 25, 30, 40, 48, 37, 44, 33], [36, 38, 43, 39, 32, 42, 41], [46, 45, 50, 55, 47, 54, 49], [53, 52, 51, 57, 56, 58, 59, 60]]
66: [[28, 35, 34, 2], [1, 7, 11, 3, 12, 4, 24, 9, 5, 13, 8, 14, 6, 10, 20, 29, 15, 16, 23, 19, 17, 21, 18, 22, 25, 26, 30, 31, 27, 52, 32, 47, 37, 33, 36, 39, 42, 45, 38, 43, 41, 40, 46, 60, 51, 49, 44, 50, 57, 48, 53, 54, 55], [58, 56, 59]]
67: [[28, 35, 34, 2], [1, 7, 11, 3, 12, 4, 24, 9, 5, 14, 8, 6, 10, 13, 29, 25, 31, 16, 17, 21, 22, 15, 18, 20, 19, 23, 26, 27, 60, 56, 40, 30, 36, 48, 39, 32, 33, 37, 42, 38, 46, 41, 44, 45, 50, 43, 47, 52, 49, 53, 57, 55], [58, 51, 54, 59]]
68: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5], [10, 6, 8, 14, 15, 21, 13], [19, 17, 26, 16, 18, 20], [31, 29, 23, 22, 25, 27, 30, 42, 32], [38, 41, 36], [39, 37, 44, 40, 47, 43, 45, 33], [46, 48, 57, 50, 53, 51], [49, 56, 52], [58, 54, 55, 59, 60]]
69: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5], [14, 10, 6, 8, 15, 23, 17, 13], [16, 22, 18, 19, 25, 20, 21, 27, 26, 30, 29], [31, 36, 32], [47, 39, 40, 33, 37, 38], [41, 44, 46, 43, 45], [42, 60, 48, 53, 50], [56, 55], [49, 51, 52, 54, 59, 57, 58]]
70: [[28, 35, 2, 34, 1, 7], [11, 3, 12, 4, 24, 9], [5, 10, 8, 14, 6, 13], [21, 27, 15, 16, 18, 17], [20, 19, 22, 23, 25, 26, 29], [30, 31, 40, 50, 41], [36, 55, 33], [38, 42, 47, 32, 39, 43, 46, 44, 48, 54, 37, 45, 49, 52, 53, 51, 59, 57, 56, 58, 60]]
71: [[28, 35, 34, 2, 1, 7, 11], [3, 12, 4, 24, 9, 5], [8, 14, 13, 6, 10], [23, 15, 21, 17, 22, 26, 19, 16, 25, 18, 27, 58, 20, 30, 37, 60, 32, 29, 59, 33, 31, 45, 36, 39, 38, 41, 40, 42, 43, 44, 46, 48, 47, 52, 55, 51, 50, 57, 53, 49, 54, 56]]
72: [[28, 35], [34, 2, 1, 7, 11, 3], [12, 4, 24, 9, 5, 25, 8], [13, 14, 21, 6, 29], [17, 15, 16, 19, 18, 10, 22], [23, 20, 58, 30, 26, 31], [41, 32, 49, 37, 27, 38, 36], [33, 43, 39, 40, 46, 44], [47, 42, 56, 50, 51, 54, 57], [53, 45, 48], [52, 60, 55, 59]]
73: [[28, 35, 2, 34, 1, 7, 11], [3, 12, 4, 24, 9, 5, 8, 10, 15, 13, 14], [23, 6], [22, 17, 20, 18, 16, 19, 21, 25, 27, 26, 29, 30, 54, 56, 48, 31, 32, 36, 39, 37, 33, 47, 42, 41, 38, 40, 43, 44, 59, 45, 46, 52, 49, 57, 50, 53, 51, 55, 58, 60]]
