0: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29, 14], [1, 23, 7, 9, 17, 12, 22], [28, 24], [18, 19, 2, 16, 10]]
32: [[25, 4, 8], [6, 5], [11, 13], [15, 27, 21], [3, 20, 26, 29, 14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 19, 10, 2, 16]]
33: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3], [20, 26, 29, 14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 19, 10, 2, 16]]
34: [[25, 4, 8], [6, 5], [11, 13, 15, 27], [21, 3, 20], [26, 29, 14, 1], [23, 7], [9, 17, 12], [22, 16, 2, 18], [24, 28, 19, 10]]
35: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3, 20, 26], [29, 14], [1, 23, 7, 9], [17, 12], [22, 28, 24, 18, 2, 16], [10, 19]]
36: [[25, 4, 8], [6, 5], [11, 13], [15, 27, 21, 3, 20], [26, 29, 14, 1, 23], [7, 17, 9], [12, 22, 28, 24, 18, 19, 10, 16, 2]]
37: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21], [3, 20], [26, 29], [14, 1, 23], [7, 9], [17, 28], [18, 16, 2], [12, 22, 24], [19, 10]]
38: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3, 20], [26, 29], [1, 23, 22, 14], [7, 9, 17, 12], [16, 2, 18, 24], [28, 19, 10]]
39: [[25, 4, 8], [6, 5], [11, 13, 15], [27, 21, 3], [20, 26, 29, 14, 1], [23, 7, 9], [17, 12], [22, 28, 24, 18], [19, 10, 16, 2]]
40: [[25, 4, 8], [6, 5], [11, 13], [15, 27, 21, 3, 20], [26, 29], [14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 19, 10, 2, 16]]
41: [[25, 4, 8], [6, 5], [11, 13, 15, 27, 21, 3, 20], [26, 29], [14, 1, 23, 7, 9], [17, 12, 22, 28, 24, 18, 19, 10, 2, 16]]
42: [[25, 4, 8, 6, 5], [11, 13, 15, 27, 21], [3, 20, 26, 29, 14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 19, 10, 16, 2]]
43: [[25, 4, 8], [6, 5], [11, 13, 15, 27], [21, 3], [20, 26, 29], [14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 19], [10, 2, 16]]
44: [[25, 4, 8, 6, 5], [11, 13, 15, 27, 21, 3, 20], [26, 29, 14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 2, 10, 16, 19]]
45: [[25, 4, 8, 6, 5, 11, 13, 15, 27, 21, 3, 20, 26], [29, 14, 1], [23, 7, 9, 17, 12, 22, 28, 24, 18, 2, 16, 19, 10]]
46: [[25, 4, 8], [6, 5, 11, 13, 15, 27, 21, 3, 20, 26, 29, 14, 1, 23], [7, 9, 17, 12, 22, 28, 24, 18, 2, 16, 19, 10]]
47: [[25, 4, 8], [6, 5], [11, 13], [15, 27], [21, 3, 20], [26, 29], [14, 1, 23], [7, 9], [17, 12, 22], [28, 24, 18], [19, 10], [2, 16]]
48: [[25, 4], [8, 6], [5, 11, 13], [15, 27, 21], [3, 20], [26, 29, 14], [1, 23], [7, 9, 17], [12, 22], [28, 24], [18, 19], [10, 2, 16]]
49: [[25, 4, 8, 6], [5, 11, 13, 15, 27], [21, 3, 20, 26], [29, 14, 1], [23, 7], [9, 17, 12, 22, 28], [24, 18, 19], [2, 16, 10]]
50: [[25, 4, 8], [6, 5, 11], [13, 15, 27], [21, 3], [20, 26, 29], [14, 1], [23, 7, 17, 9, 12, 22, 28, 24, 18, 19, 10, 16, 2]]
51: [[25, 4, 8], [6, 5, 11], [13, 15, 27, 21, 3, 20, 26, 29, 14, 1, 23, 7, 9, 17, 12, 22, 28, 24, 18, 2, 16, 19, 10]]
52: [[25, 4, 8, 6, 5, 11], [13, 15, 27, 21, 3, 20, 26, 29, 14, 1, 23, 7, 9, 17, 12, 22, 28, 24], [18, 2, 16, 19, 10]]
53: [[25, 4, 8], [6, 5, 11, 13, 15, 27], [21, 3, 20, 26, 29, 14, 1, 23, 7, 9], [17, 12, 22, 16, 2, 18, 24, 28, 19, 10]]
54: [[25, 4], [8, 6, 5], [11, 13, 15, 27], [21, 3, 20, 26], [29, 14], [1, 23, 7], [9, 17], [12, 22, 28], [24, 18], [19, 10, 16, 2]]
55: [[25, 4], [8, 6], [5, 11], [13, 15], [27, 21], [3, 20, 26], [29, 14, 1], [23, 7], [9, 17, 12], [22, 28], [24, 18, 19], [10, 2, 16]]
56: [[25, 4, 8], [6, 5, 11], [13, 15, 27], [21, 3], [20, 26, 29], [14, 1, 23], [7, 9], [17, 12, 22], [28, 24], [18, 19, 10], [16, 2]]
57: [[25, 4, 8], [6, 5, 11], [13, 15], [27, 21, 3], [20, 26, 29], [14, 1, 23], [7, 9, 17], [12, 22, 28, 24], [18, 2, 16], [19, 10]]
58: [[25, 4, 8], [6, 5], [11, 13, 15, 27], [21, 3], [20, 26, 29], [14, 1, 23], [7, 9], [17, 12, 22, 28], [24, 18], [19, 10], [2, 16]]
59: [[25, 4, 8], [6, 5, 11, 13, 15, 27, 21, 3, 20, 26, 29, 14, 1, 23, 7, 9, 17, 28, 18], [16, 2, 12, 22, 24, 19, 10]]
