0: [[22, 4], [3, 16], [2, 6, 9, 1, 13], [14, 7, 10], [8, 15, 5], [12, 11, 18, 17, 19, 20], [21, 23, 24]]
39: [[22], [3, 1, 2], [6, 9, 14, 7], [10, 8], [15, 13], [12, 5, 4], [11, 18, 16], [17, 19], [20, 21, 23, 24]]
40: [[5, 22, 4], [16, 3], [1, 2], [6, 9, 14, 7], [10, 8], [15, 13, 12], [11, 18], [17, 19, 20, 21, 23, 24]]
41: [[5, 22, 4], [16, 3], [1, 2, 6], [9, 14, 7], [10, 8, 15, 13, 12, 11, 18, 17, 19, 20, 21, 23, 24]]
42: [[22], [3, 1, 2, 16], [6, 9, 14, 7, 10, 8], [15, 13, 12, 5, 4], [11, 18, 17, 19, 20, 21, 23, 24]]
43: [[5, 22, 4], [16, 3, 1], [2, 6, 9, 14], [7], [10, 8, 15], [13, 12, 11], [18, 17, 19], [20, 21, 23], [24]]
44: [[5, 22, 4], [3], [1, 2, 6, 16], [9, 14, 7, 10], [8, 15, 13, 12, 11, 18, 17, 19, 20, 21, 23, 24]]
45: [[5, 22, 4], [16, 3], [1, 2, 6], [9, 14], [7, 10, 8], [15, 13, 12], [11, 18], [17, 19, 20, 21, 23, 24]]
46: [[5, 22, 4], [16, 3, 1], [2, 6], [9, 14, 7], [10, 8, 15], [13, 12, 11, 18, 17, 19], [20, 21, 23], [24]]
47: [[22], [16, 3], [1, 2, 6, 5, 4], [9, 14, 7, 10, 8, 15, 13, 12, 11, 18, 17, 19, 20, 21, 23, 24]]
48: [[5, 22, 4], [3, 16], [1], [2, 6], [9, 14, 7, 10, 8, 15, 13, 12, 11, 18, 17, 19, 20, 21, 23, 24]]
49: [[22], [3, 1, 2, 6, 9, 14, 16], [7, 10, 8], [15, 13, 12, 5, 4], [11, 18, 17, 19, 20, 21, 23, 24]]
