0: [[20, 6, 3, 22], [17, 4, 9], [2, 7, 1, 35], [10, 37, 15], [14, 8], [33], [5, 19, 12, 11], [24, 18], [27, 29, 13, 16, 34], [36, 21, 23], [25, 26, 28], [31, 30, 32]]
55: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33, 5], [19, 12, 11], [24, 18, 27], [29, 13, 16], [34, 36, 21], [23, 25, 26, 28], [31, 30, 32]]
56: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8], [33, 5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23, 25, 26, 28, 31, 30, 32]]
57: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8], [33, 5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23, 25, 26, 28, 31, 30, 32]]
58: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33, 5, 19], [12, 11], [24, 18, 27], [29, 13, 16], [34, 36, 21], [23, 25, 26], [28], [31, 30, 32]]
59: [[20, 6], [3, 22, 17, 4, 9, 2], [7, 1, 35, 10], [37, 15, 14, 8, 33, 5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
60: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8], [33, 5, 19], [12, 11, 24], [18, 27, 29], [13, 16], [34, 36, 21], [23, 25, 26, 28], [31, 30, 32]]
61: [[20, 6, 3], [22, 17, 4, 9], [2, 7, 1], [35, 10, 37], [15, 14, 8, 33, 5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
62: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10, 37], [15, 14], [8, 33, 5], [19, 12, 11], [24, 18, 27], [29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
63: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33, 5], [19, 12, 11, 24, 18, 27, 29, 13, 16], [34, 36, 21, 23, 25, 26, 28, 31], [30, 32]]
64: [[20, 6, 3], [22, 17, 4, 9, 2, 7, 1, 35, 10, 37, 15, 14, 8, 33], [5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
65: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33], [5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
66: [[20, 6, 3], [22, 17, 4], [9, 2], [7, 1], [35, 10, 37], [15, 14, 8], [33, 5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
67: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35, 10], [37, 15], [14, 8, 33, 5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21, 23, 25, 26, 28, 31, 30, 32]]
68: [[20, 6], [3, 22, 17], [4, 9, 2], [7, 1, 35], [10, 37, 15], [14, 8, 33, 5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
69: [[20, 6, 3], [22, 17, 4], [9, 2], [7, 1], [35, 10, 37], [15, 14, 8], [33, 5, 19], [12, 11, 24], [18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
70: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35], [10, 37, 15], [14, 8, 33], [5, 19], [12, 11, 24], [18, 27, 29], [13, 16, 34], [36, 21], [23, 25, 26], [28, 31], [30, 32]]
71: [[20, 6, 3], [22, 17, 4], [9, 2, 7], [1, 35, 10], [37, 15, 14], [8, 33, 5, 19], [12, 11, 24], [18, 27, 29], [13, 16], [34, 36, 21], [23, 25, 26, 28], [31, 30, 32]]
72: [[20, 6, 3], [22, 17, 4], [9, 2, 7, 1, 35, 10, 37, 15, 14, 8, 33, 5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
73: [[20, 6, 3], [22, 17], [4, 9, 2], [7, 1, 35], [10, 37], [15, 14], [8, 33, 5, 19, 12, 11, 24, 18, 27, 29, 13, 16, 34, 36, 21, 23, 25, 26, 28, 31, 30, 32]]
