0: [[15, 8], [3, 22, 19, 4, 10], [11, 7, 16], [13, 2, 6, 1], [5, 14, 18, 20, 12, 17, 9], [21, 23, 24]]
27: [[22, 19], [4, 10, 3], [11, 7], [16, 13, 2], [6, 1, 5, 14], [18, 20, 15, 8], [12, 17], [9, 21, 23, 24]]
28: [[15, 8], [3, 22], [19, 4], [10, 11, 7, 16], [13, 2, 6], [1, 5], [14, 18, 20, 12, 17], [9, 21, 23, 24]]
29: [[22], [19, 4, 10, 3], [11, 7, 16, 13], [2, 6, 15], [1, 5, 14, 18, 8], [20, 12, 17], [9, 21, 23, 24]]
30: [[15, 8], [3, 22], [19, 4, 10, 11], [7, 16], [13, 2, 6, 1], [5, 14], [18, 20, 12, 17], [9, 21, 23, 24]]
31: [[22, 19], [4, 10, 3], [11, 7], [16, 13], [2, 6, 1], [5, 14], [18, 20, 15, 8], [12, 17], [9, 21, 23, 24]]
32: [[22, 19, 4, 10, 11], [7, 16], [13, 2], [6, 1, 3], [5, 14], [18, 20, 15, 8], [12, 17], [9, 21], [23, 24]]
33: [[22, 19], [4, 10, 11, 3], [7, 16], [13, 2, 6], [1, 5], [14, 18, 15, 8], [20, 12, 17], [9, 21], [23, 24]]
34: [[22, 19, 4, 10], [11, 7], [16, 13, 8], [2, 6, 1, 3], [5, 14, 18, 20, 12, 17, 9, 21, 23, 24, 15]]
35: [[15, 8], [3, 22, 19, 4, 10], [11, 7], [16, 13, 2, 6, 1, 5, 14, 18, 20, 12, 17, 9, 21, 23, 24]]
36: [[22], [19, 4, 10, 3], [11, 7, 16, 13, 2, 6, 1, 5], [14, 18, 20, 15, 8], [12, 17, 9, 21, 23, 24]]
37: [[22, 19], [4, 10], [11, 7], [16, 13, 2, 6, 3], [1, 5, 14, 18, 15, 8], [20, 12], [17, 9, 21, 23, 24]]
38: [[22, 8], [19, 4, 10], [11, 7, 16], [13, 2], [6, 1, 5, 3], [14, 18, 20, 12, 17, 15], [9, 21, 23], [24]]
39: [[15, 8], [22, 19, 4], [10, 11], [7, 16, 3], [13, 2, 6, 1, 5, 14, 18, 20, 12, 17, 9, 21, 23, 24]]
40: [[15, 8], [3, 22, 19, 4, 10], [11, 7, 16, 13], [2, 6], [1, 5, 14, 18, 20, 12, 17, 9, 21, 23, 24]]
41: [[22], [19, 4, 10, 3], [11, 7, 16, 13, 2, 6], [1, 5, 14, 8], [18, 20, 12, 17, 9, 21, 23, 24, 15]]
42: [[22, 19, 8], [4, 10, 15], [11, 7], [16, 13, 2, 6, 3], [1, 5, 14, 18, 20, 12, 17, 9, 21, 23, 24]]
43: [[22, 19], [4, 10, 3], [11, 7, 16], [13, 2, 6, 15], [1, 5, 14, 18, 20, 8], [12, 17, 9, 21, 23, 24]]
44: [[15, 8], [3, 22], [19, 4], [10, 11], [7, 16], [13, 2], [6, 1, 5, 14, 18, 20, 12], [17, 9, 21, 23, 24]]
45: [[15, 8], [3, 22], [19, 4, 10, 11, 7, 16, 13, 2], [6, 1, 5, 14], [18, 20, 12, 17, 9, 21, 23, 24]]
46: [[15, 8], [3, 22], [19, 4], [10, 11], [7, 16], [13, 2, 6], [1, 5, 14, 18, 20, 12, 17, 9, 21, 23, 24]]
47: [[15, 8], [3, 22, 19], [4, 10, 11, 7, 16, 13], [2, 6, 1, 5], [14, 18, 20, 12, 17, 9, 21, 23, 24]]
48: [[15, 8], [3, 22], [19, 4], [10, 11], [7, 16], [13, 2], [6, 1, 5], [14, 18, 20, 12, 17, 9, 21, 23, 24]]
49: [[15, 8], [3, 22, 19], [4, 10, 11, 7, 16, 13, 2, 6, 1, 5, 14, 18, 20, 12, 17, 9, 21, 23, 24]]
