0: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14], [7, 11], [15, 8], [12, 22, 19, 16, 20, 17], [21, 24, 23]]
26: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
27: [[5, 6, 13], [3, 10], [18, 9, 2], [1, 4, 14], [7, 11], [15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
28: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14], [7, 11], [15, 8, 12], [22, 19, 16], [20, 17, 21], [24, 23]]
29: [[5, 6], [13, 3, 10], [18, 9], [2, 1, 4], [14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
30: [[5, 6], [13, 3, 10], [18, 9, 2], [1, 4], [14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17], [21, 24, 23]]
31: [[5, 6], [13, 3], [10, 18, 9], [2, 1, 4], [14, 7, 11], [15, 8, 12], [22, 19, 16], [20, 17], [21, 24, 23]]
32: [[5, 6], [13, 3, 10], [18, 9, 2], [1, 4, 14], [7, 11, 15], [8, 12, 22], [19, 16, 20, 17], [21, 24, 23]]
33: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15], [8, 12, 22], [19, 16], [20, 17, 21], [24, 23]]
34: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17, 21, 24, 23]]
35: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17, 21, 24, 23]]
36: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17, 21, 24, 23]]
37: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19, 16, 20, 17, 21, 24, 23]]
38: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7], [11, 15, 8], [12, 22, 19, 16, 20, 17, 21, 24, 23]]
39: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7, 11, 15, 8, 12, 22, 19, 16, 20, 17, 21, 24, 23]]
40: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7, 11, 15, 8, 12, 22, 19, 16, 20, 17, 21, 24, 23]]
41: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7, 11, 15, 8, 12, 22, 19, 16, 20, 17, 21, 24, 23]]
42: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7, 11, 15, 8, 12, 22, 19, 16, 20, 17, 21, 24, 23]]
43: [[5, 6, 13], [3, 10, 18], [9, 2, 1], [4, 14, 7, 11, 15, 8, 12, 22, 19, 16, 20, 17, 21, 24, 23]]
44: [[5, 6, 13], [3, 10, 18], [9, 2], [1, 4], [14, 7], [11, 15, 8], [12, 22, 19], [16, 20, 17, 21, 24, 23]]
45: [[5, 6, 13], [3, 10, 18], [9, 2], [1, 4], [14, 7], [11, 15, 8], [12, 22], [19, 16, 20], [17, 21, 24, 23]]
46: [[5, 6, 13], [3, 10, 18], [9, 2, 1, 4, 14, 7, 11, 15, 8, 12, 22, 19, 16, 20, 17, 21, 24, 23]]
47: [[5, 6, 13], [3, 10, 18], [9, 2, 1, 4, 14, 7, 11, 15, 8, 12, 22, 19, 16, 20, 17, 21, 24, 23]]
