0: [[16, 15, 4, 22, 3, 6], [11, 20, 7], [12, 5], [1, 2, 9], [10, 8, 13, 14], [17, 21, 18, 19], [23, 24]]
31: [[16, 15], [4, 22], [3, 6], [11, 20, 7, 12], [5, 1, 2], [9, 10], [8, 13], [14, 17, 21, 18, 19, 23, 24]]
32: [[16, 15], [4, 22, 3], [6, 11], [20, 7], [12, 5], [1, 2, 9], [10, 8, 13], [14, 17], [21, 18, 19, 23, 24]]
33: [[16, 15], [4, 22], [3, 6, 11, 20, 7], [12, 5, 1, 2, 9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
34: [[16, 15], [4, 22], [3, 6, 11, 20, 7, 12, 5, 1, 2, 9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
35: [[16, 15, 4], [22, 3, 6], [11, 20, 7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18], [19, 23, 24]]
36: [[16, 15, 4, 22], [3, 6], [11, 20], [7, 12, 5, 1, 2, 9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
37: [[16, 15], [4, 22], [3, 6], [11, 20], [7, 12], [5, 1], [2, 9, 10], [8, 13, 14], [17, 21, 18], [19, 23, 24]]
38: [[16, 15], [4, 22], [3, 6], [11, 20], [7, 12], [5, 1], [2, 9, 10], [8, 13, 14], [17, 21, 18], [19, 23, 24]]
39: [[16, 15, 4], [22, 3, 6], [11, 20, 7, 12], [5, 1], [2, 9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
40: [[16, 15], [4, 22], [3, 6, 11], [20, 7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18], [19, 23, 24]]
41: [[16, 15, 4], [22, 3], [6, 11, 20, 7, 12, 5, 1, 2, 9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
42: [[16, 15], [4, 22, 3, 6, 11, 20, 7, 12, 5, 1, 2], [9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
43: [[16, 15], [4, 22, 3], [6, 11, 20], [7, 12, 5], [1, 2], [9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
44: [[16, 15], [4, 22, 3], [6, 11], [20, 7], [12, 5], [1, 2, 9], [10, 8, 13], [14, 17, 21], [18, 19, 23, 24]]
45: [[16, 15], [4, 22], [3, 6, 11], [20, 7, 12], [5, 1], [2, 9, 10], [8, 13, 14], [17, 21], [18, 19, 23, 24]]
46: [[16, 15, 4], [22, 3, 6, 11], [20, 7], [12, 5, 1, 2, 9, 10, 8, 13, 14, 17, 21, 18, 19, 23, 24]]
47: [[16, 15], [4, 22], [3, 6], [11, 20], [7, 12], [5, 1, 2], [9, 10, 8], [13, 14, 17], [21, 18], [19, 23, 24]]
