0: [[5, 25], [20, 3], [16, 2, 9, 6, 17, 1], [4, 8], [7, 10, 15, 11, 12, 13, 14], [19, 18], [23, 22], [28, 24], [21, 27, 26], [29]]
12: [[5, 25], [20, 3], [16, 2], [1, 14], [17, 7], [4], [6, 13, 22], [23, 8, 12], [9, 10], [15, 11], [18, 19], [28, 24], [21], [27, 26, 29]]
13: [[5, 25], [20, 3], [16, 2], [1, 14], [17, 7], [4], [6, 13, 22], [23, 8, 12], [9, 10], [15, 11], [18, 19], [28, 24], [21], [27, 26, 29]]
14: [[5, 25], [20, 3], [16, 2], [6], [10, 17], [1, 4], [7, 15], [9, 12], [13, 11, 8], [14, 18, 19], [22, 28], [23, 24], [21, 27, 26], [29]]
15: [[5, 25], [20, 3], [16, 2], [1, 6], [22, 7], [4, 11], [13, 8, 15], [9, 10], [12, 17, 14], [18, 23, 19], [28], [24], [21, 27, 26], [29]]
16: [[5, 25], [20, 3], [16, 2, 9, 6, 17, 1], [4, 8], [7, 10, 15], [11, 12, 13, 14, 19, 18, 22, 23, 28, 29, 21, 27, 26, 24]]
17: [[5, 25], [20, 3], [16, 2], [9, 6], [17, 1], [4, 8], [7, 10], [15, 14, 12], [13, 11, 19], [18, 22, 23], [28, 21, 24], [27, 26, 29]]
18: [[5, 25], [20, 3], [16, 2, 9, 6, 17, 1], [4], [15, 7, 10], [8, 12, 11], [13], [14, 19, 18, 22, 23, 28, 29, 21, 27, 26, 24]]
19: [[5, 25], [20, 3], [16, 2], [7, 6], [17, 1], [4, 8], [9, 13, 14], [10, 11, 12], [15, 18, 19], [22, 23], [28, 24, 21, 27], [26, 29]]
20: [[5, 25], [20, 3], [16, 2], [9, 22], [1, 7], [4, 15], [6, 13], [8, 11, 12, 19, 17, 10, 18, 14], [23, 28, 24, 21, 27, 26], [29]]
21: [[5, 25], [20, 3], [16, 2, 1], [6, 17, 7], [4, 15, 9, 10, 11, 14, 8, 12, 19, 13, 18, 23, 22, 28, 21, 24, 27, 26, 29]]
22: [[5, 25], [20, 3], [16, 2, 9], [6, 17, 1], [4, 8], [7, 13, 15], [14, 11], [10, 12, 19], [18, 22, 23], [28, 24, 21], [27], [26, 29]]
23: [[5, 25], [20, 3], [16, 2], [11], [6, 17, 1], [4, 8, 12, 9, 7, 10, 14, 13, 15, 19, 18, 23, 22, 24, 28, 21, 27, 26, 29]]
24: [[5, 25], [20, 3], [16, 2, 9], [6], [17, 1, 4, 8, 15, 10, 7, 11, 12, 13, 14, 19, 18, 23, 22, 28, 24, 21, 27, 26, 29]]
25: [[5, 25], [20, 3], [16, 2, 11, 6], [19, 1, 4, 7, 8, 9, 15, 14, 12, 10, 13, 29, 17, 22, 18, 28, 24, 21, 27, 26, 23]]
26: [[5, 25], [20, 3], [16, 2, 11, 6], [17, 1, 4, 15, 12, 9, 7, 10, 8, 13, 14, 19, 18, 22, 23, 28, 24, 21, 27, 26, 29]]
27: [[5, 25], [20, 3], [16, 2, 9], [6], [17, 1, 4], [15, 7, 10, 8, 13, 11, 12, 14, 19, 18, 22, 23, 28, 29, 21, 27, 26, 24]]
28: [[5, 25], [20, 3, 16, 2, 9, 1, 19, 4, 12, 7, 6, 11, 15, 8, 10, 14, 13, 17, 22, 24], [18, 23, 28, 21, 27], [26, 29]]
29: [[5, 25], [20, 3], [16, 2], [4, 8, 18], [6, 1], [15, 7, 10, 19, 11, 13], [9, 12, 14, 17, 22, 23, 28, 24, 21, 27, 26, 29]]
30: [[5, 25], [20, 3], [16, 2, 1], [6, 17], [9, 4, 8], [15, 13], [10, 7], [26, 12], [11, 14, 18], [23, 22], [28, 19], [21, 27, 24], [29]]
31: [[5, 25], [20], [3, 16], [2, 10], [6, 17], [1, 4], [15, 7], [8, 9, 13], [11, 12], [18, 14, 19], [22, 23, 28], [24, 21, 27, 26, 29]]
32: [[5, 25], [20, 3, 16], [2, 9, 6], [17, 1], [4, 8, 15], [7, 10], [14, 11], [13, 12], [18, 19, 22], [23, 28, 21], [24, 27, 26], [29]]
33: [[5, 25], [20, 3], [16, 2], [11, 6], [17, 1], [4, 9], [13, 7], [10, 12], [8, 15], [14, 18, 19], [23, 22], [28, 21], [29, 27, 26], [24]]
34: [[5, 25], [20, 3], [16, 2], [11, 6], [17, 1, 4, 8], [15], [9, 7, 10, 12, 13, 14, 19, 18, 23, 22, 28, 24, 21, 27], [26, 29]]
35: [[5, 25], [20, 3], [16, 2, 10, 14, 17, 7, 4, 8, 1], [13, 6, 11], [12, 9], [15, 19, 18, 23], [22, 28], [27, 21, 24, 26, 29]]
36: [[5, 25, 20], [3], [16, 2], [10, 4, 17, 1, 6], [15, 7, 8, 11, 13, 9, 12, 18, 14, 19, 23, 22, 28, 24, 21, 27, 26, 29]]
37: [[5, 25], [20, 3], [16, 2, 9, 6, 23, 1], [4, 8], [7, 11, 12, 10], [13, 15, 14], [22, 28, 17], [18], [19, 24, 21, 27, 26], [29]]
38: [[5, 25], [20, 3, 16], [2, 9, 6], [21, 17], [1, 8, 11, 4], [15, 7], [12, 10], [13, 14, 18], [23, 22], [28, 24], [19, 27, 26], [29]]
39: [[5, 25], [20, 3], [16, 2, 8], [6, 17, 1], [4, 11], [9, 14], [7, 10], [13, 12], [15], [19, 18, 22], [21, 28, 23], [29], [27, 26, 24]]
40: [[5, 25, 20], [3, 16], [2, 9, 6], [17, 1, 4], [8, 15], [13, 7], [10, 11, 14], [12, 18], [19, 22, 21], [28, 24, 23], [27, 26, 29]]
41: [[5, 25], [20, 3, 16, 2, 1, 6, 19, 4, 12, 13, 8, 11, 29, 9, 7, 10, 15, 14, 17, 18], [22, 28, 24, 21, 27], [26, 23]]
42: [[5, 25], [20, 3], [16, 2], [1, 26, 6, 13], [4, 8], [7, 12, 9, 15], [23, 27, 19, 22, 14, 11, 10, 17, 24, 21, 18, 28, 29]]
43: [[5, 25], [20, 3, 16], [2, 8, 6], [18, 1], [4, 9, 12], [14, 7], [11], [10, 13, 15], [19, 17, 22], [23], [28, 24, 21, 27, 26, 29]]
44: [[5, 25], [20], [3, 16], [2, 7, 6, 17, 1, 4, 8, 12, 9, 11, 10, 13, 15, 14, 19, 18, 23, 28, 22, 24, 21, 27, 26, 29]]
45: [[5, 25, 20], [3, 16], [2, 9], [6, 17], [1, 4], [8, 7], [12, 10], [11, 13], [15, 14, 19], [18, 22, 23], [28, 24, 21], [27, 26], [29]]
46: [[5, 25], [20], [3, 16, 2], [7, 6, 17], [1], [4, 9, 8, 12, 14, 10, 11, 13, 15, 18, 19, 22, 23, 28, 24, 21, 27, 26, 29]]
47: [[5, 25], [20, 3], [16, 2], [1, 14], [17, 7], [4, 6], [13, 9, 10], [8, 11], [12, 22, 15], [19, 18, 23, 28], [24, 21, 27], [26, 29]]
48: [[5, 25], [20, 3, 16], [2, 9], [6], [18, 1, 4, 7, 8, 11, 12, 13], [10, 15, 14, 19, 17, 22, 23, 28, 24, 21, 27, 26, 29]]
49: [[5, 25, 20], [3, 16, 2], [11, 6, 17], [1, 4, 8], [15, 13, 7], [14, 10], [9, 12, 19], [18, 21, 22], [28, 24, 23], [27], [26, 29]]
50: [[5, 25], [20, 3], [16, 2, 9], [10, 19, 1], [6, 8, 7, 13], [29, 4, 15], [14, 12], [11], [18, 22, 17], [28, 24, 21], [27], [26, 23]]
51: [[5, 25], [20, 3], [16, 2], [9, 6], [17, 1, 4], [12, 7], [13, 15], [10, 8], [11, 14], [21, 18, 23], [22, 28], [24, 19], [27, 26, 29]]
52: [[5, 25], [20], [3, 16], [2, 11], [6, 17, 1, 4, 15, 7, 9, 13, 10, 8, 12, 18, 14, 19, 22, 23, 28, 24, 21, 27, 26], [29]]
53: [[5, 25], [20, 3], [16, 2], [9, 6], [17, 1], [4, 8], [11, 13], [7], [15, 10, 14, 23], [18, 12, 19, 22, 28, 21, 24, 27], [26, 29]]
54: [[5, 25], [20, 3], [16], [2, 8, 6], [17, 1], [4, 7], [9, 12, 14], [10, 13, 11], [15, 18, 22], [23, 19, 28], [24, 21, 27], [26, 29]]
55: [[5, 25], [20, 3], [16, 2], [9, 6], [17, 7, 4], [12], [1, 13, 11], [10, 8, 14, 15, 19, 18, 23, 22, 28, 24, 21, 27, 26, 29]]
56: [[5, 25], [20], [3, 16], [2, 11], [6, 19], [1, 4], [15, 8], [9, 7], [13], [10, 12, 14, 17, 18, 23, 22, 28], [24, 21, 27, 26, 29]]
57: [[5, 25], [20], [3, 16], [2, 9], [6, 17], [1, 4], [8, 7], [13, 15, 11], [10], [14, 12, 18, 22, 19, 23, 28, 21, 24, 27, 26, 29]]
58: [[5, 25], [20, 3], [16, 2], [1, 22], [7], [6, 4, 13], [8, 12], [9, 14], [21, 18, 19], [11, 28, 15], [10], [17, 24, 23, 27, 26, 29]]
59: [[5, 25], [20], [3, 16], [2, 9], [6, 17], [7, 4], [15, 1], [13, 12, 11], [10, 8], [23, 14, 18], [19, 22], [28, 24, 21], [27], [26, 29]]
