0: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 9, 13, 7, 23, 17], [10, 2, 24, 19, 18, 16], [15, 21, 27, 26, 29, 28]]
24: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
25: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
26: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [9, 7, 13, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
27: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
28: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 16, 19, 18], [15, 21, 27, 26, 29, 28]]
29: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 19, 18, 16], [15, 21, 27, 26, 29, 28]]
30: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [2, 24, 18, 19, 16, 10], [15, 21, 27, 26, 29, 28]]
31: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
32: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [9, 7, 13, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
33: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [9, 7, 13, 23, 17], [10, 2, 24, 18, 19, 16], [15, 21, 27, 26, 29, 28]]
34: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [2, 13, 7, 17, 23, 9], [10, 14, 16, 18, 19, 24], [15, 21, 27, 26, 29, 28]]
35: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [2, 13, 7, 19, 23, 14], [10, 9, 16, 18, 17, 24], [15, 21, 27, 26, 29, 28]]
36: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [2, 13, 7, 19, 23, 9], [10, 14, 24, 18, 17, 16], [15, 21, 27, 26, 29, 28]]
37: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 15], [13, 7, 9, 23, 17], [10, 2, 24, 18, 19, 16], [14, 29, 27, 26, 21, 28]]
38: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [2, 13, 7, 9, 23, 14], [10, 16, 24, 18, 17, 19], [15, 21, 27, 26, 29, 28]]
39: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 9], [13, 7, 14, 23, 19, 10], [2, 24, 18, 17, 16], [15, 21, 27, 26, 29, 28]]
40: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [9, 7, 2, 23, 17], [10, 13, 16, 18, 19, 15], [24, 21, 27, 26, 28, 29]]
41: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 9, 7, 15, 23, 17], [10, 18, 24, 2, 19, 16], [13, 29, 27, 26, 21, 28]]
42: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 15, 7, 23, 17], [10, 2, 24, 19, 9, 16], [18, 21, 27, 26, 29, 28]]
43: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [13, 7, 2, 23, 9], [10, 17, 16, 18, 19, 24], [15, 21, 27, 26, 29, 28]]
44: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [15, 13, 9, 10, 23, 17], [14, 2, 24, 18, 19, 16], [7, 21, 27, 26, 29, 28]]
45: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 9, 10, 23, 17], [15, 2, 24, 18, 19, 16], [7, 21, 27, 26, 29, 28]]
46: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [15, 2, 9, 17, 7, 10], [13, 24, 18, 16, 19], [23, 21, 27, 26, 29, 28]]
47: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [14, 15, 7, 17, 23, 9], [2, 10, 16, 13, 19, 24], [18, 21, 27, 26, 29, 28]]
48: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [15, 9, 7, 10, 21, 13], [2, 18, 14, 16, 19, 17], [24, 29, 27, 26, 23, 28]]
49: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 9], [13, 7, 14, 29, 10, 2], [18, 17, 16, 19, 23], [15, 21, 27, 26, 24, 28]]
50: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 15], [10, 2, 24, 18, 19, 16], [17, 29, 27, 26, 21, 28]]
51: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 23, 15], [10, 2, 24, 16, 19, 18], [29, 17, 27, 26, 21, 28]]
52: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 14, 2], [9, 13, 12, 7, 15], [10, 24, 16, 18, 17, 19], [23, 21, 27, 26, 29, 28]]
53: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 2, 7, 13, 23, 9], [10, 18, 24, 15, 17, 16], [29, 21, 27, 26, 19, 28]]
54: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 14], [15, 7, 9, 23, 17, 10], [2, 24, 13, 18, 16], [29, 21, 27, 26, 19, 28]]
55: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12], [14, 13, 7, 9, 21, 27], [2, 10, 19, 18, 16, 17], [15, 23, 24, 26, 29, 28]]
56: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 15], [13, 2, 9, 23, 7], [10, 14, 24, 18, 16, 17], [19, 21, 27, 26, 29, 28]]
57: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 13, 14], [2, 7, 9, 12, 28], [10, 18, 24, 17, 15, 16], [23, 21, 27, 26, 29, 19]]
58: [[11, 22, 6, 1, 5], [25, 3, 4, 20, 8, 12], [2, 13, 7, 27, 23, 9], [10, 14, 24, 18, 17, 16], [15, 21, 19, 26, 29, 28]]
59: [[11, 22, 6, 1, 5, 25], [3, 4, 20, 8, 12, 15], [13, 7, 9, 29, 10], [26, 24, 16, 18, 2, 14], [17, 21, 27, 19, 23, 28]]
