0: [[3, 10], [19, 5, 4], [1, 2], [14, 12], [6, 9], [7, 11], [8, 13, 15], [17, 18, 20, 16, 22], [23, 21, 24]]
19: [[5], [4, 1, 2, 19], [14, 12, 6, 10], [9, 7], [11, 8, 13], [15, 17, 18], [20, 16, 22, 3], [23, 21, 24]]
20: [[5, 4, 1, 19], [2, 14, 10], [12, 6], [9, 7], [11, 8, 13], [15, 17], [18, 20, 16, 3], [22, 23, 21, 24]]
21: [[5], [4, 1, 2, 19], [14, 12, 10], [6, 9, 7], [11, 8], [13, 15, 17], [18, 20, 16, 3], [22, 23, 21, 24]]
22: [[5, 4], [1, 2], [14, 12, 10, 19], [6, 9], [7, 11, 8, 13], [15, 17], [18, 20, 16, 22, 23, 3], [21, 24]]
23: [[5], [4, 1, 19], [2, 14, 10], [12, 6], [9, 7, 11], [8, 13], [15, 17, 18, 20], [16, 22, 23, 3], [21, 24]]
24: [[3, 10], [19, 5, 4], [1, 2], [14, 12, 6], [9, 7, 11], [8, 13, 15], [17, 18, 20], [16, 22, 23, 21, 24]]
25: [[5], [4, 1, 19], [2, 14, 10], [12, 6, 9], [7, 11, 8], [13, 15, 17], [18, 20, 16, 3], [22, 23], [21, 24]]
26: [[3, 10], [19, 5, 4], [1, 2], [14, 12, 6, 9], [7, 11], [8, 13, 15], [17, 18, 20, 16, 22, 23, 21, 24]]
27: [[5], [4, 1, 2, 19], [14, 12, 10], [6, 9, 3], [7, 11], [8, 13], [15, 17, 18], [20, 16, 22, 23, 21, 24]]
28: [[5], [4, 1, 19], [2, 14, 10], [12, 6, 9, 7], [11, 8, 13, 15], [17, 18], [20, 16, 3], [22, 23], [21, 24]]
29: [[5], [4, 1, 19], [2, 14, 10], [12, 6], [9, 7, 11, 8], [13, 15], [17, 18, 20], [16, 22, 23, 3], [21, 24]]
30: [[4, 1, 19], [2, 14, 10], [12, 6, 5], [9, 7], [11, 8, 13, 15], [17, 18], [20, 16, 22, 3], [23, 21], [24]]
31: [[5, 4], [1, 2, 14, 10, 19], [12, 6, 3], [9, 7, 11], [8, 13, 15], [17, 18, 20, 16, 22, 23, 21, 24]]
32: [[5], [4, 1, 19], [2, 14, 10], [12, 6, 9, 3], [7, 11], [8, 13, 15, 17], [18, 20, 16, 22, 23, 21, 24]]
33: [[3, 10], [19, 5, 4, 1, 2, 14, 12, 6, 9, 7, 11, 8, 13, 15, 17, 18, 20, 16, 22, 23], [21, 24]]
34: [[3, 10], [19, 5, 4], [1, 2], [14, 12], [6, 9, 7], [11, 8, 13, 15], [17, 18, 20], [16, 22, 23, 21, 24]]
35: [[5, 4], [1, 2], [14, 12, 10, 19], [6, 9, 3], [7, 11, 8], [13, 15, 17], [18, 20, 16, 22, 23, 21, 24]]
36: [[4, 1, 19], [2, 14, 10], [12, 6, 3, 5], [9, 7], [11, 8], [13, 15], [17, 18, 20, 16], [22, 23, 21], [24]]
37: [[4, 1, 19], [2, 14, 10], [12, 6, 5], [9, 7], [11, 8], [13, 15], [17, 18], [20, 16, 3], [22, 23], [21, 24]]
38: [[5], [4, 1, 2, 14, 10, 19], [12, 6, 9, 3], [7, 11, 8, 13], [15, 17, 18, 20, 16, 22, 23, 21, 24]]
39: [[5], [4, 1, 2, 14, 10, 19], [12, 6, 3], [9, 7, 11], [8, 13, 15, 17, 18, 20, 16, 22, 23, 21, 24]]
40: [[3, 10, 19, 5], [4, 1, 2, 14, 12, 6, 9, 7, 11, 8, 13, 15, 17, 18, 20], [16, 22, 23, 21, 24]]
41: [[3, 10], [19, 5, 4], [1, 2], [14, 12, 6, 9, 7], [11, 8], [13, 15, 17, 18, 20, 16, 22, 23, 21, 24]]
42: [[3, 10], [19, 5, 4, 1, 2], [14, 12], [6, 9, 7], [11, 8, 13], [15, 17, 18, 20, 16, 22, 23, 21, 24]]
43: [[19, 5, 4, 1], [2, 14, 12, 10], [6, 9, 7, 11, 8, 13, 15, 17, 18, 20, 16, 22, 23, 21, 24, 3]]
44: [[3, 10, 19], [5, 4, 1], [2, 14, 12], [6, 9, 7, 11], [8, 13, 15, 17, 18, 20, 16, 22, 23, 21, 24]]
45: [[19, 5], [4, 1, 2], [14, 12, 6, 3, 10], [9, 7, 11, 8, 13, 15, 17, 18, 20, 16, 22, 23, 21, 24]]
46: [[3, 10], [19, 5, 4, 1, 2, 14, 12, 6, 9, 7, 11, 8, 13, 15, 17, 18, 20, 16, 22, 23, 21], [24]]
47: [[19, 5], [4, 1, 3], [2, 14, 12, 10], [6, 9, 7, 11, 8, 13, 15, 17, 18, 20, 16, 22, 23, 21, 24]]
48: [[3], [5], [4, 1, 10, 19], [2, 14, 12, 6, 9, 7, 11, 8, 13, 15, 17, 18, 20, 16, 22, 23, 21, 24]]
49: [[3, 10, 19, 5], [4, 1], [2, 14, 12], [6, 9, 7], [11, 8, 13, 15, 17, 18, 20, 16, 22, 23, 21, 24]]
