0: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55, 4], [8, 13, 6, 21], [14, 35, 39], [9, 29], [15, 16, 10, 18], [24, 11, 17, 12], [32, 20, 19, 26], [33, 25, 34], [28, 22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52], [53, 59], [57, 49]]
21: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3], [55, 4, 8], [13, 21, 6], [14, 35], [39, 9, 29], [16], [15, 24, 10], [12, 18], [11, 17, 32], [20, 19], [26, 33, 25], [34, 28], [22, 23], [40, 41, 37, 36], [50, 44], [51, 46, 45], [47, 56, 48], [54, 52, 60], [53, 59], [57, 49]]
22: [[58, 27], [30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 6, 21], [14, 35], [39, 9, 29], [15, 16], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40], [41, 37], [36, 50], [44, 51, 46], [45, 47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
23: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [18, 10, 24], [12, 11, 17], [32, 20, 19], [26, 33, 25], [34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51, 46], [45, 47, 56], [48, 54, 60], [52, 53], [59, 57, 49]]
24: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9], [29, 16, 15], [10, 18, 24], [11, 17], [12, 32, 20], [19, 26, 33], [25, 34, 28], [22, 23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54, 60], [52, 53], [59, 57, 49]]
25: [[58, 27], [30, 43], [31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 21, 6], [14, 35, 39], [9, 29], [15, 16], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52, 53], [59, 57, 49]]
26: [[58], [27, 30], [43, 31, 7], [2, 1], [5, 38, 42], [3, 55], [4, 8], [13, 6, 21], [14, 35], [39, 9], [29, 15, 16], [10, 18, 24], [12, 11, 17], [32, 20, 19], [26, 33, 25], [34, 28, 23], [22, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
27: [[58, 27], [30], [43, 31], [7, 2, 1], [5, 38], [42, 3, 55], [4, 8], [13, 21, 6], [14, 35, 39], [9, 29, 16], [15, 10], [18, 24], [11], [17, 12, 32], [20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37, 36, 50], [44, 51], [46, 45], [47, 56], [48, 54, 52], [60, 53, 59], [57, 49]]
28: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55], [4, 8, 13], [6, 21], [14, 35, 39], [9, 29], [16, 15, 10], [18, 24, 12], [11, 17, 32], [20, 19, 26], [33, 25], [34, 28, 22, 23], [41, 37, 40], [36, 50, 44], [51, 46, 45], [47], [56, 48, 54], [60, 52, 53], [59, 57, 49]]
29: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42], [3, 55, 4], [18, 8, 13], [21, 14, 35], [6, 39, 9], [29, 16], [15, 10, 24], [12, 11, 17], [32, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40], [41, 37, 36], [50, 44, 51], [46, 45], [47, 56, 48], [54, 60, 52], [53, 59], [57, 49]]
30: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4], [8, 13], [21, 6, 14], [35, 39], [9, 29, 16], [15, 10, 18], [24, 11, 17], [12, 32, 20], [19, 26, 33], [34, 28, 22], [23, 40, 41], [37, 36], [50, 44, 51], [46, 45, 47, 59], [56, 48, 54], [60, 52], [53, 25], [57, 49]]
31: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38], [42, 3, 55], [4, 8], [13, 6, 21], [14, 35, 39], [9, 29, 15], [16, 10], [18, 24, 11], [17, 12, 32], [20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54, 60], [52, 53, 59], [57, 49]]
32: [[58], [27, 30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [39, 9, 29], [15, 16, 10], [18], [24, 11, 17], [12, 32], [20, 19, 26], [33, 25], [34, 28, 22], [23, 40], [41, 37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54, 60], [52, 53, 59], [57, 49]]
33: [[58], [27], [30, 43, 31], [7, 1, 2], [5, 38, 18], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9, 15], [16, 10, 24], [11, 17, 32], [12, 20, 19, 26], [33, 25, 34, 28], [22, 23, 40, 41], [37, 29], [36, 50, 44, 51, 46, 45, 47], [56, 48, 54, 60, 52], [53, 59, 57, 49]]
34: [[58], [27, 30], [43, 31], [7, 1, 2], [5, 38], [42, 18, 3], [55, 4], [8, 13, 21], [14, 35], [6, 39, 9], [29, 16, 10], [15, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37], [36, 50, 44], [51, 46, 45], [47, 48, 54], [52, 60, 56, 53], [59, 57, 49]]
35: [[58], [27, 30], [43, 31], [7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9], [29, 15, 16], [10, 18, 24], [12, 11, 17], [32, 20], [19, 26, 33], [25, 34, 28], [23, 22, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60], [52, 53], [59, 57, 49]]
36: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3], [55, 4, 8], [13, 21], [6, 14], [35, 39, 9], [29, 16], [15, 10, 18], [24, 11, 17], [12, 32, 20], [19, 26, 33], [25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51], [45, 47, 59], [56, 48, 54], [60, 52], [53, 46], [57, 49]]
37: [[58, 27], [30, 43, 31], [7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39], [9, 29, 16], [15, 18, 10], [24, 11, 17], [12, 32], [20, 19, 26], [33, 25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52, 53], [59, 57, 49]]
38: [[58], [27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9, 29], [15, 16, 18], [10, 24, 11], [17, 32, 20, 19], [26, 34, 25, 33], [28, 22, 23, 40], [41, 37], [12, 36, 50, 44, 51, 46, 45], [47, 56, 48, 54, 60], [52, 53, 59, 57, 49]]
39: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9], [29], [16, 15], [18, 10], [24, 12, 11], [17, 32, 20], [19, 26, 33], [25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52], [53, 59], [57, 49]]
40: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8], [13, 6, 21, 14], [35, 39], [9, 29], [15, 16], [10, 18, 24], [11, 17, 12, 32, 20], [19, 26, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 60, 52], [53, 59, 57, 49]]
41: [[58], [27, 30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 8], [13, 21], [6, 14, 35, 39], [9, 29, 16], [15, 10, 18], [24, 11], [17, 12], [32, 20, 19], [26, 33], [25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52, 53], [59, 57, 49]]
42: [[58, 27], [30, 43], [31, 7, 2], [1, 5], [38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39], [9, 29], [16, 15, 10], [18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28], [22, 23], [40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
43: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38], [42], [3, 55, 4], [8, 13, 6], [21, 14, 35], [39, 9, 29], [16, 15], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 25], [34, 28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54, 60], [52, 53], [59, 57, 49]]
44: [[58, 27], [30], [43, 31, 7], [2, 1], [5, 38, 42], [3, 55], [4, 8], [13, 6, 21], [14, 35], [39, 9, 29], [16, 15, 10], [18, 24, 11], [17, 12, 32], [20, 19, 26], [33, 25, 34], [28, 22, 23], [40, 41, 37], [36, 50], [44, 51], [46, 45, 47], [56, 48, 54], [60, 52], [53, 59, 57, 49]]
45: [[58], [27, 30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 6], [21, 14], [35, 39, 9], [29, 16, 15], [10, 18], [24], [11, 17, 12], [32, 20], [19, 26, 33], [25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44], [51, 46, 45], [47, 56], [48, 54, 52], [60, 53, 59], [57, 49]]
46: [[58], [27, 30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 6], [21, 14], [35, 39, 9], [29, 16, 15], [10, 18], [24], [11, 17, 12], [32, 20], [19, 26, 33], [25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44], [51, 46, 45], [47, 56], [48, 54, 52], [60, 53, 59], [57, 49]]
47: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8], [13, 6], [21, 14, 35], [39, 9], [29, 15, 16], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 25, 33], [34, 28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54, 52], [60, 53, 59], [57, 49]]
48: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3], [55, 4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [18, 10], [24, 11, 17], [32, 20, 19], [26, 12, 33], [25, 34, 28], [22, 23], [40, 41, 37], [36, 50, 44], [51, 46], [45, 47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
49: [[58, 27], [30, 43], [31, 7], [2, 1], [5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39], [9, 29, 15], [16, 10, 18], [24, 12, 11], [17, 32], [20, 19, 26], [33, 25, 34], [28, 23, 22], [40, 41, 37], [36, 50, 44], [51, 46], [45, 47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
50: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 6], [21, 14, 35], [39, 9], [29, 15, 16], [10, 18, 24], [12, 11, 17], [32, 20, 19], [26, 33, 25], [34, 28, 23], [22, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47, 56], [48, 54], [60, 52, 53], [59, 57, 49]]
51: [[58, 27], [30, 43, 31], [7, 1], [2, 5], [38, 42, 18], [3, 55, 4], [8, 13, 21], [14, 35, 6], [39, 9], [29, 16], [15, 10, 24, 11], [17, 12], [32, 20, 19], [26, 33], [25, 34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51], [46, 45], [47, 56, 48], [54, 60, 52], [53, 59, 57, 49]]
52: [[58, 27], [30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13], [6, 21], [14, 35], [39, 9], [29, 16], [15, 18], [10, 24, 12], [11, 17, 32], [20, 19, 26], [33, 25], [34, 28, 23, 22, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56], [48, 54, 52, 60, 53, 59, 57, 49]]
53: [[58], [27, 30, 43, 31], [7, 1, 2], [5, 38, 42], [18, 3, 55], [4, 9, 21], [6, 14, 35], [39, 8], [29, 15, 16], [10, 13, 24], [11, 17, 12], [32, 20, 19, 26], [33, 25, 34], [28, 22, 23], [40, 41], [37, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54], [60, 52, 53], [59, 57, 49]]
54: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4], [8, 13], [21, 6, 14], [35, 39], [9, 29, 16], [15, 18, 24], [10, 11], [17, 32, 20], [12, 19, 26, 33], [25, 34], [28, 22, 23], [40, 41, 37], [36, 50], [44, 51, 46], [45, 47], [56, 48], [54, 60, 52], [53, 59, 57, 49]]
55: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4], [8, 13], [21, 6, 14], [35, 39], [9, 29, 16], [15, 18, 24], [10, 11], [17, 32, 20], [12, 19, 26, 33], [25, 34], [28, 22, 23], [40, 41, 37], [36, 50], [44, 51, 46], [45, 47], [56, 48], [54, 60, 52], [53, 59, 57, 49]]
56: [[58, 27, 30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [9, 15, 39], [10, 29, 16, 26], [24, 12, 11], [17, 32], [20, 19, 18], [33, 25, 34], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46, 45], [47, 56, 48], [54, 52, 60, 53, 59, 57, 49]]
57: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4, 8], [13, 21, 6], [14, 35, 39], [9, 29, 16], [15, 10], [18, 24], [12, 11, 17], [32, 20], [19, 26, 33, 25], [34, 28, 22], [23, 40, 41, 37, 36], [50, 44, 51, 46, 45, 47], [56, 48, 54, 60, 52, 53, 59, 57, 49]]
58: [[58, 27], [30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [39, 9], [29, 16, 15, 18], [10, 24, 11], [17, 32, 20], [19, 26, 34, 25], [33, 28, 22, 23], [40, 41, 37, 12], [36, 50], [44, 51, 46, 45, 47, 56, 48], [54, 60, 52, 53, 59, 57, 49]]
59: [[58, 27, 30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4, 18], [8, 13, 21], [14, 35, 6], [39, 9], [29, 16, 15], [10, 24], [12, 11, 17], [32, 20, 19], [26, 33, 25], [34, 28, 23], [22, 40, 41], [37, 36, 50], [44, 51, 46], [45, 47], [56, 48], [54, 60, 52], [53, 59], [57, 49]]
60: [[58], [27, 30, 43], [31, 7, 2], [1, 5], [38, 42, 3], [55, 4], [8, 13, 21], [6, 14, 35], [39, 9], [29, 16, 15], [10, 18, 24], [11, 17, 12], [32, 20, 19], [26, 33, 34], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46], [45, 47, 59], [56, 48, 54], [60, 52, 53], [25, 57, 49]]
61: [[58], [27, 30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35], [39, 9, 29], [18, 16, 15], [10, 24, 12], [11, 17, 32], [20, 19], [26, 33], [25, 34], [28, 23, 22], [40, 41, 37], [36, 50, 44], [51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
62: [[58, 27, 30], [43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39, 9], [29, 15], [10, 16, 24], [11, 17, 33], [32, 20], [19, 26, 18], [34, 25, 12], [28, 22, 23], [40, 41, 37], [36, 50, 44], [51, 46, 45], [47, 56, 48], [54, 60, 52], [53, 59], [57, 49]]
63: [[58, 27, 30], [43, 31, 7], [2, 1, 5], [38, 42], [3, 55, 4], [8, 13, 21], [6, 14, 35, 39], [9, 29, 16], [15, 10, 18], [24, 11, 17], [12, 32, 20], [19, 26, 33], [34, 28, 22], [23, 40, 41], [37, 25], [36, 50, 44], [51, 46, 45], [47, 56], [48, 54], [60, 52, 53, 59, 57, 49]]
64: [[58, 27, 30], [43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 6], [21, 14, 35], [39, 9, 29], [15, 16, 10], [18, 24, 11], [17, 12, 32, 20, 19], [26, 33, 25], [34, 28, 22, 23], [40], [41, 37, 36, 50], [44, 51], [46, 45, 47], [48, 54, 52], [60, 56, 53], [59, 57, 49]]
65: [[58], [27, 30, 43, 31], [7, 2, 1], [5, 38, 42], [3, 55, 4], [8, 13, 6], [21, 14], [35, 39, 9], [29, 16, 15], [10, 18], [24, 11], [17, 32, 20], [12, 19, 26], [33, 25, 34], [28, 22], [23, 40, 41], [37, 36, 50], [44, 51, 46, 45, 47, 56, 48, 54], [60, 52, 53, 59, 57, 49]]
66: [[58, 27], [30, 43], [31, 7, 1], [2, 5, 38], [18, 42, 3], [55, 4, 8], [13, 6, 21], [14, 35, 39], [9, 15, 16], [10, 24, 11], [17, 32, 12], [20, 19, 26], [33, 25], [34, 28, 22], [23, 40, 41], [37, 29, 36], [50, 44, 51], [46, 45, 47], [56, 48, 54, 60], [52, 53, 59, 57, 49]]
67: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [6, 21, 14], [35, 39], [9, 29, 16], [15, 18, 24, 10], [11, 17, 32], [20, 12, 19, 26], [33, 25, 34], [28, 22], [23, 40, 41], [37, 36, 50, 44], [51, 46, 45, 47, 56, 48, 54, 60, 52, 53, 59, 57, 49]]
68: [[58], [27, 30, 43], [31, 7, 1, 5, 38, 42, 3, 55, 4, 8, 13, 21, 14, 6, 35, 39, 2, 9, 16, 15, 29, 26, 10, 24, 12, 11, 17, 32, 20, 19, 18, 33, 25, 34, 28, 22, 23, 40, 41, 37, 36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 52, 60, 53], [59, 57, 49]]
69: [[58], [27, 30], [43, 31, 7], [2, 1, 5], [38, 42, 3], [55, 4], [8, 13], [6, 21], [14, 35, 39], [9, 29], [15, 16, 10], [24, 11], [17, 32, 12], [20, 19], [26, 33, 25], [34, 28], [22, 23, 40], [41, 37, 18], [36, 50, 44], [51, 46, 45], [47, 56, 48], [54, 60, 52, 53], [59, 57, 49]]
70: [[58, 27], [30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [10, 18, 24], [11, 17], [12, 32, 20], [19, 26, 33], [25, 34, 28], [22, 23], [40, 41, 37], [36, 50, 44], [51, 46, 45], [47, 56, 48, 54], [60, 52, 53, 59, 57, 49]]
71: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38], [42, 3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16], [15, 10], [18, 24], [11, 17, 32], [20, 12, 19], [26, 33, 25], [34, 28], [22, 23, 40], [41, 37, 36], [50, 44, 51, 46, 45, 47, 56, 48], [54, 60, 52, 53, 59, 57, 49]]
72: [[58], [27, 30, 43], [31, 7, 2], [1, 5, 38, 42], [3, 55], [4, 8, 13], [21, 6, 14], [35, 39, 9], [29, 16, 15], [18, 10, 24, 12], [11, 17], [32, 20, 19], [26, 33, 25], [34, 28], [22, 23, 40], [41, 37], [36, 50, 44, 51, 46, 45, 47, 56, 48, 54, 52, 60, 53, 59, 57, 49]]
73: [[58], [27, 30, 43], [31, 7], [1, 5, 38], [42, 3, 55], [4, 8], [13, 21], [14, 6, 34, 35], [39, 9, 29], [16, 15], [18, 10, 24], [12, 11, 17], [32, 20, 19], [26, 33, 25], [2, 22, 23], [40, 41, 37], [28, 36], [50, 44, 51, 46], [45, 47, 56], [48, 54, 52], [60, 53, 59], [57, 49]]
