0: [[13], [5, 25], [19, 7], [1, 2], [6, 4, 8, 12], [18, 10, 14], [9, 11, 16, 15, 17], [3, 20, 23, 22], [26, 27, 21], [24, 28, 29]]
22: [[13], [5, 25], [19, 7, 1, 2, 3], [4, 12], [9, 10], [6, 8, 11, 27, 28, 14, 17, 16, 22, 15, 20, 23, 24, 21, 18, 26, 29]]
23: [[13], [5, 25], [19, 7, 1, 2, 3, 4, 8, 26, 9, 14, 6, 11, 12, 10], [20, 15, 16, 23, 22, 18], [17, 21, 24, 27, 28, 29]]
24: [[13], [5, 25], [19, 7, 1], [2, 3, 4], [12, 6, 22, 10, 14, 9, 11, 29, 8, 17, 15, 20, 23, 16, 18, 27, 24, 21, 28, 26]]
25: [[13], [5, 25], [19, 7], [1, 2], [3, 4, 12], [10, 24, 6, 8, 11, 9], [14, 22], [15, 16], [17, 18, 20, 21], [27, 29], [28, 23, 26]]
26: [[13], [5, 25], [19, 7], [1, 2], [3], [4, 8, 14, 9, 10, 12], [11, 15, 17, 23], [6, 20], [16, 21, 22], [18, 26, 24, 27, 28, 29]]
27: [[13], [5, 25], [19, 7], [1, 2], [3, 4, 12], [10, 24, 6], [8, 11, 9], [14, 15, 20], [21, 16, 23, 17, 26], [18, 29, 22, 28, 27]]
28: [[13, 5, 25], [19, 7], [1, 2], [3, 4], [8, 6], [20, 10], [15, 11, 27], [9, 14, 12, 18, 16, 21, 22, 17, 23, 24, 26, 28], [29]]
29: [[13, 5, 25], [19, 7], [1, 2, 3, 4, 12, 14, 10, 8, 15, 9, 11, 6, 18, 20, 17, 16, 21, 22, 24, 23, 26, 28, 27, 29]]
30: [[13], [5, 25], [19, 7], [1, 2], [6, 12], [8, 3, 22], [11, 4, 10], [9, 16], [14, 15, 17, 21], [23, 20, 18, 26], [27, 24, 28, 29]]
31: [[13, 5, 25], [19, 7, 1, 2, 3, 4, 8, 14, 10, 11, 12, 9, 15, 16, 22, 18, 17, 21, 23, 6, 20, 24, 26, 27], [29, 28]]
32: [[13], [5, 25], [19, 7], [1, 2, 3], [4, 12, 8], [6, 10], [14, 9], [11, 29, 15], [16, 18, 21], [23, 20], [22, 24, 17], [26, 28, 27]]
33: [[13, 5], [25, 19], [7, 1], [2, 3, 4], [12, 14, 6], [8, 9], [11, 10, 24], [20, 15, 16], [17, 23, 22], [26, 27, 21], [18, 29, 28]]
34: [[13], [5, 25], [19, 7, 1, 2], [3, 4, 8, 14, 10, 6], [12, 9, 15, 17], [11, 23], [16, 18], [20, 21], [22, 24, 27, 26, 28], [29]]
35: [[13, 5, 25, 19, 7, 1, 2, 3], [4, 8, 6, 10, 9, 11, 17, 26, 15, 16, 12, 22, 28, 23], [14, 24, 21, 18, 20, 27, 29]]
36: [[13], [5, 25, 19], [7, 1, 2, 3, 4, 8, 10, 6, 14, 12, 9, 26, 15, 11, 16, 20, 18, 17, 21, 22, 23, 27, 28, 24, 29]]
37: [[13], [5, 25, 19], [7, 1, 2, 6, 4, 8, 12, 18, 10, 3, 11, 9, 14, 16, 22, 21, 20, 15, 27, 24, 23, 17, 26, 29, 28]]
38: [[13], [5, 25, 19], [7, 1, 2, 6, 4, 8, 14, 18, 11, 9, 10, 15, 3, 12, 17, 20, 21, 23, 16, 26, 22, 27, 24, 29, 28]]
39: [[13], [5, 25], [19, 7], [1, 2], [3, 4], [8, 14, 6, 10, 9], [11, 27, 15], [18, 16, 20], [21, 23, 12], [22, 24, 17, 28, 26], [29]]
40: [[13], [5], [25, 19], [7, 1, 2, 3, 4, 12, 6, 16, 10, 11, 9, 8, 15, 17, 20, 22, 21, 23, 14, 26], [24, 18, 27, 28, 29]]
41: [[13], [5, 25, 19, 7, 1], [2, 3, 4, 8, 6, 9, 10, 14, 11, 28, 17, 24, 12, 15, 21, 23, 18], [20, 16, 26, 22, 27, 29]]
42: [[13], [5, 25], [19, 7], [1, 2, 3, 4], [12, 14], [6, 10], [8, 11, 9], [17, 15, 16], [21, 20, 24], [18, 26], [23, 22], [27, 28], [29]]
43: [[13], [5, 25], [19, 7], [1, 2], [3, 4], [8, 10], [11, 6], [12, 9, 14], [15, 22, 21], [16, 17, 20], [18, 23, 24, 28, 27], [26, 29]]
44: [[13, 5], [25, 19, 7, 1, 2, 3, 4, 8, 12, 11, 9, 6, 10, 14, 21, 27, 28, 17, 22, 18, 15, 23, 20, 24, 26, 16], [29]]
45: [[13, 5], [25, 19], [7, 1, 2], [3, 4], [8, 12], [6, 10], [14], [9, 11], [15, 21], [17, 16], [20, 23, 22], [18, 27, 26, 24], [29, 28]]
46: [[13], [5, 25, 19, 7, 1, 2, 3, 4, 8, 6, 9, 14, 10, 11, 12, 28, 15, 16, 24, 21], [18, 22], [17, 29], [20, 23, 26, 27]]
47: [[13, 5, 25, 19, 7], [1, 2, 3, 4, 8, 14, 6, 9, 12], [11, 22, 24, 15, 27, 20, 18, 21, 10, 16, 28, 17], [26, 23, 29]]
48: [[13, 5, 25, 19, 7], [1, 2, 3, 4, 8, 6], [14, 10, 12, 11, 18, 24, 9, 17, 15, 16, 21, 20, 22, 28], [23, 26], [27, 29]]
49: [[13, 5], [25, 19, 7], [1, 2, 3], [4, 8, 12], [6, 10, 14, 9, 11], [15, 22, 17, 16, 21, 20, 24, 18, 27, 23, 26, 28, 29]]
50: [[13, 5], [25, 19, 7, 1, 2, 3, 4, 8, 14, 6, 10, 12, 11, 9, 15, 17, 16, 18, 20, 23, 21], [22, 29, 24, 26, 27], [28]]
51: [[13, 5], [25, 19, 7, 1], [2, 3], [4, 12, 14, 16, 6, 8, 9, 11, 15, 17, 21, 10, 18, 23, 22, 20, 26, 28, 27, 24], [29]]
52: [[13], [5], [25, 19], [7, 1, 2, 3], [4, 8, 6, 10, 11], [15, 9, 12, 28, 23, 17, 14, 16, 21, 20, 22, 18, 27, 26, 24, 29]]
53: [[13, 5, 25, 19], [7, 1], [2, 3], [4, 8, 6, 9, 11, 15, 14, 12, 16, 17, 21, 18, 20, 23, 22, 26, 10, 24, 27, 28, 29]]
54: [[13], [5], [25, 19], [7, 1], [2, 3], [4, 8], [24, 22, 10, 11, 9], [12, 15, 14, 17, 18, 28, 21, 6, 16, 27, 20, 23, 26, 29]]
55: [[13], [5, 25, 19], [7, 1, 2, 3], [4, 12, 14], [10, 11, 8], [9, 15, 21, 18, 22], [16, 20], [23, 6], [17, 26], [24, 27, 28, 29]]
56: [[13, 5], [25, 19], [7, 1], [2, 3, 4, 8], [10, 12, 9], [24], [15, 21], [14, 11, 18, 6, 20], [17, 22, 27, 23, 26, 16, 28, 29]]
57: [[13], [5, 25, 19], [7, 1], [2, 3], [4, 8, 12], [6], [11, 9], [10, 27], [15, 18, 14], [16], [28, 23, 20], [17, 21], [22, 24], [26, 29]]
58: [[13, 5], [25, 19], [7, 1], [2, 3], [4, 12], [6, 8, 10], [9, 15, 11], [16, 18], [14, 17, 21], [23, 22], [20, 24, 26], [27, 28, 29]]
59: [[13, 5], [25, 19], [7, 1], [2, 3, 4], [12, 14], [10, 6], [8, 9], [11, 15, 21], [16, 17, 20], [23, 18], [22], [24, 26], [27, 29, 28]]
