0: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
26: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20, 21], [23, 22, 24]]
27: [[1, 2, 13, 3, 16], [6, 5, 14, 4], [10, 9, 11, 7], [8, 12, 15, 19, 17], [18, 20], [21, 23, 22, 24]]
28: [[16, 1], [2, 13], [3, 6, 5, 14, 4], [10, 9, 11, 7], [8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
29: [[1], [2, 13, 3, 6, 5, 16], [14, 4], [10, 9, 11, 7], [8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
30: [[1, 2, 13, 3, 6, 16], [5, 14, 4], [10, 9], [8, 12, 11, 7], [15, 19, 17, 18, 20], [21, 23, 22, 24]]
31: [[1, 2, 13, 3, 6, 16], [5, 14, 4], [10, 9], [8, 12, 11, 7], [15, 19, 17, 18, 20], [21, 23, 22, 24]]
32: [[1, 2, 13, 3, 6, 16], [5, 14, 4], [10, 9], [8, 12, 11, 7], [15, 19, 17, 18, 20], [21, 23, 22, 24]]
33: [[1, 2, 13, 3, 6, 16], [5, 14, 4], [10, 9], [8, 12, 11, 7], [15, 19, 17, 18, 20], [21, 23, 22, 24]]
34: [[1], [2, 13, 3, 6, 5, 16], [14, 4], [10, 9, 11, 7], [8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
35: [[11, 7], [16, 1, 2, 13, 3], [6, 5], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18], [20, 21, 23, 22, 24]]
36: [[11, 7, 16, 1], [2, 13, 3, 6], [5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
37: [[1, 2, 13], [3, 6, 5, 14, 4, 16], [10, 9, 11, 7], [8, 12, 15, 19, 17, 18, 20, 21], [23, 22, 24]]
38: [[1, 2], [13, 3, 16], [6, 5, 11, 7], [14, 4, 10], [9, 8, 12, 15, 19, 17, 18, 20, 21], [23, 22, 24]]
39: [[11, 7], [16, 1], [2, 13, 3, 6, 5, 14], [4, 10, 9, 8], [12, 15, 19, 17, 18, 20], [21, 23, 22, 24]]
40: [[11, 2, 13, 3, 6, 7, 16], [5, 14, 4], [10, 9, 1], [8, 12, 15, 19, 17], [18, 20], [21, 23, 22, 24]]
41: [[11, 2, 13, 3, 6, 7, 16], [5, 14, 4], [10, 9, 1], [8, 12, 15, 19, 17], [18, 20], [21, 23, 22, 24]]
42: [[11, 2, 13, 3, 6, 7, 16], [5, 14, 4], [10, 9, 1], [8, 12, 15, 19, 17], [18, 20], [21, 23, 22, 24]]
43: [[11, 2, 13, 3, 6, 7, 16, 1], [5, 14, 4], [10, 9, 8, 12, 15], [19, 17], [18, 20], [21, 23, 22, 24]]
44: [[11, 2, 13, 7, 1], [3, 6, 16], [5, 14], [4, 10, 9, 8, 12, 15, 19, 17], [18, 20], [21, 23, 22, 24]]
45: [[11, 7, 16], [1, 2], [13, 3, 6, 5, 14], [4, 10], [9, 8, 12, 15, 19, 17, 18, 20, 21], [23, 22, 24]]
46: [[1, 2, 13, 3, 6, 16], [5, 14, 4, 10], [9, 8, 11, 7], [12, 15, 19, 17, 18], [20, 21], [23, 22, 24]]
47: [[1, 2, 13, 3, 6, 5, 16], [14, 4, 10], [9, 8, 11, 7], [12, 15, 19, 17, 18], [20, 21], [23, 22, 24]]
48: [[11, 7], [16, 1], [2, 13, 3, 6, 5], [14, 4], [10, 9, 8, 12, 15, 19, 17, 18], [20, 21, 23, 22, 24]]
49: [[11, 7], [16, 1], [2, 13, 3, 6, 5], [14, 4], [10, 9, 8, 12, 15, 19, 17, 18], [20, 21, 23, 22, 24]]
