0: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 13, 10], [15, 18, 17, 24, 14], [16, 29, 20, 25, 22], [23, 28], [21, 27, 26]]
18: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 13, 14], [27, 10, 15, 16, 23, 20, 29, 26, 25, 17, 18, 28, 21, 22], [24]]
19: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12, 5, 6], [23, 13, 14, 10, 25, 16, 15, 17, 27, 18, 21, 20, 24, 26, 29, 22, 28]]
20: [[19, 1, 9, 7, 2], [3, 8, 4], [11, 12, 5, 6, 13, 10, 14, 24, 15, 25, 17, 20, 18, 21, 22, 23, 16, 28, 26, 27, 29]]
21: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 13], [5, 6, 15, 10, 12, 14, 17, 18, 26, 22, 27, 20, 21, 29, 23, 24, 25, 16, 28]]
22: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [13, 5, 6, 10, 14, 12, 15, 18, 16, 23, 20, 29, 28, 25], [17], [21, 22, 24, 26, 27]]
23: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 5], [12, 6, 13, 10, 15], [14, 17, 16, 21, 20], [25, 26, 18], [23, 22], [28, 27, 24, 29]]
24: [[19, 1, 9, 7, 2], [3, 8, 4], [11, 13, 5, 6], [14, 10, 15, 12, 16, 20], [17, 22, 18, 23, 21], [26, 25], [27, 24, 28, 29]]
25: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [12, 5, 6, 13], [10, 14, 15, 27, 17], [21, 20, 18], [16, 22, 23], [24, 28, 26], [25, 29]]
26: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 5, 6, 12, 14], [29, 10, 13, 25], [27, 16, 15], [18, 22, 20, 21, 17, 23, 28, 24, 26]]
27: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [14, 5, 6, 13, 10, 12, 15, 17], [16, 18, 20, 24], [22, 27, 29], [23, 21, 25, 26, 28]]
28: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 13], [5, 6, 12, 10], [15, 14, 17, 24, 22, 21, 16], [28, 18, 23, 25, 26, 20, 27, 29]]
29: [[19, 1, 9, 7, 2], [3, 8], [4, 11, 12], [5, 6, 15, 10, 14, 29, 13, 25, 24, 16, 18, 21, 17, 22, 20, 23, 26, 27, 28]]
30: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 5, 6, 14, 10], [12, 15, 13], [17, 25, 20, 16, 18, 22, 29, 21, 23, 28, 27, 24, 26]]
31: [[19, 1, 9, 7, 2], [3, 8, 4], [11, 5, 6, 10, 13, 26, 12, 14, 15, 17, 28, 29, 16, 18, 20, 21, 22], [23, 24, 25, 27]]
32: [[19, 1, 9, 7, 2], [3, 8], [4, 11, 12], [13, 6, 14, 21], [15, 25, 17, 16, 5], [23, 22, 10, 18, 28], [20, 26, 24, 29, 27]]
33: [[19, 1, 9, 7, 2, 3, 8, 4, 11], [12, 5, 6, 15, 10, 13, 14, 17, 16, 24], [18, 25, 23, 21, 27, 20, 22, 29, 26, 28]]
34: [[19, 1, 9, 7, 2], [3, 8, 4], [11, 5, 6], [14, 15], [10, 12, 13, 21, 24], [16, 18, 17, 22], [29, 28, 20], [23, 27, 25, 26]]
35: [[19, 1], [9, 7, 2], [3, 8, 4, 11, 12, 5, 6, 15, 10, 13, 14, 25, 21, 16, 17, 18], [20, 24, 22, 29, 23, 27, 26, 28]]
36: [[19, 1, 9], [7, 2, 3], [8, 4, 11, 12], [5, 6, 13, 10, 15], [18, 17, 24, 14], [16, 23, 21, 22, 25], [20, 28, 29, 27, 26]]
37: [[19, 1, 9, 7, 2], [3], [8, 4, 11, 12, 5, 6, 13, 10, 15, 14, 29, 16, 22, 17, 18, 21, 24, 25, 26, 20, 23, 27, 28]]
38: [[19, 1], [9, 7, 2, 3, 8], [4, 11, 12], [5, 6, 15, 10], [13, 24, 17, 18, 14], [20, 22, 21, 23, 28], [16, 25, 29, 27, 26]]
39: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [12, 5], [6, 13, 10, 14, 15], [17, 24], [20, 22, 21, 16], [27, 26, 18], [23, 25, 29, 28]]
40: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 13], [10, 14, 26], [15, 25, 17, 16, 23, 20, 18, 28, 21], [22, 24, 27, 29]]
41: [[19, 1], [9, 7, 2], [3, 8, 4, 11, 12, 5, 6, 15, 10, 14, 17, 16, 13, 18, 24, 26, 20, 25, 22, 23, 29, 21, 27, 28]]
42: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [12, 5, 6, 14], [10, 13, 17, 16], [18, 15, 20, 23, 21], [25, 28, 26, 24, 29], [27, 22]]
43: [[19, 1, 9, 7, 2, 3, 8, 4, 11], [5, 6, 14, 13, 10, 20, 17, 25, 26, 15, 22, 18], [16, 23, 21, 24, 27, 28, 12, 29]]
44: [[19, 1], [9, 7, 2, 3, 8, 4, 11, 12, 5, 6, 15, 14, 10, 13, 17, 16, 28, 24, 23, 20, 25, 22, 26, 21, 18, 27], [29]]
45: [[19, 1], [9, 7, 2, 3, 8], [4, 11, 12, 5], [6, 13, 10, 15, 16], [17, 18, 14, 20, 22], [21, 23, 26, 29, 25], [28, 27, 24]]
46: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 5], [12, 6, 14, 10], [13, 25], [17, 20, 15, 22, 18], [16, 23, 27, 21], [26, 24, 29, 28]]
47: [[19, 1], [9, 7, 2, 3, 8, 4, 11, 12, 5, 6, 13, 10, 15, 24, 17, 18, 14, 16, 28, 20, 27, 22, 23, 25, 21, 29], [26]]
48: [[19, 1, 9, 7], [2, 3, 8, 4, 11], [12, 5, 6, 13], [10, 15], [14, 17, 16, 18, 20], [21, 22, 23, 24], [26, 25, 27, 29, 28]]
49: [[19, 1, 9, 7], [2, 3, 8, 4], [11, 12, 5, 6], [13, 10], [15, 14, 17, 25, 18], [16, 28, 20], [21, 22, 23], [24, 26, 27, 29]]
50: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [12, 5, 6, 15], [10, 14, 20, 16, 17], [13, 24, 22], [18, 21, 23, 25, 26], [29, 27, 28]]
51: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [13, 5, 6, 22], [10, 15, 14, 21], [16, 29, 12, 18], [20, 23, 17, 26, 24], [25, 27, 28]]
52: [[19, 1, 9, 7], [2, 3, 8, 4, 11], [5, 12, 6, 10, 15], [13, 29, 17, 25, 21], [16, 22, 26, 14, 18], [20, 23, 24, 28, 27]]
53: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 5], [10, 6, 14, 12, 13, 25, 17], [28, 29, 20, 23, 18, 15, 16, 21], [24, 26, 22, 27]]
54: [[19, 1, 9, 7, 2], [3, 8, 4, 11], [12, 5, 6, 14, 15], [10, 17], [16, 20], [13, 21, 18], [22, 26, 23, 24, 25, 27, 28, 29]]
55: [[19, 1, 9, 7, 2], [3, 8, 4, 11, 12], [5, 6, 15], [10, 14, 16, 17, 29], [13, 21, 23, 18, 20], [22, 25, 24, 26, 27], [28]]
56: [[19, 1, 9, 7], [2, 3, 8], [4, 11, 12, 5], [6, 13], [10, 15], [14, 16, 24, 17, 20, 23], [28, 21, 18, 22], [25, 26, 27, 29]]
57: [[19, 1, 9, 7], [2, 3, 8, 4, 11], [12, 5, 6, 15, 14], [25, 10, 13, 24, 17], [20, 28, 26, 21, 16, 18], [22, 29, 23, 27]]
58: [[19, 1, 9, 7], [2, 3, 8], [4, 11, 5, 14, 6], [13, 27, 15, 25], [10, 24, 12], [16, 20, 18, 22, 23], [17, 21, 28], [26, 29]]
59: [[19, 1, 9, 7, 2, 3], [8, 4, 11, 12, 5], [6, 15, 14, 10], [28, 17, 16, 13, 20], [21, 22, 18, 23, 24], [25, 26], [27, 29]]
