0: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
13: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
14: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
15: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
16: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
17: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
18: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
19: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
20: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
21: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
22: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
23: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
24: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
25: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
26: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
27: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
28: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
29: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
30: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
31: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
32: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
33: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
34: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
35: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
36: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
37: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
38: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
39: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
40: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
41: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
42: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
43: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
44: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
45: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
46: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
47: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
48: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
49: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
50: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
51: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
52: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
53: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
54: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
55: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
56: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
57: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
58: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
59: [[7, 9, 3, 1, 2, 22], [20, 5, 19, 10, 14], [4, 6, 8, 13, 12], [11, 16, 17, 15], [18, 28, 23, 24], [26, 27, 21, 29, 25]]
