0: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11, 13, 15, 8, 10], [12, 29, 16, 23, 18, 19, 22, 20, 14], [28, 24], [21, 27, 26]]
18: [[25, 5], [3, 9], [6, 17, 1, 4, 2, 7, 12, 18, 28, 13, 8, 10, 14], [15, 20, 24, 16, 11, 26, 19, 22, 23], [21, 27, 29]]
19: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 11, 15, 13, 7, 8, 10, 14], [16], [18, 20, 19, 21, 22, 24, 29, 26, 12], [23, 28, 27]]
20: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 15, 13, 24, 10], [8, 11], [7, 18, 22, 28, 16, 19, 20, 29, 21, 12, 14], [27, 23, 26]]
21: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 13, 12], [7, 8], [11, 16, 15, 22, 18, 19, 20, 24, 21, 10, 14], [28, 23], [27, 26, 29]]
22: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 24, 12], [8, 13, 27, 22, 20, 18, 15, 10, 14], [16, 19], [23, 28], [26, 21, 29]]
23: [[25, 5], [1, 9], [6, 17, 3, 4, 2, 7, 8, 15, 13, 29, 27, 20, 10], [22, 11, 16, 26, 18, 24, 19, 12, 14], [21, 23, 28]]
24: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 15, 10], [8, 13, 28, 22, 20, 16, 19, 11, 18, 21, 12, 14], [29, 23], [24, 26, 27]]
25: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 15, 12, 28, 13, 8, 10], [11, 18, 21, 16, 19, 23, 20, 22, 26, 14], [24, 27, 29]]
26: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 13, 15, 11, 12, 8, 10], [22, 16, 23, 26, 18, 19, 20, 14], [24, 21], [27, 28, 29]]
27: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11, 13, 24], [12, 15, 26, 19, 21, 16, 18, 20, 8, 10, 14], [23, 22], [27, 28, 29]]
28: [[25, 5], [3, 9], [6, 17, 1, 4, 2, 7, 11, 13, 8, 15, 10, 14], [16, 20, 18, 19, 21, 24, 22, 28, 29, 12], [27, 26, 23]]
29: [[25, 5, 3, 9, 6, 17, 1, 4], [2, 7], [13, 15, 11, 8, 16, 28, 19, 23, 20, 22, 21, 10, 12, 14], [24, 18], [27, 26, 29]]
30: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 11, 7, 8, 10, 12], [24], [15, 18, 23, 20, 28, 29, 13, 27, 16, 26, 14], [19, 22, 21]]
31: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 13, 10], [24, 8, 11, 29, 18, 21, 15, 20, 28, 12], [16, 14], [27, 26], [19, 22, 23]]
32: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 10, 13, 8, 12, 11, 14], [15, 19, 18, 21, 20, 24, 23, 16, 22, 26], [29, 27, 28]]
33: [[25, 5, 3, 9, 6, 17, 1, 4, 2], [15, 11], [7, 14], [8, 20, 24, 16, 22, 28, 23, 26, 13, 18, 19, 10, 12], [27, 21, 29]]
34: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7], [13, 11, 12, 15, 21, 18, 19, 22, 16, 20, 23, 8, 10, 14], [24, 26], [28, 27, 29]]
35: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7], [12, 13, 15, 20, 19, 11, 16, 21, 18, 22, 23, 8, 10, 14], [24, 27], [28, 26, 29]]
36: [[25, 5, 3, 9, 6, 17, 1, 4, 2], [7, 11, 15, 13, 8, 28, 16, 18, 19, 23, 10, 12, 14], [22, 20], [21, 24], [27, 26, 29]]
37: [[25, 5, 3, 9, 6, 17, 1, 4, 2], [7, 11, 15, 13, 8, 28, 16, 18, 19, 23, 10, 12, 14], [22, 20], [21, 24], [27, 26, 29]]
38: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 11, 13, 29, 15, 10], [21, 20], [18, 23, 8, 16, 22, 24, 26, 12, 14], [19, 27, 28]]
39: [[25, 5], [3, 9], [6, 17, 1, 4, 2, 7, 13, 8, 28, 11, 24, 19, 12], [21, 22, 20, 26, 15, 16, 18, 10, 14], [23, 27, 29]]
40: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 12], [13, 8, 28, 23, 20, 19, 16, 15, 10, 14], [21, 22], [24, 18], [27, 29, 26]]
41: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 12], [8, 13], [24, 16, 20, 22, 28, 23, 15, 18, 10, 14], [19, 21], [27, 26, 29]]
42: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 15, 8, 7, 27, 13, 28, 18, 12], [16, 20], [11, 21, 22, 23, 19, 10, 14], [24, 26, 29]]
43: [[25, 5], [3, 9, 6, 17, 1, 4, 2, 7, 15, 26, 10], [11, 24, 27, 18, 13, 20, 16, 22, 8, 21, 12], [23, 14], [19, 28, 29]]
44: [[25, 5, 3, 9, 6, 17, 4, 2, 14], [15], [1], [24, 8, 13, 20, 11, 7, 18, 16, 28, 21, 19, 23, 22, 10, 12], [26, 27, 29]]
45: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 8, 14, 12], [13, 10], [15, 20, 18, 16, 23, 26, 19, 21, 22, 27], [29, 24, 28]]
46: [[25, 5], [3, 9], [6, 17, 1, 4, 2, 11, 15, 13, 26, 7, 10, 14], [16, 18, 22, 23, 27, 20, 8, 21, 24, 12], [19, 28, 29]]
47: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 12], [15, 8, 24, 11, 28, 19, 21, 13, 20, 10, 14], [16, 22], [23, 18], [26, 27, 29]]
48: [[25, 5], [3, 9], [6, 17, 1, 4, 2, 15, 7, 8, 27, 26, 19, 10], [22, 29, 16, 13, 28, 18, 21, 11, 12, 14], [23, 20, 24]]
49: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11], [8, 10], [29, 26, 13, 16, 21, 15, 22, 20, 19, 18, 23, 12, 14], [24, 28, 27]]
50: [[25, 5, 3, 9, 6, 17, 1, 4, 2], [11, 7, 8, 29, 26, 18, 20, 13, 23, 15, 10, 12, 14], [28, 24], [16, 21], [19, 27, 22]]
51: [[25, 5, 3, 9, 6, 17, 1, 4], [2, 7], [15, 8, 28, 29, 11, 16, 19, 21, 13, 18, 20, 10, 12, 14], [22, 24], [23, 27, 26]]
52: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 15], [7, 8, 28, 11, 13, 18, 16, 29, 20, 22, 21, 10, 12, 14], [19, 23], [24, 26, 27]]
53: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 10], [13], [29, 8, 28, 15, 18, 19, 21, 20, 24, 14, 12], [16, 26], [22, 23, 27]]
54: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 10], [15, 11, 8, 19, 24, 16, 18, 13, 21, 12, 14], [22, 20], [23, 26], [29, 27, 28]]
55: [[25, 5, 1, 9, 6, 17, 3, 4, 2, 7, 11, 22, 12], [8, 13], [15], [20, 29, 16, 23, 21, 18, 24, 26, 10, 14], [19, 27, 28]]
56: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 12], [8, 24], [29, 18, 15, 13, 23, 21, 28, 16, 10, 14], [20, 26], [19, 22, 27]]
57: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 11, 12], [7, 8, 15, 18, 23, 16, 26, 20, 27, 13, 10, 14], [28], [29, 24], [19, 22, 21]]
58: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 7, 11, 8, 10], [13, 27, 22, 19, 20, 15, 16, 14, 12], [18, 28], [21, 23], [29, 26, 24]]
59: [[25, 5, 3, 9, 6, 17, 1, 4, 2, 15], [7, 27, 8, 23, 19, 20, 16, 11, 13, 10, 12, 14], [18, 22], [21, 28], [26, 29, 24]]
