0: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
46: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
47: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
48: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
49: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
50: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
51: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
52: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
53: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
54: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
55: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
56: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
57: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
58: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
59: [[19, 1, 9, 7, 2], [4, 3, 5, 6, 8, 12], [24, 15, 28, 18, 10], [11, 16, 13, 20, 22, 23, 17, 14], [25, 26, 21, 27, 29]]
