0: [[12, 16, 6, 3], [2, 1, 9], [13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
17: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
18: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
19: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
20: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
21: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
22: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
23: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11], [10, 15, 22, 18], [17, 20, 19], [21, 23, 24]]
24: [[12, 16], [6, 3, 2], [1, 9, 13], [8, 4, 14], [5, 7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
25: [[12, 16], [6, 3, 2], [1, 9, 13], [8, 4], [14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
26: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19, 21], [23, 24]]
27: [[12, 16, 6], [3, 2, 1, 9], [13, 8, 4], [14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
28: [[12, 16], [6, 3, 2], [1, 9], [13, 8, 4], [14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
29: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18, 17], [20, 19, 21], [23, 24]]
30: [[12, 16, 6], [3, 2], [1, 9], [13, 8, 4], [14, 5], [7, 11, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
31: [[12, 16, 6], [3, 2], [1, 9, 13], [8, 4, 14], [5, 7, 11], [10, 15, 22, 18], [17, 20, 19], [21, 23, 24]]
32: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10, 15], [22, 18, 17], [20, 19, 21], [23, 24]]
33: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10, 15], [22, 18, 17], [20, 19, 21], [23, 24]]
34: [[12, 16], [6, 3, 2], [1, 9, 13], [8, 4, 14], [5, 7], [11, 10, 15], [22, 18, 17], [20, 19], [21, 23, 24]]
35: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10], [15, 22, 18, 17, 20, 19, 21, 23, 24]]
36: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10, 15, 22, 18, 17], [20, 19, 21, 23, 24]]
37: [[12, 16], [6, 3], [2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
38: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14], [5, 7, 11], [10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
39: [[12, 16], [6, 3, 2], [1, 9, 13], [8, 4, 14], [5, 7, 11], [10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
40: [[12, 16], [6, 3], [2, 1, 9], [13, 8, 4], [14, 5, 7], [11, 10, 15], [22, 18, 17], [20, 19, 21, 23, 24]]
41: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
42: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14, 5], [7, 11, 10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
43: [[12, 16, 6, 3], [2, 1, 9], [13, 8, 4], [14, 5, 7], [11, 10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
44: [[12, 16, 6], [3, 2, 1], [9, 13, 8], [4, 14], [5, 7], [11, 10, 15], [22, 18, 17, 20, 19, 21, 23, 24]]
45: [[12, 16], [6, 3, 2], [1, 9, 13], [8, 4, 14], [5, 7, 11, 10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
46: [[12, 16, 6], [3, 2, 1, 9, 13, 8, 4, 14, 5, 7, 11], [10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
47: [[12, 16, 6], [3, 2, 1, 9, 13, 8, 4, 14, 5, 7, 11], [10, 15, 22, 18, 17, 20, 19, 21, 23, 24]]
