0: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
24: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
25: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
26: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
27: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
28: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
29: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
30: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
31: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
32: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
33: [[3, 10, 19, 4], [2, 13, 1, 9, 6], [7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
34: [[19, 4, 2, 10], [13, 1, 9, 6], [7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22, 3], [23, 21, 24]]
35: [[19, 4, 2, 10], [13, 1, 9, 6], [7, 5, 11, 14, 12, 8], [15, 16, 20, 17, 18, 22, 3], [23, 21, 24]]
36: [[19, 4, 2, 10], [13, 1, 9, 6], [7, 5, 11, 14, 12, 8], [15, 16, 20, 17, 18, 22, 3], [23, 21, 24]]
37: [[3, 10, 19, 4], [2, 13, 1, 9, 6], [7, 5, 11, 14, 12, 8], [15, 16, 20, 17, 18, 22], [23, 21, 24]]
38: [[3, 10, 19, 4], [2, 13, 1, 9, 6], [7, 5, 11, 14, 12, 8], [15, 16, 20, 17, 18, 22], [23, 21, 24]]
39: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18], [22, 23, 21, 24]]
40: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14], [12, 8, 15, 16, 20, 17, 18], [22, 23, 21, 24]]
41: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14], [12, 8, 15, 16, 20, 17, 18], [22, 23, 21, 24]]
42: [[3, 10, 19], [4, 2, 13, 1], [9, 6, 7, 5, 11, 14], [12, 8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
43: [[3, 10, 19], [4, 2, 13, 1], [9, 6, 7, 5, 11, 14], [12, 8, 15, 16, 20, 17, 18, 22], [23, 21, 24]]
44: [[3, 10, 19, 4, 2], [13, 1, 9, 6], [7, 5, 11, 14], [12, 8, 15, 16, 20, 17, 18], [22, 23, 21, 24]]
45: [[3, 10, 19], [4, 2, 13, 1], [9, 6, 7, 5, 11, 14, 12, 8], [15, 16, 20, 17, 18, 22], [23, 21, 24]]
46: [[3, 10, 19], [4, 2, 13, 1, 9], [6, 7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18], [22, 23, 21, 24]]
47: [[3, 10, 19], [4, 2, 13, 1], [9, 6, 7, 5, 11, 14], [12, 8, 15, 16, 20, 17, 18], [22, 23, 21, 24]]
48: [[19, 4, 2, 10], [13, 1, 9, 6], [7, 5, 11, 14, 12], [8, 15, 16, 20, 17, 18, 22, 23, 3], [21, 24]]
49: [[3, 10, 19, 4], [2, 13, 1, 9], [6, 7, 5, 11, 14, 12, 8], [15, 16, 20, 17, 18, 22, 23], [21, 24]]
