0: [[19, 17, 1, 16, 4, 8, 12], [6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
20: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
21: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10, 22], [28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
22: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
23: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 28, 2, 7, 24, 10, 22], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
24: [[19, 17, 1, 16], [4, 8, 6, 12], [23, 28, 2, 7, 24, 10, 22], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
25: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
26: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
27: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
28: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
29: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
30: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
31: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
32: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
33: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
34: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
35: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
36: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28, 2, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
37: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 28, 2], [10, 22, 7, 24], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
38: [[19, 17, 1, 16], [4, 8, 6, 12, 23, 28, 2], [7, 24, 10, 22], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
39: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 29, 24, 2, 7], [3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 28, 26]]
40: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28], [2, 7, 24, 3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
41: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28], [2, 7, 24, 3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
42: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28], [2, 7, 24, 3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
43: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28], [2, 7, 24, 3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
44: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28], [2, 7, 24, 3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
45: [[19, 17, 1, 16], [4, 8, 6, 12], [23, 28, 2, 10, 22, 7], [24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
46: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28], [2, 7, 24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
47: [[19, 17, 1, 16], [4, 8, 12, 6], [23, 10, 22, 28], [2, 7, 24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
48: [[19, 17, 1, 16], [4, 8, 12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
49: [[19, 17, 1, 16, 4, 8], [6, 23, 10, 12], [22, 28, 2, 7], [24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
50: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
51: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
52: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20], [25, 9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
53: [[19, 17, 1, 16, 4, 8, 12], [6, 23], [28, 2, 7, 24, 3, 5], [20, 25, 9, 15, 22], [18, 13, 11, 10, 14], [21, 27, 29, 26]]
54: [[19, 17, 1, 16], [4, 8, 6, 23], [10, 12, 22, 28], [2, 7, 24, 3, 5, 20, 25], [9, 15, 18, 13, 11, 14], [21, 27, 29, 26]]
55: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 28], [2, 7, 24, 10, 22, 3, 5], [20, 25, 9, 15], [18, 13, 11, 14], [21, 27, 29, 26]]
56: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20, 25, 9, 15], [18, 13, 11, 14], [21, 27, 29, 26]]
57: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20, 25, 9, 15], [18, 13, 11, 14], [21, 27, 29, 26]]
58: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20, 25, 9, 15], [18, 13, 11, 14], [21, 27, 29, 26]]
59: [[19, 17, 1, 16, 4, 8], [12, 6, 23, 10], [22, 28, 2, 7], [24, 3, 5, 20, 25, 9, 15], [18, 13, 11, 14], [21, 27, 29, 26]]
