0: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
23: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
24: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
25: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
26: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
27: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
28: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
29: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
30: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
31: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
32: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
33: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
34: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
35: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
36: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
37: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
38: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
39: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
40: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
41: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
42: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
43: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
44: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
45: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
46: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
47: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
48: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
49: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
50: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
51: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
52: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
53: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
54: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
55: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
56: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 23, 10, 14], [25, 15, 21, 20, 26, 27, 29]]
57: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 14, 10, 23], [25, 15, 21, 20, 26, 27, 29]]
58: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 15, 10, 14], [25, 23, 21, 20, 26, 27, 29]]
59: [[17, 9, 1, 2, 19, 7], [3, 5, 4, 6, 8, 13, 11, 22, 16, 12], [28, 18, 24, 15, 10, 14], [25, 23, 21, 20, 26, 27, 29]]
