0: [[10, 3, 2, 4, 1, 16], [7, 11], [14, 6, 8, 9, 5, 13], [12, 15, 18, 19, 17, 20, 22], [21, 23, 24]]
37: [[10, 3, 2, 4, 7, 1, 16], [11, 14, 6, 13, 8, 5, 9], [12, 15], [18, 19, 17, 20, 22], [21, 23, 24]]
38: [[16, 10, 3, 2, 7, 1], [11, 14, 6, 13, 8], [5, 9], [12, 15, 18, 19, 17, 20, 22, 4], [21, 23, 24]]
39: [[10, 3, 2, 4, 7, 1, 16], [11, 14], [6, 13, 8, 5, 9, 12], [15, 18, 19, 17, 20, 22], [21, 23, 24]]
40: [[10, 3, 2, 4, 7, 1, 16], [11, 14], [6, 13, 8, 5, 9, 12], [15, 18, 19, 17, 20, 22], [21, 23, 24]]
41: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6], [13, 8, 5, 9, 12, 15], [18, 19, 17, 20], [22, 21, 23, 24]]
42: [[1, 10, 2, 4, 7, 11, 14, 16, 3], [6, 13, 8, 5, 9, 12], [15, 18], [19, 17, 20, 22, 21], [23, 24]]
43: [[10, 3, 2, 4, 7, 1, 16], [11, 14, 6, 13, 8, 5], [9, 12], [15, 18, 19, 17, 20, 22], [21, 23, 24]]
44: [[10, 3, 2, 4, 7, 1, 16], [11, 14, 6, 13, 8, 5], [9, 12], [15, 18, 19, 17, 20, 22], [21, 23, 24]]
45: [[10, 3, 2, 4, 7, 1, 16], [11, 14], [6, 13, 8, 5, 9, 12], [15, 18, 19, 17, 20], [22, 21, 23, 24]]
46: [[10, 3, 2, 1, 16], [4, 7], [11, 14, 6, 13, 8, 5], [9, 12, 15, 18, 19, 17, 20], [22, 21, 23, 24]]
47: [[10, 3, 2, 4, 7, 11, 1, 16], [14, 6, 13, 8, 5], [9, 12, 15, 18, 19, 17, 20, 22, 21], [23, 24]]
48: [[10, 3, 2, 4, 7, 1, 16], [11, 14, 6, 13, 8, 5], [9, 12], [15, 18, 19, 17, 20], [22, 21, 23, 24]]
49: [[10, 3, 2, 4, 7, 1, 16], [11, 14], [6, 13, 8, 5, 9, 12], [15, 18, 19, 17, 20, 22, 21], [23, 24]]
