0: [[25, 5], [3, 4, 7, 1, 8, 11, 12, 13, 15, 14], [9, 16, 19, 17, 22, 20, 6, 18, 2, 23, 10, 24], [21, 27, 26, 29, 28]]
24: [[25, 5, 3, 4, 7, 1, 13, 12, 6, 11, 10], [8, 9, 18, 15, 20, 23, 16, 17, 19, 2, 14], [22, 24], [21, 26, 27, 28, 29]]
25: [[25, 5], [3, 4, 7, 1, 9, 12, 2, 6, 8, 10], [11, 15, 21, 13, 20, 19, 16, 17, 23, 18, 26, 14], [29, 24, 22, 28, 27]]
26: [[25, 5, 3, 4, 7, 1, 9, 8, 6, 2, 10, 14], [11, 12, 13, 19, 22, 20, 15, 17, 24, 23], [16, 18], [21, 26, 27, 29, 28]]
27: [[25, 5], [3, 4, 7, 1, 2, 11, 6, 9, 8, 10, 14], [13, 20, 27, 23, 18, 15, 21, 19, 22, 16, 12], [17, 24, 26, 28, 29]]
28: [[25, 5], [3, 4, 7, 1, 9, 2, 12, 6, 10, 14], [11, 13, 17, 22, 20, 21, 15, 26, 23, 16, 18, 8], [19, 24, 27, 29, 28]]
29: [[25, 5], [3, 4, 7, 1, 2, 11, 6, 9, 8, 10, 14], [13, 20, 27, 23, 18, 15, 21, 19, 22, 16, 12], [17, 24, 26, 28, 29]]
30: [[25, 5], [3, 4, 7, 1, 2, 11, 6, 9, 8, 10, 14], [13, 20, 27, 23, 18, 15, 21, 19, 22, 16, 12], [17, 24, 26, 28, 29]]
31: [[25, 5], [3, 4, 7, 1, 11, 6, 12, 13, 8, 10, 14], [9, 15, 27, 2, 23, 17, 16, 21, 19, 22, 24], [18, 26, 20, 29, 28]]
32: [[25, 5], [3, 4, 7, 1, 6, 11, 2, 13, 8, 10, 14], [9, 12, 17, 15, 21, 19, 29, 16, 23, 18, 20], [22, 24, 28, 26, 27]]
33: [[25, 5, 3, 4, 7, 1, 6, 11, 9, 2, 10, 12], [8, 20, 22, 17, 13, 23, 15, 28, 16, 18], [19, 14], [21, 24, 29, 26, 27]]
34: [[25, 5, 3, 4, 7, 1, 15, 8, 10], [11, 6], [2, 9, 17, 13, 18, 20, 19, 23, 16, 21, 22, 14, 12], [27, 26, 29, 24, 28]]
35: [[25, 5, 3, 4, 7, 1, 9, 2, 6, 13, 10], [8, 11, 21, 15, 16, 19, 17, 18, 20, 12, 14], [22, 23], [28, 27, 24, 29, 26]]
36: [[25, 5, 3, 4, 7, 1, 6, 2, 10, 13, 9], [12, 8], [11, 15, 16, 18, 24, 22, 29, 23, 19, 17, 14], [21, 20, 26, 27, 28]]
37: [[25, 5, 3, 4, 7, 1, 2, 8, 13, 15, 10], [9, 11], [21, 24, 18, 19, 22, 16, 17, 20, 6, 12, 14], [23, 28, 27, 26, 29]]
38: [[25, 5], [3, 4, 7, 1, 15, 9, 2, 6, 8, 10, 14], [24, 19, 21, 11, 20, 12, 18, 16, 23, 13, 17], [22, 27, 26, 28, 29]]
39: [[25, 5, 3, 4, 7, 1, 8, 11, 13, 9, 15, 12], [2, 20, 18, 16, 22, 6, 26, 19, 10, 14], [17, 24], [21, 23, 27, 29, 28]]
40: [[25, 5, 3, 4, 7, 1, 2, 15, 6, 8, 12], [13, 9], [16, 17, 11, 18, 19, 21, 24, 20, 29, 10, 14], [23, 22, 26, 27, 28]]
41: [[25, 5, 3, 4, 7, 1, 6, 15, 9, 2, 14], [8, 11, 22, 21, 20, 13, 16, 24, 17, 10, 12], [18, 19], [23, 27, 26, 28, 29]]
42: [[25, 5, 3, 4, 7, 1, 2, 9, 11, 8, 10, 14], [13, 21], [6, 19, 18, 29, 16, 15, 20, 17, 22, 12], [23, 26, 24, 27, 28]]
43: [[25, 5, 3, 4, 7, 1, 9, 2, 8, 6, 10], [15], [13, 11, 18, 20, 16, 17, 19, 21, 24, 22, 12, 14], [23, 28, 27, 26, 29]]
44: [[25, 5, 3, 4, 7, 1, 2, 10], [9, 19], [6, 8, 11, 13, 23, 16, 20, 15, 21, 17, 18, 22, 12, 14], [24, 26, 27, 28, 29]]
45: [[25, 5, 3, 4, 7, 1, 11, 13, 10, 12], [8], [6, 9, 2, 15, 29, 16, 18, 20, 17, 21, 19, 22, 14], [23, 26, 27, 24, 28]]
46: [[25, 5, 3, 4, 7, 1, 11, 10], [8, 2], [6, 9, 13, 15, 18, 17, 22, 16, 19, 23, 20, 21, 12, 14], [24, 26, 27, 29, 28]]
47: [[25, 5, 3, 4, 7, 1, 6, 11, 8, 9, 13, 12], [15, 17, 2, 22, 20, 16, 21, 19, 10, 14], [18, 23], [24, 26, 29, 27, 28]]
48: [[25, 5, 3, 4, 7, 1, 6, 11, 8, 9, 12], [13, 2, 17, 22, 20, 15, 16, 26, 19, 10, 14], [18, 21], [28, 24, 27, 23, 29]]
49: [[25, 5, 3, 4, 7, 1, 2, 11, 9, 8, 10, 14], [15, 6, 17, 22, 16, 21, 13, 24, 19, 12], [18, 20], [23, 26, 27, 28, 29]]
50: [[25, 5, 3, 4, 7, 1, 8, 6, 11, 9, 10], [13, 15, 16, 18, 19, 17, 20, 2, 21, 12, 14], [26, 22], [24, 27, 29, 23, 28]]
51: [[25, 5, 3, 4, 7, 1, 8, 9, 11, 2, 13, 12], [6, 19, 17, 15, 16, 20, 23, 18, 10, 14], [21, 22], [28, 24, 27, 26, 29]]
52: [[25, 5, 3, 4, 7, 1, 2, 6, 9, 8, 10], [11, 15, 27, 13, 16, 20, 18, 17, 21, 22, 23, 12, 14], [19, 26, 24, 29, 28]]
53: [[25, 5, 3, 4, 7, 1, 6, 2, 8, 9, 11, 12], [13, 16, 18, 15, 27, 20, 21, 23, 22, 17, 10, 14], [24, 26, 28, 19, 29]]
54: [[25, 5, 3, 4, 7, 1, 6, 11, 9, 2, 8, 12], [29, 13, 16, 23, 15, 20, 21, 18, 19, 17, 10, 14], [22, 24, 26, 27, 28]]
55: [[25, 5, 3, 4, 7, 1, 8, 2, 6, 10, 12], [9, 13], [11, 15, 19, 20, 17, 23, 16, 27, 18, 21, 14], [22, 24, 28, 26, 29]]
56: [[25, 5, 3, 4, 7, 1, 9, 15, 2, 8, 6, 12], [11, 27, 13, 16, 17, 18, 21, 23, 10, 14], [22, 20], [19, 24, 26, 28, 29]]
57: [[25, 5, 3, 4, 7, 1, 8, 2, 14, 12], [11, 9, 20, 15, 16, 13, 18, 17, 21, 24, 6, 10], [27, 22], [19, 26, 29, 28, 23]]
58: [[25, 5, 3, 4, 7, 1, 6, 15, 9, 2, 11, 10], [8, 28, 23, 17, 13, 19, 21, 22, 12, 14], [18, 16], [24, 20, 29, 26, 27]]
59: [[25, 5, 3, 4, 7, 1, 2, 8, 27, 12], [15, 6, 13, 9, 21, 23, 18, 20, 11, 16, 10, 14], [19, 22], [17, 26, 24, 28, 29]]
