0: [[2, 1, 13], [4, 3, 6, 5], [11, 7], [9, 8, 10, 14], [12, 15, 16, 19, 17, 20, 18, 22], [21, 23, 24]]
39: [[2, 1], [13, 4], [3, 6, 5, 11, 7, 9, 8], [10, 14, 12], [15, 16, 19, 17, 20, 18], [22, 21, 23, 24]]
40: [[2, 1], [13, 4, 3, 6, 5], [11, 7, 9, 8, 10, 14], [12, 15], [16, 19, 17, 20, 18, 22, 21], [23, 24]]
41: [[2, 1], [13, 4, 3, 6], [5, 11, 7, 9], [8, 10], [14, 12, 15, 16, 19, 17, 20, 18], [22, 21, 23, 24]]
42: [[2, 1, 13], [4, 3, 6, 5, 11, 7, 9], [8, 10], [14, 12, 15], [16, 19, 17, 20, 18], [22, 21, 23, 24]]
43: [[2, 1], [3, 6, 5, 4], [11, 7, 9, 8, 10], [14, 12, 13], [15, 16, 19, 17, 20, 18, 22, 21], [23, 24]]
44: [[2, 1, 13, 4], [3, 6], [5, 11, 7, 9], [8, 10], [14, 12, 15, 16, 19, 17, 20, 18], [22, 21, 23, 24]]
45: [[2, 13, 6, 5, 11, 1], [7, 9, 8, 10], [14, 12], [15, 16, 19, 17, 4, 3], [20, 18, 22], [21, 23, 24]]
46: [[2, 13, 6, 5, 11, 1], [7, 9, 8, 10], [14, 12], [15, 16, 19, 17, 4, 3], [20, 18, 22], [21, 23, 24]]
47: [[2, 13, 6, 5, 11, 1, 4], [7, 9], [8, 10, 3], [14, 12], [15, 16, 19, 17, 20, 18], [22, 21, 23, 24]]
48: [[2, 1, 13, 4], [3, 6], [5, 11, 7, 9], [8, 10, 14, 12], [15, 16, 19, 17, 20, 18, 22, 21], [23, 24]]
49: [[2, 13, 6, 5, 11, 1], [7, 9], [8, 10, 14], [12, 15, 16, 19, 4, 3], [17, 20, 18, 22, 21], [23, 24]]
