0: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
33: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
34: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
35: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
36: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
37: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
38: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
39: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
40: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
41: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
42: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
43: [[19, 1, 6, 2, 7], [5, 3, 10, 14, 4], [11, 8, 15, 12], [13, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
44: [[19, 1, 6, 2], [7, 5, 3, 10, 14], [4, 11, 8, 15, 13], [12, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
45: [[19, 1, 6, 2, 7], [5, 3, 10, 8, 14], [11, 4, 15, 12, 13], [9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
46: [[19, 1, 6, 2, 7], [5, 3, 8, 14, 12], [11, 4, 15, 13], [10, 9, 17, 16, 22], [20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
47: [[19, 1, 6], [2, 7, 5, 3, 10], [14, 4, 11, 8, 15], [12, 13, 9, 17, 16], [22, 20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
48: [[19, 1, 6], [2, 7, 5, 3, 10], [14, 4, 11, 8, 15], [12, 13, 9, 17, 16], [22, 20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
49: [[19, 1, 6], [2, 7, 5, 3, 10], [14, 4, 11, 8, 15], [12, 13, 9, 17], [16, 22, 20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
50: [[19, 1, 6], [2, 7, 5, 3, 10], [14, 4, 11, 8, 15], [12, 13, 9, 17], [16, 22, 20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
51: [[19, 1, 6], [2, 7, 5], [3, 10, 14, 4, 11], [8, 15, 12, 13], [9, 17, 16, 22, 20], [25, 18, 23, 24, 28], [21, 27, 26, 29]]
52: [[19, 1, 6], [2, 7, 5], [3, 10, 14, 4, 11], [8, 15, 12, 13], [9, 17, 16, 22, 20], [25, 18, 23, 24, 28], [21, 27, 26, 29]]
53: [[19, 1, 6], [2, 7, 5], [3, 10, 14, 4, 11], [8, 15, 12, 13], [9, 17, 16, 22, 20], [25, 18, 23, 24, 28], [21, 27, 26, 29]]
54: [[19, 1, 6], [2, 7, 5], [3, 10, 14, 4, 11], [8, 15, 12, 13, 9], [17, 16, 22, 20, 25], [18, 23, 24, 28], [21, 27, 26, 29]]
55: [[19, 1, 6], [2, 7, 5], [3, 10, 14, 4, 11], [8, 15, 12, 13, 9], [17, 16, 22, 20, 25], [18, 23, 24, 28], [21, 27, 26, 29]]
56: [[19, 1, 6], [2, 7, 5, 3, 10], [14, 4, 11, 8, 15], [12, 13, 9, 17], [16, 22, 20], [25, 18, 23, 24, 28], [21, 27, 26, 29]]
57: [[19, 1, 6], [2, 7, 5], [3, 8, 14, 12, 11], [4, 15, 13, 10, 9], [17, 16, 22, 20, 25], [18, 23, 24, 28], [21, 27, 26, 29]]
58: [[19, 1, 6], [2, 7, 5, 3], [10, 14, 4, 11, 8], [15, 12, 13, 9, 17], [16, 22, 20, 25, 18], [23, 24, 28], [21, 27, 26, 29]]
59: [[19, 1, 6], [2, 7, 5], [3, 10, 14, 4, 11], [8, 15, 12, 13, 9], [17, 16, 22, 20], [25, 18, 23, 24, 28], [21, 27, 26, 29]]
