0: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5, 10, 6, 11, 1, 2, 4, 12, 36], [8, 14], [20, 27, 3, 22, 21], [25, 28], [30, 31, 23, 32, 33, 34], [13, 35]]
38: [[18, 7, 37], [9, 16, 29], [26, 19], [15, 17, 24], [5, 10], [6, 11], [1, 2, 4], [12, 36], [8, 14, 20, 27], [3, 22], [21, 25, 28], [30, 31, 23], [32, 33], [34, 13, 35]]
39: [[18, 7, 37, 9], [16, 29], [26, 19, 15, 17, 24, 5, 10, 6], [11, 1, 2, 4], [12, 36, 8], [14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
40: [[18, 7], [37, 9, 16], [29, 26], [19, 15, 17, 24], [5, 10], [6, 11, 1, 2], [4, 12, 36], [8, 14, 20], [27, 3, 22], [21, 25, 28, 30], [31, 23, 32], [33, 34, 13, 35]]
41: [[18, 7, 37, 9], [16, 29], [26, 19, 15, 17, 24, 5, 10], [6, 11, 1, 2, 4], [12, 36, 8], [14, 20, 27], [3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
42: [[18, 7, 37, 9], [16, 29], [26, 19, 15, 17], [24, 5], [10, 6, 11], [1, 2], [4, 12, 36], [8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23], [32, 33, 34, 13, 35]]
43: [[18, 7, 37], [9, 16], [29, 26, 19], [15, 17, 24], [5, 10, 6, 11], [1, 2], [4, 12, 36], [8, 14], [20, 27, 3, 22], [21, 25], [28, 30, 31], [23, 32], [33, 34], [13, 35]]
44: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24], [5, 10, 6, 11, 1], [2, 4], [12, 36, 8, 14, 20], [27, 3, 22], [21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
45: [[18, 7, 37, 9], [16, 29, 26, 19], [15, 17], [24, 5, 10], [6, 11, 1, 2, 4, 12, 36], [8, 14, 20, 27, 3], [22, 21, 25, 28], [30, 31, 23, 32], [33, 34], [13, 35]]
46: [[18, 7], [37, 9, 16, 29, 26], [19, 15, 17], [24, 5, 10], [6, 11, 1, 2, 4], [12, 36, 8], [14, 20, 27, 3, 22, 21, 25], [28, 30, 31, 23, 32, 33, 34, 13, 35]]
47: [[18, 7, 37, 9, 16, 29, 26, 19, 15, 17, 24], [5, 10, 6, 11, 1, 2, 4, 12, 36, 8, 14, 20, 27], [3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
48: [[18, 7], [37, 9, 16, 29], [26, 19, 15, 17], [24, 5, 10, 6], [11, 1], [2, 4, 12], [36, 8, 14, 20], [27, 3], [22, 21, 25, 28], [30, 31, 23, 32], [33, 34, 13, 35]]
49: [[18, 7, 37, 9, 16], [29, 26], [19, 15, 17, 24, 5, 10, 6, 11], [1, 2, 4, 12, 36, 8, 14], [20, 27, 3, 22, 21, 25, 28, 30, 31], [23, 32, 33, 34, 13, 35]]
50: [[18, 7, 37], [9, 16, 29], [26, 19], [15, 17, 24], [5, 10], [6, 11, 1, 2], [4, 12], [36, 8, 14], [20, 27], [3, 22], [21, 25], [28, 30, 31, 23, 32, 33, 34, 13, 35]]
51: [[18, 7, 37], [9, 16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11, 1], [2, 4, 12], [36, 8, 14], [20, 27], [3, 22, 21, 25, 28, 30, 31, 23, 32], [33, 34, 13, 35]]
52: [[18, 7, 37, 9, 16], [29, 26], [19, 15, 17], [24, 5], [10, 6, 11, 1, 2, 4, 12], [36, 8, 14, 20, 27], [3, 22, 21], [25, 28, 30, 31], [23, 32, 33], [34, 13, 35]]
53: [[18, 7, 37, 9], [16, 29], [26, 19, 15, 17], [24, 5, 10], [6, 11, 1], [2, 4], [12, 36], [8, 14], [20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
54: [[18, 7, 37], [9, 16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31], [23, 32, 33, 34, 13, 35]]
55: [[18, 7, 37, 9], [16, 29], [26, 19, 15], [17, 24, 5], [10, 6, 11], [1, 2, 4], [12, 36], [8, 14, 20, 27, 3], [22, 21], [25, 28, 30, 31, 23], [32, 33, 34], [13, 35]]
56: [[18, 7], [37, 9, 16, 29], [26, 19, 15, 17, 24], [5, 10, 6, 11, 1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
57: [[18, 7], [37, 9], [16, 29, 26, 19], [15, 17], [24, 5], [10, 6, 11], [1, 2, 4, 12], [36, 8], [14, 20, 27], [3, 22], [21, 25, 28, 30], [31, 23, 32, 33], [34, 13, 35]]
58: [[18, 7, 37], [9, 16, 29], [26, 19, 15], [17], [24, 5], [10, 6, 11, 1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
59: [[18, 7, 37, 9], [16, 29], [26, 19, 15, 17, 24], [5, 10, 6], [11, 1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
60: [[18, 7], [37, 9], [16, 29, 26], [19, 15, 17], [24, 5, 10], [6, 11], [1, 2, 4], [12, 36, 8], [14, 20, 27], [3, 22], [21, 25], [28, 30, 31], [23, 32, 33], [34, 13, 35]]
61: [[18, 7], [37, 9, 16], [29, 26, 19], [15, 17, 24, 5], [10, 6], [11, 1, 2, 4, 12], [36, 8, 14], [20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
62: [[18, 7, 37, 9], [16, 29, 26], [19, 15], [17, 24, 5], [10, 6], [11, 1], [2, 4, 12, 36, 8], [14, 20], [27, 3, 22, 21, 25, 28], [30, 31], [23, 32, 33, 34, 13, 35]]
63: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24, 5, 10], [6, 11, 1], [2, 4, 12, 36], [8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
64: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24, 5, 10], [6, 11, 1], [2, 4, 12, 36], [8], [14, 20, 27, 3], [22, 21, 25], [28, 30, 31], [23, 32, 33], [34, 13, 35]]
65: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24], [5, 10, 6, 11, 1], [2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
66: [[18, 7, 37, 9], [16, 29, 26, 19], [15, 17, 24], [5, 10, 6, 11, 1], [2, 4, 12, 36], [8, 14], [20, 27, 3], [22, 21], [25, 28, 30, 31, 23], [32, 33, 34], [13, 35]]
67: [[18, 7, 37, 9], [16, 29, 26], [19, 15, 17], [24, 5], [10, 6, 11, 1], [2, 4], [12, 36, 8], [14, 20, 27], [3, 22, 21, 25], [28, 30], [31, 23, 32, 33], [34, 13, 35]]
68: [[18, 7, 37], [9, 16, 29], [26, 19, 15], [17, 24, 5, 10], [6, 11], [1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
69: [[18, 7, 37, 9], [16, 29, 26, 19, 15], [17, 24, 5, 10], [6, 11, 1, 2], [4, 12], [36, 8], [14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
70: [[18, 7, 37], [9, 16, 29], [26, 19], [15, 17, 24], [5, 10], [6, 11, 1], [2, 4, 12, 36, 8, 14], [20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
71: [[18, 7, 37, 9], [16, 29], [26, 19], [15, 17, 24], [5, 10, 6], [11, 1], [2, 4, 12, 36, 8], [14, 20], [27, 3, 22, 21, 25], [28, 30, 31], [23, 32, 33, 34, 13, 35]]
72: [[18, 7, 37], [9, 16, 29, 26], [19, 15, 17], [24, 5, 10], [6, 11, 1, 2, 4, 12, 36, 8, 14, 20, 27, 3, 22, 21, 25, 28, 30, 31, 23, 32, 33, 34, 13, 35]]
73: [[18, 7], [37, 9], [16, 29, 26, 19], [15, 17, 24], [5, 10, 6, 11], [1, 2, 4], [12, 36, 8], [14, 20, 27, 3], [22, 21, 25], [28, 30, 31], [23, 32], [33, 34, 13, 35]]
