0: [[23, 15, 4, 13, 10], [19, 1, 8, 12], [9, 2, 16], [3, 11, 20], [6, 5, 25], [24, 17, 7, 18], [21], [26, 28, 27], [29, 14], [22]]
14: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
15: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
16: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
17: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
18: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
19: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
20: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
21: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
22: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
23: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
24: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
25: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
26: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
27: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
28: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
29: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
30: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
31: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
32: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
33: [[19, 10, 5, 7, 3, 22, 1, 2, 6], [12, 9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
34: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
35: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
36: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
37: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
38: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
39: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
40: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
41: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
42: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
43: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
44: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
45: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
46: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
47: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
48: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
49: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
50: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
51: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
52: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
53: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
54: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
55: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
56: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
57: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
58: [[19, 10, 5, 7, 3, 22, 1, 2, 6, 12], [9, 8, 4, 11, 13, 15, 17, 16, 18], [21, 14, 28, 23, 25, 26, 20, 24, 27, 29]]
59: [[19, 14, 4, 7, 3, 2, 1, 6, 8, 12], [9, 24, 10, 11, 5, 13, 17, 16, 15], [18, 20, 23, 21, 27, 26, 28, 25, 29, 22]]
