0: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13], [10, 14], [15, 8, 20, 19], [22, 16, 24], [21, 27, 23], [26, 25, 28], [31, 30, 32, 34], [36, 33]]
21: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3, 2, 6, 37], [5, 12, 13], [10, 14, 15], [8, 20], [19, 22, 16], [24, 21, 27, 23, 26], [25, 28, 31, 30, 32, 34, 36, 33]]
22: [[17, 18, 4], [9, 29, 11], [7, 35], [1, 3], [2, 6, 37], [5, 12, 13], [10, 14, 15], [8, 20], [19, 22, 16], [24, 21, 27, 23, 26], [25, 28, 31], [30, 32, 34], [36, 33]]
23: [[17, 18, 4, 9], [29, 11], [7, 35, 1, 3, 2, 6], [37, 5, 12, 13], [10, 14], [15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32], [34, 36, 33]]
24: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3], [2, 6, 37], [5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21], [27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
25: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3, 2], [6, 37], [5, 12, 13], [10, 14, 15], [8, 20], [19, 22], [16, 24, 21, 27], [23, 26, 25, 28], [31, 30, 32, 34], [36, 33]]
26: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2, 6], [37, 5, 12], [13, 10, 14], [15, 8, 20], [19, 22, 16, 24], [21, 27], [23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
27: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3], [2, 6, 37], [5, 12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21, 27], [23, 26], [25, 28, 31, 30, 32, 34, 36, 33]]
28: [[17, 18, 4, 9, 29, 11, 7], [35, 1, 3, 2, 6, 37, 5, 12], [13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
29: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3, 2], [6, 37, 5, 12], [13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21], [27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
30: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3, 2], [6, 37], [5, 12, 13], [10, 14, 15], [8, 20], [19, 22, 16], [24, 21], [27, 23, 26], [25, 28, 31], [30, 32], [34, 36, 33]]
31: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3], [2, 6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21], [27, 23, 26, 25], [28, 31, 30, 32, 34, 36, 33]]
32: [[17, 18, 4, 9, 29, 11, 7, 35, 1, 3, 2, 6, 37, 5, 12], [13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27], [23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
33: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
34: [[17, 18], [4, 9, 29], [11, 7], [35, 1, 3], [2, 6], [37, 5, 12], [13, 10], [14, 15, 8], [20, 19, 22, 16], [24, 21, 27, 23], [26, 25, 28, 31], [30, 32], [34, 36, 33]]
35: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3], [2, 6, 37], [5, 12, 13, 10, 14], [15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26], [25, 28, 31, 30, 32, 34, 36, 33]]
36: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3, 2], [6, 37, 5, 12], [13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
37: [[17, 18, 4], [9, 29, 11, 7], [35, 1, 3, 2], [6, 37], [5, 12, 13, 10, 14, 15], [8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
38: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3, 2, 6], [37, 5], [12, 13, 10, 14], [15, 8, 20], [19, 22, 16], [24, 21, 27, 23], [26, 25], [28, 31], [30, 32, 34], [36, 33]]
39: [[17, 18, 4, 9], [29, 11, 7], [35, 1], [3, 2, 6], [37, 5, 12], [13, 10, 14], [15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
40: [[17, 18, 4, 9], [29, 11, 7], [35, 1], [3, 2, 6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30], [32, 34, 36, 33]]
41: [[17, 18, 4], [9, 29], [11, 7], [35, 1, 3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8, 20], [19, 22, 16], [24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
42: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3], [2, 6, 37], [5, 12, 13, 10], [14, 15], [8, 20, 19, 22, 16, 24], [21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
43: [[17, 18], [4, 9, 29], [11, 7, 35], [1, 3], [2, 6, 37], [5, 12], [13, 10, 14], [15, 8, 20], [19, 22], [16, 24, 21], [27, 23], [26, 25], [28, 31], [30, 32, 34], [36, 33]]
44: [[17, 18, 4, 9, 29], [11, 7], [35, 1, 3, 2, 6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
45: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2, 6], [37, 5, 12], [13, 10, 14], [15, 8, 20, 19], [22, 16, 24, 21], [27, 23, 26], [25, 28, 31], [30, 32], [34, 36, 33]]
46: [[17, 18, 4], [9, 29, 11], [7, 35], [1, 3, 2], [6, 37, 5], [12, 13], [10, 14, 15], [8, 20, 19], [22, 16, 24, 21], [27, 23, 26], [25, 28, 31], [30, 32], [34, 36, 33]]
47: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3, 2, 6], [37, 5, 12, 13], [10, 14, 15], [8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
48: [[17, 18], [4, 9], [29, 11, 7, 35], [1, 3, 2], [6, 37, 5], [12, 13], [10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
49: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3], [2, 6], [37, 5, 12], [13, 10, 14, 15], [8, 20], [19, 22, 16, 24], [21, 27], [23, 26, 25, 28], [31, 30], [32, 34, 36, 33]]
50: [[17, 18, 4], [9, 29, 11], [7, 35], [1, 3], [2, 6, 37], [5, 12, 13], [10, 14, 15], [8, 20, 19, 22], [16, 24, 21, 27], [23, 26, 25], [28, 31, 30, 32], [34, 36, 33]]
51: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3, 2, 6, 37, 5, 12, 13], [10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
52: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2, 6, 37], [5, 12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21], [27, 23, 26, 25], [28, 31, 30, 32, 34], [36, 33]]
53: [[17, 18, 4], [9, 29, 11], [7, 35], [1, 3, 2], [6, 37, 5], [12, 13, 10, 14], [15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
54: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8], [20, 19], [22, 16], [24, 21, 27], [23, 26, 25], [28, 31, 30, 32], [34, 36, 33]]
55: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2], [6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
56: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2], [6, 37, 5], [12, 13], [10, 14], [15, 8, 20, 19], [22, 16, 24, 21], [27, 23, 26], [25, 28, 31, 30], [32, 34, 36, 33]]
57: [[17, 18], [4, 9], [29, 11, 7], [35, 1, 3], [2, 6], [37, 5, 12], [13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
58: [[17, 18], [4, 9], [29, 11, 7], [35], [1, 3, 2, 6], [37, 5, 12, 13], [10, 14, 15, 8], [20, 19, 22], [16, 24, 21, 27], [23, 26, 25], [28, 31, 30], [32, 34, 36, 33]]
59: [[17, 18], [4, 9, 29, 11, 7, 35, 1, 3, 2, 6, 37, 5, 12, 13, 10, 14, 15, 8], [20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
60: [[17, 18], [4, 9], [29, 11, 7], [35, 1, 3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21], [27, 23, 26, 25], [28, 31], [30, 32], [34, 36, 33]]
61: [[17, 18, 4], [9, 29], [11, 7, 35, 1, 3, 2, 6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
62: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2, 6], [37, 5, 12], [13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
63: [[17, 18], [4, 9, 29, 11, 7, 35], [1, 3, 2, 6, 37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
64: [[17, 18, 4, 9], [29, 11, 7], [35, 1, 3, 2, 6], [37, 5], [12, 13, 10], [14, 15], [8, 20, 19, 22], [16, 24, 21], [27, 23, 26, 25], [28, 31, 30], [32, 34, 36, 33]]
65: [[17, 18, 4], [9, 29, 11], [7, 35, 1, 3], [2, 6], [37, 5, 12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
66: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3], [2, 6, 37, 5], [12, 13, 10], [14, 15], [8, 20, 19], [22, 16, 24], [21, 27, 23, 26], [25, 28, 31, 30], [32, 34, 36, 33]]
67: [[17, 18, 4], [9, 29], [11, 7, 35], [1, 3], [2, 6, 37, 5], [12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21], [27, 23, 26], [25, 28, 31, 30, 32, 34, 36, 33]]
68: [[17, 18], [4, 9, 29], [11, 7, 35, 1], [3, 2], [6, 37, 5], [12, 13], [10, 14, 15, 8], [20, 19, 22], [16, 24, 21, 27], [23, 26, 25], [28, 31, 30, 32], [34, 36, 33]]
69: [[17, 18], [4, 9, 29, 11], [7, 35, 1], [3, 2, 6, 37, 5], [12, 13, 10], [14, 15, 8, 20, 19, 22, 16, 24, 21, 27, 23, 26, 25, 28, 31, 30, 32, 34, 36, 33]]
70: [[17, 18], [4, 9, 29], [11, 7, 35], [1, 3, 2, 6], [37, 5], [12, 13, 10, 14, 15, 8, 20, 19, 22, 16, 24, 21], [27, 23, 26], [25, 28, 31, 30], [32, 34], [36, 33]]
71: [[17, 18, 4], [9, 29, 11], [7, 35, 1], [3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21, 27], [23, 26, 25], [28, 31], [30, 32, 34, 36, 33]]
72: [[17, 18], [4, 9, 29], [11, 7, 35], [1, 3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21, 27], [23, 26, 25], [28, 31, 30], [32, 34, 36, 33]]
73: [[17, 18], [4, 9, 29], [11, 7, 35], [1, 3, 2], [6, 37, 5], [12, 13, 10], [14, 15, 8], [20, 19, 22], [16, 24, 21], [27, 23, 26], [25, 28, 31, 30], [32, 34, 36, 33]]
