0: [[19, 22, 6, 2, 5, 9, 1, 16], [8, 4, 3, 11, 25], [10, 12, 28, 17, 23, 24, 7, 13, 14, 18, 20, 15], [21, 27, 26, 29]]
20: [[19, 22, 6, 1, 7, 2, 5], [9, 8, 4, 3, 11, 13, 10, 15], [12, 16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
21: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 16, 15, 14], [28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
22: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 16, 15, 14], [28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
23: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
24: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
25: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
26: [[19, 22, 6, 1, 7, 2, 5], [9, 8, 4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
27: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
28: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
29: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
30: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
31: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
32: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
33: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
34: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
35: [[19, 22, 6, 1, 7, 2, 9, 5], [4, 3, 11, 15, 13, 10, 12, 8], [14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
36: [[19, 22, 6, 1, 7, 2, 9, 5], [4, 3, 11, 15, 13, 10, 12, 8], [14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
37: [[19, 22, 6, 1, 7, 2, 9, 5], [4, 3, 11, 15, 13, 10, 12, 8], [14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
38: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3], [11, 13, 10, 12, 16, 15, 14], [28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
39: [[19, 22, 6, 1, 7, 2, 9, 5], [4, 3, 11, 15, 13, 10, 8], [12, 14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
40: [[19, 22, 6, 1, 7, 2, 9, 5], [4, 3, 11, 15, 13, 10, 8], [12, 14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
41: [[19, 22, 6, 1, 7, 2, 5], [9, 4, 3, 11, 15, 13, 10, 12, 8], [14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
42: [[19, 22, 6, 1, 7, 2, 5], [9, 4, 3, 11, 15, 13, 10, 8], [12, 14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
43: [[19, 22, 6, 1, 7, 2, 5], [9, 4, 3, 11, 15, 13, 10, 8], [12, 14, 16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
44: [[19, 22, 6, 1, 7, 2, 5, 9], [4, 3, 11, 13, 10, 12, 14, 8, 15], [16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
45: [[19, 22, 6, 1], [7, 2, 5, 9, 8, 4, 3, 11], [13, 10, 12, 16, 28, 17, 23, 18, 20, 24, 25, 15, 14], [21, 27, 26, 29]]
46: [[19, 22, 6, 1], [7, 2, 5, 9, 8, 4, 3, 11], [13, 10, 12, 16, 28, 17, 23, 18, 20, 24, 25, 15, 14], [21, 27, 26, 29]]
47: [[19, 22, 6, 1, 7, 2, 5], [9, 4, 3, 11, 13, 10, 12, 14, 8, 15], [16, 28, 17, 23, 18, 20, 24], [25, 21, 27, 26, 29]]
48: [[19, 22, 6], [1, 7, 2, 5, 9, 8, 4, 3], [11, 15, 13, 10, 12, 16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
49: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3, 11, 15], [13, 10, 12], [16, 28, 17, 23, 18, 20, 24, 25, 14], [21, 27, 26, 29]]
50: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3, 11, 15], [13, 10, 12, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
51: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3, 11, 15], [13, 10, 12, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
52: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3, 11, 15], [13, 10, 12, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
53: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3, 11, 15], [13, 10, 12, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
54: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3, 11, 15], [13, 10, 12, 14], [16, 28, 17, 23, 18, 20, 24, 25], [21, 27, 26, 29]]
55: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15], [16, 28, 17, 23, 18, 20, 24, 25, 21, 14], [27, 26, 29]]
56: [[19, 22, 6, 1, 7, 2, 5, 9], [8, 4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25, 21], [27, 26, 29]]
57: [[19, 22, 6, 1, 5, 9, 7, 2], [8, 4, 3, 11, 15, 13, 10], [12, 14, 16, 28, 17, 23, 18, 20], [24, 25, 21, 27, 26, 29]]
58: [[19, 22, 6, 1, 7, 2, 5, 9, 8], [4, 3, 11, 13, 10, 12, 15, 14], [16, 28, 17, 23, 18, 20, 24, 25, 21], [27, 26, 29]]
59: [[19, 22, 6, 1, 7, 2, 5, 9, 8, 4, 3], [11, 13, 10, 12, 16, 28, 15, 14], [17, 23, 18, 20, 24, 25, 21], [27, 26, 29]]
