0: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7, 15, 8, 12], [13, 10], [25, 20], [16, 18, 22, 14], [23, 24, 28, 29], [21, 27, 26]]
13: [[19, 9, 1, 17, 2], [6, 5, 3, 11, 4, 7, 15, 8], [12, 10, 14, 13, 22, 16, 18, 20, 24], [21, 23, 25, 28, 29, 27, 26]]
14: [[19, 9, 1, 17, 2, 6, 5, 3, 11, 4, 7, 15, 12, 8, 10, 24, 14, 21, 16, 22, 13, 18, 20, 23, 29], [25, 28], [27, 26]]
15: [[19, 9, 1], [17, 2], [6, 5], [3, 11], [4, 7, 13, 12], [10, 8], [15, 21, 20, 16], [18, 22, 25, 23], [24, 28, 29], [14, 27, 26]]
16: [[19, 9, 1], [17, 2, 6, 5, 3, 11, 4, 7, 13, 8, 14, 10, 12, 24, 22, 15, 20, 18, 16], [21, 23, 25, 28, 29, 26, 27]]
17: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7, 15, 8, 12], [13, 10], [25, 22], [16, 18, 20, 14], [21, 26, 28, 29], [23, 27, 24]]
18: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7, 15], [8, 12, 13, 26, 10], [22, 14, 18, 16, 20, 23, 25, 29, 21, 24, 27, 28]]
19: [[19, 9], [1, 17, 2], [6, 5], [3, 11], [4, 7, 15, 8], [12, 13], [10, 18], [21, 16], [22, 14, 20, 23], [29, 24, 25], [26, 28, 27]]
20: [[19, 9, 1], [17, 2, 6, 5], [3, 10, 4], [7, 15], [8, 12, 13], [11, 24, 22], [16, 18, 20, 14], [21, 23, 28, 25], [29, 26, 27]]
21: [[19, 9], [1, 17], [2, 6, 5], [3, 11], [4, 7, 15, 8], [12, 13, 24], [10, 23, 16, 21, 20], [14, 22, 18], [28, 25], [26, 27, 29]]
22: [[19, 9, 1], [17, 2, 6, 5], [3, 10, 4], [7, 15], [8, 12, 13], [11, 24, 18], [14, 16, 22], [20, 23, 26, 28, 21, 27, 25, 29]]
23: [[19, 9, 1, 17, 6], [2, 5, 3, 11, 4, 7, 13, 12, 10, 8, 14, 18, 28, 15, 16, 20, 23, 22, 24, 26], [29, 21, 27, 25]]
24: [[19, 9, 1], [17, 2, 6], [5, 3, 10], [4, 7, 15], [8, 12], [13, 11, 20, 14], [24, 22, 16, 18], [21, 26, 25], [23, 29, 27, 28]]
25: [[19, 9, 1], [17, 2], [6, 5], [3, 11, 4, 7, 12], [15], [8, 13, 24, 10], [18, 16, 20, 23, 21, 25, 26, 28, 29, 27, 22, 14]]
26: [[19, 9, 1, 17, 2, 6, 5, 3, 11, 4], [7, 15, 8, 12, 10, 13, 14, 22, 16, 18], [20, 24, 23], [21, 26, 29, 28, 27, 25]]
27: [[19, 9, 1, 17, 2], [6, 5, 3], [11, 4, 7, 15, 8, 12, 13, 24, 10, 21, 16, 14, 22, 18, 20, 23, 28, 26, 25, 27, 29]]
28: [[19, 9, 1, 17, 2], [6, 5, 3], [11, 4, 7, 15], [12, 8, 10, 13], [24, 20, 18, 14, 16, 21], [28, 23, 29], [22, 25, 26, 27]]
29: [[19, 9, 1], [17, 2], [6, 5], [3, 11], [4, 7, 15, 8], [12, 13], [14, 18], [16, 24, 20], [23, 10, 22, 26, 28, 21, 27, 25], [29]]
30: [[19, 9, 1], [17, 2, 6, 5, 3, 11, 4, 7], [14, 13, 8, 12, 24, 10, 20, 16, 22], [23, 18, 21, 15, 28, 27, 25, 26, 29]]
31: [[19, 9, 1], [17, 2, 6, 5], [3, 10, 4], [7, 15], [8, 12, 13], [11, 14, 18], [24, 16, 22], [26, 20, 21], [28, 23, 27, 25, 29]]
32: [[19, 9, 1, 17], [2, 6], [5, 3, 11], [4, 7, 15, 12, 8, 13, 10, 26, 20, 16, 14, 22, 18, 21, 23, 28, 24, 25, 27, 29]]
33: [[19, 9], [1, 17], [2, 6, 5, 3, 11, 4, 7, 15, 12, 8, 13, 10, 24, 16, 18], [14, 22], [20, 23, 21, 29, 25, 26, 27, 28]]
34: [[19, 9, 1], [17, 2], [6, 5], [3, 11, 4, 7, 13], [12, 8], [15, 24, 10, 18, 16, 20, 23, 21, 27, 22, 28, 29, 25, 26, 14]]
35: [[19, 9, 1], [17, 2], [6, 5], [3, 11, 4], [7, 15], [8, 12, 13], [26, 10, 20], [14, 18], [22, 16, 23], [24, 29, 21, 25], [27, 28]]
36: [[19, 9, 1], [17, 2], [6, 5], [3, 11, 4], [7, 15], [8, 12, 13], [26, 10, 20], [14, 18], [22, 16, 23], [24, 29, 21, 25], [27, 28]]
37: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7], [15, 8, 12, 13], [26, 14, 20, 10, 18], [16, 23, 21], [24, 22, 29, 28, 27, 25]]
38: [[19, 9, 1, 17, 2], [6, 5, 3], [11, 4], [7, 15, 8, 12, 13, 10, 24, 28, 18, 14, 22, 20, 23, 21, 25, 29, 16, 27], [26]]
39: [[19, 9, 1], [17, 2, 6, 5, 3, 11, 4], [7, 13, 8, 14, 10, 12, 24, 22, 15, 20, 18, 16, 21, 23, 25, 28, 29, 26, 27]]
40: [[19, 9, 1], [17, 2, 6], [5, 3], [11, 4, 7, 13, 8, 14, 12, 28, 10, 18, 15, 20, 16, 22, 23, 21, 25, 24, 29, 27, 26]]
41: [[19, 9, 1], [17, 2], [6, 5], [3, 11, 4], [7, 14], [15, 8, 13], [26, 10], [20, 12, 18], [22, 16, 21], [23, 29], [24, 27, 25, 28]]
42: [[19, 9, 1], [17, 2, 6, 5, 3, 11, 4, 7, 15, 8, 12, 13, 24, 18, 22, 10, 14, 16, 20, 21, 27, 23, 29, 25], [26, 28]]
43: [[19, 9, 1], [17, 2], [6, 5], [3, 11, 4], [7, 15, 8], [12, 10], [24, 29], [22, 16, 13, 20, 14, 21, 28], [25, 27, 18, 23, 26]]
44: [[19, 9], [1, 17, 2, 6, 5], [3, 11, 4, 7, 15], [8, 12, 10], [14, 24, 28, 16, 18, 22, 20, 23, 25, 13, 29, 21, 27, 26]]
45: [[19, 9, 1, 17, 2], [6, 5], [3, 11], [4, 7, 13], [14, 8], [15, 24], [10, 18, 16, 12, 22], [21], [20, 23, 28, 26], [29, 27, 25]]
46: [[19, 9], [1, 17, 2], [6, 5, 3], [11, 4, 7], [10, 8, 12, 13, 14, 24, 15, 18], [16, 22, 20, 29, 21, 23, 26, 28, 25, 27]]
47: [[19, 9, 1, 17], [2, 6], [5, 3], [11, 4, 7, 15, 8, 12], [13], [21, 10], [20, 16, 22, 14], [18, 23, 24, 28], [29, 25, 27], [26]]
48: [[19, 9, 1], [17, 2, 6, 5], [3, 11, 4], [7, 13], [8, 12], [15, 10, 24], [18, 14], [16, 22, 20, 23, 26, 28, 21, 27], [25, 29]]
49: [[19, 9, 1], [17, 2, 6], [5, 3, 11], [4, 7, 15], [8, 12], [13, 10, 26, 20], [14, 18, 16], [21, 23, 25, 29, 22, 24, 27, 28]]
50: [[19, 9], [1, 17, 2, 6, 5], [3, 11, 4], [7, 15], [12, 8, 10], [26, 14, 20, 13, 18], [16, 22, 23, 25, 29, 21, 24, 27, 28]]
51: [[19, 9], [1, 17, 2, 6, 5, 3, 11, 4, 7, 13, 12, 10, 8, 14, 25, 20, 16, 22, 15, 23, 18, 24, 28, 21, 26], [29, 27]]
52: [[19, 9], [1, 17, 2], [6, 5, 3], [11, 4, 7], [15, 8], [12, 13, 10, 26, 20, 16, 22, 18, 14, 21, 27, 23], [24, 28, 25], [29]]
53: [[19], [9, 1, 17, 2, 6, 5, 3, 11, 4, 7, 15, 8, 12, 13, 24, 10, 23, 14, 26, 20, 16, 22, 18, 29, 25, 28, 27], [21]]
54: [[19, 9, 1, 17, 2, 6, 5, 3, 11, 4], [7, 15, 8, 12, 28, 10, 14, 20, 25, 26], [16, 22, 21, 18, 13, 23, 24, 27, 29]]
55: [[19, 9], [1, 17, 2, 6, 5, 3], [11, 4, 7, 15, 12], [8, 13, 10, 26, 20, 16, 14, 18, 22, 24, 21, 28], [23, 29, 27, 25]]
56: [[19, 9, 1, 17, 2, 6, 5], [3, 11, 4], [7, 13, 8], [25, 12, 14], [20, 10, 16], [23, 15], [18, 21, 28, 22], [29, 26, 27, 24]]
57: [[19, 9, 1], [17, 2, 6, 5], [3, 10, 4], [7, 14], [8, 12], [15, 11, 24], [18, 26, 20], [16, 22], [23, 13, 29, 21, 27, 25, 28]]
58: [[19, 9], [1, 17, 2], [6, 5, 3], [11, 4], [7, 15], [8, 12], [13, 10, 14], [20, 18], [22, 23, 24], [21, 16, 25, 26], [29, 27, 28]]
59: [[19, 9, 1, 17, 6, 2, 5], [3, 11, 4, 7, 13], [8, 28], [12, 14], [20, 27, 10], [15, 24], [21, 18, 29, 16], [22, 23], [25, 26]]
