0: [[36, 19], [28, 9, 66, 1], [26, 83, 14, 54, 3], [20, 6, 62, 65, 30], [48, 58, 76, 31], [32, 11, 37, 8], [46, 68, 17, 61, 21], [35, 2, 77, 51, 57, 72], [69, 29, 10, 39, 53], [86, 45, 18, 56, 63], [27, 24, 33, 43, 12, 13, 23, 74], [4, 84], [7, 34], [5, 55, 59, 41, 42, 15], [38, 25, 44, 49, 73], [47, 52, 16, 40, 71, 75], [64, 50, 67, 70, 22], [78, 79], [60, 81, 82, 85], [80, 87, 88]]
11: [[36, 22, 7, 1, 5, 2, 13, 4, 3, 11, 12, 6, 15, 18, 10, 8, 9, 23, 19, 28, 14, 16, 53], [26, 24, 25, 20, 29, 62, 30, 17, 31, 35, 21, 27, 40, 47, 42, 33, 59], [32, 55, 34, 38, 41, 39, 43, 44, 46, 37, 45, 48, 50, 51, 52, 60, 49, 54, 56], [57, 63, 58, 61, 66, 68, 64, 74, 73, 65, 69, 76, 71, 67, 70, 75, 72, 77, 78, 79, 80, 87, 81, 84, 82, 83, 85, 86, 88]]
12: [[36, 22, 3, 5, 1, 6, 13, 8, 10, 2, 4, 12, 24, 9, 7, 11, 14, 19, 15, 16, 25], [17, 21, 18, 61, 31, 23, 20, 27, 28, 26, 29, 33, 59, 34, 51, 30, 39, 35, 58], [47, 32, 37, 38, 41, 43, 40, 60, 50, 42, 52, 44, 54, 45, 49, 48, 53, 46, 56], [55, 57, 62, 63, 64, 69, 66, 74, 65, 78, 70, 76, 67, 68, 71, 75, 72, 73, 79, 77, 84, 81, 87, 80, 82, 86, 83, 85, 88]]
13: [[36, 22, 3, 1, 6, 2, 9, 4, 5, 7, 8, 12, 11, 13, 25, 28, 14, 10], [15, 30, 19, 21, 16, 17, 18, 55, 23, 24, 29, 27, 26, 63, 31, 41, 49, 20, 34, 46, 32, 39], [35, 44, 33, 38, 37, 42, 45, 43, 59, 40, 47, 51, 48, 52, 50, 56, 53, 60, 54], [58, 57, 61, 62, 66, 68, 65, 64, 73, 70, 69, 79, 71, 75, 74, 67, 72, 77, 76, 78, 81, 86, 85, 80, 82, 87, 84, 83, 88]]
14: [[36, 22, 7, 1, 6, 9, 10, 5, 4, 12, 15, 8, 19, 14, 47, 20, 17, 2], [11, 13, 16, 31, 18, 23, 26, 21, 24, 30, 29, 25, 27, 33, 28, 32, 3, 51, 43, 34, 39, 40], [37, 35, 41, 49, 46, 50, 53, 45, 42, 44, 48, 61, 56, 52, 57, 54, 59, 60, 38], [55, 62, 58, 63, 67, 64, 65, 70, 66, 75, 69, 71, 76, 68, 72, 73, 79, 77, 74, 78, 82, 81, 85, 80, 86, 83, 84, 87, 88]]
15: [[36, 22, 3, 1, 6, 4, 10, 2, 12, 9, 15, 5, 14, 7, 8, 25, 13], [11, 20, 23, 26, 17, 21, 16, 18, 24, 58, 19, 27, 30, 29, 28, 31, 33, 59, 48, 34], [32, 38, 37, 35, 40, 45, 46, 39, 41, 43, 42, 47, 49, 44, 60, 55, 57, 50, 62, 56, 51, 53], [52, 54, 61, 63, 66, 80, 81, 64, 73, 70, 68, 74, 79, 75, 67, 72, 76, 65, 69, 78, 71, 77, 83, 82, 86, 87, 85, 84, 88]]
16: [[36, 22, 7, 1, 4, 6, 2, 3, 5, 8, 13, 10, 24, 23, 12, 28, 9, 14, 25, 15, 16], [19, 17, 18, 27, 20, 26, 49, 29, 59, 61, 11, 30, 37, 21, 33, 42, 34, 31], [35, 43, 51, 52, 32, 38, 41, 39, 40, 46, 45, 44, 56, 47, 58, 50, 54, 48, 55, 57], [60, 53, 62, 63, 69, 72, 64, 65, 73, 71, 78, 70, 68, 66, 67, 77, 75, 74, 76, 79, 84, 80, 83, 86, 85, 82, 81, 87, 88]]
17: [[36, 22, 7, 1, 2, 3, 13, 4, 15, 5, 8, 6, 30, 9, 11, 25, 10, 12, 23, 28, 14], [16, 31, 17, 52, 18, 19, 26, 29, 50, 27, 60, 20, 21, 47, 54, 33, 24, 34], [40, 56, 32, 35, 37, 38, 43, 45, 39, 41, 42, 44, 46, 51, 48, 49, 55, 57, 53, 62], [61, 58, 59, 63, 65, 69, 64, 71, 66, 68, 73, 67, 70, 74, 72, 78, 79, 75, 76, 77, 81, 80, 84, 82, 87, 85, 88, 83, 86]]
18: [[36, 22, 3, 1, 5, 6, 12, 7, 8, 4, 14, 9, 24, 11, 2, 10, 29, 13, 15, 16, 18], [19, 17, 26, 52, 31, 23, 20, 30, 21, 27, 63, 28, 43, 35, 32, 53, 34, 33, 25], [47, 40, 39, 49, 37, 41, 42, 44, 50, 45, 48, 38, 61, 46, 51, 55, 56, 54, 57], [60, 58, 59, 62, 67, 72, 64, 68, 73, 71, 70, 69, 66, 77, 65, 74, 76, 75, 79, 78, 84, 81, 87, 80, 82, 86, 85, 83, 88]]
19: [[36, 22, 3, 5, 1, 4, 12, 10, 2, 6, 7, 14, 11, 9, 15, 8, 20, 13, 28], [18, 53, 19, 17, 16, 21, 23, 24, 31, 26, 58, 25, 27, 35, 57, 37, 33, 54, 56, 50, 29, 32, 30], [38, 39, 40, 45, 41, 63, 34, 62, 42, 59, 49, 44, 43, 46, 47, 48, 60], [61, 51, 52, 55, 66, 65, 70, 68, 72, 71, 67, 76, 73, 77, 75, 74, 69, 78, 80, 79, 64, 87, 81, 83, 82, 84, 86, 85, 88]]
20: [[36, 22, 7, 1, 5, 4, 9, 2, 6, 3, 14, 11, 12, 17, 15, 10, 13, 16, 28, 24, 18, 19], [31, 20, 53, 8, 26, 23, 25, 29, 30, 63, 21, 27, 33, 50, 37, 46, 35, 32], [44, 55, 34, 39, 40, 41, 42, 45, 43, 38, 60, 49, 51, 47, 48, 57, 56, 54, 52], [61, 58, 59, 62, 65, 68, 64, 75, 72, 73, 66, 78, 67, 71, 69, 74, 79, 76, 82, 77, 70, 80, 83, 86, 88, 87, 84, 85, 81]]
21: [[36, 22, 3, 5, 4, 7, 10, 1, 12, 2, 11, 29, 13, 6, 8, 9, 15, 14, 19], [25, 30, 20, 21, 16, 23, 17, 18, 27, 31, 24, 26, 48, 28, 60, 47, 57, 32, 43, 41, 44], [33, 34, 35, 37, 39, 38, 40, 46, 54, 56, 50, 42, 45, 49, 52, 58, 59, 55, 51], [53, 62, 63, 61, 66, 69, 65, 64, 77, 68, 71, 72, 74, 70, 78, 73, 76, 67, 79, 75, 84, 80, 82, 83, 86, 81, 85, 87, 88]]
22: [[36, 22, 7, 1, 6, 2, 3, 5, 4, 10, 12, 9, 8, 29, 11, 15, 13, 17, 31, 14], [27, 18, 20, 23, 19, 28, 16, 21, 51, 24, 57, 43, 30, 33, 49, 34, 48, 25], [59, 26, 37, 38, 32, 39, 40, 46, 35, 42, 47, 41, 44, 45, 61, 52, 54, 50, 53, 55, 56], [58, 60, 62, 63, 66, 64, 71, 67, 72, 65, 79, 70, 68, 69, 78, 76, 74, 75, 73, 77, 84, 80, 82, 83, 85, 86, 81, 87, 88]]
23: [[36, 22, 7, 1, 2, 6, 9, 3, 5, 4, 14, 8, 10, 13, 17, 26, 15, 12, 11, 16, 23, 18], [19, 24, 20, 30, 25, 27, 51, 29, 31, 59, 21, 33, 28, 53, 37, 34, 41, 46], [32, 54, 39, 43, 47, 40, 38, 35, 42, 49, 52, 44, 45, 56, 50, 61, 48, 55, 57], [58, 60, 63, 62, 80, 68, 65, 64, 74, 66, 67, 75, 71, 69, 70, 73, 72, 77, 76, 78, 85, 84, 83, 79, 87, 81, 82, 86, 88]]
24: [[36, 22, 7, 1, 6, 2, 4, 9, 5, 10, 12, 3, 11, 25, 26, 14, 13, 19, 15, 8, 18, 29], [28, 17, 23, 24, 20, 60, 21, 57, 61, 63, 27, 16, 30, 53, 31, 35, 33, 46, 52, 32], [34, 51, 37, 39, 38, 44, 41, 45, 42, 40, 56, 50, 54, 43, 47, 48, 49], [62, 55, 58, 59, 66, 69, 65, 64, 67, 70, 73, 68, 72, 71, 74, 75, 77, 76, 78, 79, 81, 80, 87, 82, 85, 86, 84, 83, 88]]
25: [[36, 22, 3, 1, 6, 2, 12, 4, 10, 14, 5, 8, 27, 9, 25, 11, 15, 13, 18, 23, 20, 24], [17, 21, 31, 19, 16, 56, 29, 58, 26, 57, 7, 60, 28, 33, 35, 59, 34], [32, 52, 44, 42, 62, 39, 41, 37, 45, 38, 40, 43, 47, 50, 48, 51, 46, 49, 53, 54], [61, 55, 63, 30, 67, 64, 65, 69, 66, 70, 71, 72, 75, 68, 73, 76, 74, 79, 77, 78, 81, 80, 83, 86, 84, 87, 82, 85, 88]]
26: [[36, 22, 3, 1, 5, 6, 8, 2, 14, 4, 15, 12, 7, 9, 40, 25, 10, 11, 20, 13, 24, 26], [21, 17, 16, 28, 18, 23, 19, 30, 27, 29, 31, 60, 43, 32, 50, 56, 53, 37, 33, 41], [45, 39, 35, 42, 44, 46, 34, 62, 38, 49, 52, 59, 47, 48, 55, 51, 57], [58, 54, 61, 63, 66, 80, 81, 64, 72, 70, 68, 75, 69, 74, 67, 73, 76, 65, 79, 78, 71, 77, 83, 82, 87, 85, 84, 86, 88]]
27: [[36, 22, 7, 1, 3, 2, 8, 6, 4, 10, 12, 5, 13, 28, 9, 11, 14, 24, 20], [29, 17, 23, 15, 21, 16, 30, 31, 34, 19, 57, 25, 63, 32, 52, 35, 48, 18, 43, 61, 26], [41, 33, 27, 44, 38, 37, 46, 47, 55, 39, 40, 49, 50, 45, 53, 42, 51, 60, 54], [56, 62, 58, 59, 67, 68, 65, 64, 74, 66, 69, 71, 70, 75, 72, 73, 78, 79, 77, 76, 84, 85, 80, 86, 83, 82, 81, 87, 88]]
28: [[36, 22, 3, 5, 1, 6, 14, 8, 10, 4, 15, 12, 24, 9, 2, 11, 25, 13, 7], [16, 28, 19, 17, 18, 61, 31, 27, 20, 30, 23, 26, 29, 33, 59, 35, 21, 49, 34], [37, 57, 47, 32, 39, 51, 41, 43, 42, 46, 50, 44, 48, 38, 53, 40, 52, 55, 45, 54, 56], [60, 58, 62, 63, 67, 65, 64, 68, 72, 78, 71, 70, 66, 69, 74, 75, 76, 73, 79, 77, 84, 81, 87, 80, 82, 86, 83, 85, 88]]
29: [[36, 22, 7, 1, 4, 2, 11, 5, 3, 6, 13, 10, 8, 29, 9, 24, 18, 12, 14, 15], [28, 16, 19, 25, 20, 21, 17, 23, 26, 54, 27, 43, 31, 60, 33, 40, 41, 35, 30, 32, 34, 39], [44, 38, 45, 47, 46, 48, 53, 37, 50, 55, 51, 52, 49, 56, 61, 42, 58], [59, 62, 63, 57, 64, 73, 66, 68, 65, 71, 67, 69, 76, 70, 78, 74, 72, 75, 77, 79, 84, 80, 83, 81, 87, 82, 86, 85, 88]]
30: [[36, 22, 3, 1, 5, 4, 12, 2, 6, 15, 8, 7, 13, 11, 9, 10, 14, 18, 24, 19], [27, 16, 20, 17, 21, 29, 31, 23, 25, 26, 28, 59, 41, 30, 32, 33, 54, 57, 35], [53, 37, 39, 38, 60, 34, 40, 43, 61, 42, 46, 45, 49, 44, 50, 62, 47, 48, 51, 52], [55, 56, 58, 63, 66, 65, 64, 75, 68, 67, 69, 74, 71, 70, 72, 76, 79, 73, 77, 78, 85, 84, 80, 83, 82, 81, 86, 87, 88]]
31: [[36, 22, 5, 4, 1, 2, 9, 6, 3, 10, 12, 7, 13, 28, 8, 15, 14, 19, 16, 25, 21], [20, 11, 17, 18, 31, 23, 26, 24, 57, 27, 29, 60, 58, 42, 41, 30, 43, 48, 32], [35, 33, 37, 34, 40, 38, 46, 47, 39, 45, 56, 51, 50, 44, 52, 49, 54, 61, 53], [55, 62, 63, 59, 67, 68, 64, 65, 70, 73, 71, 66, 69, 78, 72, 74, 75, 79, 77, 76, 84, 85, 82, 83, 81, 80, 86, 87, 88]]
32: [[36, 22, 7, 1, 6, 2, 3, 8, 4, 10, 12, 11, 13, 28, 40, 21, 9, 17, 24, 29], [14, 18, 15, 19, 16, 25, 31, 27, 20, 23, 26, 30, 60, 50, 56, 32, 34], [35, 39, 44, 41, 51, 5, 37, 59, 47, 33, 38, 46, 42, 43, 49, 45, 48, 53, 52, 54, 57, 55], [58, 61, 62, 63, 66, 65, 64, 71, 70, 73, 68, 67, 69, 78, 72, 76, 74, 77, 75, 79, 84, 82, 83, 81, 80, 85, 87, 86, 88]]
33: [[36, 22, 5, 4, 7, 2, 9, 1, 3, 10, 12, 6, 13, 30, 8, 14, 15], [31, 16, 25, 17, 19, 11, 20, 18, 21, 23, 26, 24, 59, 27, 28, 60, 58, 42, 41, 38, 29, 48], [32, 35, 33, 37, 34, 40, 44, 47, 43, 39, 46, 50, 51, 45, 49, 52, 55, 56, 57, 54], [63, 61, 53, 62, 82, 64, 65, 68, 70, 72, 71, 74, 77, 69, 67, 75, 66, 79, 73, 76, 81, 78, 83, 84, 80, 85, 86, 87, 88]]
34: [[36, 22, 7, 1, 4, 6, 10, 2, 3, 9, 8, 14, 24, 23, 11, 5, 28, 15, 13, 12], [19, 17, 18, 16, 21, 20, 26, 25, 27, 62, 57, 56, 30, 37, 33, 58, 32, 35], [59, 43, 47, 54, 29, 38, 31, 34, 52, 39, 46, 42, 51, 40, 50, 41, 53, 44, 45, 55, 48], [49, 60, 61, 63, 64, 75, 66, 68, 65, 69, 67, 70, 76, 71, 74, 72, 73, 77, 78, 79, 80, 84, 81, 86, 87, 82, 83, 85, 88]]
35: [[36, 22, 3, 5, 4, 1, 6, 10, 11, 2, 15, 9, 7, 19, 12, 24, 23, 20, 8], [14, 16, 17, 30, 18, 54, 25, 56, 28, 21, 59, 33, 26, 58, 62, 50, 13, 27, 63, 29], [47, 31, 38, 32, 49, 37, 35, 39, 46, 41, 42, 45, 40, 51, 34, 43, 53, 44, 55, 57], [52, 48, 60, 61, 67, 64, 65, 66, 70, 75, 71, 76, 72, 68, 69, 74, 78, 81, 79, 73, 77, 82, 84, 83, 80, 85, 86, 87, 88]]
36: [[36, 22, 7, 1, 2, 3, 8, 6, 4, 10, 12, 9, 13, 28, 40, 15, 11, 17, 24], [25, 27, 16, 14, 21, 18, 29, 31, 19, 20, 57, 23, 26, 60, 50, 56, 32, 30, 41, 34, 45], [37, 35, 5, 61, 58, 46, 33, 39, 38, 42, 43, 51, 44, 48, 52, 49, 54, 53, 55], [62, 59, 47, 63, 66, 68, 64, 75, 70, 65, 69, 67, 71, 74, 72, 76, 78, 79, 73, 77, 85, 84, 82, 81, 80, 83, 86, 87, 88]]
37: [[36, 22, 7, 1, 4, 6, 3, 5, 8, 9, 10, 12, 14, 15, 24, 28, 11, 16, 17, 18], [13, 25, 23, 20, 31, 19, 27, 59, 2, 21, 26, 29, 30, 61, 48, 50, 32, 34, 52], [39, 38, 55, 35, 42, 40, 33, 41, 43, 44, 45, 37, 46, 49, 51, 56, 47, 54, 53, 57], [58, 60, 63, 62, 66, 69, 64, 67, 68, 70, 73, 65, 71, 76, 75, 72, 78, 77, 74, 85, 79, 80, 82, 83, 87, 84, 86, 88, 81]]
38: [[36, 22, 5, 3, 6, 1, 2, 7, 4, 9, 8, 11, 15, 16, 14, 12, 13], [17, 18, 27, 26, 24, 23, 25, 28, 52, 31, 29, 20, 61, 21, 19, 35, 30, 32, 53, 48, 45, 33], [39, 34, 42, 57, 37, 40, 41, 46, 43, 38, 56, 44, 47, 49, 50, 54, 58, 59, 55, 10], [51, 60, 62, 63, 79, 64, 65, 70, 69, 67, 68, 71, 78, 72, 66, 73, 75, 74, 77, 76, 81, 80, 85, 83, 84, 82, 86, 87, 88]]
39: [[36, 22, 7, 1, 6, 2, 3, 12, 5, 4, 15, 28, 11, 14, 9, 16, 13, 8, 24], [10, 17, 25, 18, 26, 21, 20, 56, 27, 62, 19, 23, 29, 31, 44, 30, 33, 59], [48, 42, 32, 39, 35, 34, 37, 45, 38, 41, 43, 40, 46, 47, 60, 50, 54, 51, 49, 52, 53, 58], [55, 61, 57, 63, 80, 65, 64, 66, 70, 68, 69, 78, 73, 77, 71, 67, 72, 75, 76, 74, 88, 84, 85, 81, 86, 87, 79, 82, 83]]
40: [[36, 22, 7, 1, 5, 2, 8, 11, 10, 3, 12, 4, 15, 13, 6, 26, 28, 9, 23, 18, 20, 14], [17, 16, 21, 29, 24, 27, 19, 25, 61, 43, 30, 46, 38, 37, 31, 55, 35, 50, 40, 34], [41, 48, 32, 45, 33, 39, 42, 47, 44, 51, 54, 53, 49, 52, 56, 57, 60], [62, 59, 58, 63, 66, 68, 64, 65, 69, 75, 67, 70, 79, 71, 77, 72, 76, 73, 78, 74, 81, 80, 87, 83, 82, 84, 85, 86, 88]]
41: [[36, 22, 7, 1, 4, 3, 9, 2, 8, 13, 12, 5, 18, 26, 6, 29, 10, 11, 25], [16, 17, 14, 23, 27, 48, 15, 19, 55, 56, 30, 28, 46, 20, 41, 33, 21, 31, 24, 34], [32, 37, 40, 35, 45, 47, 38, 44, 39, 42, 49, 43, 60, 51, 50, 52, 53, 54, 58, 62], [59, 57, 61, 63, 67, 65, 68, 64, 70, 66, 79, 69, 71, 73, 76, 72, 74, 77, 78, 85, 84, 81, 75, 82, 83, 80, 86, 87, 88]]
42: [[36, 22, 7, 1, 4, 2, 11, 5, 3, 14, 6, 10, 9, 27, 8, 12, 15], [29, 13, 16, 23, 30, 18, 17, 20, 31, 25, 19, 21, 45, 53, 34, 26, 28, 63, 40, 24], [37, 56, 35, 41, 42, 39, 32, 57, 33, 38, 44, 51, 43, 46, 47, 55, 48, 52, 49, 50, 59, 60], [54, 62, 58, 61, 67, 64, 65, 66, 69, 77, 71, 70, 74, 68, 72, 73, 75, 76, 78, 85, 79, 86, 81, 80, 83, 87, 84, 82, 88]]
43: [[36, 22, 3, 1, 5, 2, 9, 7, 12, 4, 8, 14, 17, 10, 58, 11, 28, 13, 15, 16], [19, 18, 21, 24, 20, 27, 23, 55, 29, 25, 30, 62, 6, 43, 34, 31, 53, 41, 33, 26], [42, 38, 47, 32, 39, 35, 37, 40, 56, 51, 54, 44, 45, 49, 46, 52, 48, 50, 57], [60, 59, 61, 63, 74, 72, 64, 76, 65, 71, 70, 69, 67, 73, 66, 68, 78, 75, 77, 87, 84, 80, 81, 82, 86, 79, 85, 83, 88]]
44: [[36, 22, 3, 5, 4, 6, 8, 1, 2, 14, 10, 21, 9, 29, 11, 12, 13, 7, 15], [17, 16, 23, 19, 18, 24, 20, 31, 25, 26, 60, 28, 53, 33, 49, 51, 34, 30, 32, 37, 39], [46, 27, 41, 38, 42, 43, 57, 35, 48, 40, 47, 44, 45, 54, 55, 52, 61, 56, 50], [62, 58, 59, 63, 66, 72, 69, 64, 76, 68, 67, 71, 74, 70, 65, 75, 79, 73, 78, 77, 85, 84, 83, 81, 82, 80, 87, 86, 88]]
45: [[36, 22, 7, 1, 4, 6, 2, 5, 10, 8, 9, 14, 24, 23, 15, 13, 12, 3, 26, 28, 19], [62, 17, 18, 16, 20, 21, 31, 50, 30, 25, 57, 60, 27, 32, 46, 48, 39, 51], [11, 47, 41, 34, 40, 29, 33, 35, 37, 38, 45, 56, 54, 43, 44, 55, 42, 49, 52, 53], [59, 58, 63, 61, 66, 72, 68, 71, 64, 65, 67, 69, 70, 79, 73, 74, 75, 77, 76, 78, 84, 82, 81, 80, 86, 87, 83, 85, 88]]
46: [[36, 22, 3, 1, 5, 6, 9, 2, 4, 10, 28, 12, 15, 14, 8, 26, 11, 17], [19, 18, 13, 20, 16, 24, 21, 30, 27, 51, 23, 25, 7, 56, 29, 41, 60, 35, 33, 31], [37, 32, 40, 45, 34, 39, 42, 43, 44, 46, 38, 47, 53, 50, 49, 48, 52, 54, 55, 63, 57], [59, 58, 62, 61, 66, 73, 64, 71, 65, 68, 67, 69, 70, 72, 76, 79, 74, 78, 77, 80, 84, 75, 82, 83, 81, 85, 86, 87, 88]]
47: [[36, 22, 7, 1, 2, 6, 13, 4, 8, 9, 10, 14, 11, 28, 64, 26, 25, 12, 3, 20], [16, 17, 24, 19, 29, 56, 15, 27, 18, 21, 23, 31, 49, 55, 59, 30, 45, 32, 53], [33, 5, 35, 34, 37, 39, 57, 46, 38, 42, 50, 41, 47, 40, 43, 51, 44, 48, 52, 54], [63, 58, 62, 71, 69, 80, 68, 70, 72, 66, 60, 73, 61, 65, 74, 75, 76, 67, 78, 79, 77, 81, 87, 83, 84, 82, 85, 86, 88]]
48: [[36, 22, 7, 1, 4, 6, 3, 2, 8, 13, 5, 9, 20, 26, 12, 29, 10, 14, 11, 24], [19, 25, 18, 15, 50, 31, 16, 55, 56, 30, 28, 46, 17, 33, 48, 21, 23, 27, 34], [40, 37, 43, 39, 32, 35, 38, 44, 41, 42, 49, 45, 51, 47, 52, 54, 53, 57, 58, 60], [59, 61, 62, 63, 66, 64, 69, 76, 67, 68, 79, 70, 74, 72, 78, 71, 75, 73, 77, 81, 65, 84, 87, 83, 86, 80, 82, 85, 88]]
49: [[36, 22, 3, 5, 4, 6, 13, 1, 2, 26, 15, 10, 12, 9, 14, 7, 8, 11, 24, 28], [16, 30, 21, 17, 18, 58, 23, 19, 20, 25, 57, 29, 27, 52, 59, 31, 32, 33, 60], [35, 38, 37, 39, 41, 42, 34, 43, 46, 40, 44, 53, 45, 48, 50, 54, 51, 47, 61, 56], [49, 55, 62, 63, 67, 64, 71, 72, 66, 69, 65, 70, 73, 75, 74, 68, 76, 79, 78, 77, 83, 80, 81, 86, 82, 85, 87, 88, 84]]
50: [[36, 22, 3, 1, 6, 4, 8, 2, 10, 11, 12, 7, 26, 5, 9, 25, 13], [14, 21, 16, 31, 17, 15, 20, 18, 23, 24, 19, 27, 30, 29, 28, 32, 33, 61, 48, 42], [38, 35, 34, 37, 44, 40, 39, 46, 41, 43, 47, 45, 49, 51, 60, 55, 57, 50, 62, 52, 53, 63], [54, 56, 58, 59, 66, 64, 65, 76, 75, 68, 70, 71, 79, 74, 67, 72, 77, 80, 69, 78, 87, 73, 83, 82, 84, 81, 85, 86, 88]]
