0: [[5, 35, 15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37], [17], [21, 26, 25, 27, 28], [24], [30, 31, 32, 34, 33], [36]]
24: [[5, 35, 15], [2, 1], [19, 11, 9], [7, 3], [4], [18, 6, 12, 14], [8, 10, 29], [16, 13, 23, 20], [22, 37, 17, 21], [26, 25, 27, 28], [24], [30, 31, 32, 34], [33, 36]]
25: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37, 17], [21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
26: [[5, 35, 15, 2], [1, 19], [11, 9, 7, 3], [4, 18, 6, 12, 14], [8, 10, 29], [16, 13, 23, 20, 22], [37], [17, 21, 26, 25, 27], [28], [24], [30, 31, 32, 34, 33], [36]]
27: [[5, 35, 15, 2, 1], [19, 11, 9, 7, 3, 4], [18, 6, 12, 14, 8, 10], [29], [16, 13, 23, 20, 22], [37], [17, 21, 26, 25, 27], [28, 24], [30, 31, 32, 34, 33, 36]]
28: [[5, 35], [15], [2, 1, 19], [11, 9, 7, 3], [4, 18, 6, 12], [14, 8, 10, 29], [16, 13, 23], [20, 22, 37, 17], [21], [26, 25, 27, 28], [24, 30, 31], [32], [34, 33], [36]]
29: [[5, 35, 15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6], [12, 14, 8, 10, 29], [16], [13, 23, 20, 22, 37, 17, 21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
30: [[5, 35, 15], [2, 1], [19], [11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10], [29], [16, 13, 23, 20, 22], [37], [17, 21, 26, 25, 27], [28, 24, 30, 31, 32], [34], [33, 36]]
31: [[5, 35, 15, 2], [1, 19, 11, 9], [7, 3, 4], [18, 6], [12, 14, 8, 10, 29], [16, 13, 23], [20, 22, 37, 17], [21, 26, 25, 27, 28], [24, 30], [31, 32, 34, 33, 36]]
32: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37, 17, 21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
33: [[5, 35, 15, 2, 1], [19], [11, 9, 7, 3, 4], [18], [6, 12, 14, 8, 10, 29], [16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24], [30, 31, 32, 34, 33, 36]]
34: [[5], [35, 15], [2], [1, 19], [11, 9, 7], [3, 4, 18, 6], [12], [14, 8, 10], [29, 16, 13, 23], [20, 22, 37], [17, 21, 26, 25], [27, 28, 24], [30, 31, 32, 34, 33], [36]]
35: [[5, 35, 15], [2, 1], [19, 11, 9, 7], [3, 4, 18, 6, 12], [14, 8, 10, 29], [16, 13], [23, 20, 22, 37, 17], [21], [26, 25, 27, 28, 24], [30], [31, 32, 34, 33, 36]]
36: [[5, 35, 15, 2, 1], [19], [11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16, 13, 23, 20, 22], [37], [17], [21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
37: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16, 13], [23, 20, 22, 37, 17], [21], [26, 25, 27, 28, 24], [30], [31, 32, 34, 33, 36]]
38: [[5, 35, 15], [2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10], [29], [16, 13, 23, 20, 22, 37, 17, 21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
39: [[5, 35, 15, 2, 1], [19, 11, 9, 7, 3, 4], [18, 6, 12, 14], [8, 10, 29, 16], [13, 23, 20, 22], [37, 17], [21, 26, 25, 27, 28], [24], [30], [31, 32, 34, 33, 36]]
40: [[5, 35, 15], [2, 1], [19], [11, 9, 7, 3, 4], [18, 6, 12, 14, 8, 10], [29, 16, 13, 23, 20], [22, 37, 17, 21, 26, 25], [27], [28], [24, 30, 31, 32, 34, 33, 36]]
41: [[5, 35, 15, 2, 1], [19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10], [29], [16, 13], [23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24], [30, 31, 32, 34, 33, 36]]
42: [[5, 35, 15], [2, 1, 19, 11], [9, 7, 3, 4], [18, 6, 12, 14, 8], [10, 29], [16, 13, 23, 20, 22], [37], [17, 21, 26, 25, 27], [28], [24, 30], [31, 32, 34, 33, 36]]
43: [[5, 35, 15], [2, 1, 19, 11], [9, 7], [3, 4, 18, 6], [12, 14, 8], [10, 29], [16, 13, 23, 20, 22], [37, 17, 21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
44: [[5, 35, 15, 2, 1, 19, 11], [9, 7, 3, 4, 18], [6, 12, 14, 8, 10], [29], [16, 13, 23, 20, 22], [37], [17, 21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
45: [[5, 35, 15], [2, 1, 19, 11], [9, 7], [3], [4, 18, 6, 12, 14, 8], [10], [29, 16, 13, 23, 20], [22], [37, 17, 21, 26, 25, 27], [28, 24, 30, 31, 32, 34, 33], [36]]
46: [[5, 35, 15], [2, 1], [19, 11, 9, 7], [3, 4, 18, 6, 12], [14, 8, 10, 29, 16], [13, 23, 20, 22, 37], [17], [21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
47: [[5, 35, 15], [2], [1, 19, 11, 9, 7], [3], [4, 18], [6, 12, 14], [8, 10, 29, 16], [13, 23, 20, 22, 37], [17], [21, 26, 25, 27], [28], [24, 30, 31, 32, 34, 33, 36]]
48: [[5, 35, 15, 2], [1, 19, 11, 9], [7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16], [13, 23, 20, 22, 37], [17], [21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
49: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6, 12], [14, 8, 10, 29, 16], [13], [23, 20, 22, 37, 17], [21], [26, 25, 27, 28, 24], [30], [31], [32, 34, 33, 36]]
50: [[5, 35, 15], [2, 1, 19, 11], [9, 7, 3, 4], [18, 6, 12, 14, 8], [10], [29, 16, 13, 23, 20], [22], [37], [17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33], [36]]
51: [[5], [35, 15, 2, 1], [19, 11, 9], [7, 3, 4, 18], [6, 12, 14, 8, 10], [29, 16, 13, 23, 20], [22], [37], [17, 21, 26, 25, 27], [28], [24, 30, 31, 32, 34], [33], [36]]
52: [[5], [35, 15, 2, 1, 19], [11], [9, 7, 3, 4], [18], [6, 12, 14, 8], [10], [29, 16, 13, 23, 20], [22, 37, 17], [21], [26, 25, 27, 28, 24], [30], [31, 32, 34, 33], [36]]
53: [[5, 35, 15], [2, 1, 19, 11], [9, 7, 3, 4], [18, 6, 12], [14, 8], [10, 29, 16, 13], [23, 20], [22, 37, 17, 21], [26, 25], [27], [28], [24, 30, 31], [32], [34, 33, 36]]
54: [[5, 35, 15, 2, 1], [19], [11, 9, 7, 3, 4, 18, 6, 12, 14, 8, 10, 29], [16, 13], [23, 20, 22, 37, 17, 21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
55: [[5], [35, 15, 2, 1], [19, 11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29, 16], [13, 23, 20, 22, 37], [17], [21], [26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
56: [[5, 35, 15, 2, 1], [19, 11, 9, 7, 3], [4, 18, 6, 12, 14, 8, 10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
57: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6, 12, 14, 8], [10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
58: [[5, 35, 15], [2], [1, 19, 11, 9, 7, 3, 4, 18, 6, 12, 14, 8], [10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
59: [[5, 35, 15], [2, 1], [19, 11, 9, 7, 3, 4, 18, 6, 12, 14, 8, 10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
60: [[5, 35, 15, 2, 1], [19], [11, 9, 7, 3, 4], [18], [6, 12, 14, 8, 10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
61: [[5], [35], [15, 2, 1], [19], [11, 9], [7, 3, 4], [18, 6, 12, 14], [8], [10], [29, 16, 13, 23, 20], [22, 37, 17], [21, 26, 25, 27], [28], [24], [30, 31, 32, 34, 33], [36]]
62: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6, 12], [14], [8, 10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
63: [[5], [35, 15, 2, 1], [19], [11, 9, 7, 3, 4], [18], [6, 12, 14, 8, 10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
64: [[5], [35, 15, 2, 1], [19, 11, 9, 7, 3, 4, 18, 6, 12, 14, 8], [10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
65: [[5, 35, 15, 2, 1], [19, 11, 9, 7, 3], [4, 18, 6, 12, 14, 8, 10, 29, 16, 13, 23], [20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
66: [[5, 35, 15, 2], [1, 19, 11, 9], [7, 3, 4, 18, 6], [12], [14, 8, 10, 29, 16, 13, 23, 20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
67: [[5, 35, 15, 2], [1, 19, 11, 9, 7], [3, 4, 18, 6], [12, 14, 8, 10, 29], [16, 13, 23], [20], [22, 37, 17, 21, 26], [25], [27, 28, 24, 30, 31], [32, 34], [33, 36]]
68: [[5, 35, 15, 2, 1], [19], [11, 9, 7, 3, 4], [18], [6, 12, 14, 8], [10, 29, 16, 13, 23], [20, 22, 37, 17, 21], [26], [25, 27, 28, 24, 30, 31], [32, 34, 33], [36]]
69: [[5], [35, 15], [2, 1, 19], [11, 9], [7, 3, 4, 18, 6], [12, 14], [8, 10, 29, 16, 13], [23, 20, 22, 37, 17, 21, 26, 25], [27, 28, 24, 30, 31, 32, 34, 33, 36]]
70: [[5, 35, 15], [2, 1, 19, 11, 9, 7], [3, 4, 18, 6, 12, 14], [8, 10, 29, 16, 13], [23, 20], [22, 37, 17, 21, 26], [25], [27, 28, 24, 30], [31, 32, 34, 33, 36]]
71: [[5, 35], [15, 2], [1, 19, 11, 9], [7, 3], [4, 18], [6, 12, 14, 8], [10, 29, 16], [13, 23, 20], [22, 37], [17, 21, 26, 25], [27, 28], [24, 30], [31, 32], [34], [33, 36]]
72: [[5, 35, 15, 2], [1, 19, 11], [9], [7, 3, 4], [18, 6, 12], [14, 8, 10, 29], [16], [13], [23], [20, 22, 37, 17, 21, 26, 25, 27, 28, 24, 30, 31, 32, 34, 33, 36]]
73: [[5], [35, 15, 2], [1, 19], [11, 9], [7, 3], [4], [18, 6, 12], [14, 8, 10, 29], [16, 13, 23], [20], [22], [37, 17, 21, 26, 25], [27], [28, 24, 30, 31], [32], [34, 33, 36]]
