0: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
15: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
16: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
17: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
18: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
19: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
20: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
21: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
22: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
23: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
24: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
25: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
26: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
27: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
28: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
29: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
30: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
31: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
32: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
33: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
34: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
35: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
36: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
37: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
38: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
39: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
40: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
41: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
42: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
43: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
44: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
45: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
46: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
47: [[9, 4, 6, 3, 1], [2, 11, 7, 10, 14], [8, 13, 5, 15], [12, 16, 18, 19, 17], [23, 21, 20, 22, 24]]
