0: [[2, 24, 18, 1, 6], [3, 4, 7, 8, 12, 10], [25, 5], [9, 15, 11, 17, 13], [16, 19, 20, 29, 14, 22], [23, 28], [21, 26, 27]]
26: [[2, 24], [18, 1, 6, 3, 4, 15, 8], [7, 5, 11, 9], [10, 12, 13, 14, 16], [17, 23], [20, 21, 19, 25, 22, 29], [26, 27, 28]]
27: [[2, 24, 18, 1], [6, 3, 4, 7, 8], [15], [5, 9, 11, 10, 13, 12], [19, 14, 17, 20, 16, 29, 21, 23], [22, 25], [27, 26, 28]]
28: [[2, 24, 18, 1, 6, 3, 5], [7, 8, 13, 9], [4, 11, 15, 10, 12], [23, 14, 19], [16, 22, 17, 27, 28, 20, 29], [25, 26, 21]]
29: [[2, 24, 18, 1, 6, 3, 4], [7, 8, 12, 10, 11], [5, 9, 13, 29, 14, 15], [19], [20, 17, 16, 22, 23], [21, 25], [27, 26, 28]]
30: [[2, 24], [18, 1, 6, 3, 4, 7, 8, 5], [9, 11, 15, 14, 10], [28, 12, 13, 19], [20], [16, 17, 22, 23, 21, 25], [27, 26, 29]]
31: [[2, 24, 18, 1, 6], [3, 4], [7, 8, 12, 5, 9], [13, 15, 11, 10, 14, 27], [16, 19], [22, 23, 17, 21, 25, 26], [28, 29, 20]]
32: [[2, 24, 18, 1, 6, 3, 4], [7, 8], [12, 5], [28, 9, 10, 11, 15], [17, 13, 14, 19], [22, 20, 16, 23, 21, 25], [29, 26, 27]]
33: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 13, 9], [5, 14, 12, 11, 28, 23, 10], [15, 19, 17, 20], [16, 21], [22, 25], [26, 27, 29]]
34: [[2, 24, 18, 1, 6, 3], [4], [7, 8, 9, 5], [11, 15, 10, 13, 12], [19, 14, 17, 20, 16, 29, 21, 22], [23, 25], [27, 26, 28]]
35: [[2, 24], [18, 1, 6, 3, 4, 7], [8, 12, 5, 9], [15, 11, 14, 10, 20], [13, 25, 16, 17, 19, 22, 23], [28, 21], [27, 26, 29]]
36: [[2, 24, 18, 1, 6, 3], [4, 7], [8, 13, 12, 9, 11, 15, 5], [29, 20, 10, 25, 14], [16, 19, 17, 23], [22, 26], [27, 28, 21]]
37: [[2, 24], [18, 1, 6, 3, 4, 7, 8], [13, 5, 9, 15], [10, 11, 14, 19, 12], [17, 21], [16, 20, 23, 22, 29, 25], [27, 26, 28]]
38: [[2, 24], [18, 1, 6, 3, 5, 7], [10, 12, 14, 4, 9], [8, 15], [11, 16, 13, 20, 17, 19], [23, 21, 28, 22, 25], [26, 27, 29]]
39: [[2, 24, 18, 1, 6, 3, 5, 4], [8, 12, 7, 15, 9, 10], [11, 25, 13, 14, 17, 22], [21, 16, 23, 19], [20], [29], [26, 27, 28]]
40: [[2, 24, 18, 1, 6], [3, 20], [7, 12, 9, 4, 5, 13], [14, 11], [8, 10, 15, 16, 19, 23], [25, 21, 22, 27, 17], [29, 26, 28]]
41: [[2, 24], [18, 1], [6, 3, 4, 7], [8, 12, 5, 9, 10], [13, 14, 11, 17, 15, 20], [16, 25, 19, 22, 23, 27, 29], [28, 26, 21]]
42: [[2, 24], [18, 1], [6, 3, 4, 7], [8, 15, 5, 12, 9], [10, 11, 28, 13, 16, 20], [14, 17, 22, 23, 29, 19, 21], [25, 26, 27]]
43: [[2, 24, 18, 1], [6, 3, 4, 7, 8], [13, 5, 9, 10, 12, 11], [15, 26], [14, 16], [17, 23, 19, 22, 21, 25, 29], [20, 27, 28]]
44: [[2, 24, 18, 1, 6], [3, 4], [7, 8, 13, 5, 10, 11], [9, 12, 14, 17], [15, 19, 20, 16, 22, 21, 23], [25, 27], [29, 26, 28]]
45: [[2, 24], [18, 1, 6, 3, 4, 7], [8, 13, 5, 12], [9, 15, 11, 10, 14], [27, 29], [17, 19, 16, 20, 22, 23, 25], [26, 21, 28]]
46: [[2, 24, 18, 1, 6, 3], [5, 15, 7, 4, 9, 12], [13, 14, 8, 11, 10, 19, 20, 17], [29, 16, 21, 23], [22], [25], [26, 27, 28]]
47: [[2, 24, 18, 1, 6, 3], [4, 7, 12, 8, 14], [9, 5], [11, 15, 10, 17, 13], [16, 19, 20, 21, 22, 23], [26, 25], [29, 27, 28]]
48: [[2, 24, 18, 1, 6], [3, 4, 7, 8, 12, 10], [9, 5], [11, 14, 17, 20, 13], [19, 21, 16, 25, 22, 27], [15, 28], [23, 26, 29]]
49: [[2, 24, 18, 1, 6, 3, 5, 4], [9, 12, 7, 11, 13, 10], [8, 15, 14, 19, 17, 22], [16, 23, 21, 20], [25], [29], [26, 27, 28]]
50: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 9, 5], [13, 12], [14, 11, 15, 10, 22], [16, 19], [21, 23, 20, 25, 27, 17], [29, 26, 28]]
51: [[2, 24], [18, 1], [6, 3, 4, 7], [8, 13, 29, 5], [9, 11, 12, 10, 19], [15, 21, 14, 17, 25, 16, 20, 22, 27], [23, 26, 28]]
52: [[2, 24], [18, 1, 6, 3, 5, 7], [8, 12, 13, 9, 4], [10, 11], [29, 16, 15, 27, 19], [17, 21, 14, 23, 20, 25], [22, 26, 28]]
53: [[2, 24], [18, 1], [6, 3, 4, 7], [8, 5, 12, 9, 11], [15, 10, 29, 20, 13, 14], [17, 16, 19, 22, 23, 21, 27], [25, 28, 26]]
54: [[2, 24], [18, 1], [6, 3, 4, 7], [8, 13, 12, 9, 5], [11, 10, 26, 28, 14, 15], [17, 19, 21, 22, 23, 16, 25], [27, 20, 29]]
55: [[2, 24, 18, 1, 6, 3], [4, 7, 8, 13], [9, 5, 10, 14, 11], [12, 23], [19, 15], [17, 20, 28, 16, 21, 22, 27], [25, 26, 29]]
56: [[2, 24], [18, 1, 6, 3, 4, 7], [8, 13, 5, 10, 12], [9, 11, 19, 15, 21], [14, 17, 22, 20, 16, 23], [25, 27], [29, 26, 28]]
57: [[2, 24], [18, 1, 6, 3], [4, 5, 8, 12, 7, 9], [11, 13, 15, 14, 22], [17, 10, 19, 21, 20, 23, 26], [16, 27], [25, 28, 29]]
58: [[2, 24], [18, 1, 6, 3, 5, 7], [10, 4, 14, 12], [9, 8, 11, 28, 13], [15, 20], [19, 21, 16, 17, 22, 23, 26], [25, 27, 29]]
59: [[2], [24, 18, 1, 6, 3, 4], [7, 8, 12, 14, 9], [5, 13, 10, 15, 22, 11, 16], [19, 17, 21, 23, 25], [20, 27], [28, 26, 29]]
